,Concept_ID,et,xal
0,Auge::N,silm,нүдн
1,Ohr::N,kõrv,чикн
2,Nase::N,nina,хамр
3,Mund::N,suu,амн
4,Zahn::N,hammas,шүдн
5,Zunge::N,keel,келн
6,Lippe::N,huul,урл
7,Wange::N,põsk,халх
8,Gesicht::N,nägu,нүр
9,Stirn::N,otsmik,маңна
10,Haar::N,juus,үсн
11,Schnurrbart::N,vurrud,сахл
12,Schnurrbart::N,vuntsid,сахл
13,Bart::N,habe,сахл
14,Bart::N,habe,өргнә сахл
15,Kinn::N,lõug,өргн
16,Kiefer[Anatomie]::N,lõualuu,өргн
17,Kehle::N,kõri,хол
18,Hals::N,kael,күзүн
19,Genick::N,kukal,гиҗг
20,Kopf::N,pea,толһа
21,Rücken::N,selg,нурһн
22,Bauch::N,kõht,гесн
23,Nabel::N,naba,киисн
24,Busen::N,rind,көкн
25,Brust::N,rind,чееҗ
26,Schulter::N,õlg,ээм
27,Arm::N,käsivars,һар
28,Ellenbogen::N,küünarnukk,тоха
29,Hand::N,käsi,баһлцг
30,Handfläche::N,pihk,альхн
31,Finger::N,sõrm,хурһн
32,Finger::N,sõrm,һарин хурһн
33,Fingernagel::N,küüs,хумсн
34,Nagel[Anatomie]::N,küüs,хумсн
35,Zeh::N,varvas,хурһн
36,Zeh::N,varvas,көлин хурһн
37,Fuß::N,jalg,тавг
38,Ferse::N,kand,өскә
39,Knie::N,põlv,өвдг
40,Oberschenkel::N,reis,һуй
41,Bein::N,jalg,көл
42,Körper::N,ihu,махмуд
43,Körper::N,keha,махмуд
44,Haut::N,nahk,арсн
45,Blut::N,veri,цусн
46,Ader::N,veen,судцн
47,Sehne::N,kõõlus,шүрүсн
48,Knochen::N,luu,ясн
49,Gehirn::N,aju,экн
50,Herz::N,süda,зүркн
51,Magen::N,magu,гесн
52,Leber::N,maks,элкн
53,Atem::N,hingeõhk,әмсхл
54,Atem::N,hingamine,әмсхл
55,Hunger::N,nälg,харһнлһн
56,Träne::N,pisar,нульмсн
57,Geschmack::N,maitse,амтн
58,Geruch::N,lõhn,үнр
59,Schlaf::N,uni,нөр
60,Traum::N,unenägu,зүүдн
61,Himmel::N,taevas,теңгр
62,Sonne::N,päike,нарн
63,Mond::N,kuu,сар
64,Stern::N,täht,одн
65,Luft::N,õhk,аһар
66,Wind::N,tuul,салькн
67,Welle::N,laine,дольган
68,Wasser::N,vesi,усн
69,Stein::N,kivi,чолун
70,Boden::N,maa,Һазр
71,Boden::N,pinnas,Һазр
72,Erde::N,maa,Һазр
73,Staub::N,põrm,тоосн
74,Rauch::N,suits,утан
75,Funke::N,säde,очн
76,Feuer::N,tuli,һал
77,Licht::N,valgus,герл
78,Schatten::N,vari,сүүдр
79,Wetter::N,ilm,теңгр
80,Nebel::N,udu,будн
81,Wolke::N,pilv,үүлн
82,Regen::N,sadu,хур
83,Schnee::N,lumi,цасн
84,Eis::N,jää,мөсн
85,Frost::N,pakane,киитн
86,Kälte::N,külm,киитн
87,Kälte::N,külmus,киитн
88,Hitze::N,kuumus,халун
89,Hitze::N,palavus,халун
90,Raureif::N,härmatis,цаң
91,Raureif::N,härmatis,кирү
92,Regenbogen::N,vikerkaar,солңһ
93,Donner::N,kõu,оһтрһун дун
94,Donner::N,müristamine,оһтрһун дун
95,Strömung::N,voolus,урсхл
96,Strömung::N,jõevool,урсхл
97,Tropfen::N,tilk,дусал
98,Schaum::N,vaht,көөсн
99,Schmutz::N,pori,кир
100,Schmutz::N,mustus,кир
101,See::N,järv,нур
102,Sumpf::N,soo,унул
103,Moor::N,raba,улм
104,Wiese::N,aas,хадлһн
105,Wiese::N,nurm,хадлһн
106,Wald::N,mets,ө-модн
107,Hügel::N,küngas,толһа
108,Anhöhe::N,küngas,хамр
109,Berg::N,mägi,уул
110,Gipfel::N,mäetipp,ора
111,Höhle::N,koobas,хадин көндә
112,Abhang::N,nõlvak,ташу
113,Quelle::N,allikas,булг
114,Bach::N,oja,һооҗур
115,Fluss::N,jõgi,һол
116,Ufer::N,kallas,көвә
117,Küste::N,rannik,көвә
118,Küste::N,rannik,теңгсин көвә
119,Festland::N,mander,хүүрә һазр
120,Festland::N,maismaa,хүүрә һазр
121,Meer::N,meri,теңгс
122,Bucht::N,laht,цекә
123,Bucht::N,laht,теңгсин цекә
124,Insel::N,saar,арл
125,Blume::N,lill,цецг
126,Gras::N,rohi,ноһан
127,Wurzel::N,juur,уңг
128,Baum::N,puu,модн
129,Stamm::N,tüvi,шилв
130,Stamm::N,tüvi,һол модн
131,Rinde::N,koor,көрсн
132,Ast::N,oks,ац
133,Zweig::N,oks,ац
134,Blatt::N,leht,хамтхасн
135,Birke::N,kask,хусм модн
136,Kiefer[Baum]::N,mänd,шар харһа
137,Weide[Baum]::N,paju,удн
138,Tanne::N,nulg,җөөлн цаһан модн
139,Horn::N,sarv,өвр
140,Feder::N,sulg,өрвлг
141,Fell::N,karvkate,арсн
142,Fell::N,karusnahk,арсн
143,Flügel::N,tiib,җивр
144,Flügel::N,tiivik,җивр
145,Klaue::N,küüs,хумсн
146,Kralle::N,küünis,тавг
147,Schwanz::N,saba,сүл
148,Ei::N,muna,өндгн
149,Nest::N,pesa,үр
150,Bau::N,urg,нүкн
151,Tier::N,loom,мал
152,Herde::N,kari,сүрг мал
153,Kuh::N,lehm,үкр
154,Bulle::N,pull,бух
155,Pferd::N,hobune,мөрн
156,Schaf::N,lammas,хөн
157,Schwein::N,siga,һаха
158,Hund::N,koer,ноха
159,Katze::N,kass,мис
160,Bär::N,karu,аю
161,Eichhörnchen::N,orav,кермн
162,Elch::N,põder,хандһа
163,Fuchs::N,rebane,арат
164,Hase::N,jänes,туула
165,Maus::N,hiir,хулһн
166,Wolf::N,hunt,чон
167,Vogel::N,lind,шовун
168,Schwarm::N,parv,зел
169,Huhn::N,kana,така
170,Hahn::N,kukk,эр така
171,Gans::N,hani,һалун
172,Adler::N,kotkas,һәрд
173,Ente::N,part,нуһсн
174,Eule::N,kakk,һурвлһ
175,Eule::N,öökull,һурвлһ
176,Kranich::N,kurg,тоһрун
177,Krähe::N,vares,шаазһа
178,Kuckuck::N,kägu,эргин хуцдг
179,Schwan::N,luik,хун
180,Fisch::N,kala,заһсн
181,Barsch::N,ahven,шүрг
182,Hecht::N,haug,цурх
183,Schlange[Tier]::N,uss,моһа
184,Wurm::N,uss,өтн
185,Wurm::N,vagel,өтн
186,Spinne::N,ämblik,аралҗн
187,Ameise::N,sipelgas,шорһлҗн
188,Laus::N,täi,бөөсн
189,Mücke::N,sääsk,бөкүн
190,Fliege::N,kärbes,батхн
191,Schmetterling::N,liblikas,эрвәкә
192,Beere::N,mari,бөөлҗрһн
193,Apfel::N,õun,альмн
194,Pilz::N,seen,теңгрин ки
195,Zwiebel::N,sibul,мәңгрснә толһа
196,Saat::N,seeme,буудян экн
197,Korn::N,iva,экн
198,Korn::N,tera,экн
199,Heu::N,hein,өвсн
200,Schale::N,koor,хальсн
201,Grube::N,kaevand,нүкн
202,Falle::N,lõks,урх
203,Falle::N,lõks,хавх
204,Falle::N,püünis,урх
205,Falle::N,püünis,хавх
206,Schlinge::N,aas,бүтү
207,Spur::N,jälg,мөр
208,Asche::N,tuhk,үмсн
209,Dreck::N,saast,бальчг
210,Dreck::N,mustus,бальчг
211,Eisen::N,raud,төмр
212,Gold::N,kuld,алтн
213,Silber::N,hõbe,мөңгн
