,Concept_ID,fi,sq
0,Auge::N,silmä,sy
1,Ohr::N,korva,vesh
2,Nase::N,nenä,hundë
3,Mund::N,suu,gojë
4,Zahn::N,hammas,dhëmb
5,Zunge::N,kieli,gjuhë
6,Lippe::N,huuli,buzë
7,Wange::N,poski,faqe
8,Wange::N,poski,mollëz
9,Gesicht::N,naama,fytyrë
10,Gesicht::N,kasvot,fytyrë
11,Stirn::N,otsa,ballë
12,Haar::N,hius,flokë
13,Haar::N,tukka,flokë
14,Schnurrbart::N,viikset,mustaqe
15,Bart::N,parta,mjekër
16,Kinn::N,leuka,mjekër
17,Kiefer[Anatomie]::N,leukaluu,nofull
18,Kehle::N,kurkku,fyt
19,Kehle::N,kurkku,grykë
20,Hals::N,kaula,qafë
21,Genick::N,niska,arrëz
22,Kopf::N,pää,kokë
23,Rücken::N,selkä,kurriz
24,Bauch::N,maha,bark
25,Bauch::N,vatsa,bark
26,Nabel::N,napa,kërthizë
27,Busen::N,rinta,gji
28,Brust::N,rinta,gjoks
29,Brust::N,rinta,kraharor
30,Schulter::N,olka,sup
31,Schulter::N,olka,krah
32,Schulter::N,hartia,sup
33,Schulter::N,hartia,krah
34,Schulter::N,olkapää,sup
35,Schulter::N,olkapää,krah
36,Arm::N,käsivarsi,krah
37,Ellenbogen::N,kyynärpää,bërryl
38,Hand::N,käsi,dorë
39,Handfläche::N,kämmen,pëllëmbë
40,Finger::N,sormi,gisht
41,Fingernagel::N,kynsi,thua
42,Nagel[Anatomie]::N,kynsi,thua
43,Zeh::N,varvas,gisht i këmbës
44,Fuß::N,jalka,këmbë
45,Ferse::N,kantapää,thembër
46,Knie::N,polvi,gju
47,Oberschenkel::N,reisi,kofshë
48,Bein::N,jalka,këmbë
49,Körper::N,keho,trup
50,Körper::N,ruumis,trup
51,Haut::N,iho,lëkurë
52,Blut::N,veri,gjak
53,Ader::N,suoni,venë
54,Sehne::N,jänne,dell
55,Knochen::N,luu,asht
56,Knochen::N,luu,kockë
57,Gehirn::N,aivot,tru
58,Herz::N,sydän,zemër
59,Magen::N,maha,stomak
60,Magen::N,vatsa,stomak
61,Leber::N,maksa,mëlçi
62,Atem::N,henki,frymë
63,Atem::N,hengitys,frymë
64,Hunger::N,nälkä,uri
65,Träne::N,kyynel,lot
66,Geschmack::N,maku,shije
67,Geruch::N,haju,erë
68,Schlaf::N,uni,gjumë
69,Traum::N,uni,ëndërr
70,Himmel::N,taivas,qiell
71,Sonne::N,aurinko,diell
72,Mond::N,kuu,hënë
73,Stern::N,tähti,yll
74,Luft::N,ilma,ajër
75,Wind::N,tuuli,erë
76,Welle::N,aalto,valë
77,Welle::N,aalto,dallgë
78,Wasser::N,vesi,ujë
79,Stein::N,kivi,gur
80,Boden::N,maa,tokë
81,Boden::N,maa,truall
82,Boden::N,maaperä,tokë
83,Boden::N,maaperä,truall
84,Erde::N,maa,dhe
85,Erde::N,maa,baltë
86,Staub::N,pöly,pluhur
87,Rauch::N,savu,tym
88,Funke::N,kipinä,xixë
89,Funke::N,kipinä,shkëndijë
90,Feuer::N,tuli,zjarr
91,Licht::N,valo,dritë
92,Schatten::N,varjo,hije
93,Wetter::N,sää,mot
94,Nebel::N,sumu,mjegull
95,Wolke::N,pilvi,re
96,Regen::N,sade,shi
97,Schnee::N,lumi,borë
98,Eis::N,jää,akull
99,Frost::N,halla,ngricë
100,Frost::N,pakkanen,ngricë
101,Kälte::N,vilu,të ftohtë
102,Kälte::N,kylmyys,të ftohtë
103,Hitze::N,helle,vapë
104,Hitze::N,helle,nxehtësi
105,Hitze::N,kuumuus,vapë
106,Hitze::N,kuumuus,nxehtësi
107,Raureif::N,huurre,cikmë
108,Regenbogen::N,sateenkaari,ylber
109,Donner::N,jyrinä,gjëmim
110,Donner::N,jyrinä,bubullimë
111,Strömung::N,virtaus,rrymë
112,Tropfen::N,tippa,pikë
113,Tropfen::N,pisara,pikë
