,Concept_ID,fa,lt
0,Auge::N,چشم,akis
1,Ohr::N,گوش,ausis
2,Nase::N,بینی,nosis
3,Mund::N,دهان,burna
4,Zahn::N,دندان,dantis
5,Zunge::N,زبان,liežuvis
6,Lippe::N,لب,lūpa
7,Wange::N,لپ,žandas
8,Wange::N,لپ,skruostas
9,Gesicht::N,رو,veidas
10,Gesicht::N,چهره,veidas
11,Stirn::N,پیشانی,kakta
12,Haar::N,مو,plaukai
13,Schnurrbart::N,سبیل,ūsai
14,Bart::N,ریش,barzda
15,Kinn::N,چانه,smakras
16,Kiefer[Anatomie]::N,فک,žandikaulis
17,Kiefer[Anatomie]::N,آرواره,žandikaulis
18,Kehle::N,حلق,gerklė
19,Hals::N,گردن,kaklas
20,Genick::N,پشت گردن,sprandas
21,Kopf::N,سر,galva
22,Kopf::N,کله,galva
23,Rücken::N,پشت,nugara
24,Bauch::N,شکم,pilvas
25,Nabel::N,ناف,bamba
26,Busen::N,پستان,krūtinė
27,Brust::N,سینه,krūtis
28,Schulter::N,دوش,petys
29,Schulter::N,شانه,petys
30,Arm::N,بازو,ranka
31,Ellenbogen::N,آرنج,alkūnė
32,Hand::N,دست,ranka
33,Hand::N,دست,plaštaka
34,Handfläche::N,کف دست,delnas
35,Handfläche::N,کف دست,plaštaka
36,Finger::N,انگشت,pirštas
37,Fingernagel::N,ناخن دست,nagas
38,Nagel[Anatomie]::N,ناخن,nagas
39,Zeh::N,انگشت پا,pirštas
40,Fuß::N,پا,pėda
41,Ferse::N,پاشنه,kulnas
42,Knie::N,زانو,kelis
43,Oberschenkel::N,ران,kulšis
44,Oberschenkel::N,ران,šlaunis
45,Bein::N,پا,koja
46,Bein::N,لنگ,koja
47,Körper::N,تن,kūnas
48,Körper::N,بدن,kūnas
49,Haut::N,پوست,oda
50,Blut::N,خون,kraujas
51,Ader::N,رگ,kraujagyslė
52,Sehne::N,زردپی,sausgyslė
53,Knochen::N,استخوان,kaulas
54,Gehirn::N,مخ,smegenys
55,Gehirn::N,مغز,smegenys
56,Herz::N,دل,širdis
57,Herz::N,قلب,širdis
