,Concept_ID,hy,es
0,Auge::N,աչք,ojo
1,Ohr::N,ականջ,oreja
2,Nase::N,քիթ,nariz
3,Mund::N,բերան,boca
4,Zahn::N,ատամ,diente
5,Zunge::N,լեզու,lengua
6,Lippe::N,շրթունք,labio
7,Wange::N,այտ,mejilla
8,Wange::N,թուշ,mejilla
9,Gesicht::N,դեմք,cara
10,Stirn::N,ճակատ,frente
11,Haar::N,մազ,cabello
12,Schnurrbart::N,բեղ,bigote
13,Bart::N,մորուք,barba
14,Kinn::N,կզակ,barbilla
15,Kiefer[Anatomie]::N,ծնոտ,mandíbula
16,Kehle::N,կոկորդ,garganta
17,Hals::N,վիզ,cuello
18,Hals::N,պարանոց,cuello
19,Genick::N,ծոծրակ,nuca
20,Genick::N,ծոծրակ,cerviz
21,Kopf::N,գլուխ,cabeza
22,Rücken::N,մեջք,espalda
23,Bauch::N,փոր,vientre
24,Bauch::N,որովայն,vientre
25,Nabel::N,պորտ,ombligo
26,Busen::N,ծոց,pecho
27,Brust::N,կուրծք,pecho
28,Schulter::N,ուս,hombro
29,Arm::N,թեւ,brazo
30,Arm::N,բազուկ,brazo
31,Ellenbogen::N,արմունկ,codo
32,Hand::N,ձեռք,mano
33,Handfläche::N,ափ,palma
34,Finger::N,մատ,dedo
35,Fingernagel::N,եղունգ,uña
36,Nagel[Anatomie]::N,եղունգ,uña
37,Zeh::N,ոտքի մատ,dedo del pie
38,Fuß::N,ոտք,pie
39,Ferse::N,գարշապար,talón
40,Knie::N,ծունկ,rodilla
41,Oberschenkel::N,ազդր,muslo
42,Bein::N,ոտք,pierna
43,Körper::N,մարմին,cuerpo
44,Haut::N,մաշկ,piel
45,Blut::N,արյուն,sangre
46,Ader::N,երակ,vena
47,Sehne::N,ջիղ,tendón
48,Sehne::N,ձգտան,tendón
49,Knochen::N,ոսկոր,hueso
50,Gehirn::N,խելք,cerebro
51,Gehirn::N,խելք,encéfalo
52,Herz::N,սիրտ,corazón
53,Magen::N,ստամոքս,estómago
54,Leber::N,լյարդ,hígado
55,Atem::N,շունչ,aliento
56,Hunger::N,քաղց,hambre
57,Träne::N,արտասուք,lágrima
58,Geschmack::N,համ,gusto
59,Geschmack::N,բուրմունք,gusto
60,Geruch::N,հոտ,olor
61,Geruch::N,բուրում,olor
62,Schlaf::N,քուն,sueño
63,Traum::N,երազ,sueño
64,Traum::N,երազ,ensueño
65,Himmel::N,երկինք,cielo
66,Sonne::N,արեւ,sol
67,Mond::N,լուսին,luna
68,Stern::N,աստղ,estrella
69,Luft::N,օդ,aire
70,Wind::N,քամի,viento
71,Welle::N,ալիք,ola
72,Welle::N,ալիք,onda
73,Wasser::N,ջուր,agua
74,Stein::N,քար,piedra
75,Boden::N,գետին,suelo
76,Erde::N,հող,tierra
77,Staub::N,փոշի,polvo
78,Rauch::N,ծուխ,humo
79,Funke::N,կայծ,chispa
80,Feuer::N,կրակ,fuego
81,Feuer::N,հրդեհ,fuego
82,Licht::N,լույս,luz
83,Schatten::N,ստվեր,sombra
84,Wetter::N,եղանակ,tiempo
85,Nebel::N,մեգ,niebla
86,Nebel::N,մառախուղ,niebla
87,Wolke::N,ամպ,nube
88,Regen::N,անձրև,lluvia
89,Schnee::N,ձյուն,nieve
90,Eis::N,սառույց,hielo
91,Frost::N,սառնամանիք,helada
92,Kälte::N,դող,frío
93,Hitze::N,շոգ,calor
94,Raureif::N,ցօղեղեամ,escarcha
95,Regenbogen::N,ծիածան,arco iris
96,Donner::N,որոտ,trueno
97,Strömung::N,հոսանք,corriente
98,Tropfen::N,կաթիլ,gota
99,Schaum::N,փրփուր,espuma
100,Schmutz::N,կեղտ,suciedad
101,See::N,լիճ,lago
102,Sumpf::N,ճահիճ,pantano
103,Moor::N,ճահիճ,turbera
104,Wiese::N,մարգագետին,prado
105,Wiese::N,մարգագետին,pradera
106,Wald::N,անտառ,bosque
107,Hügel::N,բլուր,colina
108,Anhöhe::N,բարձունք,cerro
109,Berg::N,լեռ,monte
110,Berg::N,լեռ,montaña
111,Gipfel::N,գագաթ,cima
112,Gipfel::N,գագաթ,cumbre
113,Gipfel::N,կատար,cima
114,Gipfel::N,կատար,cumbre
115,Höhle::N,քարայր,cueva
116,Höhle::N,քարայր,caverna
117,Abhang::N,լանջ,cuesta
118,Abhang::N,լանջ,declive
119,Abhang::N,զառիվայր,cuesta
120,Abhang::N,զառիվայր,declive
121,Quelle::N,աղբյուր,fuente
122,Quelle::N,աղբյուր,manantial
