,Concept_ID,ka,et
0,Auge::N,თვალი,silm
1,Ohr::N,ყური,kõrv
2,Nase::N,ცხვირი,nina
3,Mund::N,პირი,suu
4,Zahn::N,კბილი,hammas
5,Zunge::N,ენა,keel
6,Lippe::N,ბაგე,huul
7,Wange::N,ლოყა,põsk
8,Gesicht::N,სახე,nägu
9,Stirn::N,შუბლი,otsmik
10,Haar::N,თმა,juus
11,Schnurrbart::N,ულვაში,vurrud
12,Schnurrbart::N,ულვაში,vuntsid
13,Bart::N,წვერი,habe
14,Kinn::N,ნიკაპი,lõug
15,Kiefer[Anatomie]::N,ყბა,lõualuu
16,Kehle::N,ყელი,kõri
17,Hals::N,ყელი,kael
18,Hals::N,კისერი,kael
19,Genick::N,კეფა,kukal
20,Kopf::N,თავი,pea
21,Rücken::N,ზურგი,selg
22,Bauch::N,მუცელი,kõht
23,Nabel::N,ჭიპი,naba
24,Busen::N,ძუძუ,rind
25,Brust::N,მკერდი,rind
26,Schulter::N,მხარი,õlg
27,Schulter::N,მკლავი,õlg
28,Arm::N,ხელი,käsivars
29,Ellenbogen::N,იდაყვი,küünarnukk
30,Hand::N,ხელი,käsi
31,Handfläche::N,ნები,pihk
32,Handfläche::N,ხელისგული,pihk
33,Finger::N,თითი,sõrm
34,Fingernagel::N,ფრჩხილი,küüs
35,Nagel[Anatomie]::N,ფრჩხილი,küüs
36,Zeh::N,ფეხის თითი,varvas
37,Fuß::N,ტერფი,jalg
38,Fuß::N,ფეხისგული,jalg
39,Ferse::N,ქუსლი,kand
40,Knie::N,მუხლი,põlv
41,Oberschenkel::N,ბარძაყი,reis
42,Bein::N,ფეხი,jalg
43,Körper::N,ტანი,ihu
44,Körper::N,ტანი,keha
45,Körper::N,სხეული,ihu
46,Körper::N,სხეული,keha
47,Haut::N,კანი,nahk
48,Blut::N,სისხლი,veri
49,Ader::N,ძარღვი,veen
50,Sehne::N,მყესი,kõõlus
51,Knochen::N,ძვალი,luu
52,Gehirn::N,ტვინი,aju
53,Herz::N,გული,süda
54,Magen::N,კუჭი,magu
55,Leber::N,ღვიძლი,maks
56,Atem::N,სუნთქვა,hingeõhk
57,Atem::N,სუნთქვა,hingamine
58,Hunger::N,შიმშილი,nälg
59,Träne::N,ცრემლი,pisar
60,Geschmack::N,გემო,maitse
61,Geruch::N,სუნი,lõhn
62,Schlaf::N,ძილი,uni
63,Traum::N,სიზმარი,unenägu
64,Himmel::N,ცა,taevas
65,Sonne::N,მზე,päike
66,Mond::N,მთვარე,kuu
67,Stern::N,ვარსკვლავი,täht
68,Luft::N,ჰაერი,õhk
69,Wind::N,ქარი,tuul
70,Welle::N,ტალღა,laine
71,Wasser::N,წყალი,vesi
72,Stein::N,ქვა,kivi
73,Boden::N,მიწა,maa
74,Boden::N,მიწა,pinnas
75,Erde::N,ნიადაგი,maa
76,Staub::N,მტვერი,põrm
77,Rauch::N,ბოლი,suits
78,Rauch::N,კვამლი,suits
79,Funke::N,ნაკვესი,säde
80,Feuer::N,ცეცხლი,tuli
81,Licht::N,შუქი,valgus
82,Licht::N,სინათლე,valgus
83,Schatten::N,ლანდი,vari
84,Schatten::N,ჩრდილი,vari
85,Wetter::N,ამინდი,ilm
86,Nebel::N,ნისლი,udu
87,Wolke::N,ღრუბელი,pilv
88,Regen::N,წვიმა,sadu
89,Schnee::N,თოვლი,lumi
90,Eis::N,თოში,jää
91,Eis::N,ყინული,jää
92,Frost::N,ყინვა,pakane
93,Kälte::N,სიცივე,külm
94,Kälte::N,სიცივე,külmus
95,Hitze::N,სიცხე,kuumus
96,Hitze::N,სიცხე,palavus
97,Raureif::N,ჭირხლი,härmatis
98,Raureif::N,თრთვილი,härmatis
99,Regenbogen::N,ცისარტყელა,vikerkaar
100,Donner::N,ქუხილი,kõu
101,Donner::N,ქუხილი,müristamine
102,Strömung::N,დინება,voolus
103,Strömung::N,დინება,jõevool
104,Tropfen::N,წვეთი,tilk
105,Schaum::N,ქაფი,vaht
106,Schaum::N,დორბლი,vaht
107,Schmutz::N,ჭუჭყი,pori
108,Schmutz::N,ჭუჭყი,mustus
109,Schmutz::N,ტალახი,pori
110,Schmutz::N,ტალახი,mustus
111,See::N,ტბა,järv
112,Sumpf::N,ჭაობი,soo
113,Moor::N,ტორფნარი,raba
114,Wiese::N,ველი,aas
115,Wiese::N,ველი,nurm
116,Wiese::N,მდელო,aas
117,Wiese::N,მდელო,nurm
118,Wald::N,ტყე,mets
119,Hügel::N,ბორცვი,küngas
120,Anhöhe::N,მაღლობი,küngas
121,Berg::N,მთა,mägi
122,Gipfel::N,მწვერვალი,mäetipp
123,Höhle::N,მღვიმე,koobas
124,Höhle::N,გამოქვებული,koobas
125,Abhang::N,ფერდობი,nõlvak
126,Quelle::N,წყარო,allikas
127,Quelle::N,სათავე,allikas
128,Bach::N,რუ,oja
129,Bach::N,ნაკადული,oja
130,Fluss::N,მდინარე,jõgi
131,Ufer::N,კიდე,kallas
132,Ufer::N,ნაპირი,kallas
133,Küste::N,ნაპირი,rannik
134,Festland::N,ხმელეთი,mander
135,Festland::N,ხმელეთი,maismaa
136,Meer::N,ზღვა,meri
137,Bucht::N,ყურე,laht
138,Insel::N,კუნძული,saar
139,Blume::N,ყვავილი,lill
140,Gras::N,ბალახი,rohi
141,Wurzel::N,ძირი,juur
142,Wurzel::N,ფესვი,juur
143,Baum::N,ხე,puu
144,Stamm::N,ტანი,tüvi
145,Rinde::N,ქერქი,koor
146,Ast::N,ტოტი,oks
147,Zweig::N,შტო,oks
148,Blatt::N,ფოთოლი,leht
149,Birke::N,არყი,kask
150,Kiefer[Baum]::N,ფიჭვი,mänd
151,Weide[Baum]::N,ტირიფი,paju
152,Tanne::N,ნაძვი,nulg
153,Horn::N,რქა,sarv
154,Feder::N,ფრთა,sulg
155,Fell::N,ტყავი,karvkate
156,Fell::N,ტყავი,karusnahk
157,Flügel::N,ფრთა,tiib
158,Flügel::N,ფრთა,tiivik
159,Klaue::N,კლანჭი,küüs
160,Kralle::N,ტორი,küünis
161,Schwanz::N,კუდი,saba
162,Ei::N,კვერცხი,muna
163,Nest::N,ბუდე,pesa
164,Bau::N,სორო,urg
165,Tier::N,ნადირი,loom
166,Tier::N,ცხოველი,loom
167,Herde::N,ფარა,kari
168,Kuh::N,ფური,lehm
169,Kuh::N,ძროხა,lehm
170,Bulle::N,ხარი,pull
171,Pferd::N,რაში,hobune
172,Pferd::N,ცხენი,hobune
173,Schaf::N,ცხვარი,lammas
174,Schwein::N,ღორი,siga
175,Hund::N,ძაღლი,koer
176,Katze::N,კატა,kass
177,Bär::N,დათვი,karu
178,Eichhörnchen::N,ციყვი,orav
179,Elch::N,ცხენ-ირემი,põder
180,Fuchs::N,მელა,rebane
181,Hase::N,კურდღელი,jänes
182,Maus::N,თაგვი,hiir
183,Wolf::N,მგელი,hunt
184,Vogel::N,ჩიტი,lind
185,Vogel::N,ფრინველი,lind
186,Schwarm::N,გუნდი,parv
187,Huhn::N,დედალი,kana
188,Hahn::N,მამალი,kukk
189,Gans::N,ბატი,hani
190,Adler::N,არწივი,kotkas
191,Ente::N,იხვი,part
192,Eule::N,ბუ,kakk
193,Eule::N,ბუ,öökull
194,Kranich::N,წერო,kurg
195,Krähe::N,ყვავი,vares
196,Kuckuck::N,გუგული,kägu
197,Schwan::N,გედი,luik
198,Fisch::N,თევზი,kala
199,Barsch::N,ქორჭილა,ahven
200,Hecht::N,ქარიყლაპია,haug
201,Schlange[Tier]::N,გველი,uss
202,Wurm::N,ჭია,uss
203,Wurm::N,ჭია,vagel
204,Spinne::N,ობობა,ämblik
205,Ameise::N,ჭიანჭველა,sipelgas
206,Laus::N,ტილი,täi
207,Laus::N,მკბენარი,täi
208,Mücke::N,კოღო,sääsk
209,Fliege::N,ბუზი,kärbes
210,Schmetterling::N,პეპელა,liblikas
211,Beere::N,კენკრა,mari
212,Apfel::N,ვაშლი,õun
213,Pilz::N,სოკო,seen
214,Zwiebel::N,ხახვი,sibul
215,Saat::N,თესლი,seeme
216,Korn::N,მარცვალი,iva
217,Korn::N,მარცვალი,tera
218,Heu::N,თივა,hein
219,Schale::N,ჩენჩო,koor
220,Grube::N,ორმო,kaevand
221,Falle::N,ხაფანგი,lõks
222,Falle::N,ხაფანგი,püünis
223,Schlinge::N,მახე,aas
224,Spur::N,კვალი,jälg
225,Asche::N,ფერფლი,tuhk
226,Dreck::N,ტალახი,saast
227,Dreck::N,ტალახი,mustus
228,Dreck::N,სიბინძურე,saast
229,Dreck::N,სიბინძურე,mustus
230,Eisen::N,რკინა,raud
231,Gold::N,ოქრო,kuld
