,Concept_ID,nl,vep
0,Auge::N,oog,sil'm
1,Ohr::N,oor,korv
2,Nase::N,neus,nena
3,Mund::N,mond,su
4,Zahn::N,tand,pi
5,Zahn::N,tand,hambaz
6,Zunge::N,tong,kel'
7,Lippe::N,lip,hul'
8,Wange::N,wang,modpolišk
9,Gesicht::N,gelaat,mod
10,Gesicht::N,gezicht,mod
11,Stirn::N,voorhoofd,oc
12,Haar::N,haar,tuk
13,Haar::N,haar,hibuz
14,Schnurrbart::N,snor,habinod
15,Bart::N,baard,bard
16,Kinn::N,kin,löug
17,Kiefer[Anatomie]::N,kaak,hambazlu
18,Kehle::N,keel,kurk
19,Kehle::N,strot,kurk
20,Hals::N,hals,kagl
21,Genick::N,nek,tagarai
22,Kopf::N,hoofd,pä
23,Rücken::N,rug,sel'g
24,Bauch::N,buik,vac
25,Bauch::N,buik,koht
26,Nabel::N,navel,naba
27,Busen::N,boezem,niža
28,Brust::N,borst,rind
29,Schulter::N,schouder,oug
30,Arm::N,arm,käzi
31,Ellenbogen::N,elleboog,künambruz
32,Hand::N,hand,käzi
33,Hand::N,hand,käzitera
34,Handfläche::N,handpalm,kämen
35,Finger::N,vinger,sor'm
36,Fingernagel::N,nagel,künz'
37,Nagel[Anatomie]::N,nagel,künz'
38,Zeh::N,teen,barbaz
39,Fuß::N,voet,jaug
40,Ferse::N,hak,kand
41,Ferse::N,hiel,kand
42,Knie::N,knie,komb
43,Knie::N,knie,pol'v
44,Oberschenkel::N,dij,riiže
45,Bein::N,been,jaug
46,Körper::N,lichaam,hibj
47,Haut::N,huid,nahk
48,Blut::N,bloed,čak
49,Blut::N,bloed,veri
50,Ader::N,ader,son'
51,Sehne::N,pees,jände
52,Knochen::N,bot,lu
53,Knochen::N,been,lu
54,Knochen::N,knook,lu
55,Gehirn::N,hersenen,aivod
56,Herz::N,hart,südäin
57,Magen::N,maag,südäikoht
58,Leber::N,lever,maks
59,Atem::N,adem,hengaiduz
60,Hunger::N,honger,näl'g
61,Träne::N,traan,kündal'
62,Geschmack::N,smaak,magu
63,Geruch::N,geur,haju
64,Schlaf::N,slaap,uni
65,Traum::N,droom,unikuva
66,Himmel::N,hemel,taivaz
67,Sonne::N,zon,päiväine
68,Mond::N,maan,kudmaine
69,Stern::N,ster,tähtaz
70,Luft::N,lucht,il'm
71,Wind::N,wind,döl
72,Wind::N,wind,tullei
73,Welle::N,golf,ald
74,Welle::N,golf,laineh
75,Wasser::N,water,vezi
76,Stein::N,steen,kivi
77,Boden::N,grond,ma
78,Boden::N,grond,pohj
79,Erde::N,aarde,ma
80,Staub::N,stof,pölü
81,Rauch::N,rook,savu
82,Funke::N,vonk,kibin
83,Feuer::N,vuur,lämoi
84,Licht::N,licht,vauktuz
85,Schatten::N,schaduw,pil'vez
86,Schatten::N,schaduw,kuvahaine
87,Wetter::N,weer,sä
88,Nebel::N,mist,sumeg
89,Nebel::N,nevel,sumeg
90,Wolke::N,wolk,pil'v
91,Regen::N,regen,vihm
92,Schnee::N,sneeuw,lumi
93,Eis::N,ijs,jä
94,Frost::N,vorst,hala
95,Frost::N,vorst,pakaine
96,Kälte::N,kou,vilu
97,Kälte::N,koude,vilu
98,Hitze::N,hitte,räk
99,Raureif::N,rijp,hüde
100,Regenbogen::N,regenboog,jumalanbembel'
101,Donner::N,donder,juru
102,Donner::N,donder,jumalanjuru
103,Strömung::N,stroming,joksmuz
104,Tropfen::N,druppel,tilkuine
105,Schaum::N,schuim,vaht
106,Schmutz::N,vuil,redu
107,Schmutz::N,vuil,pačak
108,See::N,meer,järv
109,Sumpf::N,moeras,so
110,Moor::N,veen,so
111,Wiese::N,wei,nit
112,Wiese::N,weide,nit
113,Wald::N,bos,mec
114,Hügel::N,heuvel,kukaz
115,Anhöhe::N,hoogte,kukaz
116,Berg::N,berg,mägi
117,Gipfel::N,top,ladv
118,Höhle::N,hol,mägionduz
119,Abhang::N,helling,paute
120,Quelle::N,bron,lähte
121,Bach::N,beek,oja
122,Fluss::N,stroom,jogi
123,Ufer::N,wal,rand
124,Ufer::N,oever,rand
125,Küste::N,kust,randišt
126,Festland::N,vasteland,kuivma
127,Meer::N,zee,meri
128,Bucht::N,baai,laht
129,Bucht::N,inham,laht
130,Insel::N,eiland,sar'
131,Blume::N,bloem,änik
132,Gras::N,gras,hein
133,Wurzel::N,wortel,jur'
134,Baum::N,boom,pu
135,Stamm::N,stam,tüvi
136,Rinde::N,schors,kor'
137,Ast::N,tak,oks
138,Zweig::N,twijg,oks
139,Zweig::N,twijg,barb
140,Blatt::N,blad,lehtez
141,Birke::N,berk,koiv
142,Kiefer[Baum]::N,den,pedai
143,Weide[Baum]::N,wilg,raid
144,Tanne::N,spar,kuz'
145,Horn::N,hoorn,sar'v
146,Feder::N,veer,höuneh
147,Feder::N,pluim,höuneh
148,Fell::N,vel,nahk
149,Flügel::N,vleugel,suug
150,Klaue::N,klauw,künz'
151,Kralle::N,klauw,künz'
152,Schwanz::N,staart,händ
153,Ei::N,ei,muna
154,Nest::N,nest,peza
155,Bau::N,hol,uru
156,Tier::N,dier,živat
157,Herde::N,kudde,kogo
158,Kuh::N,koe,lehm
159,Bulle::N,stier,härg
160,Pferd::N,paard,hebo
161,Schaf::N,schaap,lambaz
162,Schwein::N,varken,siga
163,Hund::N,hond,koir
164,Katze::N,kat,kaži
165,Bär::N,beer,kondi
166,Eichhörnchen::N,eekhoorntje,orav
167,Elch::N,eland,hirb'
168,Fuchs::N,vos,reboi
169,Hase::N,haas,jäniš
170,Maus::N,muis,hir'
171,Wolf::N,wolf,händikaz
172,Vogel::N,vogel,lind
173,Schwarm::N,zwerm,parveh
174,Huhn::N,kip,kana
175,Huhn::N,hoen,kana
176,Hahn::N,haan,kukoi
177,Gans::N,gans,hanh'
178,Adler::N,arend,orl
179,Ente::N,eend,sorz
180,Eule::N,uil,hir'pulo
181,Kranich::N,kraanvogel,kurg
182,Krähe::N,kraai,variš
183,Kuckuck::N,koekoek,kägi
184,Schwan::N,zwaan,joucen
185,Fisch::N,vis,kala
186,Barsch::N,baars,ahven
187,Hecht::N,snoek,haug'
188,Schlange[Tier]::N,slang,kü
189,Schlange[Tier]::N,slang,mado
190,Wurm::N,worm,mado
191,Spinne::N,spin,hämähouk
192,Ameise::N,mier,murahaine
193,Laus::N,luis,täi
194,Mücke::N,mug,säs'k
195,Fliege::N,vlieg,kärbhaine
196,Schmetterling::N,vlinder,lipkaine
197,Beere::N,bes,marj
198,Apfel::N,appel,jablok
199,Pilz::N,paddestoel,sen'
200,Pilz::N,paddestoel,babuk
201,Zwiebel::N,ui,lauk
202,Saat::N,zaad,semned
203,Korn::N,graan,jüvä
204,Korn::N,graan,vill'
205,Korn::N,korrel,jüvä
206,Korn::N,korrel,vill'
207,Heu::N,hooi,hein
208,Schale::N,schil,kor'
209,Grube::N,kuil,kop
210,Falle::N,val,rida
211,Schlinge::N,strop,rihm
212,Spur::N,spoor,jäl'g
213,Asche::N,as,tuhk
214,Dreck::N,drek,redu
215,Dreck::N,drek,pačak
216,Eisen::N,ijzer,raud
217,Gold::N,goud,kuld
218,Silber::N,zilver,hobed
219,Kohle::N,kool,hil'
220,Glas::N,glas,stökol
221,Lehm::N,klei,savi
222,Sand::N,zand,lete
223,Mensch::N,mens,mez'
224,Mensch::N,mens,ristit
225,Mann::N,man,mez'
226,Frau::N,vrouw,naine
227,Kind::N,kind,laps'
228,Junge::N,jongen,poig
229,Junge::N,jongen,prihaine
230,Mädchen::N,meisje,neičukaine
231,Familie::N,gezin,kanz
232,Familie::N,gezin,pereh
233,Familie::N,familie,kanz
234,Familie::N,familie,pereh
235,Großvater::N,grootvader,ded
236,Großmutter::N,grootmoeder,bab
237,Eltern::N,ouders,vanhembad
238,Eltern::N,ouders,kazvatajad
239,Vater::N,vader,tat
240,Mutter::N,moeder,mam
241,Sohn::N,zoon,poig
242,Tochter::N,dochter,tütär
243,Bruder::N,broer,veik
244,Bruder::N,broer,vell'
245,Bruder::N,broeder,veik
246,Bruder::N,broeder,vell'
247,Schwester::N,zus,čiža
248,Schwester::N,zus,sizar
249,Schwester::N,zuster,čiža
250,Schwester::N,zuster,sizar
251,Onkel::N,oom,däd'
252,Tante::N,tante,tädi
253,Ehemann::N,echtgenoot,mužik
254,Ehefrau::N,echtgenote,ak
