,Concept_ID,ro,ja
0,Auge::N,ochi,目
1,Ohr::N,ureche,耳
2,Nase::N,nas,鼻
3,Mund::N,gură,口
4,Zahn::N,dinte,歯
5,Zunge::N,limbă,舌
6,Lippe::N,buză,唇
7,Wange::N,bucă,頬
8,Wange::N,obraz,頬
9,Gesicht::N,față,顔
10,Gesicht::N,figură,顔
11,Stirn::N,frunte,額
12,Haar::N,păr,髪
13,Schnurrbart::N,mustață,口髭
14,Bart::N,barbă,髭
15,Kinn::N,bărbie,顎
16,Kiefer[Anatomie]::N,falcă,顎
17,Kehle::N,beregată,喉
18,Hals::N,gât,首
19,Genick::N,ceafă,首
20,Kopf::N,cap,頭
21,Rücken::N,dos,背中
22,Rücken::N,spate,背中
23,Rücken::N,spinare,背中
24,Bauch::N,burtă,腹
25,Bauch::N,burtă,お腹
26,Bauch::N,pântece,腹
27,Bauch::N,pântece,お腹
28,Nabel::N,buric,へそ
29,Busen::N,sân,乳房
30,Brust::N,piept,胸
31,Schulter::N,umăr,肩
32,Schulter::N,spate,肩
33,Arm::N,braț,腕
34,Ellenbogen::N,cot,肘
35,Hand::N,mână,手
36,Handfläche::N,palmă,手のひら
37,Finger::N,deget,指
38,Fingernagel::N,unghie,爪
39,Nagel[Anatomie]::N,unghie,爪
40,Zeh::N,deget de la picior,足の指
41,Fuß::N,picior,足
42,Ferse::N,călcâi,かかと
43,Knie::N,genunchi,膝
44,Oberschenkel::N,coapsă,上腿
45,Bein::N,picior,足
46,Körper::N,corp,体
47,Haut::N,piele,皮膚
48,Blut::N,sânge,血
49,Ader::N,vână,血管
50,Ader::N,arteră,血管
51,Sehne::N,tendon,腱
52,Knochen::N,os,骨
53,Gehirn::N,creier,脳
54,Herz::N,inimă,心
55,Herz::N,inimă,心臓
56,Magen::N,stomac,胃
57,Leber::N,ficat,肝臓
58,Atem::N,răsuflare,息
59,Atem::N,răsuflare,呼吸
60,Atem::N,respirație,息
61,Atem::N,respirație,呼吸
62,Hunger::N,foame,空腹
63,Träne::N,lacrimă,涙
64,Geschmack::N,gust,味
65,Geruch::N,miros,匂い
66,Schlaf::N,somn,睡眠
67,Traum::N,vis,夢
68,Himmel::N,cer,空
69,Sonne::N,soare,太陽
70,Mond::N,lună,月
71,Stern::N,stea,星
72,Luft::N,aer,空気
73,Wind::N,vânt,風
74,Welle::N,val,波
75,Welle::N,undă,波
76,Wasser::N,apă,水
77,Stein::N,piatră,石
78,Boden::N,sol,土地
79,Boden::N,pământ,土地
80,Erde::N,pământ,土
81,Staub::N,praf,埃
82,Rauch::N,fum,煙
83,Funke::N,scânteie,火花
84,Feuer::N,foc,火
85,Licht::N,lumină,光
86,Schatten::N,umbră,陰
87,Wetter::N,timp,天気
88,Wetter::N,vreme,天気
89,Nebel::N,ceață,霧
90,Nebel::N,negură,霧
91,Wolke::N,nor,雲
92,Regen::N,ploaie,雨
93,Schnee::N,zăpadă,雪
94,Eis::N,gheață,氷
95,Frost::N,ger,霜
96,Kälte::N,frig,寒さ
97,Hitze::N,arșiță,暑さ
98,Hitze::N,căldură,暑さ
99,Raureif::N,chiciură,霧氷
100,Regenbogen::N,curcubeu,虹
101,Donner::N,tunet,雷
102,Strömung::N,curent,流れ
103,Tropfen::N,picătură,滴
104,Schaum::N,spumă,泡
105,Schmutz::N,murdărie,汚れ
106,See::N,lac,湖
107,Sumpf::N,mlaștină,沼
108,Moor::N,bărăgan,湿原
109,Wiese::N,fânaț,草原
110,Wiese::N,livadă,草原
111,Wald::N,codru,森
112,Wald::N,pădure,森
113,Hügel::N,deal,丘
114,Hügel::N,movilă,丘
115,Anhöhe::N,deal,高み
116,Anhöhe::N,ridicătură,高み
117,Berg::N,munte,山
118,Gipfel::N,pisc,頂上
119,Höhle::N,peșteră,洞窟
120,Abhang::N,pantă,斜面
121,Abhang::N,versant,斜面
122,Quelle::N,izvor,泉
123,Bach::N,gârlă,小川
124,Fluss::N,râu,川
125,Fluss::N,fluviu,川
126,Ufer::N,mal,岸
127,Ufer::N,țărm,岸
128,Küste::N,coastă,海岸
129,Festland::N,uscat,陸
130,Meer::N,mare,海
131,Bucht::N,golf,湾
132,Insel::N,insulă,島
133,Blume::N,floare,花
134,Gras::N,iarbă,草
135,Wurzel::N,rădăcină,根
136,Baum::N,copac,木
137,Baum::N,arbore,木
138,Stamm::N,tulpină,幹
139,Rinde::N,scoarță,皮層
140,Ast::N,cracă,枝
141,Ast::N,creangă,枝
142,Zweig::N,ramură,小枝
143,Zweig::N,creangă,小枝
