,Concept_ID,bn,bn
0,Auge::N,চক্ষু,চক্ষু
1,Ohr::N,কর্ণ,কর্ণ
2,Nase::N,নাক,নাক
3,Mund::N,মুখ,মুখ
4,Zahn::N,দাঁত,দাঁত
5,Zunge::N,জিহবা,জিহবা
6,Lippe::N,অধর,অধর
7,Wange::N,গণ্ড,গণ্ড
8,Gesicht::N,মুখমণ্ডল,মুখমণ্ডল
9,Stirn::N,কপাল,কপাল
10,Haar::N,চুল,চুল
11,Schnurrbart::N,গোঁফ,গোঁফ
12,Bart::N,শ্মশ্রু,শ্মশ্রু
13,Kinn::N,চিবুক,চিবুক
14,Kiefer[Anatomie]::N,চোয়াল,চোয়াল
15,Kehle::N,কণ্ঠ,কণ্ঠ
16,Hals::N,গল,গল
17,Genick::N,ঘাড়,ঘাড়
18,Kopf::N,মাথা,মাথা
19,Rücken::N,পৃষ্ঠ,পৃষ্ঠ
20,Bauch::N,উদর,উদর
21,Nabel::N,নাভি,নাভি
22,Busen::N,স্তন,স্তন
23,Brust::N,বুক,বুক
24,Schulter::N,স্কন্ধ,স্কন্ধ
25,Arm::N,বাহু,বাহু
26,Ellenbogen::N,কনুই,কনুই
27,Hand::N,হাত,হাত
28,Handfläche::N,করতল,করতল
29,Finger::N,আঙ্গুল,আঙ্গুল
30,Fingernagel::N,হাতের নখ,হাতের নখ
31,Nagel[Anatomie]::N,নখ,নখ
32,Zeh::N,আঙ্গুল,আঙ্গুল
33,Fuß::N,পা,পা
34,Ferse::N,গোড়ালি,গোড়ালি
35,Knie::N,হাঁটু,হাঁটু
36,Oberschenkel::N,ঊরু,ঊরু
37,Bein::N,পা,পা
38,Körper::N,দেহ,দেহ
39,Haut::N,ত্বক,ত্বক
40,Blut::N,রক্ত,রক্ত
41,Ader::N,শিরা,শিরা
42,Sehne::N,কণ্ডরা,কণ্ডরা
43,Knochen::N,অস্থি,অস্থি
44,Gehirn::N,মস্তিষ্ক,মস্তিষ্ক
45,Herz::N,হৃৎপিণ্ড,হৃৎপিণ্ড
46,Magen::N,পাকস্থলী,পাকস্থলী
47,Leber::N,যকৃৎ,যকৃৎ
48,Atem::N,শ্বাস,শ্বাস
49,Hunger::N,ক্ষুধা,ক্ষুধা
50,Träne::N,অশ্রু,অশ্রু
51,Geschmack::N,স্বাদ,স্বাদ
52,Geruch::N,গন্ধ,গন্ধ
53,Schlaf::N,ঘুম,ঘুম
54,Traum::N,স্বপ্ন,স্বপ্ন
55,Himmel::N,আকাশ,আকাশ
56,Sonne::N,সূর্য,সূর্য
57,Mond::N,চন্দ্র,চন্দ্র
58,Stern::N,নক্ষত্র,নক্ষত্র
59,Luft::N,বায়ু,বায়ু
60,Wind::N,বাতাস,বাতাস
61,Welle::N,ঢেউ,ঢেউ
62,Welle::N,ঢেউ,তরঙ্গ
63,Welle::N,তরঙ্গ,ঢেউ
64,Welle::N,তরঙ্গ,তরঙ্গ
65,Wasser::N,জল,জল
66,Stein::N,ঢিল,ঢিল
67,Stein::N,ঢিল,প্রস্তর
68,Stein::N,প্রস্তর,ঢিল
69,Stein::N,প্রস্তর,প্রস্তর
70,Boden::N,ভূতল,ভূতল
71,Erde::N,ভূমি,ভূমি
72,Staub::N,ধুলা,ধুলা
73,Rauch::N,ধোঁয়া,ধোঁয়া
74,Funke::N,স্ফুলিঙ্গ,স্ফুলিঙ্গ
75,Feuer::N,অগ্নি,অগ্নি
76,Licht::N,আলো,আলো
77,Schatten::N,ছায়া,ছায়া
78,Wetter::N,আবহাওয়া,আবহাওয়া
79,Nebel::N,কুহেলিকা,কুহেলিকা
80,Wolke::N,মেঘ,মেঘ
81,Regen::N,বৃষ্টি,বৃষ্টি
82,Schnee::N,তুষার,তুষার
83,Eis::N,বরফ,বরফ
84,Frost::N,তুষার,তুষার
85,Kälte::N,শৈত্য,শৈত্য
86,Hitze::N,তাপ,তাপ
87,Raureif::N,তুহিন,তুহিন
88,Regenbogen::N,রামধনু,রামধনু
89,Donner::N,বজ্রধ্বনি,বজ্রধ্বনি
90,Strömung::N,স্রোত,স্রোত
91,Tropfen::N,ফোঁটা,ফোঁটা
92,Schaum::N,ফেনা,ফেনা
93,Schmutz::N,ধুলা,ধুলা
94,See::N,হ্রদ,হ্রদ
95,Sumpf::N,জলা,জলা
96,Moor::N,মাঠ,মাঠ
97,Wiese::N,তৃণভূমি,তৃণভূমি
98,Wald::N,বন,বন
99,Hügel::N,পাহাড়,পাহাড়
100,Anhöhe::N,টিলা,টিলা
101,Berg::N,পর্বত,পর্বত
102,Gipfel::N,শীর্ষ,শীর্ষ
103,Höhle::N,গুহা,গুহা
104,Abhang::N,ঢাল,ঢাল
105,Quelle::N,উৎস,উৎস
106,Bach::N,ক্ষুদ্র নদী,ক্ষুদ্র নদী
107,Fluss::N,নদী,নদী
108,Ufer::N,উপকূল,উপকূল
109,Küste::N,তীর,তীর
110,Festland::N,ভূমি,ভূমি
111,Meer::N,সমুদ্র,সমুদ্র
112,Bucht::N,উপসাগর,উপসাগর
113,Insel::N,দ্বীপ,দ্বীপ
114,Blume::N,ফুল,ফুল
115,Gras::N,ঘাস,ঘাস
116,Wurzel::N,শিকড়,শিকড়
117,Baum::N,গাছ,গাছ
118,Stamm::N,স্কন্ধ,স্কন্ধ
119,Rinde::N,বল্কল,বল্কল
120,Ast::N,শাখা,শাখা
121,Zweig::N,ডাল,ডাল
122,Blatt::N,পর্ণ,পর্ণ
123,Birke::N,ভুর্জ,ভুর্জ
124,Kiefer[Baum]::N,পাইন গাছ,পাইন গাছ
125,Weide[Baum]::N,উইলো,উইলো
126,Tanne::N,দেবদারূ গাছ,দেবদারূ গাছ
127,Horn::N,শিং,শিং
128,Feder::N,পালক,পালক
129,Fell::N,রোম,রোম
130,Flügel::N,ডানা,ডানা
131,Klaue::N,নখর,নখর
132,Kralle::N,নখর,নখর
133,Schwanz::N,লেজ,লেজ
134,Ei::N,ডিম,ডিম
135,Nest::N,কুলায়,কুলায়
136,Bau::N,ডেরা,ডেরা
137,Tier::N,জন্তু,জন্তু
138,Herde::N,ঝাঁক,ঝাঁক
139,Kuh::N,গোরু,গোরু
140,Bulle::N,বৃষ,বৃষ
141,Pferd::N,ঘোড়া,ঘোড়া
142,Schaf::N,ভেড়া,ভেড়া
143,Schwein::N,শূকর,শূকর
144,Hund::N,কুকুর,কুকুর
145,Katze::N,বেড়াল,বেড়াল
146,Bär::N,ভল্লুক,ভল্লুক
