,Concept_ID,sah,mn
0,Auge::N,харах,нүд
1,Ohr::N,кулгаах,чих
2,Nase::N,мурун,хамар
3,Mund::N,айах,ам
4,Zahn::N,тиис,шүд
5,Zunge::N,тыл,хэл
6,Lippe::N,уос,уруул
7,Wange::N,иэдэс,хацар
8,Gesicht::N,сирэй,царай
9,Gesicht::N,сирэй,нүүр
10,Stirn::N,сүүс,дух
11,Haar::N,баттах,үс
12,Schnurrbart::N,уос бытыга,дээд сахал
13,Schnurrbart::N,уос бытыга,живэр сахал
14,Bart::N,сэҥийэ бытыга,сахал
15,Kinn::N,сэҥийэ,эрүү
16,Kiefer[Anatomie]::N,сыҥаах,эрүү
17,Kehle::N,тамах,хоолой
18,Kehle::N,күөмэй,хоолой
19,Hals::N,моой,хүзүү
20,Genick::N,кэтэх,шил
21,Genick::N,кэтэх,хүзүү
22,Kopf::N,бас,толгой
23,Rücken::N,көҕүс,ар
24,Rücken::N,көҕүс,нуруу
25,Bauch::N,ис,хэвлий
26,Bauch::N,ис,гэдэс
27,Nabel::N,киин,хүйс
28,Busen::N,эмиий,хөх
29,Brust::N,түөс,цээж
30,Schulter::N,сарын,мөр
31,Schulter::N,сарын,бугалга
32,Arm::N,илии,гар
33,Ellenbogen::N,тоҕонох,тохой
34,Hand::N,илии,гар
35,Hand::N,илии,алга
36,Handfläche::N,ытыс,алга
37,Finger::N,тарбах,хуруу
38,Fingernagel::N,тыҥырах,хурууны хумс
39,Nagel[Anatomie]::N,тыҥырах,хумс
40,Zeh::N,тарбах,хуруу
41,Fuß::N,уллуҥах,хөл
42,Ferse::N,тилэх,өсгий
43,Knie::N,тобук,өвдөг
44,Knie::N,дьилбэк,өвдөг
45,Oberschenkel::N,уллук,гуя
46,Oberschenkel::N,өттүк,гуя
47,Bein::N,атах,хөл
48,Körper::N,бэйэ,бие
49,Haut::N,тирии,арьс
50,Blut::N,хаан,цус
51,Ader::N,вена,судас
52,Ader::N,күөх_тымыр,судас
53,Sehne::N,иҥиир,бүлх
54,Sehne::N,иҥиир,шандас
55,Knochen::N,уҥуох,яс
56,Knochen::N,уҥгуох,яс
57,Gehirn::N,мэйии,тархи
58,Herz::N,сүрэх,зүрх
59,Magen::N,куртах,ходоод
60,Leber::N,быар,элэг
61,Atem::N,тыын,амьсгаа
62,Hunger::N,аас,өлсгөлөн
63,Träne::N,харах уута,нулимс
64,Geschmack::N,амтан,амт
65,Geruch::N,сыт,үнэр
66,Schlaf::N,утуйуу,нойр
67,Traum::N,түүл,зүүд
68,Himmel::N,халлаан,тэнгэр
69,Himmel::N,халлаан,огторгуй
70,Sonne::N,күн,нар
71,Mond::N,ый,сар
72,Stern::N,сулус,од
73,Luft::N,салгын,агаар
74,Wind::N,тыал,салхи
75,Welle::N,долгун,долгио
76,Welle::N,долгун,давалгаа
77,Welle::N,балхаан,долгио
78,Welle::N,балхаан,давалгаа
79,Wasser::N,уу,ус
80,Stein::N,таас,чулуу
81,Boden::N,сир,хөрс
82,Erde::N,буор,газар
83,Erde::N,буор,шороо
84,Staub::N,быыл,тоос
85,Rauch::N,буруо,утаа
86,Funke::N,кыым,оч
87,Feuer::N,уот,гал
88,Licht::N,уот,гэрэл
89,Licht::N,уот,гэгээ
90,Schatten::N,күлүк,сүүдэр
91,Wetter::N,күн-дьыл,тэнгэр
92,Wetter::N,күн-дьыл,цаг уур
93,Nebel::N,туман,будан
94,Wolke::N,былыт,үүл
95,Regen::N,самыыр,бороо
96,Schnee::N,хаар,цас
97,Eis::N,муус,мөс
98,Frost::N,тымныы,хүйт
99,Kälte::N,тымныы,хүйт
100,Hitze::N,куйаас,халуун
101,Raureif::N,кырыа,цан
102,Raureif::N,кырыа,хяруу
103,Regenbogen::N,кустук,солонго
104,Donner::N,этиҥ,тэнгэрийн дуу
105,Strömung::N,сүүрүк,урсгал
106,Tropfen::N,таммах,дусал
107,Tropfen::N,хааппыла,дусал
108,Schaum::N,күүгэн,хөөс
109,Schmutz::N,кир,хир
110,Schmutz::N,кир,шавхай
111,See::N,күөл,нуур
112,Sumpf::N,бадараан,намаг
113,Sumpf::N,бадараан,балчиг
114,Moor::N,дьэбэрэ,хүлрийн намаг
115,Wiese::N,ходуһа,нуга
116,Wald::N,ойуур,ой
117,Hügel::N,булгунньах,болдог
118,Anhöhe::N,үрдэл,гүвээ
119,Berg::N,хайа,уул
120,Gipfel::N,чыпчаал,орой
121,Gipfel::N,чыпчаал,оргил
122,Höhle::N,хайа_хаспаҕа,агуй
123,Höhle::N,көҥүс,агуй
124,Abhang::N,эниэ,хүр
125,Quelle::N,дьүүктэ,булаг
126,Bach::N,үрүйэ,горхи
127,Fluss::N,өрүс,гол
128,Fluss::N,өрүс,мөрөн
129,Ufer::N,биэрэк,эрэг
130,Küste::N,кытыл,эрэг
131,Festland::N,кураанах сир,хуурай газар
132,Meer::N,муора,далай
133,Meer::N,муора,тэнгис
134,Bucht::N,хомо,булан
135,Bucht::N,хомо,далайн тохой
136,Bucht::N,бухта,булан
137,Bucht::N,бухта,далайн тохой
138,Insel::N,арыы,арал
139,Blume::N,сибэкки,цэцэг
140,Gras::N,от,өвс
141,Gras::N,от,ногоо
142,Wurzel::N,силис,үндэс
143,Baum::N,мас,мод
144,Stamm::N,умнас,иш
145,Stamm::N,умнас,гуалин
146,Rinde::N,хатырык,холтос
147,Ast::N,мутук,гишүү
148,Zweig::N,лабаа,салаа
149,Blatt::N,сэбирдэх,навч
150,Birke::N,хатыҥ,хус
151,Kiefer[Baum]::N,бэс,нарс
152,Weide[Baum]::N,үөт,уд
153,Weide[Baum]::N,үөт,бургас
154,Weide[Baum]::N,талах,уд
155,Weide[Baum]::N,талах,бургас
156,Tanne::N,харыйа,гачуур
157,Horn::N,муос,эвэр
158,Feder::N,куорсун,өд
159,Fell::N,тирии,арьс
160,Flügel::N,кынат,жигүүр
161,Flügel::N,кынат,далавч
162,Klaue::N,тыҥырах,савар
163,Klaue::N,тыҥырах,хумс
164,Kralle::N,баппаҕай,савар
165,Schwanz::N,кутурук,сүүл
166,Ei::N,сымыыт,өндөг
167,Nest::N,уйа,үүр
168,Bau::N,хороон,нүх
169,Bau::N,хороон,элүү
170,Tier::N,кыыл,амьтан
171,Tier::N,кыыл,адгуус
172,Tier::N,харамай,амьтан
173,Tier::N,харамай,адгуус
174,Herde::N,үөр,сүрэг
175,Kuh::N,ынах,үнээ
176,Bulle::N,оҕус,бух
177,Pferd::N,сылгы,морь
178,Pferd::N,сылгы,адуу
179,Schaf::N,овца,хонь
180,Schwein::N,сибиинньэ,гахай
181,Hund::N,ыт,нохой
182,Katze::N,куоска,муур
183,Katze::N,куоска,мигуй
184,Bär::N,эһэ,баавгай
185,Eichhörnchen::N,тииҥ,хэрэм
186,Elch::N,тайах,хандгай
187,Fuchs::N,саһыл,үнэг
188,Hase::N,куобах,туулай
189,Maus::N,кутуйах,хулгана
190,Wolf::N,бөрө,чоно
191,Vogel::N,көтөр,шувуу
192,Schwarm::N,бөлөх,сүрэг
193,Huhn::N,куурусса,тахиа
194,Hahn::N,бөтүүк,эр тахиа
195,Gans::N,хаас,галуу
196,Adler::N,хотой,бүргэд
197,Ente::N,кус,нугас
198,Eule::N,мэкчиргэ,ууль
199,Kranich::N,туруйа,тогоруу
200,Krähe::N,тураах,хэрээ
201,Kuckuck::N,кэҕэ,хөхөө
202,Schwan::N,куба,хун
203,Fisch::N,балык,загас
204,Barsch::N,алыһар,алгана
205,Hecht::N,сордон,цурхай
206,Schlange[Tier]::N,моҕой,могой
207,Schlange[Tier]::N,эриэн үөн,могой
208,Wurm::N,үөн,өт
209,Wurm::N,үөн,хорхой
210,Spinne::N,ооҕуй,аалз
211,Ameise::N,кымырдаҕас,шоргоолж
212,Laus::N,быт,бөөс
213,Mücke::N,кумаар,шумуул
214,Fliege::N,сахсырҕа,ялаа
215,Schmetterling::N,лыах,эрвээхэй
