,Concept_ID,kk,it
0,Auge::N,көз,occhio
1,Ohr::N,құлақ,orecchio
2,Nase::N,мұрын,naso
3,Mund::N,ауыз,bocca
4,Zahn::N,тіс,dente
5,Zunge::N,тіл,lingua
6,Lippe::N,ерін,labbro
7,Wange::N,ұрт,guancia
8,Gesicht::N,бет-аузы,viso
9,Gesicht::N,бет-аузы,faccia
10,Stirn::N,маңдай,fronte
11,Haar::N,қыл,capello
12,Schnurrbart::N,мұрт,baffi
13,Schnurrbart::N,мұрт,mustacchi
14,Bart::N,сақал,barba
15,Kinn::N,иек,mento
16,Kiefer[Anatomie]::N,жақ,mascella
17,Kehle::N,алқым,gola
18,Hals::N,мойын,collo
19,Genick::N,желке,nuca
20,Kopf::N,кәллә,capo
21,Kopf::N,кәллә,testa
22,Rücken::N,арқа,dorso
23,Rücken::N,арқа,schiena
24,Bauch::N,қарын,ventre
25,Nabel::N,кіндік,ombelico
26,Busen::N,омырау,seno
27,Brust::N,кеуде,petto
28,Schulter::N,иық,spalla
29,Arm::N,қол,braccio
30,Ellenbogen::N,шынтақ,gomito
31,Hand::N,қол,mano
32,Handfläche::N,алақан,palma
33,Finger::N,саусақ,dito
34,Fingernagel::N,тырнақ,unghia
35,Nagel[Anatomie]::N,тырнақ,unghia
36,Zeh::N,тырнақ,dito del piede
37,Zeh::N,тұяқ,dito del piede
38,Fuß::N,аяқ-басы,piede
39,Ferse::N,өкше,tallone
40,Ferse::N,өкше,calcagno
41,Ferse::N,өкшелік,tallone
42,Ferse::N,өкшелік,calcagno
43,Knie::N,тізе,ginocchio
44,Oberschenkel::N,жамбас,fèmore
45,Bein::N,аяқ,gamba
46,Körper::N,дене,corpo
47,Haut::N,тері,pelle
48,Blut::N,қан,sangue
49,Ader::N,көктамыр,vena
50,Ader::N,күретамыр,vena
51,Sehne::N,сіңір,tèndine
52,Knochen::N,жілік,osso
53,Gehirn::N,ми,cervello
54,Herz::N,жүрек,cuore
55,Magen::N,асқазан,stòmaco
56,Leber::N,бауыр,fegato
57,Atem::N,леп,fiato
58,Atem::N,леп,respiro
59,Hunger::N,ашаршылық,fame
60,Träne::N,жас,làcrima
61,Geschmack::N,дәм,gusto
62,Geschmack::N,дәм,sapore
63,Geschmack::N,татым,gusto
64,Geschmack::N,татым,sapore
65,Geschmack::N,талғам,gusto
66,Geschmack::N,талғам,sapore
67,Geruch::N,иіс,odore
68,Schlaf::N,ұйқы,sonno
69,Schlaf::N,ұйықтау,sonno
70,Traum::N,түс,sogno
71,Himmel::N,аспан,cielo
72,Himmel::N,көқ,cielo
73,Himmel::N,таңдай,cielo
74,Sonne::N,күн,sole
75,Mond::N,ай,luna
76,Stern::N,жұлдыз,stella
77,Luft::N,әуе,aria
78,Wind::N,жел,vento
79,Welle::N,толқын,onda
80,Wasser::N,су,acqua
81,Stein::N,тас,sasso
82,Stein::N,тас,pietra
83,Boden::N,қыртыс,suolo
84,Boden::N,қыртыс,terreno
85,Erde::N,топырақ,terra
86,Staub::N,шаң,polvere
87,Rauch::N,түтін,fumo
88,Funke::N,ұшқын,scintilla
89,Feuer::N,алау,fuoco
90,Licht::N,шұғыла,luce
91,Schatten::N,көлеңке,ombra
92,Wetter::N,ауа райы,tempo
93,Nebel::N,тұман,nebbia
94,Wolke::N,бұлт,nube
95,Wolke::N,бұлт,nùvola
96,Regen::N,жаңбыр,pioggia
97,Schnee::N,қар,neve
98,Eis::N,мұз,ghiaccio
99,Frost::N,суық,gelo
100,Kälte::N,ызғар,freddo
101,Kälte::N,суықтық,freddo
102,Hitze::N,аптап,caldo
103,Hitze::N,аптап,calura
104,Raureif::N,қырау,brina
105,Regenbogen::N,кемпірқосақ,arcobaleno
