,Concept_ID,se,ta
0,Auge::N,tjelmie,கண்
1,Auge::N,tjalmme,கண்
2,Auge::N,čalbmi,கண்
3,Auge::N,čalme,கண்
4,Auge::N,čâ´lmm,கண்
5,Auge::N,ча̄лльм,கண்
6,Ohr::N,bieljie,காது
7,Ohr::N,biellje,காது
8,Ohr::N,beallji,காது
9,Ohr::N,pelji,காது
10,Ohr::N,pe´llj,காது
11,Ohr::N,пе̄лльй,காது
12,Nase::N,njuenie,மூக்கு
13,Nase::N,njunnje,மூக்கு
14,Nase::N,njunni,மூக்கு
15,Nase::N,njuṇe,மூக்கு
16,Nase::N,njuu´nn,மூக்கு
17,Nase::N,нюннҍ,மூக்கு
18,Mund::N,njaelmie,வாய்
19,Mund::N,njálmme,வாய்
20,Mund::N,njálbmi,வாய்
21,Mund::N,njälmi,வாய்
22,Mund::N,njä´lmm,வாய்
23,Mund::N,ня̄лльм,வாய்
24,Zahn::N,baenie,பல்
25,Zahn::N,bádne,பல்
26,Zahn::N,bátni,பல்
27,Zahn::N,pääṇi,பல்
28,Zahn::N,pää´nn,பல்
29,Zahn::N,па̄ннҍ,பல்
30,Zunge::N,njoektjeme,நாக்கு
31,Zunge::N,njuovtjav,நாக்கு
32,Zunge::N,njuovčča,நாக்கு
33,Zunge::N,njuovčâ,நாக்கு
34,Zunge::N,njuhččâm,நாக்கு
35,Zunge::N,нюхчем,நாக்கு
36,Lippe::N,bangseme,உதடு
37,Lippe::N,njálmmerabdda,உதடு
38,Lippe::N,bavssa,உதடு
39,Lippe::N,poovsâ,உதடு
40,Lippe::N,põõus,உதடு
41,Lippe::N,пэ̄кс,உதடு
42,Wange::N,skiehrie,கன்னம்
43,Wange::N,nierra,கன்னம்
44,Wange::N,muohtu,கன்னம்
45,Wange::N,nieṛâ,கன்னம்
46,Wange::N,njiõrr,கன்னம்
47,Wange::N,нӣрр,கன்னம்
48,Gesicht::N,ååredæjja,முகம்
49,Gesicht::N,muohto,முகம்
50,Gesicht::N,muođut,முகம்
51,Gesicht::N,ámadadju,முகம்
52,Gesicht::N,muáđuh,முகம்
53,Gesicht::N,muâđ,முகம்
54,Gesicht::N,ка̄ссв,முகம்
55,Stirn::N,gaalloe,முன்னெற்றி
56,Stirn::N,gállo,முன்னெற்றி
57,Stirn::N,gállu,முன்னெற்றி
