,Concept_ID,bn,en
0,Auge::N,চক্ষু,eye
1,Ohr::N,কর্ণ,ear
2,Nase::N,নাক,nose
3,Mund::N,মুখ,mouth
4,Zahn::N,দাঁত,tooth
5,Zunge::N,জিহবা,tongue
6,Lippe::N,অধর,lip
7,Wange::N,গণ্ড,cheek
8,Gesicht::N,মুখমণ্ডল,face
9,Stirn::N,কপাল,forehead
10,Haar::N,চুল,hair
11,Schnurrbart::N,গোঁফ,moustache
12,Bart::N,শ্মশ্রু,beard
13,Kinn::N,চিবুক,chin
14,Kiefer[Anatomie]::N,চোয়াল,jaw
15,Kehle::N,কণ্ঠ,throat
16,Hals::N,গল,neck
17,Genick::N,ঘাড়,nape
18,Kopf::N,মাথা,head
19,Rücken::N,পৃষ্ঠ,back
20,Rücken::N,পৃষ্ঠ,spine
21,Bauch::N,উদর,belly
22,Nabel::N,নাভি,navel
23,Busen::N,স্তন,bosom
24,Brust::N,বুক,chest
25,Brust::N,বুক,breast
26,Schulter::N,স্কন্ধ,shoulder
27,Arm::N,বাহু,arm
28,Ellenbogen::N,কনুই,elbow
29,Hand::N,হাত,hand
30,Handfläche::N,করতল,palm
31,Finger::N,আঙ্গুল,finger
32,Fingernagel::N,হাতের নখ,fingernail
33,Nagel[Anatomie]::N,নখ,nail
34,Zeh::N,আঙ্গুল,toe
35,Fuß::N,পা,foot
36,Ferse::N,গোড়ালি,heel
37,Knie::N,হাঁটু,knee
38,Oberschenkel::N,ঊরু,thigh
39,Bein::N,পা,leg
40,Körper::N,দেহ,body
41,Haut::N,ত্বক,skin
42,Blut::N,রক্ত,blood
43,Ader::N,শিরা,vein
44,Sehne::N,কণ্ডরা,sinew
45,Knochen::N,অস্থি,bone
46,Gehirn::N,মস্তিষ্ক,brain
47,Herz::N,হৃৎপিণ্ড,heart
48,Magen::N,পাকস্থলী,stomach
49,Leber::N,যকৃৎ,liver
50,Atem::N,শ্বাস,breath
51,Hunger::N,ক্ষুধা,hunger
52,Träne::N,অশ্রু,tear
53,Geschmack::N,স্বাদ,flavour
54,Geschmack::N,স্বাদ,flavor
55,Geruch::N,গন্ধ,odour
56,Geruch::N,গন্ধ,odor
57,Schlaf::N,ঘুম,sleep
58,Traum::N,স্বপ্ন,dream
59,Himmel::N,আকাশ,sky
60,Sonne::N,সূর্য,sun
61,Mond::N,চন্দ্র,moon
62,Stern::N,নক্ষত্র,star
63,Luft::N,বায়ু,air
64,Wind::N,বাতাস,wind
65,Welle::N,ঢেউ,wave
66,Welle::N,তরঙ্গ,wave
67,Wasser::N,জল,water
68,Stein::N,ঢিল,stone
69,Stein::N,প্রস্তর,stone
70,Boden::N,ভূতল,soil
71,Boden::N,ভূতল,ground
72,Erde::N,ভূমি,earth
73,Staub::N,ধুলা,dust
74,Rauch::N,ধোঁয়া,smoke
75,Funke::N,স্ফুলিঙ্গ,spark
76,Feuer::N,অগ্নি,fire
77,Licht::N,আলো,light
78,Schatten::N,ছায়া,shadow
79,Wetter::N,আবহাওয়া,weather
80,Nebel::N,কুহেলিকা,fog
81,Wolke::N,মেঘ,cloud
82,Regen::N,বৃষ্টি,rain
83,Schnee::N,তুষার,snow
84,Eis::N,বরফ,ice
85,Frost::N,তুষার,frost
86,Kälte::N,শৈত্য,chill
87,Hitze::N,তাপ,heat
88,Raureif::N,তুহিন,hoarfrost
89,Regenbogen::N,রামধনু,rainbow
90,Donner::N,বজ্রধ্বনি,thunder
91,Strömung::N,স্রোত,current
92,Tropfen::N,ফোঁটা,drop
93,Schaum::N,ফেনা,foam
94,Schmutz::N,ধুলা,dirt
95,See::N,হ্রদ,lake
96,Sumpf::N,জলা,swamp
97,Moor::N,মাঠ,moor
98,Wiese::N,তৃণভূমি,meadow
99,Wald::N,বন,forest
100,Hügel::N,পাহাড়,hill
101,Anhöhe::N,টিলা,elevation
102,Berg::N,পর্বত,mountain
103,Gipfel::N,শীর্ষ,summit
104,Höhle::N,গুহা,cave
105,Abhang::N,ঢাল,slope
106,Quelle::N,উৎস,source
107,Bach::N,ক্ষুদ্র নদী,brook
108,Fluss::N,নদী,river
109,Ufer::N,উপকূল,shore
110,Küste::N,তীর,coast
111,Festland::N,ভূমি,land
112,Meer::N,সমুদ্র,sea
113,Bucht::N,উপসাগর,cove
114,Insel::N,দ্বীপ,island
115,Blume::N,ফুল,flower
116,Gras::N,ঘাস,grass
117,Wurzel::N,শিকড়,root
118,Baum::N,গাছ,tree
119,Stamm::N,স্কন্ধ,trunk
120,Rinde::N,বল্কল,bark
121,Ast::N,শাখা,limb
122,Zweig::N,ডাল,branch
123,Blatt::N,পর্ণ,leaf
124,Birke::N,ভুর্জ,birch
125,Kiefer[Baum]::N,পাইন গাছ,pine
126,Weide[Baum]::N,উইলো,willow
127,Tanne::N,দেবদারূ গাছ,fir
128,Horn::N,শিং,horn
129,Feder::N,পালক,feather
130,Fell::N,রোম,fur
131,Flügel::N,ডানা,wing
132,Klaue::N,নখর,claw
133,Kralle::N,নখর,claw
134,Schwanz::N,লেজ,tail
135,Ei::N,ডিম,egg
136,Nest::N,কুলায়,nest
137,Bau::N,ডেরা,lair
138,Tier::N,জন্তু,animal
139,Herde::N,ঝাঁক,flock
140,Kuh::N,গোরু,cow
141,Bulle::N,বৃষ,bull
142,Pferd::N,ঘোড়া,horse
143,Schaf::N,ভেড়া,sheep
144,Schwein::N,শূকর,pig
145,Hund::N,কুকুর,dog
146,Katze::N,বেড়াল,cat
147,Bär::N,ভল্লুক,bear
148,Eichhörnchen::N,কাঠবিড়াল,squirrel
149,Elch::N,হরিণবিশেষ,elk
150,Fuchs::N,পাঁতিশিয়াল,fox
151,Hase::N,শশক,hare
152,Maus::N,নেংটি ইঁদুর,mouse
153,Wolf::N,নেকড়ে,wolf
154,Vogel::N,পক্ষী,bird
155,Schwarm::N,ঝাঁক,swarm
156,Huhn::N,মোরগ,chicken
157,Hahn::N,কুক্কুট,cock
158,Gans::N,হংসী,goose
159,Adler::N,ইগল,eagle
160,Ente::N,হংসী,duck
161,Eule::N,পেচক,owl
162,Kranich::N,সারস,crane
163,Krähe::N,কাক,crow
164,Kuckuck::N,কোকিল,cuckoo
165,Schwan::N,মরাল,swan
166,Fisch::N,মাছ,fish
167,Barsch::N,মৎন্যবিশেষ,perch
168,Hecht::N,বানমাছ,pike
169,Schlange[Tier]::N,সর্প,snake
170,Wurm::N,কীট,worm
171,Spinne::N,মাকড়সা,spider
172,Ameise::N,পিপীলিকা,ant
173,Laus::N,উকুন,louse
174,Mücke::N,মশা,midge
