,Concept_ID,se,es
0,Auge::N,tjelmie,ojo
1,Auge::N,tjalmme,ojo
2,Auge::N,čalbmi,ojo
3,Auge::N,čalme,ojo
4,Auge::N,čâ´lmm,ojo
5,Auge::N,ча̄лльм,ojo
6,Ohr::N,bieljie,oreja
7,Ohr::N,biellje,oreja
8,Ohr::N,beallji,oreja
9,Ohr::N,pelji,oreja
10,Ohr::N,pe´llj,oreja
11,Ohr::N,пе̄лльй,oreja
12,Nase::N,njuenie,nariz
13,Nase::N,njunnje,nariz
14,Nase::N,njunni,nariz
15,Nase::N,njuṇe,nariz
16,Nase::N,njuu´nn,nariz
17,Nase::N,нюннҍ,nariz
18,Mund::N,njaelmie,boca
19,Mund::N,njálmme,boca
20,Mund::N,njálbmi,boca
21,Mund::N,njälmi,boca
22,Mund::N,njä´lmm,boca
23,Mund::N,ня̄лльм,boca
24,Zahn::N,baenie,diente
25,Zahn::N,bádne,diente
26,Zahn::N,bátni,diente
27,Zahn::N,pääṇi,diente
28,Zahn::N,pää´nn,diente
29,Zahn::N,па̄ннҍ,diente
30,Zunge::N,njoektjeme,lengua
31,Zunge::N,njuovtjav,lengua
32,Zunge::N,njuovčča,lengua
33,Zunge::N,njuovčâ,lengua
34,Zunge::N,njuhččâm,lengua
35,Zunge::N,нюхчем,lengua
36,Lippe::N,bangseme,labio
37,Lippe::N,njálmmerabdda,labio
38,Lippe::N,bavssa,labio
39,Lippe::N,poovsâ,labio
40,Lippe::N,põõus,labio
41,Lippe::N,пэ̄кс,labio
42,Wange::N,skiehrie,mejilla
43,Wange::N,nierra,mejilla
44,Wange::N,muohtu,mejilla
45,Wange::N,nieṛâ,mejilla
46,Wange::N,njiõrr,mejilla
47,Wange::N,нӣрр,mejilla
48,Gesicht::N,ååredæjja,cara
49,Gesicht::N,muohto,cara
50,Gesicht::N,muođut,cara
51,Gesicht::N,ámadadju,cara
52,Gesicht::N,muáđuh,cara
53,Gesicht::N,muâđ,cara
54,Gesicht::N,ка̄ссв,cara
55,Stirn::N,gaalloe,frente
56,Stirn::N,gállo,frente
57,Stirn::N,gállu,frente
58,Stirn::N,kállu,frente
59,Stirn::N,käll,frente
60,Stirn::N,вуэххьц,frente
61,Haar::N,voepte,cabello
62,Haar::N,vuoppta,cabello
63,Haar::N,vuokta,cabello
64,Haar::N,vuop'tâ,cabello
65,Haar::N,vuõpt,cabello
66,Haar::N,вӯппт,cabello
67,Schnurrbart::N,bijjie-skaavtjoe,bigote
68,Schnurrbart::N,njunjevuolskávttjá,bigote
69,Schnurrbart::N,seamu,bigote
70,Schnurrbart::N,siämu,bigote
71,Schnurrbart::N,ää´bben,bigote
72,Schnurrbart::N,о̄а̄бпан,bigote
73,Bart::N,skaavtja,barba
74,Bart::N,skaavtjoe,barba
75,Bart::N,skávttjá,barba
76,Bart::N,seamu,barba
77,Bart::N,siämu,barba
78,Bart::N,seäm,barba
79,Bart::N,ся̄м,barba
80,Kinn::N,gaejpie,barbilla
81,Kinn::N,gájbbe,barbilla
82,Kinn::N,gáibi,barbilla
83,Kinn::N,käibi,barbilla
84,Kinn::N,käi´bb,barbilla
85,Kinn::N,ка̄ййп,barbilla
86,Kiefer[Anatomie]::N,gaejpie,mandíbula
87,Kiefer[Anatomie]::N,oalol,mandíbula
88,Kiefer[Anatomie]::N,oaloldákte,mandíbula
89,Kiefer[Anatomie]::N,gáibi,mandíbula
90,Kiefer[Anatomie]::N,uá'lultähti,mandíbula
91,Kiefer[Anatomie]::N,vuâl'lõš,mandíbula
92,Kiefer[Anatomie]::N,вуаллнешш,mandíbula
93,Kehle::N,gealoe,garganta
94,Kehle::N,tjåttå,garganta
95,Kehle::N,njiello,garganta
96,Kehle::N,čotta,garganta
97,Kehle::N,čuudâ,garganta
