,Concept_ID,bn,la
0,Auge::N,চক্ষু,oculus
1,Ohr::N,কর্ণ,auris
2,Nase::N,নাক,nasus
3,Mund::N,মুখ,os
4,Zahn::N,দাঁত,dens
5,Zunge::N,জিহবা,lingua
6,Lippe::N,অধর,labrum
7,Wange::N,গণ্ড,gena
8,Gesicht::N,মুখমণ্ডল,vultus
9,Stirn::N,কপাল,frons
10,Haar::N,চুল,capillus
11,Schnurrbart::N,গোঁফ,barba labri superioris
12,Bart::N,শ্মশ্রু,barba
13,Kinn::N,চিবুক,mentum
14,Kiefer[Anatomie]::N,চোয়াল,mala
15,Kehle::N,কণ্ঠ,iugulums
16,Hals::N,গল,collum
17,Genick::N,ঘাড়,cervices
18,Kopf::N,মাথা,caput
19,Rücken::N,পৃষ্ঠ,tergum
20,Bauch::N,উদর,venter
21,Nabel::N,নাভি,umbilicus
22,Busen::N,স্তন,sinus
23,Brust::N,বুক,pectus
24,Schulter::N,স্কন্ধ,umerus
25,Arm::N,বাহু,bracchium
26,Ellenbogen::N,কনুই,cubitum
27,Hand::N,হাত,manus
28,Handfläche::N,করতল,palma
29,Finger::N,আঙ্গুল,digitus
30,Fingernagel::N,হাতের নখ,unguiculus
31,Nagel[Anatomie]::N,নখ,unguis
32,Zeh::N,আঙ্গুল,digitus
33,Fuß::N,পা,pes
34,Ferse::N,গোড়ালি,calx
35,Knie::N,হাঁটু,genu
36,Oberschenkel::N,ঊরু,femur
37,Bein::N,পা,crus
38,Körper::N,দেহ,corpus
39,Haut::N,ত্বক,cutis
40,Haut::N,ত্বক,pellis
41,Blut::N,রক্ত,sanguis
42,Ader::N,শিরা,vena
43,Sehne::N,কণ্ডরা,nervus
44,Knochen::N,অস্থি,os
45,Gehirn::N,মস্তিষ্ক,cerebrum
46,Herz::N,হৃৎপিণ্ড,cor
47,Herz::N,হৃৎপিণ্ড,animus
48,Magen::N,পাকস্থলী,stomachus
49,Leber::N,যকৃৎ,iecur
50,Atem::N,শ্বাস,spiritus
51,Hunger::N,ক্ষুধা,fames
52,Träne::N,অশ্রু,lacrima
53,Geschmack::N,স্বাদ,sapor
54,Geschmack::N,স্বাদ,gustus
55,Geruch::N,গন্ধ,odor
56,Schlaf::N,ঘুম,somnus
57,Traum::N,স্বপ্ন,somnium
58,Himmel::N,আকাশ,caelum
59,Sonne::N,সূর্য,sol
60,Mond::N,চন্দ্র,luna
61,Stern::N,নক্ষত্র,sidus
62,Stern::N,নক্ষত্র,stella
63,Luft::N,বায়ু,aer
64,Wind::N,বাতাস,ventus
65,Welle::N,ঢেউ,unda
66,Welle::N,তরঙ্গ,unda
67,Wasser::N,জল,aqua
68,Stein::N,ঢিল,lapis
69,Stein::N,প্রস্তর,lapis
70,Boden::N,ভূতল,solum
71,Erde::N,ভূমি,terra
72,Staub::N,ধুলা,pulvis
73,Rauch::N,ধোঁয়া,fumus
74,Funke::N,স্ফুলিঙ্গ,scintilla
75,Feuer::N,অগ্নি,ignis
76,Licht::N,আলো,lux
77,Licht::N,আলো,lumen
78,Schatten::N,ছায়া,umbra
79,Wetter::N,আবহাওয়া,caelum
80,Wetter::N,আবহাওয়া,tempestas
81,Nebel::N,কুহেলিকা,nebula
82,Wolke::N,মেঘ,nubes
83,Regen::N,বৃষ্টি,imber
84,Regen::N,বৃষ্টি,pluvia
85,Schnee::N,তুষার,nix
86,Eis::N,বরফ,glacies
87,Frost::N,তুষার,gelu
88,Kälte::N,শৈত্য,frigus
89,Hitze::N,তাপ,calor
90,Hitze::N,তাপ,aestus
91,Raureif::N,তুহিন,pruina
92,Regenbogen::N,রামধনু,arcus
93,Donner::N,বজ্রধ্বনি,tonitrus
94,Strömung::N,স্রোত,fluctus
95,Tropfen::N,ফোঁটা,gutta
96,Schaum::N,ফেনা,spuma
97,Schmutz::N,ধুলা,sordes
98,Schmutz::N,ধুলা,squalor
99,See::N,হ্রদ,lacus
100,Sumpf::N,জলা,palus
101,Moor::N,মাঠ,palus
102,Wiese::N,তৃণভূমি,pratum
103,Wald::N,বন,silva
104,Hügel::N,পাহাড়,collis
105,Anhöhe::N,টিলা,specula
106,Berg::N,পর্বত,mons
107,Gipfel::N,শীর্ষ,vertex
108,Höhle::N,গুহা,caverna
109,Höhle::N,গুহা,spelunca
110,Abhang::N,ঢাল,declivum
111,Quelle::N,উৎস,fons
112,Bach::N,ক্ষুদ্র নদী,rivus
113,Fluss::N,নদী,flumen
114,Ufer::N,উপকূল,ripa
115,Küste::N,তীর,litus
116,Festland::N,ভূমি,continens
117,Meer::N,সমুদ্র,mare
118,Bucht::N,উপসাগর,sinus
119,Insel::N,দ্বীপ,insula
120,Blume::N,ফুল,flos
121,Gras::N,ঘাস,herba
122,Gras::N,ঘাস,gramen
123,Wurzel::N,শিকড়,radix
124,Baum::N,গাছ,arbor
125,Stamm::N,স্কন্ধ,truncus
126,Rinde::N,বল্কল,cortex
127,Ast::N,শাখা,ramus
128,Zweig::N,ডাল,ramus
129,Blatt::N,পর্ণ,folium
130,Birke::N,ভুর্জ,betulla
131,Kiefer[Baum]::N,পাইন গাছ,pinus
132,Weide[Baum]::N,উইলো,salix
133,Tanne::N,দেবদারূ গাছ,abies
134,Horn::N,শিং,cornu
135,Feder::N,পালক,penna
136,Fell::N,রোম,pellis
137,Flügel::N,ডানা,ala
138,Klaue::N,নখর,unguis
139,Kralle::N,নখর,unguis
140,Schwanz::N,লেজ,cauda
141,Ei::N,ডিম,ovum
142,Nest::N,কুলায়,nidus
143,Bau::N,ডেরা,cavum
144,Bau::N,ডেরা,latibulum
145,Tier::N,জন্তু,bestia
146,Herde::N,ঝাঁক,grex
147,Kuh::N,গোরু,vacca
148,Bulle::N,বৃষ,taurus
149,Pferd::N,ঘোড়া,equus
150,Schaf::N,ভেড়া,ovis
151,Schwein::N,শূকর,sus
152,Schwein::N,শূকর,porcus
153,Hund::N,কুকুর,canis
154,Katze::N,বেড়াল,felis
155,Bär::N,ভল্লুক,ursus
156,Eichhörnchen::N,কাঠবিড়াল,sciurus
157,Elch::N,হরিণবিশেষ,alces
158,Fuchs::N,পাঁতিশিয়াল,vulpes
159,Hase::N,শশক,lepus
160,Maus::N,নেংটি ইঁদুর,mus
161,Wolf::N,নেকড়ে,lupus
162,Vogel::N,পক্ষী,avis
163,Schwarm::N,ঝাঁক,examen
164,Huhn::N,মোরগ,gallina
165,Hahn::N,কুক্কুট,gallus
