,Concept_ID,fr,bn
0,Auge::N,œil,চক্ষু
1,Ohr::N,oreille,কর্ণ
2,Nase::N,nez,নাক
3,Mund::N,bouche,মুখ
4,Zahn::N,dent,দাঁত
5,Zunge::N,langue,জিহবা
6,Lippe::N,lèvre,অধর
7,Wange::N,joue,গণ্ড
8,Gesicht::N,face,মুখমণ্ডল
9,Gesicht::N,visage,মুখমণ্ডল
10,Stirn::N,front,কপাল
11,Haar::N,cheveu,চুল
12,Schnurrbart::N,moustache,গোঁফ
13,Bart::N,barbe,শ্মশ্রু
14,Kinn::N,menton,চিবুক
15,Kiefer[Anatomie]::N,mâchoire,চোয়াল
16,Kehle::N,gorge,কণ্ঠ
17,Hals::N,cou,গল
18,Genick::N,nuque,ঘাড়
19,Kopf::N,tête,মাথা
20,Rücken::N,dos,পৃষ্ঠ
21,Bauch::N,ventre,উদর
22,Nabel::N,nombril,নাভি
23,Busen::N,sein,স্তন
24,Brust::N,poitrine,বুক
25,Schulter::N,épaule,স্কন্ধ
26,Arm::N,bras,বাহু
27,Ellenbogen::N,coude,কনুই
28,Hand::N,main,হাত
29,Handfläche::N,paume,করতল
30,Finger::N,doigt,আঙ্গুল
31,Fingernagel::N,ongle,হাতের নখ
32,Nagel[Anatomie]::N,ongle,নখ
33,Zeh::N,orteil,আঙ্গুল
34,Zeh::N,doigt de pied,আঙ্গুল
35,Fuß::N,pied,পা
36,Ferse::N,talon,গোড়ালি
37,Knie::N,genou,হাঁটু
38,Oberschenkel::N,cuisse,ঊরু
39,Bein::N,jambe,পা
40,Körper::N,corps,দেহ
41,Haut::N,peau,ত্বক
42,Blut::N,sang,রক্ত
43,Ader::N,veine,শিরা
44,Sehne::N,tendon,কণ্ডরা
45,Knochen::N,os,অস্থি
46,Gehirn::N,cerveau,মস্তিষ্ক
47,Herz::N,cœur,হৃৎপিণ্ড
48,Magen::N,estomac,পাকস্থলী
49,Leber::N,foie,যকৃৎ
50,Atem::N,haleine,শ্বাস
51,Hunger::N,faim,ক্ষুধা
52,Träne::N,larme,অশ্রু
53,Geschmack::N,goût,স্বাদ
54,Geschmack::N,saveur,স্বাদ
55,Geruch::N,odeur,গন্ধ
56,Schlaf::N,sommeil,ঘুম
57,Traum::N,songe,স্বপ্ন
58,Himmel::N,ciel,আকাশ
59,Sonne::N,soleil,সূর্য
60,Mond::N,lune,চন্দ্র
61,Stern::N,étoile,নক্ষত্র
62,Luft::N,air,বায়ু
63,Wind::N,vent,বাতাস
64,Welle::N,vague,ঢেউ
65,Welle::N,vague,তরঙ্গ
66,Wasser::N,eau,জল
67,Stein::N,pierre,ঢিল
68,Stein::N,pierre,প্রস্তর
69,Boden::N,sol,ভূতল
70,Boden::N,terrain,ভূতল
71,Erde::N,terre,ভূমি
72,Staub::N,poussière,ধুলা
73,Rauch::N,fumée,ধোঁয়া
74,Funke::N,étincelle,স্ফুলিঙ্গ
75,Feuer::N,feu,অগ্নি
76,Licht::N,lumière,আলো
77,Schatten::N,ombre,ছায়া
78,Wetter::N,temps,আবহাওয়া
79,Nebel::N,brume,কুহেলিকা
80,Nebel::N,brouillard,কুহেলিকা
81,Wolke::N,nuage,মেঘ
82,Regen::N,pluie,বৃষ্টি
83,Schnee::N,neige,তুষার
84,Eis::N,glace,বরফ
85,Frost::N,gel,তুষার
86,Frost::N,gelée,তুষার
87,Kälte::N,froid,শৈত্য
88,Hitze::N,chaleur,তাপ
89,Raureif::N,givre,তুহিন
