,Concept_ID,,cv
0,Auge::N,,куҫ
1,Ohr::N,,хӑлха
2,Nase::N,,сӑмса
3,Mund::N,,ҫӑвар
4,Zahn::N,,шӑл
5,Zunge::N,,чӗлхе
6,Lippe::N,,тута
7,Wange::N,,пит ҫӑмарти
8,Gesicht::N,,пит
9,Gesicht::N,,пит-куҫ
10,Stirn::N,,ҫамка
11,Haar::N,,ҫӳҫ
12,Schnurrbart::N,,усси
13,Bart::N,,сухал
14,Kinn::N,,янах
15,Kiefer[Anatomie]::N,,янах
16,Kehle::N,,пыр
17,Kehle::N,,карланкӑ
18,Hals::N,,пыр
19,Genick::N,,ӗнсе
20,Kopf::N,,пуҫ
21,Rücken::N,,ҫурӑм
22,Nabel::N,,кӑвапа
23,Busen::N,,кӑкӑр
24,Brust::N,,умӗ
25,Schulter::N,,хул пуҫҫи
26,Arm::N,,алӑ
27,Ellenbogen::N,,чавса
28,Hand::N,,алӑ сыппи
29,Handfläche::N,,ал лаппи
30,Finger::N,,пӳрне
31,Fingernagel::N,,чӗрне
32,Nagel[Anatomie]::N,,чӗрне
33,Zeh::N,,пӳрне
34,Fuß::N,,ура лаппи
35,Ferse::N,,кӗле
36,Knie::N,,чӗркуҫҫи
37,Oberschenkel::N,,пӗҫӗ
38,Bein::N,,ура
39,Körper::N,,ӳт
40,Körper::N,,ӳт-пӳ
41,Haut::N,,тир
42,Blut::N,,юн
43,Ader::N,,вена
44,Sehne::N,,шӑнӑр
45,Knochen::N,,шӑмӑ
46,Gehirn::N,,миме
47,Herz::N,,чӗре
48,Magen::N,,хырӑмлӑх
49,Leber::N,,пӗвер
50,Atem::N,,сывлав
51,Hunger::N,,выҫлӑх
52,Träne::N,,куҫҫуль
53,Geschmack::N,,техӗм
54,Geruch::N,,шӑршӑ
55,Schlaf::N,,ыйхӑ
56,Traum::N,,тӗлӗк
57,Himmel::N,,пӗлӗт
58,Sonne::N,,хӗвел
59,Mond::N,,уйӑх
60,Stern::N,,ҫӑлтӑр
61,Luft::N,,сывлӑш
62,Wind::N,,ҫил
63,Welle::N,,хум
64,Wasser::N,,шыв
65,Wasser::N,,шыв-шур
66,Stein::N,,чул
67,Boden::N,,тӑпра
68,Erde::N,,ҫӗр
69,Staub::N,,тусан
70,Rauch::N,,тӗтӗм
71,Funke::N,,хӗм
72,Feuer::N,,вут
73,Feuer::N,,ҫулӑм
74,Licht::N,,ҫутӑ
75,Schatten::N,,сулхӑн
76,Wetter::N,,ҫанталӑк
77,Nebel::N,,тӗтре
78,Wolke::N,,пӗлӗт
79,Regen::N,,ҫумӑр
80,Schnee::N,,юр
81,Eis::N,,пӑр
82,Frost::N,,сивӗ
83,Kälte::N,,сивӗ
84,Hitze::N,,вӗри
85,Hitze::N,,шӑрӑх
86,Raureif::N,,пас
87,Regenbogen::N,,асамат кӗперӗ
88,Donner::N,,аслати
89,Strömung::N,,юхӑ
90,Tropfen::N,,тумлам
91,Schaum::N,,кӑпӑк
92,Schmutz::N,,пылчӑк
93,See::N,,кӳлӗ
94,Sumpf::N,,шур
95,Sumpf::N,,шурлӑх
96,Moor::N,,торфлӑ шурлӑх
97,Wiese::N,,улӑх
98,Wiese::N,,ҫаран
99,Wald::N,,вӑрман
100,Hügel::N,,сӑрт
101,Hügel::N,,тӗмеске
102,Anhöhe::N,,сӑрт
103,Berg::N,,ту
104,Gipfel::N,,тӳпе
105,Höhle::N,,ҫӗр хӑвӑлӗ
106,Abhang::N,,тӑвайкки
107,Quelle::N,,ҫӑл куҫ
108,Bach::N,,пӗчӗк шыв
109,Fluss::N,,юхан шыв
110,Ufer::N,,ҫыран
111,Küste::N,,тинӗс ҫыранӗ
112,Festland::N,,тип ҫӗр
113,Meer::N,,тинӗс
114,Bucht::N,,тинӗс кукӑрӗ
115,Insel::N,,утрав
116,Blume::N,,чечек
117,Gras::N,,курӑк
118,Wurzel::N,,тымар
119,Baum::N,,йывӑҫ
120,Stamm::N,,вулӑ
121,Rinde::N,,хуйӑр
122,Ast::N,,турат
123,Zweig::N,,турат
124,Blatt::N,,ҫулҫӑ
125,Birke::N,,хурӑн
126,Kiefer[Baum]::N,,хыр
127,Weide[Baum]::N,,хӑва
128,Tanne::N,,чӑрӑш
129,Horn::N,,мӑйрака
130,Feder::N,,тӗк
131,Fell::N,,ҫӑм
132,Flügel::N,,ҫунат
133,Klaue::N,,чӗрне
134,Kralle::N,,ура
135,Schwanz::N,,хӳре
136,Ei::N,,ҫӑмарта
137,Nest::N,,йӑва
138,Bau::N,,йӗнӗ
139,Tier::N,,выльӑх
140,Herde::N,,кӗтӳ
141,Kuh::N,,ӗне
142,Bulle::N,,вӑкӑр
143,Pferd::N,,лаша
144,Schaf::N,,сурӑх
145,Schwein::N,,сысна
146,Hund::N,,йытӑ
147,Katze::N,,кушак
148,Bär::N,,упа
149,Eichhörnchen::N,,пакша
150,Elch::N,,пӑши
151,Fuchs::N,,тилӗ
152,Hase::N,,куян
153,Hase::N,,мулкач
154,Maus::N,,шӑши
155,Wolf::N,,кашкӑр
156,Vogel::N,,кайӑк
157,Vogel::N,,вӗҫен кайӑк
158,Schwarm::N,,ушкӑн
159,Huhn::N,,чӑх
160,Huhn::N,,чӑхӑ
161,Hahn::N,,автан
162,Gans::N,,хур
163,Adler::N,,ӑмӑрт кайӑк
164,Ente::N,,кӑвакал
165,Eule::N,,тӑмана
166,Kranich::N,,тӑрна
167,Krähe::N,,ула курак
168,Kuckuck::N,,куккук
169,Schwan::N,,акӑш
170,Fisch::N,,пулӑ
171,Barsch::N,,уланкӑ
172,Hecht::N,,ҫӑрттан
173,Schlange[Tier]::N,,ҫӗлен
174,Wurm::N,,ӑман
175,Spinne::N,,эрешмен
176,Ameise::N,,кӑткӑ
177,Laus::N,,пыйтӑ
178,Mücke::N,,вӑрӑм туна
179,Fliege::N,,шӑна
180,Schmetterling::N,,лӗпӗш
181,Beere::N,,ҫырла
182,Apfel::N,,улма
183,Apfel::N,,пан улми
184,Pilz::N,,кӑмпа
185,Zwiebel::N,,сухан
186,Saat::N,,вӑрӑ
187,Korn::N,,тӗшӗ
188,Korn::N,,пӗрчӗ
189,Heu::N,,утӑ
190,Schale::N,,хупӑ
191,Grube::N,,шӑтӑк
192,Falle::N,,тапӑ
193,Falle::N,,капкӑн
194,Schlinge::N,,йӑлӑ
195,Spur::N,,йӗр
196,Asche::N,,кӗл
197,Dreck::N,,пылчӑк
198,Eisen::N,,тимӗр
199,Gold::N,,ылтӑн
200,Silber::N,,кӗмӗл
201,Kohle::N,,кӑмрӑк
202,Glas::N,,кӗленче
203,Lehm::N,,тӑм
204,Sand::N,,хӑйӑр
205,Mensch::N,,ҫын
206,Mensch::N,,этем
207,Mann::N,,ар
