,Concept_ID,ta,xal
0,Auge::N,கண்,нүдн
1,Ohr::N,காது,чикн
2,Nase::N,மூக்கு,хамр
3,Mund::N,வாய்,амн
4,Zahn::N,பல்,шүдн
5,Zunge::N,நாக்கு,келн
6,Lippe::N,உதடு,урл
7,Wange::N,கன்னம்,халх
8,Gesicht::N,முகம்,нүр
9,Stirn::N,முன்னெற்றி,маңна
10,Haar::N,முடி,үсн
11,Schnurrbart::N,மீசை,сахл
12,Bart::N,தாடி,сахл
13,Bart::N,தாடி,өргнә сахл
14,Kinn::N,கீழதாடை,өргн
15,Kiefer[Anatomie]::N,தாடை,өргн
16,Kehle::N,தொண்டை,хол
17,Hals::N,கழுத்து,күзүн
18,Genick::N,கழுத்து,гиҗг
19,Kopf::N,தலை,толһа
20,Rücken::N,முதுகு,нурһн
21,Bauch::N,வயிறு,гесн
22,Nabel::N,தொப்புள்,киисн
23,Busen::N,மார்பகம்,көкн
24,Brust::N, மார்பு,чееҗ
25,Schulter::N,தோள்பட்டை,ээм
26,Arm::N,கரம்,һар
27,Ellenbogen::N,முழங்கை,тоха
28,Hand::N,கை,баһлцг
29,Handfläche::N,உள்ளங்கை,альхн
30,Finger::N,விரல்,хурһн
31,Finger::N,விரல்,һарин хурһн
32,Fingernagel::N,விரல் நகம்,хумсн
33,Nagel[Anatomie]::N,நகம்,хумсн
34,Zeh::N,கால்விரல்,хурһн
35,Zeh::N,கால்விரல்,көлин хурһн
36,Fuß::N,கால்,тавг
37,Ferse::N,குதிகால்,өскә
38,Knie::N,முழங்கால்,өвдг
39,Oberschenkel::N,தொடை,һуй
40,Bein::N,கால்,көл
41,Körper::N,உடல்,махмуд
42,Haut::N,சருமம்,арсн
43,Blut::N,இரத்தம்,цусн
44,Ader::N,நாளம்,судцн
45,Sehne::N,தசைநார்,шүрүсн
46,Knochen::N,எலுமபு,ясн
47,Gehirn::N,மூனை,экн
48,Herz::N,இதயம,зүркн
49,Magen::N,வயிறு,гесн
50,Leber::N,கல்லீரல்,элкн
51,Atem::N,மூச்சு,әмсхл
52,Hunger::N,பசி,харһнлһн
53,Träne::N,கண்ணீர்,нульмсн
54,Geschmack::N,நறுமணம்,амтн
55,Geruch::N,துர்நாற்றம்,үнр
56,Schlaf::N,தூக்கம்,нөр
57,Traum::N,கனவு,зүүдн
58,Himmel::N,வானம்,теңгр
59,Sonne::N,சூரியன்,нарн
60,Mond::N,சந்திரன்,сар
61,Stern::N,நட்சத்திரம்,одн
62,Luft::N,காறறு,аһар
63,Wind::N,காற்று,салькн
64,Welle::N,அலை,дольган
65,Wasser::N,நீர்,усн
66,Stein::N,கல்,чолун
67,Boden::N,தரை,Һазр
68,Erde::N,மண்,Һазр
69,Staub::N,தூசி,тоосн
70,Rauch::N,புகை,утан
71,Funke::N,தீப்பொறி,очн
72,Feuer::N,தீ,һал
73,Licht::N,வெளிச்சம்,герл
74,Schatten::N,நிழல்,сүүдр
75,Wetter::N,வானிலை,теңгр
76,Nebel::N,பனிமூட்டம்,будн
77,Wolke::N,மேகம்,үүлн
78,Regen::N,மழை,хур
79,Schnee::N,உறைபனி,цасн
80,Eis::N,பனிக்கட்டி,мөсн
81,Frost::N,உறைபனி,киитн
82,Kälte::N,குளிர்ந்த,киитн
83,Hitze::N,சூடு,халун
84,Raureif::N,உறைபனி வெண்திரை,цаң
85,Raureif::N,உறைபனி வெண்திரை,кирү
86,Regenbogen::N,வானவில்,солңһ
87,Donner::N,இடி,оһтрһун дун
88,Strömung::N,நீரோட்டம்,урсхл
89,Tropfen::N,துளி,дусал
90,Schaum::N,நுரை,көөсн
91,Schmutz::N,அழுக்கு,кир
92,See::N,ஏரி,нур
