,Concept_ID,bn,fr
0,Auge::N,চক্ষু,œil
1,Ohr::N,কর্ণ,oreille
2,Nase::N,নাক,nez
3,Mund::N,মুখ,bouche
4,Zahn::N,দাঁত,dent
5,Zunge::N,জিহবা,langue
6,Lippe::N,অধর,lèvre
7,Wange::N,গণ্ড,joue
8,Gesicht::N,মুখমণ্ডল,face
9,Gesicht::N,মুখমণ্ডল,visage
10,Stirn::N,কপাল,front
11,Haar::N,চুল,cheveu
12,Schnurrbart::N,গোঁফ,moustache
13,Bart::N,শ্মশ্রু,barbe
14,Kinn::N,চিবুক,menton
15,Kiefer[Anatomie]::N,চোয়াল,mâchoire
16,Kehle::N,কণ্ঠ,gorge
17,Hals::N,গল,cou
18,Genick::N,ঘাড়,nuque
19,Kopf::N,মাথা,tête
20,Rücken::N,পৃষ্ঠ,dos
21,Bauch::N,উদর,ventre
22,Nabel::N,নাভি,nombril
23,Busen::N,স্তন,sein
24,Brust::N,বুক,poitrine
25,Schulter::N,স্কন্ধ,épaule
26,Arm::N,বাহু,bras
27,Ellenbogen::N,কনুই,coude
28,Hand::N,হাত,main
29,Handfläche::N,করতল,paume
30,Finger::N,আঙ্গুল,doigt
31,Fingernagel::N,হাতের নখ,ongle
32,Nagel[Anatomie]::N,নখ,ongle
33,Zeh::N,আঙ্গুল,orteil
34,Zeh::N,আঙ্গুল,doigt de pied
35,Fuß::N,পা,pied
36,Ferse::N,গোড়ালি,talon
37,Knie::N,হাঁটু,genou
38,Oberschenkel::N,ঊরু,cuisse
39,Bein::N,পা,jambe
40,Körper::N,দেহ,corps
41,Haut::N,ত্বক,peau
42,Blut::N,রক্ত,sang
43,Ader::N,শিরা,veine
44,Sehne::N,কণ্ডরা,tendon
45,Knochen::N,অস্থি,os
46,Gehirn::N,মস্তিষ্ক,cerveau
47,Herz::N,হৃৎপিণ্ড,cœur
48,Magen::N,পাকস্থলী,estomac
49,Leber::N,যকৃৎ,foie
50,Atem::N,শ্বাস,haleine
51,Hunger::N,ক্ষুধা,faim
52,Träne::N,অশ্রু,larme
53,Geschmack::N,স্বাদ,goût
54,Geschmack::N,স্বাদ,saveur
55,Geruch::N,গন্ধ,odeur
56,Schlaf::N,ঘুম,sommeil
57,Traum::N,স্বপ্ন,songe
58,Himmel::N,আকাশ,ciel
59,Sonne::N,সূর্য,soleil
60,Mond::N,চন্দ্র,lune
61,Stern::N,নক্ষত্র,étoile
62,Luft::N,বায়ু,air
63,Wind::N,বাতাস,vent
64,Welle::N,ঢেউ,vague
65,Welle::N,তরঙ্গ,vague
66,Wasser::N,জল,eau
67,Stein::N,ঢিল,pierre
68,Stein::N,প্রস্তর,pierre
69,Boden::N,ভূতল,sol
70,Boden::N,ভূতল,terrain
71,Erde::N,ভূমি,terre
72,Staub::N,ধুলা,poussière
73,Rauch::N,ধোঁয়া,fumée
74,Funke::N,স্ফুলিঙ্গ,étincelle
75,Feuer::N,অগ্নি,feu
76,Licht::N,আলো,lumière
77,Schatten::N,ছায়া,ombre
78,Wetter::N,আবহাওয়া,temps
79,Nebel::N,কুহেলিকা,brume
80,Nebel::N,কুহেলিকা,brouillard
81,Wolke::N,মেঘ,nuage
82,Regen::N,বৃষ্টি,pluie
83,Schnee::N,তুষার,neige
84,Eis::N,বরফ,glace
85,Frost::N,তুষার,gel
86,Frost::N,তুষার,gelée
87,Kälte::N,শৈত্য,froid
88,Hitze::N,তাপ,chaleur
89,Raureif::N,তুহিন,givre
90,Regenbogen::N,রামধনু,arc-en-ciel
91,Donner::N,বজ্রধ্বনি,tonnerre
92,Strömung::N,স্রোত,courant
93,Tropfen::N,ফোঁটা,goutte
94,Schaum::N,ফেনা,écume
95,Schaum::N,ফেনা,mousse
96,Schmutz::N,ধুলা,boue
97,Schmutz::N,ধুলা,saleté
98,See::N,হ্রদ,lac
99,Sumpf::N,জলা,marais
100,Sumpf::N,জলা,marécage
101,Moor::N,মাঠ,tourbière
102,Wiese::N,তৃণভূমি,pré
103,Wald::N,বন,bois
104,Wald::N,বন,forêt
105,Hügel::N,পাহাড়,coteau
106,Hügel::N,পাহাড়,colline
107,Anhöhe::N,টিলা,éminence
108,Anhöhe::N,টিলা,élévation
109,Berg::N,পর্বত,mont
110,Berg::N,পর্বত,montagne
111,Gipfel::N,শীর্ষ,cime
112,Gipfel::N,শীর্ষ,sommet
113,Höhle::N,গুহা,caverne
114,Abhang::N,ঢাল,pente
115,Abhang::N,ঢাল,versant
116,Quelle::N,উৎস,source
117,Quelle::N,উৎস,fontaine
118,Bach::N,ক্ষুদ্র নদী,ruisseau
119,Fluss::N,নদী,fleuve
120,Fluss::N,নদী,rivière
121,Ufer::N,উপকূল,bord
122,Ufer::N,উপকূল,rivage
123,Küste::N,তীর,côte
124,Festland::N,ভূমি,terre ferme
125,Meer::N,সমুদ্র,mer
126,Bucht::N,উপসাগর,baie
127,Insel::N,দ্বীপ,île
128,Blume::N,ফুল,fleur
129,Gras::N,ঘাস,herbe
130,Wurzel::N,শিকড়,racine
131,Baum::N,গাছ,arbre
132,Stamm::N,স্কন্ধ,tronc
133,Rinde::N,বল্কল,écorce
134,Ast::N,শাখা,branche
135,Zweig::N,ডাল,rameau
136,Blatt::N,পর্ণ,feuille
137,Birke::N,ভুর্জ,bouleau
138,Kiefer[Baum]::N,পাইন গাছ,pin
139,Weide[Baum]::N,উইলো,saule
140,Tanne::N,দেবদারূ গাছ,sapin
141,Horn::N,শিং,corne
142,Feder::N,পালক,plume
143,Fell::N,রোম,peau
144,Flügel::N,ডানা,aile
145,Klaue::N,নখর,serre
146,Kralle::N,নখর,ongle
147,Kralle::N,নখর,griffe
148,Schwanz::N,লেজ,queue
149,Ei::N,ডিম,œuf
150,Nest::N,কুলায়,nid
151,Bau::N,ডেরা,terrier
152,Tier::N,জন্তু,animal
153,Herde::N,ঝাঁক,troupeau
154,Kuh::N,গোরু,vache
155,Bulle::N,বৃষ,taureau
156,Pferd::N,ঘোড়া,cheval
157,Schaf::N,ভেড়া,mouton
158,Schwein::N,শূকর,porc
159,Schwein::N,শূকর,cochon
160,Hund::N,কুকুর,chien
161,Katze::N,বেড়াল,chat
162,Bär::N,ভল্লুক,ours
163,Eichhörnchen::N,কাঠবিড়াল,écureuil
164,Elch::N,হরিণবিশেষ,élan
165,Fuchs::N,পাঁতিশিয়াল,renard
166,Hase::N,শশক,lièvre
167,Maus::N,নেংটি ইঁদুর,souris
168,Wolf::N,নেকড়ে,loup
169,Vogel::N,পক্ষী,oiseau
170,Schwarm::N,ঝাঁক,nuée
171,Schwarm::N,ঝাঁক,volée
172,Huhn::N,মোরগ,poule
173,Hahn::N,কুক্কুট,coq
174,Gans::N,হংসী,oie
175,Adler::N,ইগল,aigle
176,Ente::N,হংসী,canard
177,Eule::N,পেচক,hibou
178,Kranich::N,সারস,grue
179,Krähe::N,কাক,corneille
180,Kuckuck::N,কোকিল,coucou
181,Schwan::N,মরাল,cygne
182,Fisch::N,মাছ,poisson
183,Barsch::N,মৎন্যবিশেষ,perche
184,Hecht::N,বানমাছ,brochet
185,Schlange[Tier]::N,সর্প,serpent
186,Wurm::N,কীট,ver
187,Spinne::N,মাকড়সা,araignée
188,Ameise::N,পিপীলিকা,fourmi
189,Laus::N,উকুন,pou
190,Mücke::N,মশা,moucheron
191,Fliege::N,মাছি,mouche
192,Schmetterling::N,প্রজাপতি,papillon
193,Beere::N,বেরি,baie
194,Apfel::N,আপেল,pomme
195,Pilz::N,ছত্রক,champignon
196,Zwiebel::N,পিয়াজ,oignon
197,Saat::N,বীজ,semence
198,Korn::N,শস্য,grain
199,Heu::N,খড়,foin
200,Schale::N,খোসা,pelure
201,Grube::N,গর্ত,fosse
202,Falle::N,ফাঁদ,piège
203,Schlinge::N,পাশ,lacs
204,Spur::N,চিহ্ন,trace
205,Asche::N,ভস্ম,cendre
206,Dreck::N,ময়লা,crotte
207,Eisen::N,লোহা,fer
208,Gold::N,স্বর্ণ,or
209,Silber::N,রৌপ্য,argent
210,Kohle::N,অঙ্গার,charbon
211,Glas::N,কাচ,verre
212,Lehm::N,মৃত্তিকা,glaise
213,Sand::N,বালি,sable
214,Mensch::N,নর,homme
215,Mensch::N,মানুষ,homme
216,Mann::N,মানুষ,homme
217,Frau::N,নারী,femme
