,Concept_ID,pl,ar
0,Auge::N,oko,عين
1,Ohr::N,ucho,أذن
2,Nase::N,nos,أنف
3,Mund::N,usta,فم
4,Zahn::N,ząb,سن
5,Zunge::N,język,لسان
6,Lippe::N,warga,شفة
7,Wange::N,policzek,خد
8,Wange::N,policzek,وجنة
9,Gesicht::N,twarz,وجه
10,Stirn::N,czoło,جبين
11,Haar::N,włos,شعر
12,Haar::N,włosy,شعر
13,Schnurrbart::N,wąsy,شارب
14,Bart::N,broda,لحية
15,Kinn::N,podbródek,ذقن
16,Kiefer[Anatomie]::N,czeluść,فك
17,Kehle::N,gardło,حلق
18,Hals::N,szyja,عنق
19,Hals::N,szyja,رقبة
20,Genick::N,kark,قفا
21,Kopf::N,głowa,رأس
22,Rücken::N,plecy,ظهر
23,Rücken::N,grzbiet,ظهر
24,Bauch::N,brzuch,بطن
25,Nabel::N,pępek,سرة
26,Busen::N,biust,ثدي
27,Brust::N,pierś,صدر
28,Schulter::N,bark,كتف
29,Schulter::N,ramię,كتف
30,Arm::N,ręka,ذراع
31,Arm::N,ramię,ذراع
32,Ellenbogen::N,łokieć,كوع
33,Hand::N,dłoń,يد
34,Handfläche::N,dłoń,كف
35,Finger::N,palec,إصبع
36,Fingernagel::N,paznokieć,ظفر
37,Nagel[Anatomie]::N,paznokieć,ظفر
38,Zeh::N,palec,إصبع القدم
39,Fuß::N,stopa,قدم
40,Ferse::N,pięta,كعب
41,Knie::N,kolano,ركبة
42,Oberschenkel::N,udo,فخذ
43,Bein::N,noga,ساق
44,Körper::N,ciało,جسم
45,Haut::N,skóra,بشرة
46,Blut::N,krew,دم
47,Ader::N,żyła,عرق
48,Sehne::N,ścięgno,طنب
49,Knochen::N,kość,عظم
50,Gehirn::N,mózg,دماغ
51,Herz::N,serce,قلب
52,Magen::N,żołądek,معدة
53,Leber::N,wątroba,كبد
54,Atem::N,dech,نفس
55,Atem::N,oddech,نفس
56,Hunger::N,głód,جوع
57,Träne::N,łza,دمعة
58,Geschmack::N,smak,طعم
59,Geschmack::N,smak,مذاق
60,Geruch::N,woń,رائحة
61,Geruch::N,zapach,رائحة
62,Schlaf::N,sen,نوم
63,Schlaf::N,sen,منام
64,Traum::N,sen,حلم
65,Himmel::N,niebo,سماء
66,Sonne::N,słońce,شمس
67,Mond::N,księżyc,قمر
68,Stern::N,gwiazda,نجم
69,Stern::N,gwiazda,كوكب
70,Luft::N,powietrze,هواء
71,Wind::N,wiatr,ريح
72,Welle::N,fala,موجة
73,Wasser::N,woda,ماء
74,Stein::N,kamień,حجر
75,Boden::N,grunt,تراب
76,Erde::N,ziemia,أرض
77,Staub::N,pył,غبار
78,Staub::N,kurz,غبار
