,Concept_ID,,ka
0,Auge::N,,თვალი
1,Ohr::N,,ყური
2,Nase::N,,ცხვირი
3,Mund::N,,პირი
4,Zahn::N,,კბილი
5,Zunge::N,,ენა
6,Lippe::N,,ბაგე
7,Wange::N,,ლოყა
8,Gesicht::N,,სახე
9,Stirn::N,,შუბლი
10,Haar::N,,თმა
11,Schnurrbart::N,,ულვაში
12,Bart::N,,წვერი
13,Kinn::N,,ნიკაპი
14,Kiefer[Anatomie]::N,,ყბა
15,Kehle::N,,ყელი
16,Hals::N,,ყელი
17,Hals::N,,კისერი
18,Genick::N,,კეფა
19,Kopf::N,,თავი
20,Rücken::N,,ზურგი
21,Bauch::N,,მუცელი
22,Nabel::N,,ჭიპი
23,Busen::N,,ძუძუ
24,Brust::N,,მკერდი
25,Schulter::N,,მხარი
26,Schulter::N,,მკლავი
27,Arm::N,,ხელი
28,Ellenbogen::N,,იდაყვი
29,Hand::N,,ხელი
30,Handfläche::N,,ნები
31,Handfläche::N,,ხელისგული
32,Finger::N,,თითი
33,Fingernagel::N,,ფრჩხილი
34,Nagel[Anatomie]::N,,ფრჩხილი
35,Zeh::N,,ფეხის თითი
36,Fuß::N,,ტერფი
37,Fuß::N,,ფეხისგული
38,Ferse::N,,ქუსლი
39,Knie::N,,მუხლი
40,Oberschenkel::N,,ბარძაყი
41,Bein::N,,ფეხი
42,Körper::N,,ტანი
43,Körper::N,,სხეული
44,Haut::N,,კანი
45,Blut::N,,სისხლი
46,Ader::N,,ძარღვი
47,Sehne::N,,მყესი
48,Knochen::N,,ძვალი
49,Gehirn::N,,ტვინი
50,Herz::N,,გული
51,Magen::N,,კუჭი
52,Leber::N,,ღვიძლი
53,Atem::N,,სუნთქვა
54,Hunger::N,,შიმშილი
55,Träne::N,,ცრემლი
56,Geschmack::N,,გემო
57,Geruch::N,,სუნი
58,Schlaf::N,,ძილი
59,Traum::N,,სიზმარი
60,Himmel::N,,ცა
61,Sonne::N,,მზე
62,Mond::N,,მთვარე
63,Stern::N,,ვარსკვლავი
64,Luft::N,,ჰაერი
65,Wind::N,,ქარი
66,Welle::N,,ტალღა
67,Wasser::N,,წყალი
68,Stein::N,,ქვა
69,Boden::N,,მიწა
70,Erde::N,,ნიადაგი
71,Staub::N,,მტვერი
72,Rauch::N,,ბოლი
73,Rauch::N,,კვამლი
74,Funke::N,,ნაკვესი
75,Feuer::N,,ცეცხლი
76,Licht::N,,შუქი
77,Licht::N,,სინათლე
78,Schatten::N,,ლანდი
79,Schatten::N,,ჩრდილი
80,Wetter::N,,ამინდი
81,Nebel::N,,ნისლი
82,Wolke::N,,ღრუბელი
83,Regen::N,,წვიმა
84,Schnee::N,,თოვლი
85,Eis::N,,თოში
86,Eis::N,,ყინული
87,Frost::N,,ყინვა
88,Kälte::N,,სიცივე
89,Hitze::N,,სიცხე
90,Raureif::N,,ჭირხლი
91,Raureif::N,,თრთვილი
92,Regenbogen::N,,ცისარტყელა
93,Donner::N,,ქუხილი
94,Strömung::N,,დინება
95,Tropfen::N,,წვეთი
96,Schaum::N,,ქაფი
97,Schaum::N,,დორბლი
98,Schmutz::N,,ჭუჭყი
99,Schmutz::N,,ტალახი
100,See::N,,ტბა
101,Sumpf::N,,ჭაობი
102,Moor::N,,ტორფნარი
103,Wiese::N,,ველი
104,Wiese::N,,მდელო
105,Wald::N,,ტყე
106,Hügel::N,,ბორცვი
107,Anhöhe::N,,მაღლობი
108,Berg::N,,მთა
109,Gipfel::N,,მწვერვალი
110,Höhle::N,,მღვიმე
111,Höhle::N,,გამოქვებული
112,Abhang::N,,ფერდობი
113,Quelle::N,,წყარო
114,Quelle::N,,სათავე
115,Bach::N,,რუ
116,Bach::N,,ნაკადული
117,Fluss::N,,მდინარე
118,Ufer::N,,კიდე
119,Ufer::N,,ნაპირი
120,Küste::N,,ნაპირი
121,Festland::N,,ხმელეთი
122,Meer::N,,ზღვა
123,Bucht::N,,ყურე
124,Insel::N,,კუნძული
125,Blume::N,,ყვავილი
126,Gras::N,,ბალახი
127,Wurzel::N,,ძირი
128,Wurzel::N,,ფესვი
129,Baum::N,,ხე
130,Stamm::N,,ტანი
131,Rinde::N,,ქერქი
132,Ast::N,,ტოტი
133,Zweig::N,,შტო
134,Blatt::N,,ფოთოლი
135,Birke::N,,არყი
136,Kiefer[Baum]::N,,ფიჭვი
137,Weide[Baum]::N,,ტირიფი
138,Tanne::N,,ნაძვი
139,Horn::N,,რქა
140,Feder::N,,ფრთა
141,Fell::N,,ტყავი
142,Flügel::N,,ფრთა
143,Klaue::N,,კლანჭი
144,Kralle::N,,ტორი
145,Schwanz::N,,კუდი
146,Ei::N,,კვერცხი
147,Nest::N,,ბუდე
148,Bau::N,,სორო
149,Tier::N,,ნადირი
150,Tier::N,,ცხოველი
151,Herde::N,,ფარა
152,Kuh::N,,ფური
153,Kuh::N,,ძროხა
154,Bulle::N,,ხარი
155,Pferd::N,,რაში
156,Pferd::N,,ცხენი
157,Schaf::N,,ცხვარი
158,Schwein::N,,ღორი
159,Hund::N,,ძაღლი
160,Katze::N,,კატა
161,Bär::N,,დათვი
162,Eichhörnchen::N,,ციყვი
163,Elch::N,,ცხენ-ირემი
164,Fuchs::N,,მელა
165,Hase::N,,კურდღელი
166,Maus::N,,თაგვი
167,Wolf::N,,მგელი
168,Vogel::N,,ჩიტი
169,Vogel::N,,ფრინველი
170,Schwarm::N,,გუნდი
171,Huhn::N,,დედალი
172,Hahn::N,,მამალი
173,Gans::N,,ბატი
174,Adler::N,,არწივი
175,Ente::N,,იხვი
176,Eule::N,,ბუ
177,Kranich::N,,წერო
178,Krähe::N,,ყვავი
179,Kuckuck::N,,გუგული
180,Schwan::N,,გედი
181,Fisch::N,,თევზი
182,Barsch::N,,ქორჭილა
