,Concept_ID,br,mhr
0,Auge::N,lagad,шинча́
1,Ohr::N,skouarn,пы́лыш
2,Nase::N,fri,нер
3,Mund::N,genoù,умша́
4,Zahn::N,dant,пӱй
5,Zunge::N,teod,йы́лме
6,Lippe::N,muzell,тӱ́рвӧ
7,Wange::N,chot,шӱ́ргӧ
8,Gesicht::N,dremm,чури́й
9,Stirn::N,tal,саҥга́
10,Haar::N,blev,ӱп
11,Schnurrbart::N,mourenn,ӧ́рыш
12,Bart::N,barv,понда́ш
13,Kinn::N,groñj,оҥыла́ш
14,Kiefer[Anatomie]::N,javed,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,javed,пӱйората́
16,Kehle::N,gouzoug,лога́р
17,Hals::N,gouzoug,шӱй
18,Genick::N,choug,шӱйло́дыш
19,Kopf::N,penn,вуй
20,Rücken::N,kein,туп
21,Bauch::N,kof,мӱ́шкыр
22,Nabel::N,begel,кы́лымде
23,Busen::N,bronn,чы́зе
24,Brust::N,bruched,оҥ
25,Schulter::N,skoaz,ва́че
26,Arm::N,brec'h,кид
27,Ellenbogen::N,ilin,кынерву́й
28,Hand::N,dorn,кид
29,Hand::N,dorn,копа́
30,Handfläche::N,palv,со́во
31,Finger::N,biz,парня́
32,Fingernagel::N,ivin,кидкӱ́ч
33,Fingernagel::N,ivin,парнягӱ́ч
34,Nagel[Anatomie]::N,ivin,кӱч
35,Zeh::N,biz-troad,йолварня́
36,Fuß::N,troad,йол
37,Fuß::N,troad,йолкопа́
38,Ferse::N,seul,тага́н
39,Knie::N,glin,пулву́й
40,Oberschenkel::N,morzhed,э́рде
41,Bein::N,gar,йол
42,Körper::N,korf,кап
43,Haut::N,kroc'hen,кова́ште
44,Blut::N,gwad,вӱр
45,Ader::N,gwazhi,шӧн
46,Sehne::N,stir,шӧн
47,Sehne::N,stir,кӱсе́н
48,Knochen::N,askorn,лу
49,Gehirn::N,empenn,вем
50,Gehirn::N,empenn,вуйве́м
51,Herz::N,kalon,шӱм
52,Magen::N,stomog,пага́р
53,Leber::N,avu,мокш
54,Atem::N,anal,шӱ́лыш
55,Hunger::N,naon,шужыма́ш
56,Träne::N,daer,шинчавӱ́д
57,Geschmack::N,blaz,там
58,Geruch::N,c'hwezh,пуш
59,Schlaf::N,kousked,о́мо
60,Traum::N,hune,йӱдо́мо
61,Himmel::N,oabl,кава́
62,Sonne::N,heol,ке́че
63,Mond::N,loar,ты́лзе
64,Stern::N,steredenn,шӱ́дыр
65,Luft::N,aer,юж
66,Wind::N,avel,марде́ж
67,Welle::N,houlenn,то́лкын
68,Wasser::N,dour,вӱд
69,Stein::N,maen,кӱ
70,Boden::N,tachenn,рок
71,Erde::N,douar,мла́нде
72,Staub::N,poultr,пура́к
73,Rauch::N,moged,шикш
74,Funke::N,ful,сеске́м
75,Funke::N,ful,тулйы́п
76,Feuer::N,tan,тул
77,Licht::N,gouloù,со́то
78,Schatten::N,disheol,ӱ́мыл
79,Wetter::N,amzer,иге́че
80,Nebel::N,brumenn,тӱтыра́
81,Wolke::N,koumoulenn,пыл
82,Regen::N,glav,йӱр
83,Schnee::N,erc'h,лум
84,Eis::N,skorn,ий
85,Frost::N,rev,чатлама́
86,Kälte::N,yen,йӱ́штӧ
87,Hitze::N,tommder,шо́кшо
88,Raureif::N,frim,пӧрш
89,Raureif::N,frim,по́кшым
90,Regenbogen::N,gwareg-ar-glav,шонанпы́л
91,Donner::N,kurun,кӱ́дырчӧ
92,Strömung::N,red,йо́гын
93,Tropfen::N,bannac'h,чӱча́лтыш
94,Tropfen::N,takenn,чӱча́лтыш
95,Schaum::N,spoum,шоҥ
96,Schmutz::N,fank,лавыра́
97,See::N,lenn,ер
98,Sumpf::N,gwern,лӱ́кӧ
99,Moor::N,taouarc'heg,куп
100,Wiese::N,prad,о́лык
101,Wald::N,koad,чодыра́
102,Hügel::N,torgenn,арка́
103,Anhöhe::N,run,тӧва́
104,Anhöhe::N,run,кӱкшака́
105,Berg::N,menez,ку́рык
106,Gipfel::N,barr,чаҥга́
107,Gipfel::N,barr,курыкву́й
108,Höhle::N,kav,пеще́р
109,Höhle::N,kav,курыкпо́мыш
110,Abhang::N,naou,та́йыл
111,Quelle::N,feunteun,важ
112,Quelle::N,feunteun,вӱдшинча́
113,Bach::N,gwazh,изэҥе́р
114,Fluss::N,stêr,эҥе́р
115,Ufer::N,ribl,сер
116,Küste::N,aod,вӱдтӱ́р
117,Festland::N,douar,мла́нде
118,Meer::N,mor,те́ҥыз
