,Concept_ID,bn,myv
0,Auge::N,চক্ষু,сельме
1,Ohr::N,কর্ণ,пиле
2,Nase::N,নাক,судо
3,Mund::N,মুখ,курго
4,Zahn::N,দাঁত,пей
5,Zunge::N,জিহবা,кель
6,Lippe::N,অধর,турва
7,Wange::N,গণ্ড,чамабока
8,Wange::N,গণ্ড,чамаумарь
9,Gesicht::N,মুখমণ্ডল,чама
10,Stirn::N,কপাল,коня
11,Haar::N,চুল,черь
12,Schnurrbart::N,গোঁফ,ус
13,Schnurrbart::N,গোঁফ,муюк
14,Bart::N,শ্মশ্রু,сакал
15,Kinn::N,চিবুক,уло
16,Kiefer[Anatomie]::N,চোয়াল,пейпакар
17,Kiefer[Anatomie]::N,চোয়াল,пейловажа
18,Kehle::N,কণ্ঠ,кирьгапарь
19,Hals::N,গল,кирьга
20,Genick::N,ঘাড়,човонь
21,Kopf::N,মাথা,пря
22,Rücken::N,পৃষ্ঠ,копорь
23,Bauch::N,উদর,пеке
24,Nabel::N,নাভি,почо
25,Busen::N,স্তন,поте
26,Brust::N,বুক,меште
27,Schulter::N,স্কন্ধ,лавтов
28,Arm::N,বাহু,кедь
29,Ellenbogen::N,কনুই,кенерепакарь
30,Hand::N,হাত,кедь
31,Handfläche::N,করতল,кедькуншка
32,Handfläche::N,করতল,кедьлапушка
33,Finger::N,আঙ্গুল,сур
34,Fingernagel::N,হাতের নখ,кенже
35,Nagel[Anatomie]::N,নখ,кенже
36,Zeh::N,আঙ্গুল,пильге сур
37,Fuß::N,পা,пильге
38,Ferse::N,গোড়ালি,кочкаря
39,Knie::N,হাঁটু,эле
40,Knie::N,হাঁটু,эзне
41,Knie::N,হাঁটু,кумажа
42,Oberschenkel::N,ঊরু,качо
43,Bein::N,পা,пильге
44,Körper::N,দেহ,рунго
45,Haut::N,ত্বক,киське
46,Blut::N,রক্ত,верь
47,Ader::N,শিরা,сан
48,Sehne::N,কণ্ডরা,коське сан
49,Knochen::N,অস্থি,пакарь
50,Gehirn::N,মস্তিষ্ক,удем
51,Herz::N,হৃৎপিণ্ড,седей
52,Magen::N,পাকস্থলী,пеке
53,Leber::N,যকৃৎ,максо
54,Atem::N,শ্বাস,лексема
55,Atem::N,শ্বাস,оймень таргсема
56,Hunger::N,ক্ষুধা,вачочи
57,Träne::N,অশ্রু,селведь
58,Geschmack::N,স্বাদ,тансть
59,Geruch::N,গন্ধ,чине
60,Schlaf::N,ঘুম,удома
61,Traum::N,স্বপ্ন,он
62,Himmel::N,আকাশ,менель
63,Sonne::N,সূর্য,чи
64,Mond::N,চন্দ্র,ков
65,Stern::N,নক্ষত্র,теште
66,Luft::N,বায়ু,кошт
67,Wind::N,বাতাস,варма
68,Welle::N,ঢেউ,толкун
69,Welle::N,তরঙ্গ,толкун
70,Wasser::N,জল,ведь
71,Stein::N,ঢিল,кев
72,Stein::N,প্রস্তর,кев
73,Boden::N,ভূতল,мода
74,Erde::N,ভূমি,мастор
75,Staub::N,ধুলা,пуль
76,Rauch::N,ধোঁয়া,качамо
77,Funke::N,স্ফুলিঙ্গ,сятко
78,Feuer::N,অগ্নি,тол
79,Licht::N,আলো,валдо
80,Schatten::N,ছায়া,сулей
81,Schatten::N,ছায়া,сулейкс
82,Wetter::N,আবহাওয়া,ушо
83,Nebel::N,কুহেলিকা,сув
84,Wolke::N,মেঘ,пель
85,Regen::N,বৃষ্টি,пиземс
86,Schnee::N,তুষার,лов
87,Eis::N,বরফ,эй
88,Frost::N,তুষার,кельме
89,Kälte::N,শৈত্য,якшамо
90,Hitze::N,তাপ,пси
91,Raureif::N,তুহিন,лекш
92,Regenbogen::N,রামধনু,пурьгинечирьке
93,Regenbogen::N,রামধনু,пурьгинеёнкс
94,Donner::N,বজ্রধ্বনি,пурьгине
95,Strömung::N,স্রোত,чудема
96,Strömung::N,স্রোত,чудевкс
97,Tropfen::N,ফোঁটা,петнявкс
98,Schaum::N,ফেনা,чов
99,Schmutz::N,ধুলা,рудаз
100,See::N,হ্রদ,эрьке
101,Sumpf::N,জলা,чей
102,Moor::N,মাঠ,чей
103,Wiese::N,তৃণভূমি,луга
104,Wald::N,বন,вирь
105,Hügel::N,পাহাড়,губорь
106,Hügel::N,পাহাড়,пандыне
107,Anhöhe::N,টিলা,губорь
108,Anhöhe::N,টিলা,пандыне
109,Berg::N,পর্বত,пандо
110,Gipfel::N,শীর্ষ,пря
111,Höhle::N,গুহা,пещера
112,Abhang::N,ঢাল,пандочама
113,Quelle::N,উৎস,ушодкс
114,Bach::N,ক্ষুদ্র নদী,чудикерькс
115,Fluss::N,নদী,лей
116,Ufer::N,উপকূল,чире
117,Küste::N,তীর,лейчире
118,Festland::N,ভূমি,мода
119,Meer::N,সমুদ্র,моря
120,Bucht::N,উপসাগর,усия
121,Insel::N,দ্বীপ,усия
122,Blume::N,ফুল,цеця
123,Gras::N,ঘাস,тикше
124,Wurzel::N,শিকড়,юр
125,Wurzel::N,শিকড়,ундокс
126,Baum::N,গাছ,чувто
127,Stamm::N,স্কন্ধ,рунго
