,Concept_ID,te,av
0,Auge::N,కన్ను,
1,Ohr::N,చెవి,гӏин
2,Nase::N,ముక్కు,мегӏер
3,Mund::N,నోరు,кӏал
4,Zahn::N,పల్లు,гӏус
5,Zunge::N,నాలుక,мацӏ
6,Lippe::N,పెదవి,кӏветӏ
7,Wange::N,చెంప,гӏоно
8,Gesicht::N,ముఖము,гьумер
9,Stirn::N,నుదురు,нодо
10,Haar::N,వెండ్రుక,рас
11,Schnurrbart::N,మీసము,михъ
12,Bart::N,గడ్డము,мегеж
13,Kinn::N,గడ్డము,нилъу
14,Kiefer[Anatomie]::N,దౌడ,чанагъ
15,Kehle::N,గొంతు,щекъер
16,Hals::N,మెడ,габур
17,Genick::N,మూపు,гъванща
18,Kopf::N,తల,бетӏер
19,Rücken::N,వెన్ను,мугъ
20,Bauch::N,కడుపు,чехь
21,Nabel::N,బొడ్డు,цӏину
22,Busen::N,స్తనము,керен
23,Brust::N,ఱొమ్ము,керен
24,Schulter::N,భుజము,гъажазубетӏер
25,Arm::N,చేయి,гъеж
26,Ellenbogen::N,మోచేయి,гӏункӏрукь
27,Hand::N,చేయి,квер
28,Handfläche::N,అరచేయు,огъохъат
29,Handfläche::N,అరచేయు,жанисахъат
30,Finger::N,చేతిప్రేలు,килищ
31,Fingernagel::N,గోరు,малъ
32,Nagel[Anatomie]::N,గోరు,малъ
33,Zeh::N,కాలిప్రేలు,килищ
34,Fuß::N,అడుగు,хӏетӏ
35,Fuß::N,అడుగు,хӏетӏе
36,Ferse::N,మడమ,эгъе
37,Knie::N,మోకాలు,наку
38,Oberschenkel::N,తొడ,мачӏ
39,Bein::N,కాలు,бох
40,Körper::N,కాయము,къаркъала
41,Haut::N,చర్మము,тӏом
42,Blut::N,రక్తము,би
43,Ader::N,సిర,бидурихь
44,Sehne::N,స్నాయువు,
45,Knochen::N,ఎముక,ракьа
46,Gehirn::N,మెదడు,гӏадалнах
47,Herz::N,హృదయము,ракӏ
48,Magen::N,కడుపు,кванирукъ
49,Leber::N,కాలేయము,тӏул
50,Atem::N,ఉపిరి,хӏухь
51,Hunger::N,ఆకలి,ракъи
52,Träne::N,కన్నీటిచుక్క,магӏу
53,Geschmack::N,రుచి,тату
54,Geruch::N,వాసన,махӏ
55,Schlaf::N,నిద్ర,макьу
56,Traum::N,కల,макьу
57,Himmel::N,ఆకాశము,зоб
58,Sonne::N,సూర్యుడు,бакъ
59,Mond::N,చంద్రుడు,моцӏ
60,Stern::N,నక్షత్రము,цӏва
61,Luft::N,గాలి,гьава
62,Wind::N,వీచుచున్నగాలి,гьури
63,Welle::N,అల,карачел
64,Wasser::N,నీరు,лъим
65,Stein::N,ఱాయి,гьецӏо
66,Boden::N,నేల,ракь
67,Erde::N,మన్ను,ракь
68,Erde::N,మన్ను,дуниял
69,Staub::N,దుమ్ము,хӏур
