,Concept_ID,ko,sq
327,Platz::N,장소,shesh
328,Ort::N,장소,vend
329,Seite::N,옆면,anë
330,Mitte::N,궁간,mes
331,Gegenstand::N,항목,send
332,Sache::N,뭉에,gjë
333,Sache::N,뭉에,send
334,Rand::N,가,qoshe
335,Kante::N,귀퉁,teh
336,Ecke::N,구석,qoshe
337,Spitze::N,끝,majë
338,Spitze::N,참단,majë
339,Ende::N,말당,skaj
340,Ende::N,말당,bisht
341,Loch::N,빙옷,vrimë
342,Winkel::N,각도,kënd
343,Muster::N,본,mostër
344,Muster::N,견복,mostër
345,Größe::N,신장,madhësi
346,Länge::N,길이긺,gjatësi
347,Höhe::N,높이,lartësi
348,Gewicht::N,추,peshë
349,Menge::N,수양,sasi
350,Haufen::N,퇴적,grumbull
351,Reihe::N,열,radhë
352,Reihe::N,열,rresht
353,Boot::N,보트,barkë
354,Boot::N,보트,lundër
355,Ruder::N,노,rrem
356,Schlitten::N,썰매,sajë
357,Ski::N,스키,ski
358,Lagerfeuer::N,캠프의 모닥불,flakadan
359,Lagerfeuer::N,캠프의 모닥불,zjarr i madh
360,Last::N,무거운짐,barrë
361,Gang::N,걸음,ecje
362,Schritt::N,보조,hap
363,Norden::N,북쪽 ,veri
364,Süden::N,남쪽,jug
365,Westen::N,서쪽,perëndim
366,Osten::N,동쪽,lindje
367,Holz::N,목재,dru
368,Brett::N,마루널,dërrasë
369,Platte::N,탤,pllakë
370,Platte::N,금속판,pllakë
371,Stütze::N,버팀목,shtyllë
372,Stütze::N,버팀목,mbështetesë
373,Stange::N,장대,shufër
374,Stock::N,막대기,dajak
375,Stab::N,작대기,shkop
376,Rohr::N,갈대,tub
377,Haus::N,집,shtëpi
378,Heim::N,집,konak
379,Heim::N,집,shtëpi
380,Ofen::N,아궁이,sobë
381,Ofen::N,아궁이,stufë
382,Fußboden::N,마루,dysheme
383,Tisch::N,탁자,tryezë
384,Stuhl::N,의자,karrige
385,Wiege::N,발상지,djep
386,Bett::N,침대,shtrat
387,Regal::N,서가,raft
388,Kiste::N,짐궤,kuti
389,Fenster::N,눔,dritare
390,Tür::N,문,derë
391,Tor::N,대문,portë
392,Zaun::N,담장,gardh
393,Dach::N,지붕,çati
394,Leiter::N,사닥다리,shkallë
395,Besen::N,비,fshesë
396,Spaten::N,가래,lopatë
397,Schaufel::N,삽,qyrek
398,Gabel::N,갈래,pirun
399,Löffel::N,숟가락,lugë
400,Messer::N,나이프,thikë
401,Nagel::N,발툽,gozhdë
402,Netz::N,그물,rrjetë
403,Haken::N,갈고리,grep
404,Haken::N,갈고리,grremç
405,Griff::N,움켜쥠,dorak
406,Griff::N,움켜쥠,dorezë
407,Schloss::N,자물쇠,bravë
408,Bild::N,그림,tablo
409,Bild::N,그림,pikturë
410,Figur::N,몸메,figurë
411,Puppe::N,인형,kukull
412,Beutel::N,클,qese
413,Beutel::N,클,trastë
414,Bündel::N,자근다발,deng
415,Tasche::N,가방,çantë
416,Eimer::N,동이,kovë
417,Deckel::N,뚜껑,kapak
