,Concept_ID,lez,is
0,Auge::N,вил,auga
1,Ohr::N,яб,eyra
2,Nase::N,нер,nef
3,Mund::N,сив,munnur
4,Zahn::N,сас,tönn
5,Zahn::N,свах,tönn
6,Zunge::N,мез,tunga
7,Lippe::N,пӏуз,vör
8,Wange::N,хъвехъ,kinn
9,Wange::N,хъвехъ,vangi
10,Gesicht::N,ччин,andlit
11,Stirn::N,пел,enni
12,Haar::N,чӏар,hár
13,Schnurrbart::N,спел,yfirskegg
14,Schnurrbart::N,спелар,yfirskegg
15,Bart::N,ччуру,skegg
16,Kinn::N,чене,haka
17,Kiefer[Anatomie]::N,чене,kjálki
18,Kiefer[Anatomie]::N,чене,skoltur
19,Kehle::N,туьд,kverk
20,Hals::N,гардан,háls
21,Genick::N,кьам,hnakki
22,Kopf::N,кьил,höfuð
23,Rücken::N,далу,hryggur
24,Bauch::N,руфун,kviður
25,Nabel::N,пицӏ,nafli
26,Busen::N,мам,barmur
27,Brust::N,хур,brjóst
28,Schulter::N,къуьн,öxl
29,Arm::N,гъил,armur
30,Ellenbogen::N,кьуьнт,olnbogi
31,Hand::N,капаш,hönd
32,Handfläche::N,капан юкь,lófi
33,Finger::N,тӏуб,fingur
34,Fingernagel::N,кек,fingurnögl
35,Nagel[Anatomie]::N,кек,nögl
36,Zeh::N,кул,tá
37,Fuß::N,кӏвач,fótur
38,Ferse::N,дабан,hæll
39,Knie::N,мет,kné
40,Bein::N,кӏвач,fótleggur
41,Körper::N,беден,búkur
42,Körper::N,беден,líkami
43,Haut::N,хам,húð
44,Haut::N,хам,skinn
45,Blut::N,иви,blóð
46,Ader::N,дамар,æð
47,Sehne::N,кьуру дамар,sin
48,Knochen::N,кӏараб,bein
49,Gehirn::N,мефт,heili
50,Herz::N,рикӏ,hjarta
51,Magen::N,хук,magi
52,Leber::N,лекь,lifur
53,Atem::N,ял,andi
54,Atem::N,ял,andardráttur
55,Atem::N,нефес,andi
56,Atem::N,нефес,andardráttur
57,Hunger::N,каш,hungur
58,Träne::N,вилин нагъв,tár
59,Geschmack::N,дад,smekkur
60,Geschmack::N,тӏям,smekkur
61,Geruch::N,ни,lykt
