,Concept_ID,,mn
0,Auge::N,,нүд
1,Ohr::N,,чих
2,Nase::N,,хамар
3,Mund::N,,ам
4,Zahn::N,,шүд
5,Zunge::N,,хэл
6,Lippe::N,,уруул
7,Wange::N,,хацар
8,Gesicht::N,,царай
9,Gesicht::N,,нүүр
10,Stirn::N,,дух
11,Haar::N,,үс
12,Schnurrbart::N,,дээд сахал
13,Schnurrbart::N,,живэр сахал
14,Bart::N,,сахал
15,Kinn::N,,эрүү
16,Kiefer[Anatomie]::N,,эрүү
17,Kehle::N,,хоолой
18,Hals::N,,хүзүү
19,Genick::N,,шил
20,Genick::N,,хүзүү
21,Kopf::N,,толгой
22,Rücken::N,,ар
23,Rücken::N,,нуруу
24,Bauch::N,,хэвлий
25,Bauch::N,,гэдэс
26,Nabel::N,,хүйс
27,Busen::N,,хөх
28,Brust::N,,цээж
29,Schulter::N,,мөр
30,Schulter::N,,бугалга
31,Arm::N,,гар
32,Ellenbogen::N,,тохой
33,Hand::N,,гар
34,Hand::N,,алга
35,Handfläche::N,,алга
36,Finger::N,,хуруу
37,Fingernagel::N,,хурууны хумс
38,Nagel[Anatomie]::N,,хумс
39,Zeh::N,,хуруу
40,Fuß::N,,хөл
41,Ferse::N,,өсгий
42,Knie::N,,өвдөг
43,Oberschenkel::N,,гуя
44,Bein::N,,хөл
45,Körper::N,,бие
46,Haut::N,,арьс
47,Blut::N,,цус
48,Ader::N,,судас
49,Sehne::N,,бүлх
50,Sehne::N,,шандас
51,Knochen::N,,яс
52,Gehirn::N,,тархи
53,Herz::N,,зүрх
54,Magen::N,,ходоод
55,Leber::N,,элэг
56,Atem::N,,амьсгаа
57,Hunger::N,,өлсгөлөн
58,Träne::N,,нулимс
59,Geschmack::N,,амт
60,Geruch::N,,үнэр
61,Schlaf::N,,нойр
62,Traum::N,,зүүд
63,Himmel::N,,тэнгэр
64,Himmel::N,,огторгуй
65,Sonne::N,,нар
66,Mond::N,,сар
67,Stern::N,,од
68,Luft::N,,агаар
69,Wind::N,,салхи
70,Welle::N,,долгио
71,Welle::N,,давалгаа
72,Wasser::N,,ус
73,Stein::N,,чулуу
74,Boden::N,,хөрс
75,Erde::N,,газар
76,Erde::N,,шороо
77,Staub::N,,тоос
78,Rauch::N,,утаа
79,Funke::N,,оч
80,Feuer::N,,гал
81,Licht::N,,гэрэл
82,Licht::N,,гэгээ
83,Schatten::N,,сүүдэр
84,Wetter::N,,тэнгэр
85,Wetter::N,,цаг уур
86,Nebel::N,,будан
87,Wolke::N,,үүл
88,Regen::N,,бороо
89,Schnee::N,,цас
90,Eis::N,,мөс
91,Frost::N,,хүйт
92,Kälte::N,,хүйт
93,Hitze::N,,халуун
94,Raureif::N,,цан
95,Raureif::N,,хяруу
96,Regenbogen::N,,солонго
97,Donner::N,,тэнгэрийн дуу
98,Strömung::N,,урсгал
99,Tropfen::N,,дусал
100,Schaum::N,,хөөс
101,Schmutz::N,,хир
102,Schmutz::N,,шавхай
103,See::N,,нуур
104,Sumpf::N,,намаг
105,Sumpf::N,,балчиг
106,Moor::N,,хүлрийн намаг
107,Wiese::N,,нуга
108,Wald::N,,ой
109,Hügel::N,,болдог
110,Anhöhe::N,,гүвээ
111,Berg::N,,уул
112,Gipfel::N,,орой
113,Gipfel::N,,оргил
114,Höhle::N,,агуй
115,Abhang::N,,хүр
116,Quelle::N,,булаг
117,Bach::N,,горхи
118,Fluss::N,,гол
119,Fluss::N,,мөрөн
120,Ufer::N,,эрэг
121,Küste::N,,эрэг
