,Concept_ID,mhr,te
0,Auge::N,шинча́,కన్ను
1,Ohr::N,пы́лыш,చెవి
2,Nase::N,нер,ముక్కు
3,Mund::N,умша́,నోరు
4,Zahn::N,пӱй,పల్లు
5,Zunge::N,йы́лме,నాలుక
6,Lippe::N,тӱ́рвӧ,పెదవి
7,Wange::N,шӱ́ргӧ,చెంప
8,Gesicht::N,чури́й,ముఖము
9,Stirn::N,саҥга́,నుదురు
10,Haar::N,ӱп,వెండ్రుక
11,Schnurrbart::N,ӧ́рыш,మీసము
12,Bart::N,понда́ш,గడ్డము
13,Kinn::N,оҥыла́ш,గడ్డము
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,దౌడ
15,Kiefer[Anatomie]::N,пӱйората́,దౌడ
16,Kehle::N,лога́р,గొంతు
17,Hals::N,шӱй,మెడ
18,Genick::N,шӱйло́дыш,మూపు
19,Kopf::N,вуй,తల
20,Rücken::N,туп,వెన్ను
21,Bauch::N,мӱ́шкыр,కడుపు
22,Nabel::N,кы́лымде,బొడ్డు
23,Busen::N,чы́зе,స్తనము
24,Brust::N,оҥ,ఱొమ్ము
25,Schulter::N,ва́че,భుజము
26,Arm::N,кид,చేయి
27,Ellenbogen::N,кынерву́й,మోచేయి
28,Hand::N,кид,చేయి
29,Hand::N,копа́,చేయి
30,Handfläche::N,со́во,అరచేయు
31,Finger::N,парня́,చేతిప్రేలు
32,Fingernagel::N,кидкӱ́ч,గోరు
33,Fingernagel::N,парнягӱ́ч,గోరు
34,Nagel[Anatomie]::N,кӱч,గోరు
35,Zeh::N,йолварня́,కాలిప్రేలు
36,Fuß::N,йол,అడుగు
37,Fuß::N,йолкопа́,అడుగు
38,Ferse::N,тага́н,మడమ
39,Knie::N,пулву́й,మోకాలు
40,Oberschenkel::N,э́рде,తొడ
41,Bein::N,йол,కాలు
42,Körper::N,кап,కాయము
43,Haut::N,кова́ште,చర్మము
44,Blut::N,вӱр,రక్తము
45,Ader::N,шӧн,సిర
46,Sehne::N,шӧн,స్నాయువు
47,Sehne::N,кӱсе́н,స్నాయువు
48,Knochen::N,лу,ఎముక
49,Gehirn::N,вем,మెదడు
50,Gehirn::N,вуйве́м,మెదడు
51,Herz::N,шӱм,హృదయము
52,Magen::N,пага́р,కడుపు
