,Concept_ID,tt,et
0,Auge::N,күз,silm
1,Ohr::N,колак,kõrv
2,Nase::N,борын,nina
3,Mund::N,авыз,suu
4,Mund::N,тамак,suu
5,Zahn::N,теш,hammas
6,Zunge::N,тел,keel
7,Lippe::N,ирен,huul
8,Wange::N,яңак,põsk
9,Gesicht::N,йөз,nägu
10,Stirn::N,маңгай,otsmik
11,Haar::N,чәч,juus
12,Schnurrbart::N,мыек,vurrud
13,Schnurrbart::N,мыек,vuntsid
14,Bart::N,сакал,habe
15,Kinn::N,ияк,lõug
16,Kiefer[Anatomie]::N,казналык,lõualuu
17,Kehle::N,тамак,kõri
18,Hals::N,бугаз,kael
19,Genick::N,җилкә,kukal
20,Kopf::N,баш,pea
21,Rücken::N,сырт,selg
22,Bauch::N,корсак,kõht
23,Nabel::N,кендек,naba
24,Busen::N,түш,rind
25,Brust::N,имчәк,rind
26,Brust::N,күкрәк,rind
27,Schulter::N,иңбаш,õlg
28,Schulter::N,кулбаш,õlg
29,Arm::N,кул,käsivars
30,Ellenbogen::N,терсәк,küünarnukk
31,Hand::N,кул,käsi
32,Handfläche::N,уч,pihk
33,Finger::N,бармак,sõrm
34,Fingernagel::N,тырнак,küüs
35,Nagel[Anatomie]::N,тырнак,küüs
36,Zeh::N,бармак,varvas
37,Fuß::N,табан,jalg
38,Ferse::N,үкчә,kand
39,Knie::N,тез,põlv
40,Oberschenkel::N,бот,reis
41,Bein::N,аяк,jalg
42,Körper::N,тән,ihu
43,Körper::N,тән,keha
44,Körper::N,җисем,ihu
45,Körper::N,җисем,keha
46,Haut::N,тире,nahk
47,Blut::N,кан,veri
48,Ader::N,тамыр,veen
49,Sehne::N,сеңер,kõõlus
50,Knochen::N,сөяк,luu
51,Gehirn::N,ми,aju
52,Herz::N,йөрәк,süda
53,Magen::N,ашказаны,magu
54,Leber::N,бавыр,maks
55,Atem::N,сулыш,hingeõhk
56,Atem::N,сулыш,hingamine
57,Hunger::N,ачлык,nälg
58,Träne::N,яшь,pisar
59,Geschmack::N,тәм,maitse
60,Geschmack::N,зәвык,maitse
61,Geruch::N,ис,lõhn
62,Schlaf::N,йокы,uni
63,Traum::N,төш,unenägu
64,Himmel::N,күк,taevas
65,Sonne::N,кояш,päike
66,Mond::N,ай,kuu
