,Concept_ID,mrj,zh
0,Auge::N,сӹнзӓ,眼睛
1,Ohr::N,пӹлӹш,耳朵
2,Nase::N,нер,鼻子
3,Mund::N,ышма,嘴
4,Zahn::N,пӱ,牙齿
5,Zunge::N,йӹлмӹ,舌头
6,Lippe::N,тӹрвӹ,嘴唇
7,Wange::N,шӹргӹ,面颊
8,Gesicht::N,лицӓ,脸
9,Stirn::N,лепкӓ,额
10,Haar::N,ӱп,头发
11,Schnurrbart::N,öрш,髭须
12,Bart::N,пандаш,胡子
13,Kinn::N,онгылаш,下巴
14,Kiefer[Anatomie]::N,пӱ арата,颌
15,Kehle::N,логер,嗓子
16,Hals::N,шӱ,颈
17,Genick::N,ланга,后颈
18,Kopf::N,вуй,头
19,Rücken::N,туп,背
20,Bauch::N,мӹшкӹр,肚子
21,Nabel::N,кӹлӹмдӹ,肚脐
22,Busen::N,цӹзӹ,胸脯
23,Brust::N,мел,胸
24,Schulter::N,ӹнгӹжӓ,肩膀
25,Arm::N,кид,臂膀
26,Ellenbogen::N,кӹнервуй,肘
27,Hand::N,лапа,手
28,Handfläche::N,кид лапа,手掌
29,Finger::N,парня,手指
30,Fingernagel::N,кӹч,指甲
31,Nagel[Anatomie]::N,кӹч,指甲
32,Zeh::N,парня,脚趾
33,Fuß::N,ял лапа,脚
34,Ferse::N,ялгавал,后跟
35,Ferse::N,ял кавал,后跟
36,Knie::N,пылвуй,膝
37,Oberschenkel::N,ӓрдӹ,大腿
38,Bein::N,ял,腿
39,Körper::N,монгыр,身体
40,Haut::N,кавашты,皮肤
41,Blut::N,вӹр,血
42,Ader::N,вӹршӓр,血管
43,Sehne::N,кукшышӱн,腱
44,Knochen::N,лу,骨
45,Gehirn::N,вим,脑
46,Herz::N,шӱм,心
47,Magen::N,шӱм,胃
48,Leber::N,мокш,肝
49,Atem::N,шӱлӹш,呼吸
50,Hunger::N,шужымаш,饿
51,Träne::N,сӹнзӓвӹд,眼泪
52,Geschmack::N,тот,味道
53,Geruch::N,пыш,气味
54,Schlaf::N,ом,睡眠
55,Traum::N,ом,梦
56,Himmel::N,пӹлгом,天空
57,Sonne::N,кечӹ,太阳
58,Mond::N,тӹлзӹ,月亮
