,Concept_ID,lt,en
0,Auge::N,akis,eye
1,Ohr::N,ausis,ear
2,Nase::N,nosis,nose
3,Mund::N,burna,mouth
4,Zahn::N,dantis,tooth
5,Zunge::N,liežuvis,tongue
6,Lippe::N,lūpa,lip
7,Wange::N,žandas,cheek
8,Wange::N,skruostas,cheek
9,Gesicht::N,veidas,face
10,Stirn::N,kakta,forehead
11,Haar::N,plaukai,hair
12,Schnurrbart::N,ūsai,moustache
13,Bart::N,barzda,beard
14,Kinn::N,smakras,chin
15,Kiefer[Anatomie]::N,žandikaulis,jaw
16,Kehle::N,gerklė,throat
17,Hals::N,kaklas,neck
18,Genick::N,sprandas,nape
19,Kopf::N,galva,head
20,Rücken::N,nugara,back
21,Rücken::N,nugara,spine
22,Bauch::N,pilvas,belly
23,Nabel::N,bamba,navel
24,Busen::N,krūtinė,bosom
25,Brust::N,krūtis,chest
26,Brust::N,krūtis,breast
27,Schulter::N,petys,shoulder
28,Arm::N,ranka,arm
29,Ellenbogen::N,alkūnė,elbow
30,Hand::N,ranka,hand
31,Hand::N,plaštaka,hand
32,Handfläche::N,delnas,palm
33,Handfläche::N,plaštaka,palm
34,Finger::N,pirštas,finger
35,Fingernagel::N,nagas,fingernail
36,Nagel[Anatomie]::N,nagas,nail
37,Zeh::N,pirštas,toe
38,Fuß::N,pėda,foot
39,Ferse::N,kulnas,heel
40,Knie::N,kelis,knee
41,Oberschenkel::N,kulšis,thigh
42,Oberschenkel::N,šlaunis,thigh
43,Bein::N,koja,leg
44,Körper::N,kūnas,body
45,Haut::N,oda,skin
46,Blut::N,kraujas,blood
47,Ader::N,kraujagyslė,vein
48,Sehne::N,sausgyslė,sinew
49,Knochen::N,kaulas,bone
50,Gehirn::N,smegenys,brain
51,Herz::N,širdis,heart
52,Magen::N,skrandis,stomach
53,Leber::N,kepenys,liver
54,Atem::N,kvapas,breath
55,Hunger::N,badas,hunger
56,Hunger::N,alkis,hunger
57,Träne::N,ašara,tear
58,Geschmack::N,skonis,flavour
59,Geschmack::N,skonis,flavor
60,Geruch::N,kvapas,odour
61,Geruch::N,kvapas,odor
62,Schlaf::N,miegas,sleep
63,Traum::N,sapnas,dream
64,Himmel::N,dangus,sky
65,Sonne::N,saulė,sun
66,Mond::N,mėnulis,moon
67,Stern::N,žvaigždė,star
68,Luft::N,oras,air
69,Wind::N,vėjas,wind
70,Welle::N,banga,wave
71,Welle::N,vilnis,wave
72,Wasser::N,vanduo,water
73,Stein::N,akmuo,stone
74,Boden::N,žemė,soil
75,Boden::N,žemė,ground
76,Boden::N,dugnas,soil
77,Boden::N,dugnas,ground
78,Erde::N,žemė,earth
79,Staub::N,dulkės,dust
80,Rauch::N,dūmai,smoke
81,Funke::N,kibirkštis,spark
82,Feuer::N,ugnis,fire
83,Licht::N,šviesa,light
84,Schatten::N,paūksmė,shadow
85,Wetter::N,oras,weather
86,Nebel::N,migla,fog
87,Nebel::N,rūkas,fog
88,Wolke::N,debesis,cloud
89,Regen::N,lietus,rain
90,Schnee::N,sniegas,snow
91,Eis::N,ledas,ice
92,Frost::N,šalna,frost
93,Kälte::N,šaltis,chill
94,Hitze::N,karštis,heat
95,Raureif::N,šerkšnas,hoarfrost
96,Regenbogen::N,vaivorykštė,rainbow
97,Donner::N,perkūnas,thunder
98,Donner::N,griaustinis,thunder
99,Strömung::N,tėkmė,current
100,Tropfen::N,lašas,drop
101,Schaum::N,putos,foam
102,Schmutz::N,purvas,dirt
103,See::N,ežeras,lake
104,Sumpf::N,klampynė,swamp
105,Sumpf::N,liūnas,swamp
106,Moor::N,pelkė,moor
107,Wiese::N,pieva,meadow
108,Wald::N,miškas,forest
109,Hügel::N,kalva,hill
110,Anhöhe::N,kauburys,elevation
111,Berg::N,kalnas,mountain
112,Gipfel::N,viršūnė,summit
113,Höhle::N,ola,cave
114,Abhang::N,šlaitas,slope
115,Abhang::N,nuokalnė,slope
116,Quelle::N,versmė,source
117,Quelle::N,šaltinis,source
118,Bach::N,upelis,brook
119,Fluss::N,upė,river
120,Ufer::N,krantas,shore
121,Küste::N,pajūris,coast
122,Festland::N,sausuma,land
123,Meer::N,jūra,sea
124,Bucht::N,įlanka,cove
125,Bucht::N,užutekis,cove
126,Insel::N,sala,island
127,Blume::N,gėlė,flower
128,Gras::N,žolė,grass
129,Wurzel::N,šaknis,root
130,Baum::N,medis,tree
131,Stamm::N,kamienas,trunk
132,Rinde::N,žievė,bark
133,Ast::N,šaka,limb
134,Zweig::N,šakelė,branch
135,Blatt::N,lapas,leaf
136,Birke::N,beržas,birch
137,Kiefer[Baum]::N,pušis,pine
138,Weide[Baum]::N,karklas,willow
139,Tanne::N,eglė,fir
140,Tanne::N,kėnis,fir
141,Horn::N,ragas,horn
142,Feder::N,plunksna,feather
143,Fell::N,kailis,fur
144,Flügel::N,sparnas,wing
145,Klaue::N,kanopa,claw
146,Kralle::N,nagas,claw
147,Schwanz::N,uodega,tail
148,Ei::N,kiaušinis,egg
149,Nest::N,gūžta,nest
150,Nest::N,lizdas,nest
151,Bau::N,ola,lair
152,Tier::N,gyvūnas,animal
153,Herde::N,banda,flock
154,Herde::N,kaimenė,flock
155,Kuh::N,karvė,cow
156,Bulle::N,bulius,bull
157,Pferd::N,arklys,horse
158,Schaf::N,avis,sheep
159,Schwein::N,kiaulė,pig
160,Hund::N,šuo,dog
161,Katze::N,katė,cat
162,Bär::N,lokys,bear
163,Eichhörnchen::N,voveraitė,squirrel
164,Elch::N,briedis,elk
165,Fuchs::N,lapė,fox
166,Hase::N,kiškas,hare
167,Maus::N,pelė,mouse
168,Wolf::N,vilkas,wolf
169,Vogel::N,paukštis,bird
170,Schwarm::N,spiečius,swarm
171,Huhn::N,višta,chicken
172,Hahn::N,gaidys,cock
173,Gans::N,žąsis,goose
174,Adler::N,erelis,eagle
175,Ente::N,antis,duck
176,Eule::N,pelėda,owl
177,Kranich::N,gervė,crane
178,Krähe::N,varna,crow
179,Kuckuck::N,gegužė,cuckoo
180,Schwan::N,gulbė,swan
181,Fisch::N,žuvis,fish
182,Barsch::N,ešerys,perch
183,Hecht::N,lydeka,pike
184,Schlange[Tier]::N,gyvatė,snake
185,Wurm::N,kirmėlė,worm
186,Spinne::N,voras,spider
187,Ameise::N,skruzdė,ant
188,Laus::N,utėlė,louse
189,Mücke::N,uodas,midge
190,Fliege::N,musė,fly
