,Concept_ID,ab,he
0,Auge::N,ала,עין
1,Ohr::N,алымҳа,אזן
2,Nase::N,аҧынҵа,אף
3,Nase::N,аҧынҵа,חטם
4,Mund::N,аҧышə,פה
5,Zahn::N,ахаҧыц,שן
6,Zunge::N,абз,לשון
7,Lippe::N,ақьышə,שפה
8,Wange::N,аӡамҩа,לחי
9,Gesicht::N,аҿы,פנים
10,Stirn::N,алахь,מצח
11,Haar::N,ахəыц,שערה
12,Schnurrbart::N,аҧаҵа,שפם
13,Bart::N,ажакьа,זקן
14,Kinn::N,ацламкəыгə,סנטר
15,Kiefer[Anatomie]::N,ацламҳəа,לסת
16,Kehle::N,ахəда,גרון
17,Hals::N,ахəда,צואר
18,Genick::N,ахəдаџьал,ערף
19,Kopf::N,ахы,ראש
20,Rücken::N,азқəа,גב
21,Bauch::N,амгəа,בטן
22,Nabel::N,аҷапан,טבור
23,Busen::N,агəыҧҳəы,שד
24,Brust::N,агəышҧы,חזה
25,Schulter::N,ажəҩахыр,כתף
26,Arm::N,амахəар,זרוע
27,Ellenbogen::N,амашьхəылҵ,מרפק
28,Hand::N,анапы,יד
29,Handfläche::N,анапсаргəыҵа,כף יד
30,Finger::N,анацəа,אצבע
31,Fingernagel::N,анапхыц,צפרן
32,Nagel[Anatomie]::N,ашьапхыц,צפרן
33,Zeh::N,ашьацəа,אצבע
34,Fuß::N,ашьапсыргəыҵа,רגל
35,Ferse::N,ашьхəа,עקב
36,Knie::N,ашьамхы,ברך
37,Oberschenkel::N,ауаҭəа,ירך
38,Bein::N,ашьапы,רגל
39,Körper::N,ацəеижь,גוף
40,Haut::N,ацəа,עור
41,Blut::N,ашьа,דם
42,Ader::N,ада,וריד
43,Sehne::N,адаш,גיד
44,Knochen::N,абаҩ,עצם
45,Gehirn::N,ахшлыбаҩ,מוח
46,Gehirn::N,ахшыбаҩ,מוח
47,Herz::N,агəы,לב
48,Magen::N,аца,קבה
49,Magen::N,ацар,קבה
50,Leber::N,агəаҵəа,כבד
51,Atem::N,аҧсыҧлагаҩгара,נשימה
52,Hunger::N,амла,רעב
53,Träne::N,алабжыш,דמעה
54,Geschmack::N,агьама,טעם
55,Geruch::N,афҩы,ריח
56,Schlaf::N,ацəа,שנה
57,Traum::N,аҧхыӡ,חלום
