,Concept_ID,es,sk
368,Muster::N,dibujo,vzor
369,Muster::N,dibujo,vzorka
370,Größe::N,tamaño,veľkosť
371,Länge::N,longitud,dĺžka
372,Höhe::N,altura,výška
373,Höhe::N,altitud,výška
374,Gewicht::N,peso,váha
375,Menge::N,cantidad,množstvo
376,Haufen::N,montón,hŕba
377,Reihe::N,fila,rad
378,Boot::N,bote,čln
379,Boot::N,barca,čln
380,Ruder::N,remo,veslo
381,Schlitten::N,trineo,sane
382,Ski::N,esquí,lyža
383,Lagerfeuer::N,hoguera,táborák
384,Last::N,carga,ťarcha
385,Last::N,carga,bremeno
386,Gang::N,marcha,chôdza
387,Schritt::N,paso,krok
388,Norden::N,norte,sever
389,Süden::N,sur,juh
390,Westen::N,oeste,západ
391,Osten::N,este,východ
392,Holz::N,madera,drevo
393,Brett::N,tabla,doska
394,Platte::N,placa,doska
395,Platte::N,placa,platňa
396,Platte::N,plancha,doska
397,Platte::N,plancha,platňa
398,Stütze::N,sostén,opora
399,Stütze::N,soporte,opora
400,Stange::N,vara,tyč
401,Stange::N,percha,tyč
402,Stock::N,palo,palica
403,Stock::N,bastón,palica
404,Stab::N,vara,palica
405,Stab::N,bastón,palica
406,Rohr::N,tubo,rúra
407,Haus::N,casa,dom
408,Heim::N,hogar,domov
409,Ofen::N,estufa,pec
410,Ofen::N,estufa,kachle
411,Fußboden::N,suelo,dlážka
412,Fußboden::N,suelo,podlaha
413,Tisch::N,mesa,stôl
414,Stuhl::N,silla,stolička
415,Wiege::N,cuna,kolíska
416,Bett::N,cama,lôžko
417,Bett::N,cama,posteľ
418,Regal::N,estantería,regál
419,Regal::N,estantería,polica
420,Kiste::N,caja,debna
421,Fenster::N,ventana,okno
422,Fenster::N,ventana,oblok
423,Tür::N,puerta,dvere
424,Tor::N,puerta,vráta
425,Zaun::N,valla,plot
426,Zaun::N,valla,ohrada
427,Zaun::N,cercado,plot
428,Zaun::N,cercado,ohrada
429,Dach::N,techo,krov
430,Dach::N,techo,strecha
431,Dach::N,tejado,krov
432,Dach::N,tejado,strecha
433,Leiter::N,escalera,rebrík
434,Leiter::N,escalera,rebrina
435,Besen::N,escoba,metla
436,Spaten::N,pala,rýľ
437,Schaufel::N,pala,lopata
438,Schaufel::N,paleta,lopata
439,Gabel::N,tenedor,vidlička
440,Löffel::N,cuchara,lyžica
441,Messer::N,cuchillo,nôž
442,Nagel::N,clavo,klinec
443,Netz::N,red,sieť
444,Haken::N,gancho,hák
445,Haken::N,gancho,háčik
446,Haken::N,corchete,hák
447,Haken::N,corchete,háčik
448,Griff::N,asa,rukoväť
449,Griff::N,mango,rukoväť
450,Schloss::N,cerradura,zámka
451,Bild::N,imagen,obraz
452,Figur::N,figura,figúra
453,Puppe::N,muñeca,bábka
454,Puppe::N,muñeca,bábika
455,Beutel::N,bolsa,vrece
456,Beutel::N,bolsa,vrecko
457,Bündel::N,haz,uzlík
458,Bündel::N,haz,zväzok
459,Tasche::N,bolso,taška
460,Tasche::N,bolso,kabelka
461,Eimer::N,cubo,vedro
462,Deckel::N,tapa,vrchnák
463,Deckel::N,tapa,pokrývka
464,Deckel::N,tapadera,vrchnák
465,Deckel::N,tapadera,pokrývka
466,Geschirr::N,vajilla,nádoba
467,Sack::N,saco,mech
468,Sack::N,saco,vrece
469,Tasse::N,taza,šálka
470,Topf::N,olla,hrniec
471,Topf::N,marmita,hrniec
472,Kessel::N,caldera,kotol
473,Essen::N,comida,jedlo
474,Nahrung::N,alimento,strava
475,Nahrung::N,alimento,potrava
476,Speise::N,plato,jedlo
477,Fleisch::N,carne,mäso
478,Getreide::N,cereales,obilie
479,Brei::N,puré,kaša
480,Brei::N,papilla,kaša
481,Brot::N,pan,chlieb
482,Scheibe::N,lonja,kotúč
483,Scheibe::N,lonja,krajec
484,Scheibe::N,rebanada,kotúč
485,Scheibe::N,rebanada,krajec
486,Fett::N,grasa,tuk
487,Fett::N,grasa,masť
488,Butter::N,mantequilla,maslo
489,Öl::N,aceite,olej
490,Salz::N,sal,soľ
491,Suppe::N,sopa,polievka
492,Honig::N,miel,med
493,Milch::N,leche,mlieko
494,Tee::N,té,čaj
495,Leder::N,cuero,koža
496,Wolle::N,lana,vlna
497,Stoff::N,tela,súkno
498,Stoff::N,tejido,súkno
499,Nadel::N,aguja,ihla
500,Faden::N,hilo,niť
501,Faden::N,hilo,vlákno
502,Knopf::N,botón,gombík
503,Knoten::N,nudo,uzol
504,Farbe::N,pintura,farba
505,Kleidung::N,ropa,šaty
506,Kleidung::N,ropa,šatstvo
507,Kleidung::N,vestidos,šaty
508,Kleidung::N,vestidos,šatstvo
509,Hemd::N,camisa,košeľa
510,Kragen::N,cuello,golier
511,Ärmel::N,manga,rukáv
512,Hose::N,pantalón,nohavice
513,Gürtel::N,cinturón,pás
514,Gürtel::N,cinturón,opasok
515,Mütze::N,gorro,čiapka
516,Schuh::N,zapato,obuv
517,Schuh::N,zapato,topánka
518,Stiefel::N,bota,čižma
519,Ring::N,anillo,prsteň
520,Band::N,cinta,stuha
521,Kamm::N,peine,hrebeň
522,Spiegel::N,espejo,zrkadlo
523,Riemen::N,correa,remeň
524,Schnur::N,cuerda,šnúra
525,Leine::N,correa,vodidlo
526,Decke::N,manta,deka
527,Decke::N,manta,prikrývka
528,Kissen::N,almohada,poduška
529,Tuch::N,pañuelo,šatka
530,Handtuch::N,toalla,uterák
531,Kraft::N,fuerza,moc
532,Stärke::N,fuerza,sila
533,Gesundheit::N,salud,zdravie
534,Krankheit::N,enfermedad,nemoc
535,Krankheit::N,enfermedad,choroba
536,Schmerz::N,dolor,bolesť
537,Wunde::N,llaga,rana
538,Wunde::N,herida,rana
539,Fieber::N,fiebre,horúčka
540,Arznei::N,medicina,liek
541,Arznei::N,medicamento,liek
542,Brücke::N,puente,most
543,Brunnen::N,pozo,studňa
544,Weide::N,pasto,pastva
545,Pfad::N,sendero,chodník
546,Weg::N,camino,cesta
547,Straße::N,vía,hradská
548,Straße::N,carretera,hradská
549,Dorf::N,aldea,dedina
550,Dorf::N,pueblo,dedina
551,Stadt::N,ciudad,mesto
552,Brief::N,carta,list
553,Buch::N,libro,kniha
554,Buchstabe::N,letra,litera
555,Buchstabe::N,letra,písmeno
556,Buchstabe::N,carácter,litera
557,Buchstabe::N,carácter,písmeno
558,Zeitung::N,diario,noviny
559,Zeitung::N,periódico,noviny
560,Leben::N,vida,život
561,Tod::N,muerte,smrť
562,Grab::N,tumba,hrob
563,Grab::N,sepulcro,hrob
564,Kirche::N,iglesia,kostol
565,Sünde::N,pecado,hriech
566,Gott::N,dios,boh
567,Arbeiter::N,obrero,robotník
568,Arbeiter::N,obrero,pracnovík
569,Arbeiter::N,trabajador,robotník
570,Arbeiter::N,trabajador,pracnovík
571,Chef::N,jefe,šéf
572,Chef::N,jefe,riaditeľ
573,Meister::N,maestro,majster
574,Arzt::N,médico,lekár
575,Lehrer::N,profesor,učiteľ
576,Geld::N,dinero,peniaze
577,Geschäft::N,negocio,obchod
578,Laden::N,tienda,obchod
579,Preis::N,precio,cena
580,Ware::N,mercancía,tovar
581,Nutzen::N,provecho,osoh
582,Nutzen::N,provecho,úžitok
583,Reichtum::N,riqueza,bohatstvo
584,Welt::N,mundo,svet
585,Land::N,país,územie
586,Land::N,país,krajina
587,Staat::N,Estado,štát
588,König::N,rey,kráľ
589,Macht::N,poder,moc
590,Macht::N,poder,mocnosť
591,Macht::N,potencia,moc
592,Macht::N,potencia,mocnosť
593,Grenze::N,frontera,hranica
594,Krieg::N,guerra,vojna
595,Feind::N,enemigo,nepriateľ
596,Gewalt::N,violencia,násilie
597,Kampf::N,lucha,boj
598,Kampf::N,combate,boj
599,Bogen[Waffe]::N,arco,luk
600,Pfeil::N,flecha,šíp
601,Pfeil::N,flecha,strela
602,Gewehr::N,fusil,puška
603,Gewehr::N,escopeta,puška
604,Fehler::N,error,omyl
605,Fehler::N,error,chyba
606,Lüge::N,mentira,lož
607,Schaden::N,daño,ujma
608,Schaden::N,daño,škoda
609,Unglück::N,desgracia,nešťastie
610,Schuld::N,culpa,vina
611,Schuld::N,culpa,previnenie
612,Alter::N,edad,vek
613,Schluss::N,fin,záver
614,Schluss::N,fin,koniec
615,Schluss::N,final,záver
616,Schluss::N,final,koniec
617,Zeit::N,tiempo,čas
618,Tag::N,día,deň
619,Morgen::N,mañana,ráno
620,Mittag::N,mediodía,poludnie
621,Abend::N,noche,večer
622,Nacht::N,noche,noc
623,Woche::N,semana,týždeň
624,Monat::N,mes,mesiac
625,Jahr::N,año,rok
626,Frühling::N,primavera,jar
627,Sommer::N,verano,leto
628,Herbst::N,otoño,jeseň
629,Winter::N,invierno,zima
630,Januar::N,enero,január
631,Februar::N,febrero,február
632,März::N,marzo,marec
633,April::N,abril,apríl
634,Mai::N,mayo,máj
635,Juni::N,junio,jún
636,Juli::N,julio,júl
637,August::N,agosto,august
638,September::N,septiembre,september
639,Oktober::N,octubre,október
640,November::N,noviembre,november
641,Dezember::N,diciembre,december
642,Montag::N,lunes,pondelok
643,Dienstag::N,martes,utorok
644,Mittwoch::N,miércoles,streda
645,Donnerstag::N,jueves,štvrtok
646,Freitag::N,viernes,piatok
647,Samstag::N,sábado,sobota
648,Sonntag::N,domingo,nedeľa
649,groß::A,grande,veľký
650,klein::A,pequeño,malý
651,lang::A,largo,dlhý
652,kurz::A,corto,krátky
653,breit::A,ancho,široký
654,schmal::A,estrecho,úzky
655,dicht::A,denso,hustý
656,dick[Gegenstand]::A,grueso,tlstý
657,dünn::A,fino,tenký
658,dünn::A,delgado,tenký
659,fein::A,fino,jemný
660,fein::A,delicado,jemný
661,fest::A,firme,pevný
662,fest::A,sólido,pevný
