,Concept_ID,,pl
0,Auge::N,,oko
1,Ohr::N,,ucho
2,Nase::N,,nos
3,Mund::N,,usta
4,Zahn::N,,ząb
5,Zunge::N,,język
6,Lippe::N,,warga
7,Wange::N,,policzek
8,Gesicht::N,,twarz
9,Stirn::N,,czoło
10,Haar::N,,włos
11,Haar::N,,włosy
12,Schnurrbart::N,,wąsy
13,Bart::N,,broda
14,Kinn::N,,podbródek
15,Kiefer[Anatomie]::N,,czeluść
16,Kehle::N,,gardło
17,Hals::N,,szyja
18,Genick::N,,kark
19,Kopf::N,,głowa
20,Rücken::N,,plecy
21,Rücken::N,,grzbiet
22,Bauch::N,,brzuch
23,Nabel::N,,pępek
24,Busen::N,,biust
25,Brust::N,,pierś
26,Schulter::N,,bark
27,Schulter::N,,ramię
28,Arm::N,,ręka
29,Arm::N,,ramię
30,Ellenbogen::N,,łokieć
31,Hand::N,,dłoń
32,Handfläche::N,,dłoń
33,Finger::N,,palec
34,Fingernagel::N,,paznokieć
35,Nagel[Anatomie]::N,,paznokieć
36,Zeh::N,,palec
37,Fuß::N,,stopa
38,Ferse::N,,pięta
39,Knie::N,,kolano
40,Oberschenkel::N,,udo
41,Bein::N,,noga
42,Körper::N,,ciało
43,Haut::N,,skóra
44,Blut::N,,krew
45,Ader::N,,żyła
46,Sehne::N,,ścięgno
47,Knochen::N,,kość
48,Gehirn::N,,mózg
49,Herz::N,,serce
50,Magen::N,,żołądek
51,Leber::N,,wątroba
52,Atem::N,,dech
53,Atem::N,,oddech
54,Hunger::N,,głód
55,Träne::N,,łza
56,Geschmack::N,,smak
57,Geruch::N,,woń
58,Geruch::N,,zapach
59,Schlaf::N,,sen
60,Traum::N,,sen
61,Himmel::N,,niebo
62,Sonne::N,,słońce
63,Mond::N,,księżyc
64,Stern::N,,gwiazda
65,Luft::N,,powietrze
66,Wind::N,,wiatr
67,Welle::N,,fala
68,Wasser::N,,woda
69,Stein::N,,kamień
70,Boden::N,,grunt
71,Erde::N,,ziemia
72,Staub::N,,pył
73,Staub::N,,kurz
