,Concept_ID,mhr,kv
0,Auge::N,шинча́,син
1,Ohr::N,пы́лыш,пель
2,Nase::N,нер,ныр
3,Mund::N,умша́,ӧм
4,Zahn::N,пӱй,пинь
5,Zunge::N,йы́лме,кыв
6,Lippe::N,тӱ́рвӧ,тырп
7,Wange::N,шӱ́ргӧ,рожабан
8,Gesicht::N,чури́й,бан
9,Stirn::N,саҥга́,кымӧс
10,Haar::N,ӱп,юрси
11,Schnurrbart::N,ӧ́рыш,уссэз
12,Bart::N,понда́ш,тош
13,Kinn::N,оҥыла́ш,тшӧка
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ан
15,Kiefer[Anatomie]::N,пӱйората́,ан
16,Kehle::N,лога́р,юан
17,Hals::N,шӱй,юан
18,Genick::N,шӱйло́дыш,юр бӧр
19,Kopf::N,вуй,юр
20,Rücken::N,туп,мышк
21,Bauch::N,мӱ́шкыр,кынӧм
22,Nabel::N,кы́лымде,гӧг
23,Busen::N,чы́зе,морос
24,Brust::N,оҥ,морос
25,Schulter::N,ва́че,пельпон
26,Arm::N,кид,ки
27,Ellenbogen::N,кынерву́й,гырдзза
28,Hand::N,кид,кикар
29,Hand::N,копа́,кикар
30,Handfläche::N,со́во,ки пыдӧс
31,Finger::N,парня́,чунь
32,Fingernagel::N,кидкӱ́ч,гыж
33,Fingernagel::N,парнягӱ́ч,гыж
34,Nagel[Anatomie]::N,кӱч,гыж
35,Zeh::N,йолварня́,чунь
36,Fuß::N,йол,кокпыдӧс
37,Fuß::N,йолкопа́,кокпыдӧс
38,Ferse::N,тага́н,кокдзир
39,Knie::N,пулву́й,пидзӧс
40,Oberschenkel::N,э́рде,лядьбей
41,Bein::N,йол,кок
42,Körper::N,кап,вывтыр
43,Haut::N,кова́ште,кучик
44,Blut::N,вӱр,вир
45,Ader::N,шӧн,сӧн
46,Sehne::N,шӧн,жила
47,Sehne::N,кӱсе́н,жила
48,Knochen::N,лу,коска
49,Gehirn::N,вем,вем
50,Gehirn::N,вуйве́м,вем
51,Herz::N,шӱм,сьӧлӧм
52,Magen::N,пага́р,жӧвдӧк
53,Leber::N,мокш,мус
54,Atem::N,шӱ́лыш,лолалӧм
55,Hunger::N,шужыма́ш,тшыг
56,Träne::N,шинчавӱ́д,синва
57,Geschmack::N,там,кӧр
58,Geruch::N,пуш,дук
59,Schlaf::N,о́мо,он
60,Traum::N,йӱдо́мо,вӧт
61,Himmel::N,кава́,небо
62,Sonne::N,ке́че,шондi
63,Mond::N,ты́лзе,тӧлiсь
64,Stern::N,шӱ́дыр,кӧдзыв
65,Luft::N,юж,ру
66,Wind::N,марде́ж,тӧв
67,Welle::N,то́лкын,гы
68,Wasser::N,вӱд,ва
69,Stein::N,кӱ,из
70,Boden::N,рок,му
71,Erde::N,мла́нде,му
72,Staub::N,пура́к,бус
73,Rauch::N,шикш,тшын
74,Funke::N,сеске́м,бичир
75,Funke::N,тулйы́п,бичир
76,Feuer::N,тул,би
77,Licht::N,со́то,би
78,Schatten::N,ӱ́мыл,вуджӧр
79,Wetter::N,иге́че,погоддя
80,Nebel::N,тӱтыра́,туман
81,Wolke::N,пыл,кымӧр
82,Regen::N,йӱр,зэр
83,Schnee::N,лум,лым
84,Eis::N,ий,йы
85,Frost::N,чатлама́,мороз
86,Kälte::N,йӱ́штӧ,кӧдзыт
87,Hitze::N,шо́кшо,ӧд
88,Raureif::N,пӧрш,кижа
89,Raureif::N,по́кшым,кижа
90,Regenbogen::N,шонанпы́л,енӧшка
91,Donner::N,кӱ́дырчӧ,гым
92,Strömung::N,йо́гын,визывтӧм
93,Tropfen::N,чӱча́лтыш,тёп
94,Schaum::N,шоҥ,быг
95,Schmutz::N,лавыра́,нять
96,See::N,ер,ты
97,Sumpf::N,лӱ́кӧ,арай
98,Moor::N,куп,нюр
99,Wiese::N,о́лык,видз
100,Wald::N,чодыра́,вӧр
101,Hügel::N,арка́,мыльк
102,Anhöhe::N,тӧва́,вывтас
103,Anhöhe::N,тӧва́,вылынін
104,Anhöhe::N,кӱкшака́,вывтас
105,Anhöhe::N,кӱкшака́,вылынін
106,Berg::N,ку́рык,керӧс
107,Gipfel::N,чаҥга́,йыв
108,Gipfel::N,курыкву́й,йыв
109,Höhle::N,пеще́р,нора
110,Höhle::N,курыкпо́мыш,нора
111,Abhang::N,та́йыл,покат
112,Quelle::N,важ,больган
113,Quelle::N,вӱдшинча́,больган
114,Bach::N,изэҥе́р,шор
115,Fluss::N,эҥе́р,ю
116,Ufer::N,сер,берег
117,Küste::N,вӱдтӱ́р,берег
118,Festland::N,мла́нде,му
119,Meer::N,те́ҥыз,море
120,Bucht::N,икса́,курья
121,Insel::N,отро́,
122,Blume::N,пеле́дыш,цветок
123,Gras::N,шу́до,турун
124,Wurzel::N,вож,вуж
125,Baum::N,пуше́ҥге,пу
126,Stamm::N,йы́тыр,мыр
127,Stamm::N,йы́тыр,кер
128,Rinde::N,шӱм,кач
129,Ast::N,укш,ув
130,Zweig::N,торма́к,ув
131,Blatt::N,лышта́ш,лист
132,Birke::N,куэ́,кыдз
133,Kiefer[Baum]::N,пӱ́нчӧ,пожум
134,Weide[Baum]::N,уа́,бадь
135,Tanne::N,кож,кӧз
136,Horn::N,шур,сюр
137,Feder::N,пы́стыл,гӧн
138,Fell::N,кова́ште,кучик
139,Flügel::N,шу́лдыр,борд
140,Klaue::N,кӱч,гыж
141,Kralle::N,ла́па,кабыр
142,Kralle::N,копа́,кабыр
143,Schwanz::N,поч,бӧж
144,Ei::N,му́но,кольть
145,Nest::N,пыжа́ш,поз
146,Bau::N,пыжа́ш,осьта
147,Bau::N,пыжа́ш,нора
148,Tier::N,я́нлык,зверь
149,Tier::N,живо́тный,зверь
150,Herde::N,кӱ́тӱ,гурт
