,Concept_ID,zh,br
0,Auge::N,眼睛,lagad
1,Ohr::N,耳朵,skouarn
2,Nase::N,鼻子,fri
3,Mund::N,嘴,genoù
4,Zahn::N,牙齿,dant
5,Zunge::N,舌头,teod
6,Lippe::N,嘴唇,muzell
7,Wange::N,面颊,chot
8,Gesicht::N,脸,dremm
9,Stirn::N,额,tal
10,Haar::N,头发,blev
11,Schnurrbart::N,髭须,mourenn
12,Bart::N,胡子,barv
13,Kinn::N,下巴,groñj
14,Kiefer[Anatomie]::N,颌,javed
15,Kehle::N,嗓子,gouzoug
16,Hals::N,颈,gouzoug
17,Genick::N,后颈,choug
18,Kopf::N,头,penn
19,Rücken::N,背,kein
20,Bauch::N,肚子,kof
21,Nabel::N,肚脐,begel
22,Busen::N,胸脯,bronn
23,Brust::N,胸,bruched
24,Schulter::N,肩膀,skoaz
25,Arm::N,臂膀,brec'h
26,Ellenbogen::N,肘,ilin
27,Hand::N,手,dorn
28,Handfläche::N,手掌,palv
29,Finger::N,手指,biz
30,Fingernagel::N,指甲,ivin
31,Nagel[Anatomie]::N,指甲,ivin
32,Zeh::N,脚趾,biz-troad
33,Fuß::N,脚,troad
34,Ferse::N,后跟,seul
35,Knie::N,膝,glin
36,Oberschenkel::N,大腿,morzhed
37,Bein::N,腿,gar
38,Körper::N,身体,korf
39,Haut::N,皮肤,kroc'hen
40,Blut::N,血,gwad
41,Ader::N,血管,gwazhi
42,Sehne::N,腱,stir
43,Knochen::N,骨,askorn
44,Gehirn::N,脑,empenn
45,Herz::N,心,kalon
46,Magen::N,胃,stomog
47,Leber::N,肝,avu
48,Atem::N,呼吸,anal
49,Hunger::N,饿,naon
50,Träne::N,眼泪,daer
51,Geschmack::N,味道,blaz
52,Geruch::N,气味,c'hwezh
53,Schlaf::N,睡眠,kousked
54,Traum::N,梦,hune
55,Himmel::N,天空,oabl
56,Sonne::N,太阳,heol
57,Mond::N,月亮,loar
58,Stern::N,星,steredenn
59,Luft::N,空气,aer
60,Wind::N,风,avel
61,Welle::N,波,houlenn
62,Wasser::N,水,dour
63,Stein::N,石头,maen
64,Boden::N,地面,tachenn
65,Erde::N,地,douar
66,Staub::N,灰尘,poultr
67,Rauch::N,烟,moged
68,Funke::N,火花,ful
69,Feuer::N,火,tan
70,Licht::N,光,gouloù
71,Schatten::N,影子,disheol
72,Wetter::N,天气,amzer
73,Nebel::N,雾,brumenn
74,Wolke::N,云,koumoulenn
75,Regen::N,雨,glav
76,Schnee::N,雪,erc'h
77,Eis::N,冰,skorn
78,Frost::N,霜冻,rev
79,Kälte::N,寒冷,yen
80,Hitze::N,炎热,tommder
81,Raureif::N,霜,frim
82,Regenbogen::N,虹,gwareg-ar-glav
83,Donner::N,雷,kurun
84,Strömung::N,水流,red
85,Tropfen::N,滴,bannac'h
86,Tropfen::N,滴,takenn
87,Schaum::N,泡沫,spoum
88,Schmutz::N,赃物,fank
89,See::N,湖,lenn
90,Sumpf::N,沼泽,gwern
91,Moor::N,沼泽,taouarc'heg
92,Wiese::N,草地,prad
93,Wald::N,森林,koad
94,Hügel::N,丘陵,torgenn
95,Anhöhe::N,山丘,run
96,Berg::N,山,menez
97,Gipfel::N,峰,barr
98,Höhle::N,洞穴,kav
99,Abhang::N,斜坡,naou
100,Quelle::N,泉,feunteun
101,Bach::N,溪,gwazh
102,Fluss::N,河流,stêr
103,Ufer::N,岸,ribl
104,Küste::N,海岸,aod
105,Festland::N,大陆,douar
106,Meer::N,海,mor
107,Bucht::N,海湾,mor-bihan
108,Insel::N,岛,enez
109,Blume::N,花,bleunienn
110,Gras::N,草,geot
111,Wurzel::N,根,gwrizienn
112,Baum::N,树,gwezenn
113,Stamm::N,树干,kef
114,Rinde::N,树皮,rusk
115,Ast::N,树枝,barr
116,Zweig::N,树枝,bod
117,Blatt::N,叶子,delienn
118,Birke::N,桦木,bezvenn
119,Kiefer[Baum]::N,松树,pinenn
120,Weide[Baum]::N,柳树,halegenn
121,Tanne::N,冷杉,sapenn
122,Horn::N,角,korn
123,Feder::N,羽毛,pluñv
124,Fell::N,皮毛,kreoñ
125,Flügel::N,翅膀,askell
126,Klaue::N,爪子,skilf
127,Kralle::N,爪子,skilf
128,Schwanz::N,尾巴,lost
129,Ei::N,蛋,vi
130,Nest::N,巢,neizh
131,Bau::N,穴,douarenn
132,Tier::N,动物,loen
133,Herde::N,群,tropell
