,Concept_ID,de,mrj
0,Auge::N,Auge,сӹнзӓ
1,Ohr::N,Ohr,пӹлӹш
2,Nase::N,Nase,нер
3,Mund::N,Mund,ышма
4,Zahn::N,Zahn,пӱ
5,Zunge::N,Zunge,йӹлмӹ
6,Lippe::N,Lippe,тӹрвӹ
7,Wange::N,Wange,шӹргӹ
8,Gesicht::N,Gesicht,лицӓ
9,Stirn::N,Stirn,лепкӓ
10,Haar::N,Haar,ӱп
11,Schnurrbart::N,Schnurrbart,öрш
12,Bart::N,Bart,пандаш
13,Kinn::N,Kinn,онгылаш
14,Kiefer[Anatomie]::N,Kiefer,пӱ арата
15,Kehle::N,Kehle,логер
16,Hals::N,Hals,шӱ
17,Genick::N,Genick,ланга
18,Kopf::N,Kopf,вуй
19,Rücken::N,Rücken,туп
20,Bauch::N,Bauch,мӹшкӹр
21,Nabel::N,Nabel,кӹлӹмдӹ
22,Busen::N,Busen,цӹзӹ
23,Brust::N,Brust,мел
24,Schulter::N,Schulter,ӹнгӹжӓ
25,Arm::N,Arm,кид
26,Ellenbogen::N,Ellenbogen,кӹнервуй
27,Hand::N,Hand,лапа
28,Handfläche::N,Handfläche,кид лапа
29,Finger::N,Finger,парня
30,Fingernagel::N,Fingernagel,кӹч
31,Nagel[Anatomie]::N,Nagel,кӹч
32,Zeh::N,Zeh,парня
33,Fuß::N,Fuß,ял лапа
34,Ferse::N,Ferse,ялгавал
35,Ferse::N,Ferse,ял кавал
36,Knie::N,Knie,пылвуй
37,Oberschenkel::N,Oberschenkel,ӓрдӹ
38,Bein::N,Bein,ял
39,Körper::N,Körper,монгыр
40,Haut::N,Haut,кавашты
41,Blut::N,Blut,вӹр
42,Ader::N,Ader,вӹршӓр
43,Sehne::N,Sehne,кукшышӱн
44,Knochen::N,Knochen,лу
45,Gehirn::N,Gehirn,вим
46,Herz::N,Herz,шӱм
47,Magen::N,Magen,шӱм
48,Leber::N,Leber,мокш
49,Atem::N,Atem,шӱлӹш
50,Hunger::N,Hunger,шужымаш
51,Träne::N,Träne,сӹнзӓвӹд
52,Geschmack::N,Geschmack,тот
53,Geruch::N,Geruch,пыш
54,Schlaf::N,Schlaf,ом
55,Traum::N,Traum,ом
56,Himmel::N,Himmel,пӹлгом
57,Sonne::N,Sonne,кечӹ
58,Mond::N,Mond,тӹлзӹ
59,Stern::N,Stern,шӹдӹр
60,Luft::N,Luft,юж
61,Luft::N,Luft,воздух
62,Wind::N,Wind,мардеж
63,Welle::N,Welle,ко
64,Welle::N,Welle,коэ
65,Wasser::N,Wasser,вӹд
66,Stein::N,Stein,кӱ
67,Boden::N,Boden,рок
68,Erde::N,Erde,свет
69,Staub::N,Staub,пырак
70,Rauch::N,Rauch,шӹкш
71,Funke::N,Funke,ип
72,Funke::N,Funke,тылип
73,Feuer::N,Feuer,тыл
74,Licht::N,Licht,соты
75,Licht::N,Licht,валгыды
76,Schatten::N,Schatten,ӹмӹл
77,Wetter::N,Wetter,игечӹ
78,Nebel::N,Nebel,тӹтӹрӓ
79,Wolke::N,Wolke,пӹл
80,Regen::N,Regen,юр
81,Schnee::N,Schnee,лым
82,Eis::N,Eis,и
83,Frost::N,Frost,ӱштӹ
84,Kälte::N,Kälte,ӱштӹ
85,Hitze::N,Hitze,шокшы
86,Raureif::N,Raureif,пöрш
87,Regenbogen::N,Regenbogen,шанавӹл
88,Donner::N,Donner,хӹдӹртӹш
