,Concept_ID,mhr,hr
0,Auge::N,шинча́,oko
1,Ohr::N,пы́лыш,uho
2,Nase::N,нер,nos
3,Mund::N,умша́,usta
4,Zahn::N,пӱй,zub
5,Zunge::N,йы́лме,jezik
6,Lippe::N,тӱ́рвӧ,usna
7,Wange::N,шӱ́ргӧ,obraz
8,Gesicht::N,чури́й,lice
9,Stirn::N,саҥга́,čelo
10,Haar::N,ӱп,kosa
11,Schnurrbart::N,ӧ́рыш,brkovi
12,Bart::N,понда́ш,brada
13,Kinn::N,оҥыла́ш,brada
14,Kinn::N,оҥыла́ш,podbradak
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,čeljust
16,Kiefer[Anatomie]::N,пӱйората́,čeljust
17,Kehle::N,лога́р,grlo
18,Hals::N,шӱй,vrat
19,Genick::N,шӱйло́дыш,zatiljak
20,Kopf::N,вуй,glava
21,Rücken::N,туп,leđa
22,Rücken::N,туп,hrbat
23,Bauch::N,мӱ́шкыр,trbuh
24,Nabel::N,кы́лымде,pupak
25,Busen::N,чы́зе,sisa
26,Busen::N,чы́зе,njedra
27,Brust::N,оҥ,prsa
28,Schulter::N,ва́че,rame
29,Schulter::N,ва́че,pleći
30,Arm::N,кид,ruka
31,Ellenbogen::N,кынерву́й,lakat
32,Hand::N,кид,ruka
33,Hand::N,копа́,ruka
34,Handfläche::N,со́во,dlan
35,Finger::N,парня́,prst
36,Fingernagel::N,кидкӱ́ч,nokat
37,Fingernagel::N,парнягӱ́ч,nokat
38,Nagel[Anatomie]::N,кӱч,nokat
39,Zeh::N,йолварня́,nozni prst
40,Fuß::N,йол,noga
41,Fuß::N,йол,stopalo
42,Fuß::N,йолкопа́,noga
43,Fuß::N,йолкопа́,stopalo
44,Ferse::N,тага́н,peta
45,Knie::N,пулву́й,koljeno
46,Oberschenkel::N,э́рде,bedro
47,Bein::N,йол,noga
48,Körper::N,кап,tijelo
49,Haut::N,кова́ште,put
50,Haut::N,кова́ште,koža
51,Blut::N,вӱр,krv
52,Ader::N,шӧн,žila
53,Sehne::N,шӧн,tetiva
54,Sehne::N,кӱсе́н,tetiva
55,Knochen::N,лу,kost
56,Gehirn::N,вем,
57,Gehirn::N,вуйве́м,
58,Herz::N,шӱм,srce
59,Magen::N,пага́р,stomak
60,Magen::N,пага́р,želudac
61,Leber::N,мокш,jetra
62,Atem::N,шӱ́лыш,dah
63,Hunger::N,шужыма́ш,glad
64,Träne::N,шинчавӱ́д,suza
65,Geschmack::N,там,ukus
66,Geruch::N,пуш,njuh
67,Geruch::N,пуш,miris
68,Schlaf::N,о́мо,san
69,Traum::N,йӱдо́мо,san
70,Himmel::N,кава́,nebo
71,Sonne::N,ке́че,sunce
72,Mond::N,ты́лзе,mjesec
73,Stern::N,шӱ́дыр,zvijezda
74,Luft::N,юж,zrak
75,Wind::N,марде́ж,vjetar
76,Welle::N,то́лкын,val
77,Welle::N,то́лкын,talas
78,Wasser::N,вӱд,voda
79,Stein::N,кӱ,kamen
80,Boden::N,рок,tlo
81,Boden::N,рок,zemlja
82,Erde::N,мла́нде,zemlja
83,Staub::N,пура́к,prah
84,Staub::N,пура́к,prašina
85,Rauch::N,шикш,dim
86,Funke::N,сеске́м,iskra
87,Funke::N,сеске́м,varnica
88,Funke::N,тулйы́п,iskra
89,Funke::N,тулйы́п,varnica
90,Feuer::N,тул,vatra
91,Licht::N,со́то,svjetlo
92,Schatten::N,ӱ́мыл,hlad
93,Schatten::N,ӱ́мыл,sjena
94,Wetter::N,иге́че,vrijeme
95,Nebel::N,тӱтыра́,magla
96,Wolke::N,пыл,oblak
97,Regen::N,йӱр,kiša
98,Schnee::N,лум,snijeg
99,Eis::N,ий,led
100,Frost::N,чатлама́,mraz
101,Kälte::N,йӱ́штӧ,studen
102,Kälte::N,йӱ́штӧ,hladnoća
103,Hitze::N,шо́кшо,vrućina
104,Raureif::N,пӧрш,inje
105,Raureif::N,по́кшым,inje
106,Regenbogen::N,шонанпы́л,duga
107,Donner::N,кӱ́дырчӧ,grom
108,Donner::N,кӱ́дырчӧ,grmljavina
109,Strömung::N,йо́гын,struja
110,Strömung::N,йо́гын,strujanje
111,Tropfen::N,чӱча́лтыш,kap
112,Tropfen::N,чӱча́лтыш,kaplja
113,Schaum::N,шоҥ,pjena
114,Schmutz::N,лавыра́,nečistoća
115,Schmutz::N,лавыра́,prljavština
116,See::N,ер,jezero
117,Sumpf::N,лӱ́кӧ,bara
118,Moor::N,куп,močvara
119,Wiese::N,о́лык,livada
120,Wald::N,чодыра́,šuma
121,Hügel::N,арка́,brijeg
122,Hügel::N,арка́,brežuljak
123,Anhöhe::N,тӧва́,uzvišica
124,Anhöhe::N,кӱкшака́,uzvišica
125,Berg::N,ку́рык,brdo
126,Gipfel::N,чаҥга́,vrh
127,Gipfel::N,курыкву́й,vrh
128,Höhle::N,пеще́р,pećina
129,Höhle::N,пеще́р,spilja
130,Höhle::N,курыкпо́мыш,pećina
131,Höhle::N,курыкпо́мыш,spilja
132,Abhang::N,та́йыл,obronak
133,Abhang::N,та́йыл,nizbrdica
134,Quelle::N,важ,izvor
135,Quelle::N,важ,vrelo
136,Quelle::N,вӱдшинча́,izvor
137,Quelle::N,вӱдшинча́,vrelo
138,Bach::N,изэҥе́р,potok
139,Fluss::N,эҥе́р,rijeka
140,Ufer::N,сер,obala
141,Küste::N,вӱдтӱ́р,obala
142,Küste::N,вӱдтӱ́р,morska obala
143,Festland::N,мла́нде,kopno
144,Meer::N,те́ҥыз,more
145,Bucht::N,икса́,zaliv
146,Insel::N,отро́,ada
147,Insel::N,отро́,otok
148,Blume::N,пеле́дыш,cvijet
149,Gras::N,шу́до,trava
150,Wurzel::N,вож,korijen
151,Baum::N,пуше́ҥге,drvo
152,Baum::N,пуше́ҥге,stablo
153,Stamm::N,йы́тыр,deblo
154,Stamm::N,йы́тыр,stablo
155,Rinde::N,шӱм,kora
156,Ast::N,укш,grana
157,Zweig::N,торма́к,grana
158,Blatt::N,лышта́ш,list
159,Birke::N,куэ́,breza
160,Kiefer[Baum]::N,пӱ́нчӧ,bor
161,Weide[Baum]::N,уа́,iva
162,Weide[Baum]::N,уа́,vŕba
163,Tanne::N,кож,jela
164,Horn::N,шур,rog
165,Feder::N,пы́стыл,pero
166,Fell::N,кова́ште,koža
167,Flügel::N,шу́лдыр,krilo
168,Klaue::N,кӱч,papak
169,Kralle::N,ла́па,pandža
170,Kralle::N,копа́,pandža
171,Schwanz::N,поч,rep
172,Ei::N,му́но,jaje
173,Nest::N,пыжа́ш,gnijezdo
174,Bau::N,пыжа́ш,jazbina
175,Tier::N,я́нлык,životinja
176,Tier::N,живо́тный,životinja
177,Herde::N,кӱ́тӱ,krdo
178,Herde::N,кӱ́тӱ,stado
179,Herde::N,тӱшка́,krdo
180,Herde::N,тӱшка́,stado
181,Kuh::N,ушка́л,krava
182,Bulle::N,ӱ́шкыж,bik
183,Pferd::N,и́мне,konj
184,Schaf::N,шо́рык,ovca
185,Schwein::N,сӧсна́,svinja
186,Hund::N,пий,pas
187,Hund::N,пий,pseto
188,Katze::N,пы́рыс,mačka
189,Bär::N,маска́,medvjed
190,Eichhörnchen::N,ур,vjeverica
191,Elch::N,шо́рдо,los
192,Fuchs::N,ры́выж,lisica
193,Hase::N,мера́ҥ,zec
194,Maus::N,коля́,miš
195,Wolf::N,пи́ре,vuk
196,Wolf::N,пи́ре,kurjak
197,Vogel::N,ка́йык,ptica
198,Schwarm::N,каша́к,roj
199,Schwarm::N,каша́к,jato
200,Huhn::N,чы́ве,kokoš
201,Hahn::N,агыта́н,kokot
202,Hahn::N,агыта́н,pijevac
203,Gans::N,ко́мбо,guska
204,Adler::N,карагу́ш,orao
205,Ente::N,лу́до,patka
206,Eule::N,тумна́,sova
207,Kranich::N,турня́,ždral
208,Krähe::N,кора́к,vrana
209,Kuckuck::N,куку́,kukavica
210,Schwan::N,йӱ́ксӧ,labud
211,Fisch::N,кол,riba
212,Barsch::N,ола́ҥге,grgeč
213,Hecht::N,нуж,štuka
214,Hecht::N,чорта́н,štuka
215,Schlange[Tier]::N,ки́шке,guja
216,Schlange[Tier]::N,ки́шке,zmija
217,Wurm::N,шукш,crv
218,Spinne::N,эҥыре́мыш,pauk
219,Ameise::N,ку́тко,mrav
220,Laus::N,тий,uš
221,Mücke::N,шыҥа́,komarac
222,Fliege::N,ка́рме,muha
223,Schmetterling::N,лы́ве,leptir
224,Beere::N,мӧр,boba
225,Beere::N,мӧр,bobica
226,Apfel::N,олма́,jabuka
227,Pilz::N,по́ҥго,pečurka
228,Zwiebel::N,шога́н,luk
229,Zwiebel::N,шога́н,kapula
230,Saat::N,нӧ́шмӧ,sjemenje
231,Saat::N,туш,sjemenje
232,Korn::N,шу́рно,zrno
233,Heu::N,шу́до,sijeno
234,Schale::N,шӱм,kora
235,Schale::N,шӱм,ljuska
236,Grube::N,выне́м,jama
237,Falle::N,лӧ́дӧ,zamka
238,Falle::N,лӧ́дӧ,klopka
239,Schlinge::N,о́птыш,uzao
240,Schlinge::N,о́птыш,petlja
241,Schlinge::N,шӧрга́лтыш,uzao
242,Schlinge::N,шӧрга́лтыш,petlja
243,Spur::N,кыша́,trag
244,Spur::N,кыша́,slijed
245,Asche::N,ло́мыж,pepeo
246,Dreck::N,лавыра́,blato
247,Eisen::N,кӱ́ртньӧ,željezo
248,Gold::N,шӧ́ртньӧ,zlato
249,Silber::N,ший,srebro
250,Kohle::N,мландышӱ́й,ugalj
251,Kohle::N,мландышӱ́й,ugljen
252,Glas::N,янда́,staklo
253,Lehm::N,шун,glina
254,Lehm::N,шун,ilovača
255,Sand::N,ошма́,pijesak
256,Mensch::N,еҥ,čovjek
257,Mensch::N,айде́ме,čovjek
258,Mann::N,пӧръе́ҥ,muškarac
259,Frau::N,ӱдырама́ш,žena
260,Kind::N,аза́,čedo
261,Kind::N,аза́,dijete
262,Junge::N,рве́зе,momče
263,Junge::N,рве́зе,dječak
264,Mädchen::N,ӱдыра́ш,djevojka
265,Mädchen::N,ӱдыра́ш,djevojčica
266,Familie::N,еш,obitelj
267,Familie::N,еш,porodica
268,Großvater::N,коча́,djed
269,Großmutter::N,кова́,baka
270,Eltern::N,ача́-ава́,roditelji
271,Vater::N,ача́,otac
272,Mutter::N,ава́,majka
273,Sohn::N,э́рге,sin
274,Tochter::N,ӱ́дыр,kći
275,Tochter::N,ӱ́дыр,kćerka
276,Bruder::N,иза́,brat
277,Bruder::N,шо́льо,brat
278,Schwester::N,ака́,sestra
279,Onkel::N,иза́,čika
280,Onkel::N,иза́,ujak
281,Tante::N,кока́,ujna
282,Tante::N,кока́,tetka
283,Ehemann::N,мари́й,muž
284,Ehemann::N,мари́й,suprug
285,Ehefrau::N,ва́те,žena
286,Ehefrau::N,ва́те,supruga
287,Freude::N,куа́н,radost
288,Freude::N,куаныма́ш,radost
289,Gelächter::N,во́штылтыш,grohot
290,Glück::N,пиа́л,sreća
291,Kummer::N,о́йго,jad
292,Kummer::N,о́йго,briga
293,Wunsch::N,ку́мыл,želja
294,Lust::N,ку́мыл,volja
295,Geist::N,ӧрт,duh
296,Geist::N,чон,duh
297,Gedanke::N,ой,misao
298,Gedanke::N,шоныма́ш,misao
299,Gedächtnis::N,шарныма́ш,pamćenje
300,Verstand::N,уш,um
301,Verstand::N,уш,razum
302,Sinn::N,смысл,smisao
303,Sinn::N,смысл,značenje
304,Grund::N,ама́л,razlog
305,Wahrheit::N,чын,istina
306,Gespräch::N,мутланыма́ш,razgovor
307,Märchen::N,йома́к,bajka
308,Erzählung::N,ойлыма́ш,priča
309,Erzählung::N,ойлыма́ш,pripovijest
310,Nachricht::N,увертарыма́ш,vijest
311,Neuigkeit::N,уве́р,novost
312,Name::N,лӱм,ime
313,Rätsel::N,ту́што,zagonetka
314,Rede::N,ойлыма́ш,govor
315,Rede::N,ойлыма́ш,besjeda
316,Sprache::N,йы́лме,jezik
317,Stimme::N,йӱк,glas
318,Wort::N,ой,riječ
319,Wort::N,мут,riječ
320,Zeichen::N,ти́ште,znak
321,Zeichen::N,знак,znak
322,Ruf::N,ӱжма́ш,povik
323,Ruf::N,ӱжма́ш,poklik
324,Lärm::N,лӱшкыма́ш,buka
325,Lärm::N,лӱшкыма́ш,galama
326,Lärm::N,йӱк-йӱа́н,buka
327,Lärm::N,йӱк-йӱа́н,galama
328,Laut::N,йӱк,zvuk
329,Ton::N,йӱксе́м,ton
330,Lied::N,му́ро,pjesma
331,Ruhe::N,ты́мык,tišina
332,Ruhe::N,ты́мык,počinak
333,Leute::N,еҥ-влак,ljudi
334,Volk::N,ка́лык,puk
335,Volk::N,ка́лык,narod
336,Arbeit::N,паша́,rad
337,Arbeit::N,паша́,posao
338,Gast::N,уна́,gost
339,Geschenk::N,пӧле́к,dar
340,Geschenk::N,пӧле́к,poklon
341,Spiel::N,мо́дыш,igra
342,Spiel::N,модма́ш,igra
343,Gesellschaft::N,тӱшка́,društvo
344,Gesellschaft::N,тӱшка́,kompanija
345,Hilfe::N,по́лыш,pomoć
346,Freund::N,таҥ,prijatelj
347,Freund::N,йолта́ш,prijatelj
348,Kamerad::N,таҥ,drug
349,Kamerad::N,таҥ,drugar
350,Angelegenheit::N,паша́,posao
351,Anzahl::N,чот,broj
352,Anzahl::N,чот,brojnost
353,Art::N,вид,vid
354,Art::N,вид,vrst
355,Stück::N,ка́тыш,komad
356,Stück::N,ла́стык,komad
357,Teil::N,ужа́ш,dio
358,Hälfte::N,пел,polovina
359,Hälfte::N,пе́ле,polovina
360,Kreis::N,ты́ртыш,krug
361,Kreuz::N,ыре́с,križ
362,Linie::N,ли́ний,crta
363,Strich::N,коре́ш,crta
364,Abstand::N,кокла́,razmak
365,Abstand::N,кокла́,odstojanje
366,Entfernung::N,тора́,udaljenost
367,Entfernung::N,ку́жыт,udaljenost
368,Gegend::N,кунде́м,kraj
369,Gegend::N,кунде́м,predeo
370,Platz::N,ку́мдык,mjesto
371,Ort::N,вер,mjesto
372,Ort::N,о́лмо,mjesto
373,Seite::N,ӧ́рдыж,bok
374,Seite::N,ӧ́рдыж,strana
375,Mitte::N,покше́л,sredina
376,Gegenstand::N,наста́,predmet
377,Sache::N,наста́,posao
378,Rand::N,тӱр,rub
379,Rand::N,тӱр,kraj
380,Kante::N,тӱр,brid
381,Kante::N,тӱр,ivica
382,Ecke::N,лук,ugao
383,Spitze::N,вуй,vrh
384,Spitze::N,вуй,šiljak
385,Ende::N,муча́ш,konac
386,Loch::N,рож,rupa
387,Winkel::N,лук,kut
388,Winkel::N,лук,ugao
389,Muster::N,пеза́к,uzor
390,Muster::N,узо́р,uzor
391,Muster::N,ӱ́лгӧ,uzor
392,Größe::N,кӱ́кшыт,veličina
393,Länge::N,ку́тыш,duljina
394,Höhe::N,кӱ́кшыт,visina
395,Gewicht::N,не́лыт,težina
396,Menge::N,чот,mnoštvo
397,Menge::N,чот,količina
398,Haufen::N,кы́шыл,hrpa
399,Haufen::N,кы́шыл,gomila
400,Reihe::N,рада́м,red
401,Boot::N,пуш,čun
402,Boot::N,пуш,čamac
403,Ruder::N,эшка́к,veslo
404,Schlitten::N,тер,saone
405,Schlitten::N,изде́р,saone
406,Ski::N,е́че,ski
407,Ski::N,е́че,smučka
408,Lagerfeuer::N,туло́то,logorska vatra
409,Last::N,нӧ́лтыш,tovar
410,Gang::N,ошкылма́ш,hod
411,Schritt::N,о́шкыл,korak
