,Concept_ID,la,ro
0,Auge::N,oculus,ochi
1,Ohr::N,auris,ureche
2,Nase::N,nasus,nas
3,Mund::N,os,gură
4,Zahn::N,dens,dinte
5,Zunge::N,lingua,limbă
6,Lippe::N,labrum,buză
7,Wange::N,gena,bucă
8,Wange::N,gena,obraz
9,Gesicht::N,vultus,față
10,Gesicht::N,vultus,figură
11,Stirn::N,frons,frunte
12,Haar::N,capillus,păr
13,Schnurrbart::N,barba labri superioris,mustață
14,Bart::N,barba,barbă
15,Kinn::N,mentum,bărbie
16,Kiefer[Anatomie]::N,mala,falcă
17,Kehle::N,iugulums,beregată
18,Hals::N,collum,gât
19,Genick::N,cervices,ceafă
20,Kopf::N,caput,cap
21,Rücken::N,tergum,dos
22,Rücken::N,tergum,spate
23,Rücken::N,tergum,spinare
24,Bauch::N,venter,burtă
25,Bauch::N,venter,pântece
26,Nabel::N,umbilicus,buric
27,Busen::N,sinus,sân
28,Brust::N,pectus,piept
29,Schulter::N,umerus,umăr
30,Schulter::N,umerus,spate
31,Arm::N,bracchium,braț
32,Ellenbogen::N,cubitum,cot
33,Hand::N,manus,mână
34,Handfläche::N,palma,palmă
35,Finger::N,digitus,deget
36,Fingernagel::N,unguiculus,unghie
37,Nagel[Anatomie]::N,unguis,unghie
38,Zeh::N,digitus,deget de la picior
39,Fuß::N,pes,picior
40,Ferse::N,calx,călcâi
41,Knie::N,genu,genunchi
42,Oberschenkel::N,femur,coapsă
43,Bein::N,crus,picior
44,Körper::N,corpus,corp
45,Haut::N,cutis,piele
46,Haut::N,pellis,piele
47,Blut::N,sanguis,sânge
48,Ader::N,vena,vână
49,Ader::N,vena,arteră
50,Sehne::N,nervus,tendon
51,Knochen::N,os,os
52,Gehirn::N,cerebrum,creier
53,Herz::N,cor,inimă
54,Herz::N,animus,inimă
55,Magen::N,stomachus,stomac
56,Leber::N,iecur,ficat
57,Atem::N,spiritus,răsuflare
58,Atem::N,spiritus,respirație
59,Hunger::N,fames,foame
60,Träne::N,lacrima,lacrimă
61,Geschmack::N,sapor,gust
62,Geschmack::N,gustus,gust
63,Geruch::N,odor,miros
64,Schlaf::N,somnus,somn
65,Traum::N,somnium,vis
66,Himmel::N,caelum,cer
67,Sonne::N,sol,soare
68,Mond::N,luna,lună
69,Stern::N,sidus,stea
70,Stern::N,stella,stea
71,Luft::N,aer,aer
72,Wind::N,ventus,vânt
73,Welle::N,unda,val
74,Welle::N,unda,undă
75,Wasser::N,aqua,apă
76,Stein::N,lapis,piatră
77,Boden::N,solum,sol
78,Boden::N,solum,pământ
79,Erde::N,terra,pământ
80,Staub::N,pulvis,praf
81,Rauch::N,fumus,fum
82,Funke::N,scintilla,scânteie
83,Feuer::N,ignis,foc
84,Licht::N,lux,lumină
85,Licht::N,lumen,lumină
86,Schatten::N,umbra,umbră
87,Wetter::N,caelum,timp
88,Wetter::N,caelum,vreme
89,Wetter::N,tempestas,timp
90,Wetter::N,tempestas,vreme
91,Nebel::N,nebula,ceață
92,Nebel::N,nebula,negură
93,Wolke::N,nubes,nor
94,Regen::N,imber,ploaie
95,Regen::N,pluvia,ploaie
96,Schnee::N,nix,zăpadă
97,Eis::N,glacies,gheață
98,Frost::N,gelu,ger
99,Kälte::N,frigus,frig
100,Hitze::N,calor,arșiță
101,Hitze::N,calor,căldură
102,Hitze::N,aestus,arșiță
103,Hitze::N,aestus,căldură
104,Raureif::N,pruina,chiciură
105,Regenbogen::N,arcus,curcubeu
106,Donner::N,tonitrus,tunet
107,Strömung::N,fluctus,curent
108,Tropfen::N,gutta,picătură
109,Schaum::N,spuma,spumă
110,Schmutz::N,sordes,murdărie
111,Schmutz::N,squalor,murdărie
112,See::N,lacus,lac
113,Sumpf::N,palus,mlaștină
114,Moor::N,palus,bărăgan
115,Wiese::N,pratum,fânaț
116,Wiese::N,pratum,livadă
117,Wald::N,silva,codru
118,Wald::N,silva,pădure
119,Hügel::N,collis,deal
120,Hügel::N,collis,movilă
121,Anhöhe::N,specula,deal
122,Anhöhe::N,specula,ridicătură
123,Berg::N,mons,munte
124,Gipfel::N,vertex,pisc
125,Höhle::N,caverna,peșteră
126,Höhle::N,spelunca,peșteră
127,Abhang::N,declivum,pantă
128,Abhang::N,declivum,versant
129,Quelle::N,fons,izvor
130,Bach::N,rivus,gârlă
131,Fluss::N,flumen,râu
132,Fluss::N,flumen,fluviu
133,Ufer::N,ripa,mal
134,Ufer::N,ripa,țărm
135,Küste::N,litus,coastă
136,Festland::N,continens,uscat
137,Meer::N,mare,mare
138,Bucht::N,sinus,golf
139,Insel::N,insula,insulă
140,Blume::N,flos,floare
141,Gras::N,herba,iarbă
142,Gras::N,gramen,iarbă
143,Wurzel::N,radix,rădăcină
144,Baum::N,arbor,copac
145,Baum::N,arbor,arbore
146,Stamm::N,truncus,tulpină
147,Rinde::N,cortex,scoarță
148,Ast::N,ramus,cracă
149,Ast::N,ramus,creangă
150,Zweig::N,ramus,ramură
151,Zweig::N,ramus,creangă
152,Blatt::N,folium,frunză
153,Birke::N,betulla,mesteacăn
154,Kiefer[Baum]::N,pinus,pin
155,Weide[Baum]::N,salix,salcie
156,Weide[Baum]::N,salix,răchită
157,Tanne::N,abies,brad
158,Horn::N,cornu,corn
159,Feder::N,penna,pană
160,Fell::N,pellis,piele
161,Flügel::N,ala,aripă
162,Klaue::N,unguis,gheară
163,Kralle::N,unguis,labă
164,Kralle::N,unguis,gheară
165,Schwanz::N,cauda,coadă
166,Ei::N,ovum,ou
167,Nest::N,nidus,cuib
168,Bau::N,cavum,bârlog
169,Bau::N,cavum,vizuină
170,Bau::N,latibulum,bârlog
171,Bau::N,latibulum,vizuină
172,Tier::N,bestia,animal
173,Herde::N,grex,turmă
174,Herde::N,grex,cireadă
175,Kuh::N,vacca,vacă
176,Bulle::N,taurus,taur
177,Pferd::N,equus,cal
178,Schaf::N,ovis,oaie
179,Schwein::N,sus,porc
180,Schwein::N,porcus,porc
181,Hund::N,canis,câine
182,Katze::N,felis,pisică
183,Bär::N,ursus,urs
184,Eichhörnchen::N,sciurus,veveriță
185,Elch::N,alces,elan
186,Fuchs::N,vulpes,vulpe
187,Hase::N,lepus,iepure
188,Maus::N,mus,șoarece
189,Wolf::N,lupus,lup
190,Vogel::N,avis,pasăre
191,Schwarm::N,examen,cârd
192,Huhn::N,gallina,găină
193,Hahn::N,gallus,cocoș
194,Gans::N,anser,gâscă
195,Adler::N,aquila,vultur
196,Ente::N,anas,rață
197,Eule::N,ulula,bufniță
198,Eule::N,noctua,bufniță
199,Kranich::N,grus,cocor
200,Krähe::N,cornix,cioară
201,Kuckuck::N,cuculus,cuc
202,Schwan::N,olor,lebădă
203,Schwan::N,cycnus,lebădă
204,Fisch::N,piscis,pește
205,Barsch::N,perca,biban
206,Hecht::N,esox,știucă
207,Schlange[Tier]::N,serpens,șarpe
208,Wurm::N,vermis,vierme
209,Spinne::N,aranea,păianjen
210,Ameise::N,formica,furnică
211,Laus::N,pediculus,păduche
212,Mücke::N,culex,țânțar
213,Fliege::N,musca,muscă
214,Schmetterling::N,papilio,fluture
215,Beere::N,baca,boabă
216,Apfel::N,malum,măr
217,Pilz::N,fungus,burete
218,Pilz::N,fungus,ciupercă
219,Zwiebel::N,cepa,ceapă
220,Saat::N,seges,semănătură
221,Korn::N,granum,grâu
222,Heu::N,faenum,fân
223,Schale::N,putamen,coajă
224,Grube::N,fovea,groapă
225,Falle::N,pedica,cursă
226,Falle::N,pedica,capcană
227,Schlinge::N,laqueus,laț
228,Spur::N,vestigium,dâră
229,Asche::N,cinis,cenușă
230,Dreck::N,lutum,noroi
231,Dreck::N,lutum,murdărie
232,Eisen::N,ferrum,fier
233,Gold::N,aurum,aur
234,Silber::N,argentum,argint
235,Kohle::N,carbo,cărbune
236,Glas::N,vitrum,sticlă
237,Lehm::N,lutum,lut
238,Lehm::N,lutum,humă
239,Sand::N,arena,nisip
240,Mensch::N,homo,om
241,Mensch::N,homo,persoană
242,Mann::N,vir,om
243,Mann::N,vir,bărbat
244,Frau::N,mulier,femeie
245,Kind::N,puer,copil
246,Kind::N,infans,copil
247,Junge::N,puer,băiat
248,Junge::N,puer,flăcău
249,Mädchen::N,puella,fată
250,Familie::N,familia,familie
251,Großvater::N,avus,bunic
252,Großvater::N,avus,tată mare
253,Großmutter::N,avia,bunică
254,Großmutter::N,avia,mamă mare
255,Eltern::N,parentes,părinți
256,Vater::N,pater,tată
257,Vater::N,pater,părinte
258,Mutter::N,mater,mamă
259,Sohn::N,filius,fiu
260,Sohn::N,filius,fecior
261,Tochter::N,filia,fiică
262,Bruder::N,frater,frate
263,Schwester::N,soror,soră
264,Onkel::N,patruus,unchi
265,Onkel::N,avunculus,unchi
266,Tante::N,amita,mătușă
267,Ehemann::N,maritus,soț
268,Ehemann::N,maritus,bărbat
269,Ehefrau::N,uxor,soție
270,Freude::N,gaudium,bucurie
271,Freude::N,laetitia,bucurie
272,Gelächter::N,risus,râset
273,Glück::N,felicitas,fericire
274,Kummer::N,aegritudo,mâhnire
275,Wunsch::N,voluntas,dorință
276,Wunsch::N,voluntas,deziderat
277,Wunsch::N,desiderium,dorință
278,Wunsch::N,desiderium,deziderat
279,Lust::N,libido,poftă
280,Lust::N,libido,înclinare
281,Lust::N,voluptas,poftă
282,Lust::N,voluptas,înclinare
283,Geist::N,mens,duh
284,Geist::N,mens,minte
285,Geist::N,mens,suflet
286,Geist::N,animus,duh
287,Geist::N,animus,minte
288,Geist::N,animus,suflet
289,Gedanke::N,sententia,gând
290,Gedanke::N,sententia,cuget
291,Gedächtnis::N,memoria,memorie
292,Verstand::N,ratio,minte
293,Verstand::N,ratio,intelect
294,Verstand::N,ingenium,minte
295,Verstand::N,ingenium,intelect
296,Sinn::N,sensus,sens
297,Sinn::N,sensus,înțeles
298,Grund::N,causa,cauză
299,Grund::N,causa,pricină
300,Wahrheit::N,veritas,adevăr
301,Gespräch::N,sermo,convorbire
302,Gespräch::N,sermo,conversație
303,Märchen::N,fabula,basm
304,Märchen::N,fabula,poveste
305,Erzählung::N,fabula,poveste
306,Erzählung::N,narratio,poveste
307,Nachricht::N,nuntius,veste
308,Neuigkeit::N,novitas,noutate
309,Neuigkeit::N,novitas,actualitate
310,Name::N,nomen,nume
311,Rätsel::N,aenigma,ghicitoare
312,Rede::N,oratio,discurs
313,Sprache::N,lingua,limbă
314,Sprache::N,lingua,limbaj
315,Stimme::N,vox,glas
316,Wort::N,verbum,cuvânt
317,Wort::N,vocabulum,cuvânt
318,Zeichen::N,signum,semn
319,Zeichen::N,signum,semnal
320,Ruf::N,clamor,chemare
321,Lärm::N,strepitus,zgomot
322,Lärm::N,strepitus,tărăboi
323,Laut::N,sonus,sunet
324,Ton::N,sonus,ton
325,Lied::N,carmen,cântec
326,Ruhe::N,quies,odihnă
327,Ruhe::N,quies,liniște
328,Leute::N,homines,lume
329,Leute::N,homines,oameni
330,Volk::N,populus,popor
331,Volk::N,populus,națiune
332,Arbeit::N,labor,lucru
333,Gast::N,hospes,musafir
334,Gast::N,conviva,musafir
335,Geschenk::N,munus,dar
336,Geschenk::N,munus,cadou
337,Spiel::N,ludus,joc
338,Gesellschaft::N,societas,societate
339,Hilfe::N,auxilium,ajutor
340,Hilfe::N,subsidium,ajutor
