,Concept_ID,tr,et
0,Auge::N,göz,silm
1,Ohr::N,kulak,kõrv
2,Nase::N,burun,nina
3,Mund::N,ağız,suu
4,Zahn::N,diş,hammas
5,Zunge::N,dil,keel
6,Lippe::N,dudak,huul
7,Wange::N,yanak,põsk
8,Gesicht::N,yüz,nägu
9,Stirn::N,alın,otsmik
10,Haar::N,saç,juus
11,Schnurrbart::N,bıyık,vurrud
12,Schnurrbart::N,bıyık,vuntsid
13,Bart::N,sakal,habe
14,Kinn::N,çene,lõug
15,Kiefer[Anatomie]::N,çene,lõualuu
16,Kehle::N,boğaz,kõri
17,Hals::N,boyun,kael
18,Hals::N,gerdan,kael
19,Genick::N,ense,kukal
20,Kopf::N,baş,pea
21,Kopf::N,kafa,pea
22,Rücken::N,arka,selg
23,Bauch::N,karın,kõht
24,Nabel::N,göbek,naba
25,Busen::N,koyun,rind
26,Brust::N,göğüs,rind
27,Schulter::N,omuz,õlg
28,Arm::N,kol,käsivars
29,Ellenbogen::N,dirsek,küünarnukk
30,Hand::N,el,käsi
31,Handfläche::N,avuç,pihk
32,Handfläche::N,el ayası,pihk
33,Finger::N,parmak,sõrm
34,Fingernagel::N,el tırnağı,küüs
35,Nagel[Anatomie]::N,tırnak,küüs
36,Zeh::N,ayak parmağı,varvas
37,Fuß::N,ayak,jalg
38,Ferse::N,topuk,kand
39,Knie::N,diz,põlv
40,Oberschenkel::N,uyluk,reis
41,Bein::N,bacak,jalg
42,Körper::N,vücut,ihu
43,Körper::N,vücut,keha
44,Haut::N,cilt,nahk
45,Blut::N,kan,veri
46,Ader::N,damar,veen
47,Sehne::N,kiriş,kõõlus
48,Knochen::N,kemik,luu
49,Gehirn::N,beyin,aju
50,Herz::N,kalp,süda
51,Herz::N,yürek,süda
52,Magen::N,mide,magu
53,Leber::N,karaciğer,maks
54,Atem::N,nefes,hingeõhk
55,Atem::N,nefes,hingamine
56,Hunger::N,açlık,nälg
57,Träne::N,gözyaşı,pisar
58,Geschmack::N,tat,maitse
59,Geschmack::N,lezzet,maitse
60,Geruch::N,koku,lõhn
61,Schlaf::N,uyku,uni
62,Traum::N,düş,unenägu
63,Traum::N,rüya,unenägu
64,Himmel::N,gök,taevas
65,Sonne::N,güneş,päike
66,Mond::N,ay,kuu
67,Stern::N,yıldız,täht
68,Luft::N,hava,õhk
69,Wind::N,yel,tuul
70,Wind::N,rüzgâr,tuul
71,Welle::N,dalga,laine
72,Wasser::N,su,vesi
73,Stein::N,taş,kivi
74,Boden::N,yer,maa
75,Boden::N,yer,pinnas
76,Boden::N,zemin,maa
77,Boden::N,zemin,pinnas
78,Erde::N,toprak,maa
79,Staub::N,toz,põrm
80,Rauch::N,duman,suits
81,Funke::N,kıvılcım,säde
82,Feuer::N,ateş,tuli
83,Licht::N,ışık,valgus
84,Schatten::N,gölge,vari
85,Wetter::N,hava,ilm
86,Nebel::N,pus,udu
87,Wolke::N,bulut,pilv
88,Regen::N,yağmur,sadu
89,Schnee::N,kar,lumi
90,Eis::N,buz,jää
91,Frost::N,don,pakane
92,Kälte::N,soğukluk,külm
93,Kälte::N,soğukluk,külmus
94,Hitze::N,sıcaklık,kuumus
95,Hitze::N,sıcaklık,palavus
96,Raureif::N,kırç,härmatis
97,Regenbogen::N,gökkuşağı,vikerkaar
98,Donner::N,gök gürlemesi,kõu
99,Donner::N,gök gürlemesi,müristamine
100,Strömung::N,akıntı,voolus
101,Strömung::N,akıntı,jõevool
102,Strömung::N,cereyan,voolus
103,Strömung::N,cereyan,jõevool
104,Tropfen::N,damla,tilk
105,Schaum::N,köpük,vaht
106,Schmutz::N,çamur,pori
107,Schmutz::N,çamur,mustus
108,Schmutz::N,pislik,pori
109,Schmutz::N,pislik,mustus
110,See::N,göl,järv
111,Sumpf::N,batak,soo
112,Moor::N,cılgıt,raba
113,Wiese::N,çimen,aas
114,Wiese::N,çimen,nurm
115,Wald::N,koru,mets
116,Wald::N,orman,mets
117,Hügel::N,tepe,küngas
118,Anhöhe::N,tümsek,küngas
119,Anhöhe::N,yükseklik,küngas
120,Berg::N,dağ,mägi
121,Gipfel::N,zirve,mäetipp
122,Höhle::N,in,koobas
123,Höhle::N,mağara,koobas
124,Abhang::N,bayır,nõlvak
125,Quelle::N,pınar,allikas
126,Quelle::N,kaynak,allikas
127,Bach::N,çay,oja
128,Bach::N,dere,oja
129,Fluss::N,nehir,jõgi
130,Ufer::N,kıyı,kallas
131,Ufer::N,sahil,kallas
132,Küste::N,kıyı,rannik
133,Küste::N,sahil,rannik
134,Festland::N,kara,mander
135,Festland::N,kara,maismaa
136,Meer::N,deniz,meri
137,Bucht::N,koy,laht
138,Bucht::N,körfez,laht
139,Insel::N,ada,saar
140,Blume::N,çiçek,lill
141,Gras::N,ot,rohi
142,Gras::N,çim,rohi
143,Wurzel::N,kök,juur
144,Baum::N,ağaç,puu
145,Stamm::N,gövde,tüvi
146,Rinde::N,kabuk,koor
147,Ast::N,dal,oks
148,Ast::N,budak,oks
149,Zweig::N,dal,oks
150,Blatt::N,yaprak,leht
151,Birke::N,huş,kask
152,Kiefer[Baum]::N,çam,mänd
153,Weide[Baum]::N,söğüt,paju
154,Tanne::N,çam,nulg
155,Tanne::N,köknar,nulg
156,Horn::N,boynuz,sarv
157,Feder::N,tüy,sulg
158,Fell::N,post,karvkate
159,Fell::N,post,karusnahk
160,Flügel::N,kanat,tiib
161,Flügel::N,kanat,tiivik
162,Klaue::N,pençe,küüs
163,Kralle::N,tırnak,küünis
164,Schwanz::N,kuyruk,saba
165,Ei::N,yumurta,muna
166,Nest::N,yuva,pesa
167,Bau::N,in,urg
168,Tier::N,hayvan,loom
169,Herde::N,sürü,kari
170,Kuh::N,inek,lehm
171,Bulle::N,boğa,pull
172,Pferd::N,at,hobune
173,Pferd::N,beygir,hobune
174,Schaf::N,koyun,lammas
175,Schwein::N,domuz,siga
176,Hund::N,it,koer
177,Hund::N,köpek,koer
178,Katze::N,kedi,kass
179,Bär::N,ayı,karu
180,Eichhörnchen::N,sincap,orav
181,Elch::N,büyük kuzey geyiği,põder
182,Fuchs::N,tilki,rebane
183,Hase::N,tavşan,jänes
184,Maus::N,fare,hiir
185,Maus::N,sıçan,hiir
186,Wolf::N,kurt,hunt
187,Vogel::N,kuş,lind
188,Schwarm::N,sürü,parv
189,Huhn::N,tavuk,kana
190,Hahn::N,horoz,kukk
191,Gans::N,kaz,hani
192,Adler::N,kartal,kotkas
193,Adler::N,karakuş,kotkas
194,Ente::N,ördek,part
195,Eule::N,baykuş,kakk
196,Eule::N,baykuş,öökull
197,Kranich::N,turna,kurg
198,Krähe::N,karga,vares
199,Kuckuck::N,guguk,kägu
200,Schwan::N,kuğu,luik
201,Fisch::N,balık,kala
202,Barsch::N,hani,ahven
203,Barsch::N,levrek,ahven
204,Hecht::N,turnabalığı,haug
205,Schlange[Tier]::N,yılan,uss
206,Wurm::N,kurt,uss
207,Wurm::N,kurt,vagel
208,Wurm::N,solucan,uss
209,Wurm::N,solucan,vagel
210,Spinne::N,örümcek,ämblik
211,Ameise::N,karınca,sipelgas
212,Laus::N,bit,täi
213,Mücke::N,sivrisinek,sääsk
214,Fliege::N,sinek,kärbes
215,Schmetterling::N,kelebek,liblikas
216,Beere::N,tane,mari
217,Apfel::N,elma,õun
218,Pilz::N,mantar,seen
219,Zwiebel::N,soğan,sibul
220,Saat::N,ekin,seeme
221,Korn::N,tane,iva
222,Korn::N,tane,tera
223,Heu::N,kuru ot,hein
224,Schale::N,kabuk,koor
225,Grube::N,çukur,kaevand
226,Falle::N,tuzak,lõks
227,Falle::N,tuzak,püünis
228,Schlinge::N,ilmik,aas
229,Spur::N,iz,jälg
230,Asche::N,kül,tuhk
231,Dreck::N,pislik,saast
232,Dreck::N,pislik,mustus
233,Eisen::N,demir,raud
234,Gold::N,altın,kuld
235,Silber::N,gümüş,hõbe
236,Kohle::N,kömür,süsi
237,Glas::N,cam,klaas
238,Lehm::N,balçık,savi
239,Sand::N,kum,liiv
240,Mensch::N,insan,inimene
241,Mann::N,adam,mees
242,Mann::N,erkek,mees
243,Frau::N,bayan,naine
244,Kind::N,çocuk,laps
245,Junge::N,erkek çocuk,poiss
246,Mädchen::N,kız,tüdruk
247,Familie::N,aile,perekond
248,Großvater::N,dede,vanaisa
249,Großvater::N,büyükbaba,vanaisa
250,Großmutter::N,nine,vanaema
251,Großmutter::N,büyükanne,vanaema
252,Eltern::N,ebeveyn,vanemad
253,Eltern::N,ana baba,vanemad
254,Vater::N,ata,isa
255,Vater::N,baba,isa
256,Mutter::N,ana,ema
257,Mutter::N,anne,ema
258,Sohn::N,oğul,poeg
259,Tochter::N,kız,tütar
260,Tochter::N,kız evlât,tütar
261,Bruder::N,abi,vend
262,Bruder::N,erkek kardeş,vend
263,Schwester::N,abla,õde
264,Schwester::N,kız kardeş,õde
265,Onkel::N,dayı,onu
266,Tante::N,hala,tädi
267,Tante::N,teyze,tädi
268,Ehemann::N,koca,mees
269,Ehemann::N,koca,abikaasa
270,Ehefrau::N,karı,naine
271,Ehefrau::N,karı,abikaasa
272,Freude::N,neşe,rõõm
273,Freude::N,sevinç,rõõm
274,Gelächter::N,gülme,naer
275,Gelächter::N,kahkaha,naer
276,Glück::N,mutluluk,õnn
277,Kummer::N,dert,mure
278,Kummer::N,dert,kurbus
279,Kummer::N,keder,mure
280,Kummer::N,keder,kurbus
281,Wunsch::N,arzu,soov
282,Wunsch::N,istek,soov
283,Lust::N,arzu,himu
284,Lust::N,heves,himu
285,Geist::N,tin,vaim
286,Gedanke::N,fikir,mõte
287,Gedanke::N,düşünce,mõte
288,Gedächtnis::N,bellek,mälu
289,Verstand::N,zekâ,aru
290,Verstand::N,zekâ,mõistus
291,Sinn::N,anlam,tähendus
292,Grund::N,sebep,põhjus
293,Wahrheit::N,doğruluk,tõde
294,Wahrheit::N,gerçeklik,tõde
295,Gespräch::N,görüşme,kõne
296,Gespräch::N,görüşme,vestlus
297,Märchen::N,masal,muinasjutt
298,Erzählung::N,öykü,jutustus
299,Erzählung::N,hikâye,jutustus
