,Concept_ID,ga,ja
0,Auge::N,súil,目
1,Ohr::N,cluas,耳
2,Nase::N,soc,鼻
3,Mund::N,béal,口
4,Zahn::N,fiacail,歯
5,Zunge::N,teanga,舌
6,Lippe::N,liopa,唇
7,Wange::N,grua,頬
8,Wange::N,leiceann,頬
9,Gesicht::N,éadan,顔
10,Gesicht::N,aghaidh,顔
11,Stirn::N,baithis,額
12,Stirn::N,clár éadain,額
13,Haar::N,gruaig,髪
14,Schnurrbart::N,croiméal,口髭
15,Bart::N,féasóg,髭
16,Kinn::N,smig,顎
17,Kiefer[Anatomie]::N,giall,顎
18,Kehle::N,scornach,喉
19,Hals::N,muinéal,首
20,Genick::N,baic,首
21,Kopf::N,ceann,頭
22,Rücken::N,droim,背中
23,Bauch::N,bolg,腹
24,Bauch::N,bolg,お腹
25,Nabel::N,imleacán,へそ
26,Busen::N,cíoch,乳房
27,Brust::N,brollach,胸
28,Schulter::N,gualainn,肩
29,Arm::N,lámh,腕
30,Ellenbogen::N,uillinn,肘
31,Hand::N,lámh,手
32,Handfläche::N,bos,手のひら
33,Finger::N,méar,指
34,Fingernagel::N,ionga,爪
35,Nagel[Anatomie]::N,ionga,爪
36,Zeh::N,ladhar,足の指
37,Fuß::N,cos,足
38,Fuß::N,troigh,足
39,Ferse::N,sáil,かかと
40,Knie::N,glúin,膝
41,Oberschenkel::N,ceathrú,上腿
42,Bein::N,cos,足
43,Körper::N,corp,体
44,Körper::N,colainn,体
45,Haut::N,cneas,皮膚
46,Haut::N,craiceann,皮膚
47,Blut::N,fuil,血
48,Sehne::N,teannán,腱
49,Sehne::N,féitheog,腱
50,Knochen::N,cnámh,骨
51,Gehirn::N,inchinn,脳
52,Herz::N,croí,心
53,Herz::N,croí,心臓
54,Magen::N,bolg,胃
55,Magen::N,goile,胃
56,Leber::N,ae,肝臓
57,Atem::N,anáil,息
58,Atem::N,anáil,呼吸
59,Hunger::N,ocras,空腹
60,Träne::N,deoir,涙
61,Geschmack::N,blas,味
62,Geruch::N,boladh,匂い
63,Schlaf::N,suan,睡眠
64,Schlaf::N,codladh,睡眠
65,Traum::N,taibhreamh,夢
66,Himmel::N,spéir,空
67,Sonne::N,grian,太陽
68,Mond::N,ré,月
69,Mond::N,gealach,月
70,Stern::N,rinn,星
71,Stern::N,réalta,星
72,Luft::N,aer,空気
73,Wind::N,gaoth,風
74,Welle::N,tonn,波
75,Wasser::N,uisce,水
76,Stein::N,cloch,石
77,Boden::N,talamh,土地
78,Erde::N,cré,土
79,Erde::N,ithir,土
80,Staub::N,dusta,埃
81,Staub::N,deannach,埃
82,Rauch::N,toit,煙
83,Rauch::N,deatach,煙
84,Funke::N,drithle,火花
85,Feuer::N,tine,火
86,Licht::N,solas,光
87,Schatten::N,scáth,陰
88,Wetter::N,aimsir,天気
89,Nebel::N,ceo,霧
90,Wolke::N,néal,雲
91,Wolke::N,scamall,雲
92,Regen::N,báisteach,雨
93,Regen::N,fearthainn,雨
94,Schnee::N,sneachta,雪
95,Eis::N,oighear,氷
96,Frost::N,sioc,霜
97,Kälte::N,fuacht,寒さ
98,Hitze::N,teas,暑さ
99,Hitze::N,teocht,暑さ
100,Raureif::N,sioc bán,霧氷
101,Regenbogen::N,stua ceatha,虹
102,Regenbogen::N,bogha báistí,虹
103,Donner::N,toirneach,雷
104,Strömung::N,sruth,流れ
105,Tropfen::N,deoir,滴
106,Schaum::N,cúr,泡
107,Schmutz::N,salachar,汚れ
108,See::N,loch,湖
109,Sumpf::N,portach,沼
110,Moor::N,caorán,湿原
111,Moor::N,móinteán,湿原
112,Wiese::N,cluain,草原
113,Wiese::N,móinéar,草原
114,Wald::N,coill,森
115,Wald::N,foraois,森
116,Hügel::N,ard,丘
117,Anhöhe::N,ard,高み
118,Anhöhe::N,ardán,高み
119,Berg::N,sliabh,山
120,Gipfel::N,barr,頂上
121,Gipfel::N,mullach,頂上
122,Höhle::N,uaimh,洞窟
123,Höhle::N,pluais,洞窟
124,Abhang::N,fána,斜面
125,Quelle::N,foinse,泉
126,Bach::N,sruthán,小川
127,Fluss::N,abhainn,川
128,Ufer::N,bruach,岸
129,Küste::N,cósta,海岸
130,Küste::N,cladach,海岸
131,Festland::N,míntír,陸
132,Meer::N,muir,海
133,Meer::N,farraige,海
134,Bucht::N,bá,湾
135,Bucht::N,cuan,湾
136,Insel::N,inis,島
137,Insel::N,oileán,島
138,Blume::N,bláth,花
139,Gras::N,féar,草
140,Wurzel::N,rúta,根
141,Wurzel::N,fréamh,根
142,Baum::N,crann,木
143,Stamm::N,stoc,幹
144,Stamm::N,tamhan,幹
145,Rinde::N,coirt,皮層
146,Rinde::N,craiceann,皮層
147,Ast::N,géag,枝
148,Zweig::N,géag,小枝
149,Zweig::N,craobh,小枝
150,Blatt::N,duille,葉
151,Blatt::N,duilleog,葉
152,Birke::N,beith,樺
153,Birke::N,crann beithe,樺
154,Kiefer[Baum]::N,péine,松
155,Weide[Baum]::N,saileach,柳
156,Tanne::N,giúis,樅
157,Horn::N,adharc,角
158,Feder::N,cleite,羽根
159,Fell::N,clúmh,毛皮
160,Flügel::N,eite,羽
161,Flügel::N,sciathán,羽
162,Klaue::N,crúb,鉤爪
163,Klaue::N,crobh,鉤爪
164,Kralle::N,crobh,爪
165,Schwanz::N,eireaball,尻尾
166,Ei::N,ubh,卵
167,Nest::N,nead,巣
168,Bau::N,brocais,穴
169,Tier::N,ainmhí,動物
170,Tier::N,beithíoch,動物
171,Herde::N,tréad,群れ
172,Kuh::N,bó,牛
173,Bulle::N,tarbh,雄牛
174,Pferd::N,each,馬
175,Pferd::N,capall,馬
176,Schaf::N,caora,羊
177,Schwein::N,muc,豚
178,Hund::N,madra,犬
179,Katze::N,cat,猫
180,Bär::N,béar,熊
181,Eichhörnchen::N,iora,栗鼠
182,Elch::N,eilc,ヘラジカ
183,Fuchs::N,sionnach,狐
184,Fuchs::N,madra rua,狐
185,Hase::N,giorria,兎
186,Maus::N,luch,鼠
187,Wolf::N,mac tíre,狼
188,Vogel::N,éan,鳥
189,Schwarm::N,saithe,群れ
190,Huhn::N,cearc,鶏
191,Hahn::N,coileach,雄鶏
192,Gans::N,gé,ガチョウ
193,Adler::N,iolar,鷲
194,Ente::N,lacha,鴨
195,Eule::N,ulchabhán,フクロウ
196,Kranich::N,grús,鶴
197,Krähe::N,caróg,烏
198,Krähe::N,préachán,烏
199,Kuckuck::N,cuach,郭公
200,Schwan::N,eala,白鳥
201,Fisch::N,iasc,魚
202,Barsch::N,péirse,鱸
203,Hecht::N,liús,川魳
204,Schlange[Tier]::N,nathair,蛇
205,Wurm::N,péist,虫
206,Spinne::N,damhán alla,蜘蛛
207,Ameise::N,seangán,蟻
208,Laus::N,míol,虱
209,Mücke::N,muiscít,蚊
210,Mücke::N,corrmhíol,蚊
211,Fliege::N,cuil,蝿
212,Fliege::N,cuileog,蝿
213,Schmetterling::N,féileacán,蝶
214,Beere::N,caor,漿果
215,Apfel::N,úll,林檎
216,Pilz::N,beacán,茸
217,Pilz::N,muisiriún,茸
218,Zwiebel::N,oinniún,玉葱
219,Saat::N,síol,種
220,Korn::N,gráinne,粒
221,Heu::N,féar,干し草
222,Schale::N,scaimh,皮
223,Grube::N,poll,穴
224,Falle::N,gaiste,わな
225,Schlinge::N,sealán,輪
226,Spur::N,rian,跡
227,Asche::N,luaith,灰
228,Dreck::N,salachar,泥
229,Eisen::N,iarann,鉄
230,Gold::N,ór,金
231,Silber::N,airgead,銀
232,Kohle::N,gual,炭
233,Glas::N,gloine,ガラス
234,Lehm::N,cré,ローム
235,Sand::N,gaineamh,砂
236,Mensch::N,duine,人
237,Mann::N,fear,男
238,Mann::N,fear,男性
239,Frau::N,bean,女
240,Frau::N,bean,女性
241,Kind::N,gasúr,子
242,Kind::N,gasúr,子供
243,Kind::N,páiste,子
244,Kind::N,páiste,子供
245,Junge::N,buachaill,男の子
246,Mädchen::N,cailín,女の子
247,Familie::N,teaghlach,家族
248,Familie::N,comhluadar,家族
249,Großvater::N,seanathair,祖父
250,Großvater::N,seanathair,おじいさん
251,Großmutter::N,seanmháthair,祖母
252,Großmutter::N,seanmháthair,おばあさん
253,Eltern::N,tuismitheoirí,親
254,Eltern::N,tuismitheoirí,両親
255,Vater::N,athair,父
256,Vater::N,athair,お父さん
257,Mutter::N,máthair,母
258,Mutter::N,máthair,お母さん
259,Sohn::N,mac,息子
260,Sohn::N,mac,息子さん
261,Tochter::N,iníon,娘
262,Tochter::N,iníon,お嬢さん
263,Bruder::N,deartháir,弟
264,Schwester::N,deirfiúr,妹
265,Onkel::N,uncail,伯父
266,Onkel::N,uncail,伯父さん
267,Tante::N,aintín,叔母
268,Tante::N,aintín,叔母さん
269,Ehemann::N,fear céile,夫
270,Ehemann::N,fear céile,主人
271,Ehefrau::N,bean chéile,妻
272,Ehefrau::N,bean chéile,奥さん
273,Freude::N,áthas,喜び
274,Gelächter::N,gáire,笑い
275,Glück::N,séan,幸せ
276,Glück::N,sonas,幸せ
277,Kummer::N,brón,悩み
278,Kummer::N,buairt,悩み
279,Wunsch::N,guí,希望
280,Wunsch::N,achainí,希望
281,Lust::N,fonn,気
282,Geist::N,meon,精神
283,Geist::N,spiorad,精神
284,Gedanke::N,smaoineamh,考え
285,Gedächtnis::N,cuimhne,記憶
286,Verstand::N,ciall,理解力
287,Verstand::N,intinn,理解力
288,Sinn::N,brí,意味
289,Sinn::N,ciall,意味
290,Grund::N,fáth,理由
291,Wahrheit::N,fírinne,真実
292,Gespräch::N,comhrá,会話
293,Märchen::N,scéal,童話
294,Erzählung::N,scéal,物語
295,Nachricht::N,teachtaireacht,報告
296,Neuigkeit::N,scéala,ニュース
297,Name::N,ainm,名前
298,Rätsel::N,tomhas,謎
299,Rede::N,óráid,演説
300,Rede::N,aitheasc,演説
301,Sprache::N,teanga,言語
302,Stimme::N,guth,声
303,Wort::N,focal,言葉
304,Zeichen::N,comhartha,記号
305,Ruf::N,glaoch,呼び声
306,Lärm::N,torann,騒音
307,Laut::N,fuaim,音
308,Ton::N,ton,音
309,Lied::N,amhrán,歌
310,Ruhe::N,suaimhneas,静けさ
311,Leute::N,muintir,人々
312,Volk::N,pobal,民族
313,Arbeit::N,obair,仕事
314,Gast::N,aoi,客
315,Geschenk::N,féirín,贈り物
316,Geschenk::N,bronntanas,贈り物
317,Spiel::N,cluiche,遊び
318,Gesellschaft::N,comhluadar,社会
319,Hilfe::N,cúnamh,援助
320,Hilfe::N,cabhair,援助
321,Freund::N,cara,友達
322,Kamerad::N,comrádaí,同志
323,Angelegenheit::N,ábhar,件
324,Anzahl::N,líon,数
325,Art::N,sórt,種類
326,Art::N,saghas,種類
327,Stück::N,píosa,部分
328,Teil::N,cuid,部分
329,Teil::N,páirt,部分
330,Hälfte::N,leath,半分
331,Kreis::N,ciorcal,円
332,Kreuz::N,cros,十字
333,Linie::N,líne,線
334,Strich::N,stríoc,線
335,Abstand::N,achar,距離
336,Entfernung::N,fad,距離
337,Gegend::N,ceantar,辺
338,Gegend::N,ceantar,地域
339,Platz::N,áit,ゆとり
340,Platz::N,spás,ゆとり
341,Ort::N,áit,所
342,Ort::N,áit,場所
343,Seite::N,taobh,横
344,Mitte::N,lár,真ん中
345,Gegenstand::N,ball,物件
346,Gegenstand::N,ábhar,物件
347,Sache::N,ní,物
348,Sache::N,rud,物
349,Rand::N,imeall,端
350,Rand::N,ciumhais,端
351,Kante::N,corr,縁
352,Kante::N,colbha,縁
353,Ecke::N,coirnéal,角
354,Spitze::N,gob,先頭
355,Spitze::N,barr,先頭
356,Ende::N,ceann,端
357,Ende::N,foirceann,端
358,Loch::N,poll,穴
359,Winkel::N,cúinne,片隅
360,Winkel::N,uillinn,片隅
361,Muster::N,patrún,模様
362,Größe::N,méid,大きさ
363,Größe::N,toise,大きさ
