,Concept_ID,is,nl
0,Auge::N,auga,oog
1,Ohr::N,eyra,oor
2,Nase::N,nef,neus
3,Mund::N,munnur,mond
4,Zahn::N,tönn,tand
5,Zunge::N,tunga,tong
6,Lippe::N,vör,lip
7,Wange::N,kinn,wang
8,Wange::N,vangi,wang
9,Gesicht::N,andlit,gelaat
10,Gesicht::N,andlit,gezicht
11,Stirn::N,enni,voorhoofd
12,Haar::N,hár,haar
13,Schnurrbart::N,yfirskegg,snor
14,Bart::N,skegg,baard
15,Kinn::N,haka,kin
16,Kiefer[Anatomie]::N,kjálki,kaak
17,Kiefer[Anatomie]::N,skoltur,kaak
18,Kehle::N,kverk,keel
19,Kehle::N,kverk,strot
20,Hals::N,háls,hals
21,Genick::N,hnakki,nek
22,Kopf::N,höfuð,hoofd
23,Rücken::N,hryggur,rug
24,Bauch::N,kviður,buik
25,Nabel::N,nafli,navel
26,Busen::N,barmur,boezem
27,Brust::N,brjóst,borst
28,Schulter::N,öxl,schouder
29,Arm::N,armur,arm
30,Ellenbogen::N,olnbogi,elleboog
31,Hand::N,hönd,hand
32,Handfläche::N,lófi,handpalm
33,Finger::N,fingur,vinger
34,Fingernagel::N,fingurnögl,nagel
35,Nagel[Anatomie]::N,nögl,nagel
36,Zeh::N,tá,teen
37,Fuß::N,fótur,voet
38,Ferse::N,hæll,hak
39,Ferse::N,hæll,hiel
40,Knie::N,kné,knie
41,Oberschenkel::N,læri,dij
42,Bein::N,fótleggur,been
43,Körper::N,búkur,lichaam
44,Körper::N,líkami,lichaam
45,Haut::N,húð,huid
46,Haut::N,skinn,huid
47,Blut::N,blóð,bloed
48,Ader::N,æð,ader
49,Sehne::N,sin,pees
50,Knochen::N,bein,bot
51,Knochen::N,bein,been
52,Knochen::N,bein,knook
53,Gehirn::N,heili,hersenen
54,Herz::N,hjarta,hart
55,Magen::N,magi,maag
56,Leber::N,lifur,lever
57,Atem::N,andi,adem
58,Atem::N,andardráttur,adem
59,Hunger::N,hungur,honger
60,Träne::N,tár,traan
61,Geschmack::N,smekkur,smaak
62,Geruch::N,lykt,geur
63,Schlaf::N,svefn,slaap
64,Traum::N,draumur,droom
65,Himmel::N,himinn,hemel
66,Sonne::N,sól,zon
67,Mond::N,tungl,maan
68,Stern::N,stjarna,ster
69,Luft::N,loft,lucht
70,Wind::N,vindur,wind
71,Welle::N,alda,golf
72,Welle::N,bylgja,golf
73,Wasser::N,vatn,water
74,Stein::N,steinn,steen
75,Boden::N,botn,grond
76,Erde::N,jörð,aarde
77,Staub::N,ryk,stof
78,Staub::N,duft,stof
79,Rauch::N,reykur,rook
80,Funke::N,neisti,vonk
81,Feuer::N,eldur,vuur
82,Licht::N,ljós,licht
83,Schatten::N,skuggi,schaduw
84,Wetter::N,veður,weer
85,Nebel::N,þoka,mist
86,Nebel::N,þoka,nevel
87,Wolke::N,ský,wolk
88,Regen::N,regn,regen
89,Schnee::N,snjór,sneeuw
90,Eis::N,ís,ijs
91,Frost::N,frost,vorst
92,Kälte::N,kuldi,kou
93,Kälte::N,kuldi,koude
94,Hitze::N,hiti,hitte
95,Raureif::N,hrím,rijp
96,Regenbogen::N,regnbogi,regenboog
97,Donner::N,þruma,donder
98,Strömung::N,straumur,stroming
99,Tropfen::N,dropi,druppel
100,Schaum::N,froða,schuim
101,Schmutz::N,óhreinindi,vuil
102,See::N,stöðuvatn,meer
103,Sumpf::N,fen,moeras
104,Moor::N,mýri,veen
105,Wiese::N,engi,wei
106,Wiese::N,engi,weide
107,Wald::N,skógur,bos
108,Hügel::N,hæð,heuvel
109,Hügel::N,hóll,heuvel
110,Anhöhe::N,hæð,hoogte
111,Anhöhe::N,hóll,hoogte
112,Berg::N,fell,berg
113,Berg::N,fjall,berg
114,Gipfel::N,tindur,top
115,Höhle::N,hellir,hol
116,Abhang::N,hlíð,helling
117,Abhang::N,brekka,helling
118,Quelle::N,lind,bron
119,Quelle::N,uppspretta,bron
120,Bach::N,lækur,beek
121,Fluss::N,á,stroom
122,Fluss::N,fljót,stroom
123,Ufer::N,árbakki,wal
124,Ufer::N,árbakki,oever
125,Ufer::N,sjávarbakki,wal
126,Ufer::N,sjávarbakki,oever
127,Küste::N,strönd,kust
128,Festland::N,meginland,vasteland
129,Meer::N,haf,zee
130,Meer::N,sjór,zee
131,Bucht::N,vík,baai
132,Bucht::N,vík,inham
133,Insel::N,eyja,eiland
134,Blume::N,blóm,bloem
135,Gras::N,gras,gras
136,Wurzel::N,rót,wortel
137,Baum::N,tré,boom
138,Stamm::N,stofn,stam
139,Rinde::N,börkur,schors
140,Ast::N,grein,tak
141,Zweig::N,angi,twijg
142,Zweig::N,kvistur,twijg
143,Blatt::N,blað,blad
144,Birke::N,birki,berk
145,Kiefer[Baum]::N,fura,den
146,Weide[Baum]::N,víðir,wilg
147,Tanne::N,greni,spar
148,Horn::N,horn,hoorn
149,Feder::N,fjöður,veer
150,Feder::N,fjöður,pluim
151,Fell::N,skinn,vel
152,Flügel::N,vængur,vleugel
153,Klaue::N,kló,klauw
154,Kralle::N,kló,klauw
155,Schwanz::N,rófa,staart
156,Schwanz::N,skott,staart
157,Ei::N,egg,ei
158,Nest::N,hreiður,nest
159,Bau::N,greni,hol
160,Bau::N,bæli,hol
161,Tier::N,dýr,dier
162,Herde::N,hjörð,kudde
163,Kuh::N,kýr,koe
164,Bulle::N,boli,stier
165,Pferd::N,hestur,paard
166,Schaf::N,kind,schaap
167,Schwein::N,svín,varken
168,Hund::N,hundur,hond
169,Katze::N,köttur,kat
170,Bär::N,björn,beer
171,Eichhörnchen::N,íkorni,eekhoorntje
172,Elch::N,elgur,eland
173,Fuchs::N,refur,vos
174,Hase::N,héri,haas
175,Maus::N,mús,muis
176,Wolf::N,úlfur,wolf
177,Vogel::N,fugl,vogel
178,Schwarm::N,sægur,zwerm
179,Huhn::N,hæna,kip
180,Huhn::N,hæna,hoen
181,Hahn::N,hani,haan
182,Gans::N,gæs,gans
183,Adler::N,örn,arend
184,Ente::N,önd,eend
185,Eule::N,uggla,uil
186,Kranich::N,trana,kraanvogel
187,Krähe::N,kráka,kraai
188,Kuckuck::N,gaukur,koekoek
189,Schwan::N,svanur,zwaan
190,Fisch::N,fiskur,vis
191,Barsch::N,aborri,baars
192,Hecht::N,gedda,snoek
193,Schlange[Tier]::N,naðra,slang
194,Wurm::N,ormur,worm
195,Spinne::N,kónguló,spin
196,Ameise::N,maur,mier
197,Laus::N,lús,luis
198,Mücke::N,mý,mug
199,Mücke::N,mýfluga,mug
200,Fliege::N,fluga,vlieg
201,Schmetterling::N,fiðrildi,vlinder
202,Beere::N,ber,bes
203,Apfel::N,epli,appel
204,Pilz::N,sveppur,paddestoel
205,Zwiebel::N,laukur,ui
206,Saat::N,fræ,zaad
207,Saat::N,útsæði,zaad
208,Korn::N,korn,graan
209,Korn::N,korn,korrel
210,Heu::N,hey,hooi
211,Schale::N,hýði,schil
212,Grube::N,gryfja,kuil
213,Falle::N,gildra,val
