,Concept_ID,ru,kl
0,Auge::N,глаз,isi
1,Ohr::N,ухо,siut
2,Nase::N,нос,
3,Mund::N,рот,paaq
4,Mund::N,рот,qaneq
5,Zahn::N,зуб,kigut
6,Zunge::N,язык,oqaq
7,Lippe::N,губа,qarloq
8,Wange::N,щека,ersaq
9,Gesicht::N,лицо,kiinaq
10,Stirn::N,лоб,qaaq
11,Haar::N,волос,meqqoq
12,Haar::N,волосы,meqqoq
13,Schnurrbart::N,ус,
14,Schnurrbart::N,усы,
15,Bart::N,борода,umik
16,Kinn::N,подбородок,talloq
17,Kiefer[Anatomie]::N,челюсть,alleroq
18,Kehle::N,горло,malaq
19,Hals::N,шея,qungaseq
20,Genick::N,затылок,pukusuk
21,Kopf::N,голова,niaqoq
22,Rücken::N,спина,qimerlut
23,Bauch::N,живот,naaq
24,Nabel::N,пупок,qalaseq
25,Busen::N,женская грудь,iviangeq
26,Brust::N,грудь,iviangeq
27,Schulter::N,плечо,ersik
28,Schulter::N,плечо,assaqqoq
29,Arm::N,рука,taleq
30,Ellenbogen::N,локоть,ikusik
31,Hand::N,кисть,assak
32,Handfläche::N,ладонь,itumak
33,Finger::N,палец,inuak
34,Fingernagel::N,ноготь,kikiak
35,Nagel[Anatomie]::N,ноготь,kukik
36,Zeh::N,палец,isigak
37,Fuß::N,ступня,
38,Ferse::N,пята,kimmik
39,Ferse::N,пятка,kimmik
40,Knie::N,колено,seeqqoq
41,Oberschenkel::N,бедро,uppat
42,Oberschenkel::N,бедро,quttoraq
43,Bein::N,нога,isigak
44,Körper::N,тело,timi
45,Haut::N,кожа,mattak
46,Blut::N,кровь,aak
47,Ader::N,вена,taqaq
48,Ader::N,сосуд,taqaq
49,Sehne::N,жила,ujalu
50,Sehne::N,жила,ujaloq
51,Sehne::N,тетива,ujalu
52,Sehne::N,тетива,ujaloq
53,Sehne::N,сухожилие,ujalu
54,Sehne::N,сухожилие,ujaloq
55,Knochen::N,кость,saanikut
56,Gehirn::N,мозг,qarasaq
57,Herz::N,сердце,uummat
58,Magen::N,желудок,aqajaroq
59,Leber::N,печень,tinguk
60,Atem::N,дух,anerneq
61,Atem::N,дыхание,anerneq
62,Hunger::N,голод,kaanneq
63,Träne::N,слеза,qia
64,Träne::N,слеза,qiak
65,Geschmack::N,вкус,qilanaartuut
66,Geruch::N,запах,tipi
67,Geruch::N,запах,tipik
68,Schlaf::N,сон,
69,Traum::N,сновидение,sinnattoq
70,Traum::N,сновидение,sinnattugaq
71,Himmel::N,небо,qilak
72,Sonne::N,солнце,seqineq
73,Mond::N,луна,qaammat
74,Stern::N,звезда,ulloriaq
75,Luft::N,воздух,silaannaq
76,Wind::N,ветер,anori
77,Wind::N,ветер,anorsarik
78,Welle::N,волна,aalappaa
79,Wasser::N,вода,imeq
80,Stein::N,камень,ujarak
81,Boden::N,почва,nateq
82,Erde::N,земля,issoq
83,Staub::N,пыль,pujualanerit
84,Staub::N,пыль,pujoralanerit
85,Rauch::N,дым,iseq
86,Rauch::N,дым,pujoq
87,Funke::N,искра,illoorneq
88,Feuer::N,огонь,inneq
89,Licht::N,свет,qaamaneq
90,Schatten::N,тень,tarraq
91,Wetter::N,погода,sila
92,Nebel::N,туман,pujoq
93,Wolke::N,облако,nuia
94,Regen::N,дождь,sialuk
95,Schnee::N,снег,aput
96,Eis::N,лед,siku
97,Frost::N,мороз,issi
98,Frost::N,мороз,issik
99,Kälte::N,холод,issi
100,Hitze::N,жара,kianneq
101,Hitze::N,жара,kiassuseq
102,Raureif::N,иней,kaneq
103,Regenbogen::N,радуга,neriusaaq
104,Donner::N,гром,kalleq
105,Strömung::N,течение,
106,Tropfen::N,капля,kuseriarneq
107,Schaum::N,пена,qapuk
108,Schmutz::N,грязь,minguk
109,See::N,озеро,taseq
110,Sumpf::N,топь,maqulluk
111,Moor::N,болото,
112,Wiese::N,луг,masarsuk
113,Wald::N,лес,
114,Hügel::N,холм,qattuneq
115,Hügel::N,холм,majuariaq
116,Hügel::N,холм,majorajaaq
117,Hügel::N,холм,qaqqannguaq
118,Anhöhe::N,возвышенность,
119,Berg::N,гора,qaqqaq
120,Gipfel::N,вершина,
121,Höhle::N,пещера,qaarusuk
122,Abhang::N,склон,ippik
123,Abhang::N,склон,sivinganeq
124,Abhang::N,склон,sivingajaaq
125,Abhang::N,склон,kussangajaaq
126,Quelle::N,источник,
127,Bach::N,ручей,kuunnguaq
128,Fluss::N,река,kuuk
129,Ufer::N,берег,sissap sinaa
130,Küste::N,побережье,sineriak
131,Festland::N,суша,
132,Meer::N,море,imaq
133,Bucht::N,бухта,ikeq
134,Bucht::N,бухта,kangerluk
135,Bucht::N,бухта,kangerliumaneq
136,Insel::N,остров,qeqertaq
137,Blume::N,цветок,naasoq
138,Gras::N,трава,ivigaq
139,Wurzel::N,корень,niulutaq
140,Baum::N,дерево,orpik
141,Stamm::N,ствол,kanaartaq
142,Rinde::N,кора,ameraq
143,Ast::N,сук,avalequt
144,Zweig::N,ветвь,avalequt
145,Blatt::N,лист,pilutaq
146,Birke::N,береза,patitsit
147,Kiefer[Baum]::N,сосна,
148,Weide[Baum]::N,ива,palleq
149,Tanne::N,ель,orsuerneq
150,Horn::N,рог,nassuk
151,Feder::N,перо,suluk
152,Fell::N,шкура,ameq
153,Flügel::N,крыло,suluk
154,Flügel::N,крыло,isaroq
155,Klaue::N,коготь,kukik
156,Kralle::N,лапа,kukik
157,Schwanz::N,хвост,pamioq
158,Schwanz::N,хвост,paperuusaq
159,Ei::N,яйцо,mannik
160,Nest::N,гнездо,ullut
161,Bau::N,нора,ini
162,Tier::N,животное,uumasoq
163,Herde::N,стадо,unguukkat
164,Kuh::N,корова,ussik
165,Bulle::N,бык,angukulak
166,Bulle::N,бык,anguteralak
