,Concept_ID,uk,se
0,Auge::N,око,tjelmie
1,Auge::N,око,tjalmme
2,Auge::N,око,čalbmi
3,Auge::N,око,čalme
4,Auge::N,око,čâ´lmm
5,Auge::N,око,ча̄лльм
6,Ohr::N,вухо,bieljie
7,Ohr::N,вухо,biellje
8,Ohr::N,вухо,beallji
9,Ohr::N,вухо,pelji
10,Ohr::N,вухо,pe´llj
11,Ohr::N,вухо,пе̄лльй
12,Nase::N,ніс,njuenie
13,Nase::N,ніс,njunnje
14,Nase::N,ніс,njunni
15,Nase::N,ніс,njuṇe
16,Nase::N,ніс,njuu´nn
17,Nase::N,ніс,нюннҍ
18,Mund::N,рот,njaelmie
19,Mund::N,рот,njálmme
20,Mund::N,рот,njálbmi
21,Mund::N,рот,njälmi
22,Mund::N,рот,njä´lmm
23,Mund::N,рот,ня̄лльм
24,Zahn::N,зуб,baenie
25,Zahn::N,зуб,bádne
26,Zahn::N,зуб,bátni
27,Zahn::N,зуб,pääṇi
28,Zahn::N,зуб,pää´nn
29,Zahn::N,зуб,па̄ннҍ
30,Zunge::N,язик,njoektjeme
31,Zunge::N,язик,njuovtjav
32,Zunge::N,язик,njuovčča
33,Zunge::N,язик,njuovčâ
34,Zunge::N,язик,njuhččâm
35,Zunge::N,язик,нюхчем
36,Lippe::N,губа,bangseme
37,Lippe::N,губа,njálmmerabdda
38,Lippe::N,губа,bavssa
39,Lippe::N,губа,poovsâ
40,Lippe::N,губа,põõus
41,Lippe::N,губа,пэ̄кс
42,Wange::N,щока,skiehrie
43,Wange::N,щока,nierra
44,Wange::N,щока,muohtu
45,Wange::N,щока,nieṛâ
46,Wange::N,щока,njiõrr
47,Wange::N,щока,нӣрр
48,Gesicht::N,обличчя,ååredæjja
49,Gesicht::N,обличчя,muohto
50,Gesicht::N,обличчя,muođut
51,Gesicht::N,обличчя,ámadadju
52,Gesicht::N,обличчя,muáđuh
53,Gesicht::N,обличчя,muâđ
54,Gesicht::N,обличчя,ка̄ссв
55,Stirn::N,лоб,gaalloe
56,Stirn::N,лоб,gállo
57,Stirn::N,лоб,gállu
58,Stirn::N,лоб,kállu
59,Stirn::N,лоб,käll
60,Stirn::N,лоб,вуэххьц
61,Haar::N,волосся,voepte
62,Haar::N,волосся,vuoppta
63,Haar::N,волосся,vuokta
64,Haar::N,волосся,vuop'tâ
65,Haar::N,волосся,vuõpt
66,Haar::N,волосся,вӯппт
67,Schnurrbart::N,вуса,bijjie-skaavtjoe
68,Schnurrbart::N,вуса,njunjevuolskávttjá
69,Schnurrbart::N,вуса,seamu
70,Schnurrbart::N,вуса,siämu
71,Schnurrbart::N,вуса,ää´bben
72,Schnurrbart::N,вуса,о̄а̄бпан
73,Bart::N,борода,skaavtja
74,Bart::N,борода,skaavtjoe
75,Bart::N,борода,skávttjá
76,Bart::N,борода,seamu
77,Bart::N,борода,siämu
78,Bart::N,борода,seäm
79,Bart::N,борода,ся̄м
80,Kinn::N,підборіддя,gaejpie
81,Kinn::N,підборіддя,gájbbe
82,Kinn::N,підборіддя,gáibi
83,Kinn::N,підборіддя,käibi
84,Kinn::N,підборіддя,käi´bb
85,Kinn::N,підборіддя,ка̄ййп
86,Kiefer[Anatomie]::N,щелепа,gaejpie
87,Kiefer[Anatomie]::N,щелепа,oalol
88,Kiefer[Anatomie]::N,щелепа,oaloldákte
89,Kiefer[Anatomie]::N,щелепа,gáibi
90,Kiefer[Anatomie]::N,щелепа,uá'lultähti
91,Kiefer[Anatomie]::N,щелепа,vuâl'lõš
92,Kiefer[Anatomie]::N,щелепа,вуаллнешш
93,Kehle::N,горло,gealoe
94,Kehle::N,горло,tjåttå
95,Kehle::N,горло,njiello
96,Kehle::N,горло,čotta
97,Kehle::N,горло,čuudâ
98,Kehle::N,горло,čoodd
99,Kehle::N,горло,чонт
100,Kehle::N,горло,кэ̄ҏс
101,Hals::N,шия,tjeapohke
102,Hals::N,шия,tjiebet
103,Hals::N,шия,čeabet
104,Hals::N,шия,čiäppát
105,Hals::N,шия,čeäppat
106,Hals::N,шия,ча̄пэх
107,Genick::N,потилиця,tjovrese
108,Genick::N,потилиця,nisske
109,Genick::N,потилиця,niehkki
110,Genick::N,потилиця,niski
111,Genick::N,потилиця,niek'ki
112,Genick::N,потилиця,nji´šǩǩmaadd
113,Genick::N,потилиця,нышшькмоант
114,Kopf::N,голова,åejjie
115,Kopf::N,голова,oajvve
116,Kopf::N,голова,oaivi
117,Kopf::N,голова,uái'vi
118,Kopf::N,голова,vuei´vv
119,Kopf::N,голова,вуэййв
120,Rücken::N,спина,rudtje
121,Rücken::N,спина,hárddo
122,Rücken::N,спина,tjavelk
123,Rücken::N,спина,sealgi
124,Rücken::N,спина,selgi
125,Rücken::N,спина,čielgi
126,Rücken::N,спина,seä´lǧǧ
127,Rücken::N,спина,се̄лльк
128,Bauch::N,живіт,tjåejjie
129,Bauch::N,живіт,tjoajvve
130,Bauch::N,живіт,čoavji
131,Bauch::N,живіт,čuáv'ji
132,Bauch::N,живіт,čåu´jj
133,Bauch::N,живіт,чо̄ввьй
134,Nabel::N,пупок,naepie
135,Nabel::N,пупок,náhpe
136,Nabel::N,пупок,náhpi
137,Nabel::N,пупок,nääpi
138,Nabel::N,пупок,nää´pp
139,Nabel::N,пупок,на̄бпь
140,Busen::N,груди,boenge
141,Busen::N,груди,bållå
142,Busen::N,груди,čižži
143,Busen::N,груди,njamma
144,Busen::N,груди,njižže
145,Busen::N,груди,nje´ǯǯ
146,Busen::N,груди,раннҍт
147,Brust::N,груди,mïelke
148,Brust::N,груди,radde
149,Brust::N,груди,mielgga
150,Brust::N,груди,raddi
151,Brust::N,груди,radde
152,Brust::N,груди,râ´dd
153,Brust::N,груди,раннҍт
154,Schulter::N,плече,åelkie
155,Schulter::N,плече,oalgge
156,Schulter::N,плече,hárdu
157,Schulter::N,плече,ärdee
158,Schulter::N,плече,uál'gi
159,Schulter::N,плече,a´rddi
160,Schulter::N,плече,vuä´lǧǧ
161,Schulter::N,плече,вуэллык
162,Arm::N,рука,gïete
163,Arm::N,рука,giehta
164,Arm::N,рука,giehta
165,Arm::N,рука,kietâ
166,Arm::N,рука,kie'tâkaaṿâ
167,Arm::N,рука,ǩiõtt
168,Arm::N,рука,кӣдт
169,Ellenbogen::N,лікоть,gernjere
170,Ellenbogen::N,лікоть,garŋŋel
171,Ellenbogen::N,лікоть,gargŋil
172,Ellenbogen::N,лікоть,käŋŋir
173,Ellenbogen::N,лікоть,kõõnjâr
174,Ellenbogen::N,лікоть,карьнэль
175,Hand::N,рука,gïete
176,Hand::N,рука,giehta
177,Hand::N,рука,giehta
178,Hand::N,рука,kietâ
179,Hand::N,рука,ǩiõtt
180,Hand::N,рука,кӣдт
181,Handfläche::N,долоня,gïeten-låapoe
182,Handfläche::N,долоня,giehtavuodo
183,Handfläche::N,долоня,tjårmmåvuodo
184,Handfläche::N,долоня,giehtaloahpu
185,Handfläche::N,долоня,kiämád
186,Handfläche::N,долоня,kuámmir
187,Handfläche::N,долоня,kuä´m'mer
188,Handfläche::N,долоня,ǩiõttǩeä´m'men
189,Handfläche::N,долоня,ко̄а̄ллдэгк
190,Handfläche::N,долоня,кӣдткоалдэгк
191,Finger::N,палець,soerme
192,Finger::N,палець,tjuvdde
193,Finger::N,палець,suorbma
194,Finger::N,палець,čuvde
195,Finger::N,палець,suor'mâ
196,Finger::N,палець,suõrmm
197,Finger::N,палець,це̄ххп
198,Fingernagel::N,ніготь,gadtse
199,Fingernagel::N,ніготь,guehpere
200,Fingernagel::N,ніготь,gadtsa
201,Fingernagel::N,ніготь,gazza
202,Fingernagel::N,ніготь,kozzâ
203,Fingernagel::N,ніготь,kõʒʒ
204,Fingernagel::N,ніготь,кэ̄ннц
205,Nagel[Anatomie]::N,ніготь,gadtse
206,Nagel[Anatomie]::N,ніготь,guehpere
207,Nagel[Anatomie]::N,ніготь,gadtsa
208,Nagel[Anatomie]::N,ніготь,gazza
209,Nagel[Anatomie]::N,ніготь,kozzâ
210,Nagel[Anatomie]::N,ніготь,kõʒʒ
211,Nagel[Anatomie]::N,ніготь,кэ̄ннц
212,Zeh::N,палець на нозі,tjiehtjere
213,Zeh::N,палець на нозі,juolggetjuvdde
214,Zeh::N,палець на нозі,juolgesuorbma
215,Zeh::N,палець на нозі,jyel'gisuor'mâ
216,Zeh::N,палець на нозі,jue´lǧǧsuõrmm
217,Zeh::N,палець на нозі,ю̄лльк-це̄һп
218,Fuß::N,нога,juelkie
219,Fuß::N,нога,juolgge
220,Fuß::N,нога,juolgi
221,Fuß::N,нога,jyel'gi
222,Fuß::N,нога,jue´lǧǧ
223,Fuß::N,нога,ла̄бпь
224,Ferse::N,п’ятка,båetskie
225,Ferse::N,п’ятка,boasske
226,Ferse::N,п’ятка,šušmi
227,Ferse::N,п’ятка,šušme
228,Ferse::N,п’ятка,jue´lǧǧkädd
229,Ferse::N,п’ятка,ка̄ннт
230,Knie::N,коліно,boelve
231,Knie::N,коліно,buolvva
232,Knie::N,коліно,čibbi
233,Knie::N,коліно,veaŋki
234,Knie::N,коліно,iidâ
235,Knie::N,коліно,puõlvv
236,Knie::N,коліно,пуллв
237,Oberschenkel::N,стегно,ruaksja
238,Oberschenkel::N,стегно,tjibbe
239,Oberschenkel::N,стегно,gassaváhkká
240,Oberschenkel::N,стегно,badjeváhkáa
241,Oberschenkel::N,стегно,čuár'bpeeḷi
242,Oberschenkel::N,стегно,če´bb
243,Oberschenkel::N,стегно,чуаррбе̄лль
244,Bein::N,нога,juelkie
245,Bein::N,нога,juolgge
246,Bein::N,нога,juolgi
247,Bein::N,нога,jyel'gi
248,Bein::N,нога,jue´lǧǧ
249,Bein::N,нога,ю̄лльк
250,Körper::N,тіло,kråahpe
251,Körper::N,тіло,rumáj
252,Körper::N,тіло,rumaš
253,Körper::N,тіло,ruumâš
254,Körper::N,тіло,rå´pp
255,Körper::N,тіло,лышшьк
256,Körper::N,тіло,роаӈӈьк
257,Haut::N,шкіра,njaltja
258,Haut::N,шкіра,lijkke
259,Haut::N,шкіра,tjuobma
260,Haut::N,шкіра,liiki
261,Haut::N,шкіра,liške
262,Haut::N,шкіра,le´šǩǩ
263,Haut::N,шкіра,лышшьк
264,Blut::N,кров,vïrre
265,Blut::N,кров,maelie
266,Blut::N,кров,varra
267,Blut::N,кров,varra
268,Blut::N,кров,vorrâ
269,Blut::N,кров,võrr
270,Blut::N,кров,вэ̄рр
271,Ader::N,вена,åerie
272,Ader::N,вена,aajroe
273,Ader::N,вена,suodna
274,Ader::N,вена,varrasuotna
275,Ader::N,вена,suoṇâ
276,Ader::N,вена,suõnn
277,Ader::N,вена,сӯнн
278,Sehne::N,сухожилля,soene
279,Sehne::N,сухожилля,gåårtenje
280,Sehne::N,сухожилля,suodna
281,Sehne::N,сухожилля,suotna
282,Sehne::N,сухожилля,suoṇâ
283,Sehne::N,сухожилля,suõnn
284,Sehne::N,сухожилля,сӯнн
285,Knochen::N,кістка,måara
286,Knochen::N,кістка,måaroe
287,Knochen::N,кістка,dákte
288,Knochen::N,кістка,dákti
289,Knochen::N,кістка,tähti
290,Knochen::N,кістка,tä´htt
291,Knochen::N,кістка,та̄ххт
292,Knochen::N,кістка,та̄ффьт
293,Gehirn::N,мозок,aajla
294,Gehirn::N,мозок,vuojŋam
295,Gehirn::N,мозок,vuoigŋašat
296,Gehirn::N,мозок,vuoi'ŋâšeh
297,Gehirn::N,мозок,vuo'ivâšneh
298,Gehirn::N,мозок,vuõivâšn
299,Gehirn::N,мозок,вуэййвэшна
300,Herz::N,серце,vaajmoe
301,Herz::N,серце,tsåhke
302,Herz::N,серце,váibmu
303,Herz::N,серце,váimu
304,Herz::N,серце,čââ´đ
305,Herz::N,серце,кӯттҌк
306,Magen::N,шлунок,tjåejjie
307,Magen::N,шлунок,tjoajvve
308,Magen::N,шлунок,čoavji
309,Magen::N,шлунок,čuáv'ji
310,Magen::N,шлунок,čåu´jj
311,Magen::N,шлунок,чо̄ввьй
312,Leber::N,печінка,mueksie
313,Leber::N,печінка,librre
314,Leber::N,печінка,vuoivvas
315,Leber::N,печінка,vuoivâs
316,Leber::N,печінка,vuõivâs
317,Leber::N,печінка,вуйвас
318,Atem::N,дихання,voejngehtasse
319,Atem::N,дихання,båssånis
320,Atem::N,дихання,vuojŋadahka
321,Atem::N,дихання,vuoiŋŋahat
322,Atem::N,дихання,vuo'iŋâstim
323,Atem::N,дихання,jiõg'g
324,Atem::N,дихання,вӯйнас
325,Atem::N,дихання,вӯййнмушш
326,Hunger::N,голод,nielkie
327,Hunger::N,голод,nielgge
328,Hunger::N,голод,nealgi
329,Hunger::N,голод,nelgi
330,Hunger::N,голод,neä´lǧǧ
331,Hunger::N,голод,не̄лльк
332,Träne::N,сльоза,gïknjele
333,Träne::N,сльоза,ganjál
334,Träne::N,сльоза,ganjal
335,Träne::N,сльоза,koonjâl
336,Träne::N,сльоза,kõõnjâl
337,Träne::N,сльоза,кэ̄нял
338,Geschmack::N,смак,aelmie
339,Geschmack::N,смак,muosse
340,Geschmack::N,смак,smáhkka
341,Geschmack::N,смак,máhku
342,Geschmack::N,смак,smáhkka
343,Geschmack::N,смак,mááhu
344,Geschmack::N,смак,smakkâ
345,Geschmack::N,смак,njõõd
346,Geschmack::N,смак,smääkk
347,Geschmack::N,смак,ня̄лльк
348,Geruch::N,запах,haaje
349,Geruch::N,запах,habjja
350,Geruch::N,запах,hádja
351,Geruch::N,запах,opsâ
352,Geruch::N,запах,haajâ
353,Geruch::N,запах,õpss
354,Geruch::N,запах,haajj
355,Geruch::N,запах,апс
356,Geruch::N,запах,лэ̄гк
357,Schlaf::N,сон,nahkerh
358,Schlaf::N,сон,nager
359,Schlaf::N,сон,oados
360,Schlaf::N,сон,nagir
361,Schlaf::N,сон,naṿer
362,Schlaf::N,сон,nââ´er
363,Schlaf::N,сон,нагерь
364,Schlaf::N,сплячка,nahkerh
365,Schlaf::N,сплячка,nager
366,Schlaf::N,сплячка,oados
367,Schlaf::N,сплячка,nagir
368,Schlaf::N,сплячка,naṿer
369,Schlaf::N,сплячка,nââ´er
370,Schlaf::N,сплячка,нагерь
371,Traum::N,сон,nahkere
372,Traum::N,сон,niehko
373,Traum::N,сон,niehku
374,Traum::N,сон,naṿer
375,Traum::N,сон,nââ´er
376,Traum::N,сон,нагерь
377,Himmel::N,небо,elmie
378,Himmel::N,небо,almme
379,Himmel::N,небо,albmi
380,Himmel::N,небо,alme
381,Himmel::N,небо,â´lmm
382,Himmel::N,небо,алльм
383,Sonne::N,сонце,biejjie
384,Sonne::N,сонце,bæjvásj
385,Sonne::N,сонце,beaivváš
386,Sonne::N,сонце,peivi
387,Sonne::N,сонце,piäiváš
388,Sonne::N,сонце,pei´vv
389,Sonne::N,сонце,пе̄ййв
390,Mond::N,місяць,aske
391,Mond::N,місяць,mánno
392,Mond::N,місяць,mánnu
393,Mond::N,місяць,máánu
394,Mond::N,місяць,mään
395,Mond::N,місяць,ма̄нн
396,Stern::N,зірка,daasta
397,Stern::N,зірка,naestie
398,Stern::N,зірка,násste
399,Stern::N,зірка,násti
400,Stern::N,зірка,täsni
401,Stern::N,зірка,tä´snn
402,Stern::N,зірка,та̄ссьт
403,Luft::N,повітря,elmie
404,Luft::N,повітря,ájmmo
405,Luft::N,повітря,áibmu
406,Luft::N,повітря,áimu
407,Luft::N,повітря,šõŋŋ
408,Luft::N,повітря,вӯйнас
409,Wind::N,вітер,bïegke
