,Concept_ID,mrj,sah
0,Auge::N,сӹнзӓ,харах
1,Ohr::N,пӹлӹш,кулгаах
2,Nase::N,нер,мурун
3,Mund::N,ышма,айах
4,Zahn::N,пӱ,тиис
5,Zunge::N,йӹлмӹ,тыл
6,Lippe::N,тӹрвӹ,уос
7,Wange::N,шӹргӹ,иэдэс
8,Gesicht::N,лицӓ,сирэй
9,Stirn::N,лепкӓ,сүүс
10,Haar::N,ӱп,баттах
11,Schnurrbart::N,öрш,уос бытыга
12,Bart::N,пандаш,сэҥийэ бытыга
13,Kinn::N,онгылаш,сэҥийэ
14,Kiefer[Anatomie]::N,пӱ арата,сыҥаах
15,Kehle::N,логер,тамах
16,Kehle::N,логер,күөмэй
17,Hals::N,шӱ,моой
18,Genick::N,ланга,кэтэх
19,Kopf::N,вуй,бас
20,Rücken::N,туп,көҕүс
21,Bauch::N,мӹшкӹр,ис
22,Nabel::N,кӹлӹмдӹ,киин
23,Busen::N,цӹзӹ,эмиий
24,Brust::N,мел,түөс
25,Schulter::N,ӹнгӹжӓ,сарын
26,Arm::N,кид,илии
27,Ellenbogen::N,кӹнервуй,тоҕонох
28,Hand::N,лапа,илии
29,Handfläche::N,кид лапа,ытыс
30,Finger::N,парня,тарбах
31,Fingernagel::N,кӹч,тыҥырах
32,Nagel[Anatomie]::N,кӹч,тыҥырах
33,Zeh::N,парня,тарбах
34,Fuß::N,ял лапа,уллуҥах
35,Ferse::N,ялгавал,тилэх
36,Ferse::N,ял кавал,тилэх
37,Knie::N,пылвуй,тобук
38,Knie::N,пылвуй,дьилбэк
39,Oberschenkel::N,ӓрдӹ,уллук
40,Oberschenkel::N,ӓрдӹ,өттүк
41,Bein::N,ял,атах
42,Körper::N,монгыр,бэйэ
43,Haut::N,кавашты,тирии
44,Blut::N,вӹр,хаан
45,Ader::N,вӹршӓр,вена
46,Ader::N,вӹршӓр,күөх_тымыр
47,Sehne::N,кукшышӱн,иҥиир
48,Knochen::N,лу,уҥуох
49,Knochen::N,лу,уҥгуох
