,Concept_ID,ml,uz
0,Auge::N,കണ്ണ്,ko'z
1,Ohr::N,ചെവി,quloq
2,Nase::N,മൂക്ക്,burun
3,Mund::N,വായ,og'iz
4,Zahn::N,പല്ല്,tish
5,Zunge::N,നാക്ക്,til
6,Lippe::N,ചുണ്ട്,dudoq
7,Wange::N,കവിൾത്തടം,bet
8,Gesicht::N,മുഖം,yuz
9,Stirn::N,നെറ്റി,manglay
10,Haar::N,തലമുടി,soch
11,Schnurrbart::N,മീശ,mo'ylov
12,Bart::N,താടിരോമം,soqol
13,Kinn::N,താടി,ängak
14,Kiefer[Anatomie]::N,താടിയെല്ല്,iyak
15,Kehle::N,കണ്ഠനാളം,bo'g'iz
16,Hals::N,കഴുത്ത്,bo'yin
17,Genick::N,പിടലി,gardan
18,Kopf::N,തല,bosh
19,Rücken::N,മുതുക്,orqa
20,Bauch::N,നയറ്,qorin
21,Nabel::N,നാഭി,kindik
22,Busen::N,സ്തനം,ämchak
23,Brust::N,സ്തനം,ko'krak
24,Schulter::N,തോൾ,elka
25,Arm::N,കൈ,bilak
26,Ellenbogen::N,കൈമുട്ട്,tirsak
27,Hand::N,കൈ,qo'l
28,Handfläche::N,ഉള്ളം കൈ,kaft
29,Finger::N,വിരൽ,barmoq
30,Fingernagel::N,നഖം,tirnoq
31,Nagel[Anatomie]::N,നഖം,tirnoq
32,Zeh::N,കാൽവിരൽ,oyoq barmog'i
33,Fuß::N,കാൽപ്പാദം,oyoq
34,Ferse::N,ഉപ്പൂറ്റി,tovon
35,Knie::N,കാൽമുട്ട്,tiz
36,Oberschenkel::N,തുട,son
37,Bein::N,കാൽ,oyoq
38,Körper::N,ശരീരം,badna
39,Haut::N,ചർമ്മം,teri
40,Blut::N,രക്തം,qon
41,Ader::N,ഞരമ്പ്,qon tomir
42,Sehne::N,സ്നായു,tomir
43,Knochen::N,അസ്ഥി,suyak
44,Gehirn::N,തലച്ചോറ്,miya
45,Herz::N,ഹൃദയം,qalb
46,Magen::N,വയർ,oshqozon
47,Leber::N,കരൾ,bag'ir
48,Atem::N,ശ്വാസം,dam
49,Hunger::N,വിശപ്പ്,ochlik
50,Träne::N,കണ്ണീർ,yosh
51,Geschmack::N,രുചി,tam
52,Geruch::N,ഗന്ധം,jid
53,Schlaf::N,ഉറകും,uyqu
54,Traum::N,സ്വപ്നം,tush
55,Himmel::N,ആകാശം,osmon
56,Sonne::N,സൂര്യൻ,quyosh
57,Mond::N,ചന്ദ്രൻ,oy
58,Stern::N,നക്ഷത്രം,yulduz
59,Luft::N,കാറ്റ്,havo
60,Wind::N,കാറ്റ്,el
61,Welle::N,തിരമാല,to'lqin
62,Wasser::N,വെള്ളം,suv
63,Stein::N,ശില,tosh
64,Stein::N,കല്ല്,tosh
65,Boden::N,തറ,tuproq
66,Boden::N,നിലം,tuproq
67,Erde::N,മണ്ണ്,er
68,Staub::N,പൊടി,chang
69,Rauch::N,പുക,tutun
70,Funke::N,തീപ്പൊരി,yalt
71,Feuer::N,തീ,o't
72,Licht::N,വിളക്ക്,yorug'
73,Licht::N,സൂര്യപ്രകാശം,yorug'
74,Schatten::N,തണൽ,soya
75,Wetter::N,കാലാവസ്ഥ,havo
76,Nebel::N,മൂടൽമഞ്ഞ്,tuman
77,Wolke::N,മേഘം,bulut
78,Regen::N,മഴ,yomg'ir
79,Schnee::N,മഞ്ഞ്,qor
80,Eis::N,ഐസ്,muz
81,Frost::N,മൂടൽമഞ്ഞ്,ajoz
82,Kälte::N,തണുപ്പ്,ajoz
83,Hitze::N,ചൂട്,issiq
84,Raureif::N,കോടമഞ്ഞ്,qirov
85,Regenbogen::N,മഴവില്ല്,kamalak
86,Donner::N,ഇടി,guldur
87,Strömung::N,പ്രവാഹം,oqim
88,Tropfen::N,തുള്ളി,tomchi
89,Schaum::N,നുര,ko'pik
90,Schmutz::N,അഴുക്ക്,gard
91,See::N,തടാകം,ko'l
92,Sumpf::N,ചതുപ്പുനിലം,botqoq
93,Moor::N,പാഴ്നിലം,qir-adir
94,Wiese::N,പുൽത്തകിടി,o'tzor
95,Wald::N,വനം,o'rmon
96,Wald::N,കാട്,o'rmon
97,Hügel::N,കുന്ന്,tepa
98,Anhöhe::N,ഉയർന്ന ഭൂമി,adir
99,Berg::N,പർവ്വതം,tog'
100,Gipfel::N,ഉച്ചകോടി,cho'qqi
101,Höhle::N,ഗുഹ,kavak
102,Abhang::N,ചരിവ്,to'sh
103,Quelle::N,ഉറവിടം,buloq
104,Bach::N,അരുവി,o'zan
105,Fluss::N,നദി,daryo
106,Ufer::N,തീരം,sohil
107,Küste::N,കടൽത്തീരം,qirg'oq
108,Festland::N,കര,materik
109,Meer::N,കടൽ,dengiz
110,Bucht::N,ഉൾക്കടല്,qo'ltiq
111,Insel::N,ദ്വീപ്,orol
112,Blume::N,പൂവ്,gul
113,Gras::N,പുല്ല്,sabza
114,Wurzel::N,വേര്,tub
115,Wurzel::N,വേര്,tomir
116,Baum::N,മരം,daraxt
117,Stamm::N,തായ്ത്തടി,o'simta
118,Rinde::N,പട്ട,qobiq
119,Ast::N,ശാഖ,shox
120,Zweig::N,ശാഖ,butoq
121,Blatt::N,ഇല,barg
122,Birke::N,പൂവരശ്,qayin
123,Kiefer[Baum]::N,പൈൻമരം,qarag'ay
124,Weide[Baum]::N,വില്ലോ,shum
125,Tanne::N,ദേവദാരു,archa
126,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,mugiz
127,Feder::N,തൂവൽ,par
128,Fell::N,മൃദുരോമം,mo'yna
129,Flügel::N,ചിറക്,qanot
130,Klaue::N,നഖം,tirnoq
131,Kralle::N,നഖം,tirnoq
132,Schwanz::N,വാൽ,quyruq
133,Ei::N,മുട്ട,tuxum
134,Nest::N,കൂട്,oshyon
135,Bau::N,മാളം,o'pqon
136,Tier::N,മൃഗം,hayvon
137,Herde::N,കൂട്ടം,gala
138,Kuh::N,പശു,inak
139,Bulle::N,കാള,ho'kiz
140,Pferd::N,കുതിര,ot
141,Schaf::N,ആട്,qo'y
142,Schwein::N,പന്നി,cho'chqa
143,Hund::N,നായ്,it
144,Katze::N,പൂച്ച,mushuk
145,Bär::N,കരടി,ayiq
146,Eichhörnchen::N,അണ്ണാൻ,tiyin
147,Elch::N,കടമാന്,los
148,Fuchs::N,കുറുക്കൻ,tulki
149,Hase::N,മുയൽ,kuyon
150,Maus::N,ചുണ്ടലി,sichqon
151,Wolf::N,ചെന്നായ,bo'ri
152,Vogel::N,പക്ഷി,qush
153,Schwarm::N,കൂട്ടം,to'da
154,Huhn::N,കോഴി,tovuq
155,Hahn::N,പൂവൻകോഴി,xo'roz
156,Gans::N,അരയന്നം,g'oz
157,Adler::N,കഴുകൻ,burgut
158,Ente::N,താറാവ്,o'rdak
159,Eule::N,മൂങ്ങ,boyo'g'li
160,Kranich::N,കൊക്ക്,turna
161,Krähe::N,കാക്ക,qarg'a
162,Kuckuck::N,കുയിൽ,kakku
163,Schwan::N,അരയന്നം,oqkush
164,Fisch::N,മത്സ്യം,baliq
165,Barsch::N,ഒരിനം മത്സ്യം,olabug'a
166,Hecht::N,ഒരു മത്സ്യം,cho'rtan
167,Schlange[Tier]::N,പാമ്പ്,ilon
168,Wurm::N,വിര,qurt
169,Spinne::N,ചിലന്തി,o'rgimchak
170,Ameise::N,ഉറുമ്പ്,chumoli
171,Laus::N,പേന്,bit
172,Mücke::N,മശകം,chivin
173,Fliege::N,ഈച്ച,pashsha
174,Schmetterling::N,ചിത്രശലഭം,kapalak
175,Beere::N,ബെറി,meva
176,Apfel::N,ആപ്പിൾ,olma
177,Pilz::N,കൂൺ,qo'ziqorin
178,Zwiebel::N,സവാള,piyoz
179,Saat::N,വിത്ത്,äkin
180,Korn::N,ധാന്യം,zarra
181,Heu::N,വയ്ക്കോൽ,xashak
182,Schale::N,തൊലി,po'choq
183,Grube::N,കുഴി,co'ra
184,Falle::N,കെണി,qopqon
185,Schlinge::N,കുടുക്ക്,sirtmoq
186,Spur::N,ചുവട്,iz
187,Asche::N,ചാരം,kul
188,Dreck::N,അഴുക്ക്,kir
189,Eisen::N,ഇരുമ്പ്,temir
190,Gold::N,സ്വർണ്ണം,tilla
191,Silber::N,വെള്ളി,kumush
192,Kohle::N,കൽക്കരി,ko'mir
193,Glas::N,ഗ്ലാസ്,oyna
194,Lehm::N,കളിമണ്ണ്,loy
195,Sand::N,മണൽ,qum
196,Mensch::N,മനുഷ്യർ,odam
