,Concept_ID,kn,tt
0,Auge::N,ಕಣ್ಣು,күз
1,Ohr::N,ಕಿವಿ,колак
2,Nase::N,ಮೂಗು,борын
3,Mund::N,ಬಾಯಿ,авыз
4,Mund::N,ಬಾಯಿ,тамак
5,Zahn::N,ಹಲ್ಲು,теш
6,Zunge::N,ನಾಲಿಗೆ,тел
7,Lippe::N,ತುಟಿ,ирен
8,Wange::N,ಗಲ್ಲ,яңак
9,Gesicht::N,ಮುಖ,йөз
10,Stirn::N,ಹಣೆ,маңгай
11,Haar::N,ಕೂದಲು,чәч
12,Schnurrbart::N,ಮೀಸೆ,мыек
13,Bart::N,ಗಡ್ಡ,сакал
14,Kinn::N,ಗದ್ದ,ияк
15,Kiefer[Anatomie]::N,ದವಡೆ,казналык
16,Kehle::N,ಗಂಟಲು,тамак
17,Hals::N,ಕೊರಳು,бугаз
18,Genick::N,ಹಿಂಗತ್ತು,җилкә
19,Kopf::N,ತಲೆ,баш
20,Rücken::N,ಬೆನ್ನು,сырт
21,Bauch::N,ಹೊಟ್ಟೆ,корсак
22,Nabel::N,ಹೊಕ್ಕುಳು,кендек
23,Busen::N,ಸ್ತನ,түш
24,Brust::N,ಎದೆ,имчәк
25,Brust::N,ಎದೆ,күкрәк
26,Schulter::N,ಭುಜ,иңбаш
27,Schulter::N,ಭುಜ,кулбаш
28,Arm::N,ತೋಳು,кул
29,Ellenbogen::N,ಮೊಣಕೈ,терсәк
30,Hand::N,ಕೈ,кул
31,Handfläche::N,ಅಂಗೈ,уч
32,Finger::N,ಕೈಬೆರಳು,бармак
33,Fingernagel::N,ಉಗುರು,тырнак
34,Nagel[Anatomie]::N,ಉಗುರು,тырнак
35,Zeh::N,ಕಾಲ್ಬೆರಳು,бармак
36,Fuß::N,ಪಾದ,табан
37,Ferse::N,ಹಿಮ್ಮಡಿ,үкчә
38,Knie::N,ಮಂಡಿ,тез
39,Oberschenkel::N,ತೊಡೆ,бот
40,Bein::N,ಕಾಲು,аяк
41,Körper::N,ದೇಹ,тән
42,Körper::N,ದೇಹ,җисем
43,Haut::N,ಚರ್ಮ,тире
44,Blut::N,ರಕ್ತ,кан
45,Ader::N,ನರ,тамыр
46,Sehne::N,ನರ,сеңер
47,Knochen::N,ಮೂಳೆ,сөяк
48,Gehirn::N,ಮಿದುಳು,ми
49,Herz::N,ಹೃದಯ,йөрәк
50,Magen::N,ಉದರ,ашказаны
51,Leber::N,ಯಕೃತ್ತು,бавыр
52,Atem::N,ಉಸಿರು,сулыш
53,Hunger::N,ಹಸಿವು,ачлык
54,Träne::N,ಕಣ್ಣೀರು,яшь
55,Geschmack::N,ರುಚಿ,тәм
56,Geschmack::N,ರುಚಿ,зәвык
57,Geruch::N,ವಾಸನೆ,ис
58,Schlaf::N,ನಿದ್ರೆ,йокы
59,Traum::N,ಕನಸು,төш
60,Himmel::N,ಬಾನು,күк
61,Sonne::N,ಸೂರ್ಯ,кояш
62,Mond::N,ಚಂದ್ರ,ай
