,Concept_ID,tr,lv
0,Auge::N,göz,син
1,Auge::N,göz,acs
2,Ohr::N,kulak,пель
3,Ohr::N,kulak,auss
4,Nase::N,burun,ныр
5,Nase::N,burun,deguns
6,Mund::N,ağız,вом
7,Mund::N,ağız,mute
8,Zahn::N,diş,пинь
9,Zahn::N,diş,zobs
10,Zunge::N,dil,кыв
11,Zunge::N,dil,mēle
12,Lippe::N,dudak,вом дор
13,Lippe::N,dudak,lūpa
14,Wange::N,yanak,бан
15,Wange::N,yanak,vaigs
16,Gesicht::N,yüz,чужӧм
17,Gesicht::N,yüz,seja
18,Gesicht::N,yüz,ģīmis
19,Stirn::N,alın,плеш
20,Stirn::N,alın,кымӧс
21,Stirn::N,alın,piere
22,Haar::N,saç,си
23,Haar::N,saç,юрси
24,Haar::N,saç,mats
25,Schnurrbart::N,bıyık,ус
26,Schnurrbart::N,bıyık,пыртсим
27,Schnurrbart::N,bıyık,ūsas
28,Bart::N,sakal,тош
29,Bart::N,sakal,bārda
30,Kinn::N,çene,тшӧка
31,Kinn::N,çene,zods
32,Kinn::N,çene,smakrs
33,Kiefer[Anatomie]::N,çene,черлы
34,Kiefer[Anatomie]::N,çene,алака лы
35,Kiefer[Anatomie]::N,çene,вомкӧтш лы
36,Kiefer[Anatomie]::N,çene,žoklis
37,Kehle::N,boğaz,голя
38,Kehle::N,boğaz,rīkle
39,Hals::N,boyun,сьылі
40,Hals::N,boyun,kakls
41,Hals::N,gerdan,сьылі
42,Hals::N,gerdan,kakls
43,Genick::N,ense,юрбӧр
44,Genick::N,ense,балябӧж
45,Genick::N,ense,sprands
46,Kopf::N,baş,юр
47,Kopf::N,baş,galva
48,Kopf::N,kafa,юр
49,Kopf::N,kafa,galva
50,Rücken::N,arka,мыш
51,Rücken::N,arka,mugura
52,Bauch::N,karın,рушку
53,Bauch::N,karın,vēders
54,Nabel::N,göbek,гӧг
55,Nabel::N,göbek,naba
56,Busen::N,koyun,морӧс
57,Busen::N,koyun,krūts
58,Brust::N,göğüs,морӧс
59,Brust::N,göğüs,krūts
60,Schulter::N,omuz,пельпом
61,Schulter::N,omuz,plecs
62,Arm::N,kol,ки
63,Arm::N,kol,roka
64,Arm::N,kol,delms
65,Ellenbogen::N,dirsek,гырддза
66,Ellenbogen::N,dirsek,elkonis
67,Hand::N,el,ки
68,Hand::N,el,roka
69,Hand::N,el,plauksta
70,Handfläche::N,avuç,ки пыдӧс
71,Handfläche::N,avuç,delna
72,Handfläche::N,avuç,plauksta
73,Handfläche::N,el ayası,ки пыдӧс
74,Handfläche::N,el ayası,delna
75,Handfläche::N,el ayası,plauksta
76,Finger::N,parmak,чунь
77,Finger::N,parmak,pirksts
78,Fingernagel::N,el tırnağı,гыж
79,Fingernagel::N,el tırnağı,nags
80,Nagel[Anatomie]::N,tırnak,гыж
81,Nagel[Anatomie]::N,tırnak,nags
82,Zeh::N,ayak parmağı,кок чунь
83,Zeh::N,ayak parmağı,pirksts
84,Fuß::N,ayak,кок
85,Fuß::N,ayak,kāja
86,Ferse::N,topuk,кокбӧр
87,Ferse::N,topuk,papēdis
88,Knie::N,diz,пидзӧс
89,Knie::N,diz,celis
90,Oberschenkel::N,uyluk,лядьвей
91,Oberschenkel::N,uyluk,бек
92,Oberschenkel::N,uyluk,ciska
93,Oberschenkel::N,uyluk,augšstilbs
94,Bein::N,bacak,кок
95,Bein::N,bacak,kāja
96,Körper::N,vücut,туша
97,Körper::N,vücut,вывтыр
98,Körper::N,vücut,miesa
99,Körper::N,vücut,ķermenis
100,Haut::N,cilt,ку
101,Haut::N,cilt,āda
102,Blut::N,kan,вир
103,Blut::N,kan,asins
104,Ader::N,damar,сӧн
105,Ader::N,damar,asinsvads
106,Sehne::N,kiriş,вез
107,Sehne::N,kiriş,dzīsla
108,Knochen::N,kemik,лы
109,Knochen::N,kemik,kauls
110,Gehirn::N,beyin,вем
111,Gehirn::N,beyin,smadzenes
112,Herz::N,kalp,сьӧлӧм
113,Herz::N,kalp,sirds
114,Herz::N,yürek,сьӧлӧм
115,Herz::N,yürek,sirds
116,Magen::N,mide,кынӧм
117,Magen::N,mide,kuņģis
118,Leber::N,karaciğer,мус
119,Leber::N,karaciğer,aknas
120,Atem::N,nefes,лов
121,Atem::N,nefes,elpa
122,Hunger::N,açlık,тшыг
123,Hunger::N,açlık,bads
124,Hunger::N,açlık,izsalkums
125,Träne::N,gözyaşı,синва
126,Träne::N,gözyaşı,asara
127,Geschmack::N,tat,кӧр
128,Geschmack::N,tat,чӧсмӧс
129,Geschmack::N,tat,garša
130,Geschmack::N,lezzet,кӧр
131,Geschmack::N,lezzet,чӧсмӧс
132,Geschmack::N,lezzet,garša
133,Geruch::N,koku,зын
134,Geruch::N,koku,дук
135,Geruch::N,koku,smaka
136,Schlaf::N,uyku,узьӧм
137,Schlaf::N,uyku,miegs
138,Traum::N,düş,вӧт
139,Traum::N,düş,вӧтасьӧм
140,Traum::N,düş,sapnis
141,Traum::N,rüya,вӧт
142,Traum::N,rüya,вӧтасьӧм
143,Traum::N,rüya,sapnis
144,Himmel::N,gök,енэж
145,Himmel::N,gök,debess
146,Sonne::N,güneş,шонді
147,Sonne::N,güneş,saule
148,Mond::N,ay,тӧлысь
149,Mond::N,ay,mēness
150,Stern::N,yıldız,кодзув
151,Stern::N,yıldız,zvaigzne
152,Luft::N,hava,сынӧд
153,Luft::N,hava,gaiss
154,Wind::N,yel,тӧв
155,Wind::N,yel,vējš
156,Wind::N,rüzgâr,тӧв
157,Wind::N,rüzgâr,vējš
158,Welle::N,dalga,гы
159,Welle::N,dalga,vilnis
160,Wasser::N,su,ва
161,Wasser::N,su,ūdens
162,Stein::N,taş,из
163,Stein::N,taş,akmens
164,Boden::N,yer,му
165,Boden::N,yer,augsne
166,Boden::N,zemin,му
167,Boden::N,zemin,augsne
168,Erde::N,toprak,му
169,Erde::N,toprak,му-ва
170,Erde::N,toprak,zeme
171,Staub::N,toz,бус
172,Staub::N,toz,putekļi
173,Rauch::N,duman,тшын
174,Rauch::N,duman,dūmi
175,Funke::N,kıvılcım,кинь
176,Funke::N,kıvılcım,би кинь
177,Funke::N,kıvılcım,dzirkstele
178,Feuer::N,ateş,би
179,Feuer::N,ateş,uguns
180,Licht::N,ışık,югӧр
181,Licht::N,ışık,gaisma
182,Schatten::N,gölge,вуджӧр
183,Schatten::N,gölge,ēna
184,Wetter::N,hava,поводдя
185,Wetter::N,hava,laiks
186,Nebel::N,pus,ру
187,Nebel::N,pus,онь
188,Nebel::N,pus,migla
189,Wolke::N,bulut,кымӧр
190,Wolke::N,bulut,mākonis
191,Regen::N,yağmur,зэр
192,Regen::N,yağmur,lietus
193,Schnee::N,kar,лым
194,Schnee::N,kar,sniegs
195,Eis::N,buz,йи
196,Eis::N,buz,ledus
197,Frost::N,don,кӧдзыд
198,Frost::N,don,sals
199,Kälte::N,soğukluk,кӧдзыд
200,Kälte::N,soğukluk,saltums
201,Kälte::N,soğukluk,aukstums
202,Hitze::N,sıcaklık,пӧсь
203,Hitze::N,sıcaklık,гожӧд
204,Hitze::N,sıcaklık,karstums
205,Raureif::N,kırç,пуж
206,Raureif::N,kırç,гыӧр
207,Raureif::N,kırç,sarma
208,Regenbogen::N,gökkuşağı,ӧшкамӧшка
209,Regenbogen::N,gökkuşağı,varavīksne
210,Donner::N,gök gürlemesi,гым
211,Donner::N,gök gürlemesi,pērkons
212,Strömung::N,akıntı,ва ныр
213,Strömung::N,akıntı,визувтӧм
214,Strömung::N,akıntı,straume
215,Strömung::N,akıntı,strāvojums
216,Strömung::N,cereyan,ва ныр
217,Strömung::N,cereyan,визувтӧм
218,Strömung::N,cereyan,straume
219,Strömung::N,cereyan,strāvojums
220,Tropfen::N,damla,войт
221,Tropfen::N,damla,lāse
222,Schaum::N,köpük,быг
223,Schaum::N,köpük,быгзьӧм
224,Schaum::N,köpük,putas
225,Schmutz::N,çamur,няйт
226,Schmutz::N,çamur,dubļi
227,Schmutz::N,pislik,няйт
228,Schmutz::N,pislik,dubļi
229,See::N,göl,ты
230,See::N,göl,ezers
231,Sumpf::N,batak,гыбад
232,Sumpf::N,batak,кад
233,Sumpf::N,batak,dumbrājs
234,Sumpf::N,batak,staignājs
235,Moor::N,cılgıt,нюр
236,Moor::N,cılgıt,purvs
237,Moor::N,cılgıt,muklājs
238,Wiese::N,çimen,видз
239,Wiese::N,çimen,pļava
240,Wald::N,koru,вӧр
241,Wald::N,koru,mežs
242,Wald::N,orman,вӧр
243,Wald::N,orman,mežs
244,Hügel::N,tepe,дзиб
245,Hügel::N,tepe,мыльк
246,Hügel::N,tepe,нӧрыс
247,Hügel::N,tepe,paugurs
248,Anhöhe::N,tümsek,мыльк
249,Anhöhe::N,tümsek,нӧрыс
250,Anhöhe::N,tümsek,paugurs
251,Anhöhe::N,yükseklik,мыльк
252,Anhöhe::N,yükseklik,нӧрыс
253,Anhöhe::N,yükseklik,paugurs
254,Berg::N,dağ,чой
255,Berg::N,dağ,керӧс
256,Berg::N,dağ,kalns
257,Gipfel::N,zirve,чук
258,Gipfel::N,zirve,virsotne
259,Höhle::N,in,рудӧг
260,Höhle::N,in,ala
261,Höhle::N,mağara,рудӧг
262,Höhle::N,mağara,ala
263,Abhang::N,bayır,ньывк
264,Abhang::N,bayır,бокша
265,Abhang::N,bayır,nogāze
266,Quelle::N,pınar,ӧшмӧс
267,Quelle::N,pınar,avots
268,Quelle::N,kaynak,ӧшмӧс
269,Quelle::N,kaynak,avots
270,Bach::N,çay,шор
271,Bach::N,çay,urga
272,Bach::N,çay,strauts
273,Bach::N,dere,шор
274,Bach::N,dere,urga
275,Bach::N,dere,strauts
276,Fluss::N,nehir,ю
277,Fluss::N,nehir,upe
278,Ufer::N,kıyı,вадор
279,Ufer::N,kıyı,krasts
280,Ufer::N,sahil,вадор
281,Ufer::N,sahil,krasts
282,Küste::N,kıyı,вадор
283,Küste::N,kıyı,piekraste
284,Küste::N,sahil,вадор
285,Küste::N,sahil,piekraste
286,Festland::N,kara,му
287,Festland::N,kara,sauszeme
288,Meer::N,deniz,саридз
289,Meer::N,deniz,jūra
290,Bucht::N,koy,куръя
291,Bucht::N,koy,līcis
292,Bucht::N,körfez,куръя
293,Bucht::N,körfez,līcis
294,Insel::N,ada,ді
295,Insel::N,ada,sala
296,Blume::N,çiçek,дзоридз
297,Blume::N,çiçek,puķe
298,Blume::N,çiçek,zieds
299,Gras::N,ot,турун
300,Gras::N,ot,zāle
301,Gras::N,çim,турун
302,Gras::N,çim,zāle
303,Wurzel::N,kök,вуж
304,Wurzel::N,kök,sakne
305,Baum::N,ağaç,пу
306,Baum::N,ağaç,koks
307,Stamm::N,gövde,пучер
308,Stamm::N,gövde,stumbrs
309,Rinde::N,kabuk,кырсь
310,Rinde::N,kabuk,miza
311,Ast::N,dal,ув
312,Ast::N,dal,zars
313,Ast::N,budak,ув
314,Ast::N,budak,zars
315,Zweig::N,dal,вож
316,Zweig::N,dal,nozare
317,Blatt::N,yaprak,кор
318,Blatt::N,yaprak,lapa
319,Birke::N,huş,кыдз
320,Birke::N,huş,bērzs
321,Kiefer[Baum]::N,çam,пожӧм
322,Kiefer[Baum]::N,çam,priede
323,Weide[Baum]::N,söğüt,бадь
324,Weide[Baum]::N,söğüt,kārkls
325,Tanne::N,çam,коз
326,Tanne::N,çam,egle
327,Tanne::N,köknar,коз
328,Tanne::N,köknar,egle
329,Horn::N,boynuz,сюр
330,Horn::N,boynuz,rags
331,Feder::N,tüy,гӧн
332,Feder::N,tüy,тывборд
333,Feder::N,tüy,spalva
334,Fell::N,post,ку
335,Fell::N,post,āda
336,Flügel::N,kanat,борд
337,Flügel::N,kanat,spārns
338,Klaue::N,pençe,гыж
339,Klaue::N,pençe,nags
340,Kralle::N,tırnak,гыж
341,Kralle::N,tırnak,nags
342,Schwanz::N,kuyruk,бӧж
343,Schwanz::N,kuyruk,ļipa
344,Ei::N,yumurta,кольк
345,Ei::N,yumurta,ola
346,Nest::N,yuva,поз
347,Nest::N,yuva,ligzda
348,Bau::N,in,горс
349,Bau::N,in,пырмӧс
350,Bau::N,in,гу
351,Bau::N,in,ala
352,Tier::N,hayvan,пемӧс
353,Tier::N,hayvan,dzīvnieks
354,Herde::N,sürü,стада
355,Herde::N,sürü,кельӧб
356,Herde::N,sürü,ganāmpulks
357,Kuh::N,inek,мӧс
358,Kuh::N,inek,govs
359,Bulle::N,boğa,ӧш
