,Concept_ID,mhr,ar
0,Auge::N,шинча́,عين
1,Ohr::N,пы́лыш,أذن
2,Nase::N,нер,أنف
3,Mund::N,умша́,فم
4,Zahn::N,пӱй,سن
5,Zunge::N,йы́лме,لسان
6,Lippe::N,тӱ́рвӧ,شفة
7,Wange::N,шӱ́ргӧ,خد
8,Wange::N,шӱ́ргӧ,وجنة
9,Gesicht::N,чури́й,وجه
10,Stirn::N,саҥга́,جبين
11,Haar::N,ӱп,شعر
12,Schnurrbart::N,ӧ́рыш,شارب
13,Bart::N,понда́ш,لحية
14,Kinn::N,оҥыла́ш,ذقن
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,فك
16,Kiefer[Anatomie]::N,пӱйората́,فك
17,Kehle::N,лога́р,حلق
18,Hals::N,шӱй,عنق
19,Hals::N,шӱй,رقبة
20,Genick::N,шӱйло́дыш,قفا
21,Kopf::N,вуй,رأس
22,Rücken::N,туп,ظهر
23,Bauch::N,мӱ́шкыр,بطن
24,Nabel::N,кы́лымде,سرة
25,Busen::N,чы́зе,ثدي
26,Brust::N,оҥ,صدر
27,Schulter::N,ва́че,كتف
28,Arm::N,кид,ذراع
29,Ellenbogen::N,кынерву́й,كوع
30,Hand::N,кид,يد
31,Hand::N,копа́,يد
32,Handfläche::N,со́во,كف
33,Finger::N,парня́,إصبع
34,Fingernagel::N,кидкӱ́ч,ظفر
35,Fingernagel::N,парнягӱ́ч,ظفر
36,Nagel[Anatomie]::N,кӱч,ظفر
37,Zeh::N,йолварня́,إصبع القدم
38,Fuß::N,йол,قدم
39,Fuß::N,йолкопа́,قدم
40,Ferse::N,тага́н,كعب
41,Knie::N,пулву́й,ركبة
42,Oberschenkel::N,э́рде,فخذ
43,Bein::N,йол,ساق
44,Körper::N,кап,جسم
45,Haut::N,кова́ште,بشرة
46,Blut::N,вӱр,دم
47,Ader::N,шӧн,عرق
48,Sehne::N,шӧн,طنب
49,Sehne::N,кӱсе́н,طنب
50,Knochen::N,лу,عظم
51,Gehirn::N,вем,دماغ
52,Gehirn::N,вуйве́м,دماغ
53,Herz::N,шӱм,قلب
54,Magen::N,пага́р,معدة
55,Leber::N,мокш,كبد
56,Atem::N,шӱ́лыш,نفس
57,Hunger::N,шужыма́ш,جوع
58,Träne::N,шинчавӱ́д,دمعة
59,Geschmack::N,там,طعم
60,Geschmack::N,там,مذاق
61,Geruch::N,пуш,رائحة
62,Schlaf::N,о́мо,نوم
63,Schlaf::N,о́мо,منام
64,Traum::N,йӱдо́мо,حلم
65,Himmel::N,кава́,سماء
66,Sonne::N,ке́че,شمس
67,Mond::N,ты́лзе,قمر
68,Stern::N,шӱ́дыр,نجم
69,Stern::N,шӱ́дыр,كوكب
70,Luft::N,юж,هواء
71,Wind::N,марде́ж,ريح
72,Welle::N,то́лкын,موجة
73,Wasser::N,вӱд,ماء
74,Stein::N,кӱ,حجر
75,Boden::N,рок,تراب
76,Erde::N,мла́нде,أرض
77,Staub::N,пура́к,غبار
78,Rauch::N,шикш,دخان
79,Funke::N,сеске́м,شرارة
80,Funke::N,тулйы́п,شرارة
81,Feuer::N,тул,نار
82,Licht::N,со́то,نور
83,Licht::N,со́то,ضوء
84,Schatten::N,ӱ́мыл,ظل
85,Schatten::N,ӱ́мыл,فيء
86,Wetter::N,иге́че,جو
87,Wetter::N,иге́че,طقس
88,Nebel::N,тӱтыра́,ضباب
89,Wolke::N,пыл,غيمة
90,Wolke::N,пыл,سحابة
91,Regen::N,йӱр,مطر
92,Schnee::N,лум,ثلج
93,Eis::N,ий,جليد
94,Frost::N,чатлама́,صقيع
95,Kälte::N,йӱ́штӧ,برد
