,Concept_ID,mhr,mrj
0,Auge::N,шинча́,сӹнзӓ
1,Ohr::N,пы́лыш,пӹлӹш
2,Nase::N,нер,нер
3,Mund::N,умша́,ышма
4,Zahn::N,пӱй,пӱ
5,Zunge::N,йы́лме,йӹлмӹ
6,Lippe::N,тӱ́рвӧ,тӹрвӹ
7,Wange::N,шӱ́ргӧ,шӹргӹ
8,Gesicht::N,чури́й,лицӓ
9,Stirn::N,саҥга́,лепкӓ
10,Haar::N,ӱп,ӱп
11,Schnurrbart::N,ӧ́рыш,öрш
12,Bart::N,понда́ш,пандаш
13,Kinn::N,оҥыла́ш,онгылаш
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,пӱ арата
15,Kiefer[Anatomie]::N,пӱйората́,пӱ арата
16,Kehle::N,лога́р,логер
17,Hals::N,шӱй,шӱ
18,Genick::N,шӱйло́дыш,ланга
19,Kopf::N,вуй,вуй
20,Rücken::N,туп,туп
21,Bauch::N,мӱ́шкыр,мӹшкӹр
22,Nabel::N,кы́лымде,кӹлӹмдӹ
23,Busen::N,чы́зе,цӹзӹ
24,Brust::N,оҥ,мел
25,Schulter::N,ва́че,ӹнгӹжӓ
26,Arm::N,кид,кид
27,Ellenbogen::N,кынерву́й,кӹнервуй
28,Hand::N,кид,лапа
29,Hand::N,копа́,лапа
30,Handfläche::N,со́во,кид лапа
31,Finger::N,парня́,парня
32,Fingernagel::N,кидкӱ́ч,кӹч
33,Fingernagel::N,парнягӱ́ч,кӹч
34,Nagel[Anatomie]::N,кӱч,кӹч
35,Zeh::N,йолварня́,парня
36,Fuß::N,йол,ял лапа
37,Fuß::N,йолкопа́,ял лапа
38,Ferse::N,тага́н,ялгавал
39,Ferse::N,тага́н,ял кавал
40,Knie::N,пулву́й,пылвуй
41,Oberschenkel::N,э́рде,ӓрдӹ
42,Bein::N,йол,ял
43,Körper::N,кап,монгыр
44,Haut::N,кова́ште,кавашты
45,Blut::N,вӱр,вӹр
46,Ader::N,шӧн,вӹршӓр
47,Sehne::N,шӧн,кукшышӱн
48,Sehne::N,кӱсе́н,кукшышӱн
49,Knochen::N,лу,лу
50,Gehirn::N,вем,вим
51,Gehirn::N,вуйве́м,вим
52,Herz::N,шӱм,шӱм
53,Magen::N,пага́р,шӱм
54,Leber::N,мокш,мокш
55,Atem::N,шӱ́лыш,шӱлӹш
56,Hunger::N,шужыма́ш,шужымаш
57,Träne::N,шинчавӱ́д,сӹнзӓвӹд
58,Geschmack::N,там,тот
59,Geruch::N,пуш,пыш
60,Schlaf::N,о́мо,ом
61,Traum::N,йӱдо́мо,ом
62,Himmel::N,кава́,пӹлгом
63,Sonne::N,ке́че,кечӹ
64,Mond::N,ты́лзе,тӹлзӹ
65,Stern::N,шӱ́дыр,шӹдӹр
66,Luft::N,юж,юж
67,Luft::N,юж,воздух
68,Wind::N,марде́ж,мардеж
69,Welle::N,то́лкын,ко
70,Welle::N,то́лкын,коэ
71,Wasser::N,вӱд,вӹд
72,Stein::N,кӱ,кӱ
73,Boden::N,рок,рок
74,Erde::N,мла́нде,свет
75,Staub::N,пура́к,пырак
76,Rauch::N,шикш,шӹкш
77,Funke::N,сеске́м,ип
78,Funke::N,сеске́м,тылип
79,Funke::N,тулйы́п,ип
80,Funke::N,тулйы́п,тылип
81,Feuer::N,тул,тыл
82,Licht::N,со́то,соты
83,Licht::N,со́то,валгыды
84,Schatten::N,ӱ́мыл,ӹмӹл
85,Wetter::N,иге́че,игечӹ
86,Nebel::N,тӱтыра́,тӹтӹрӓ
87,Wolke::N,пыл,пӹл
88,Regen::N,йӱр,юр
89,Schnee::N,лум,лым
90,Eis::N,ий,и
91,Frost::N,чатлама́,ӱштӹ
92,Kälte::N,йӱ́штӧ,ӱштӹ
93,Hitze::N,шо́кшо,шокшы
94,Raureif::N,пӧрш,пöрш
95,Raureif::N,по́кшым,пöрш
96,Regenbogen::N,шонанпы́л,шанавӹл
97,Donner::N,кӱ́дырчӧ,хӹдӹртӹш
98,Strömung::N,йо́гын,йогы
99,Tropfen::N,чӱча́лтыш,капльы
