,Concept_ID,udm,kk
0,Auge::N,син,көз
1,Ohr::N,пель,құлақ
2,Nase::N,ныр,мұрын
3,Mund::N,ым,ауыз
4,Zahn::N,пинь,тіс
5,Zunge::N,кыл,тіл
6,Lippe::N,ымдур,ерін
7,Wange::N,бам,ұрт
8,Gesicht::N,ымныр,бет-аузы
9,Stirn::N,кымес,маңдай
10,Haar::N,йырси,қыл
11,Schnurrbart::N,мыйык,мұрт
12,Bart::N,туш,сақал
13,Kinn::N,ангес,иек
14,Kiefer[Anatomie]::N,ан,жақ
15,Kiefer[Anatomie]::N,анлы,жақ
16,Kehle::N,гульым,алқым
17,Hals::N,чырты,мойын
18,Genick::N,йырбер,желке
19,Kopf::N,йыр,кәллә
20,Rücken::N,мыш,арқа
21,Bauch::N,кӧт,қарын
22,Nabel::N,гогы,кіндік
23,Busen::N,ноны,омырау
24,Brust::N,мӧля,кеуде
25,Schulter::N,пельпум,иық
26,Arm::N,суй,қол
27,Ellenbogen::N,гырпум,шынтақ
28,Hand::N,ки,қол
29,Handfläche::N,ки пыдэс,алақан
30,Handfläche::N,кырым пыдэс,алақан
31,Finger::N,чиньы,саусақ
32,Fingernagel::N,гижы,тырнақ
33,Fingernagel::N,гиждӥнь,тырнақ
34,Nagel[Anatomie]::N,гижы,тырнақ
35,Zeh::N,пыдчиньы,тырнақ
36,Zeh::N,пыдчиньы,тұяқ
37,Fuß::N,пыд,аяқ-басы
38,Ferse::N,пыдбер,өкше
39,Ferse::N,пыдбер,өкшелік
40,Knie::N,пыдес,тізе
41,Oberschenkel::N,макес,жамбас
42,Bein::N,пыд,аяқ
43,Körper::N,мугор,дене
44,Körper::N,вылтыр,дене
45,Haut::N,ку,тері
46,Blut::N,вир,қан
47,Ader::N,вирсэр,көктамыр
48,Ader::N,вирсэр,күретамыр
49,Sehne::N,вуж,сіңір
50,Knochen::N,лы,жілік
51,Gehirn::N,вим,ми
52,Herz::N,сюлэм,жүрек
53,Magen::N,ӝуш,асқазан
54,Leber::N,мус,бауыр
55,Atem::N,лул,леп
56,Atem::N,шокан,леп
57,Hunger::N,кӧтсюман,ашаршылық
58,Träne::N,синкыли,жас
59,Geschmack::N,шӧм,дәм
60,Geschmack::N,шӧм,татым
61,Geschmack::N,шӧм,талғам
62,Geruch::N,зын,иіс
63,Schlaf::N,вӧт,ұйқы
64,Schlaf::N,вӧт,ұйықтау
65,Traum::N,уйвӧт,түс
66,Himmel::N,ин,аспан
67,Himmel::N,ин,көқ
68,Himmel::N,ин,таңдай
69,Sonne::N,шунды,күн
70,Mond::N,толэзь,ай
71,Stern::N,кизили,жұлдыз
72,Luft::N,омыр,әуе
73,Wind::N,тӧл,жел
74,Welle::N,тулкым,толқын
75,Wasser::N,ву,су
76,Stein::N,из,тас
77,Boden::N,музъем,қыртыс
78,Erde::N,му,топырақ
79,Staub::N,пыль,шаң
80,Rauch::N,ӵын,түтін
81,Funke::N,гизьы,ұшқын
82,Feuer::N,тыл,алау
83,Licht::N,тыл,шұғыла
84,Schatten::N,вужер,көлеңке
85,Wetter::N,куазь,ауа райы
86,Nebel::N,бус,тұман
87,Wolke::N,пилем,бұлт
88,Regen::N,зор,жаңбыр
89,Schnee::N,лымы,қар
90,Eis::N,йӧ,мұз
91,Frost::N,кезьыт,суық
92,Kälte::N,кезьыт,ызғар
93,Kälte::N,кезьыт,суықтық
94,Hitze::N,пӧсь,аптап
95,Raureif::N,гӧр,қырау
96,Regenbogen::N,вуюись,кемпірқосақ
97,Donner::N,гудыри,күн күркіреу
98,Strömung::N,бызён,ағын
99,Tropfen::N,шапык,тамшы
100,Schaum::N,шукы,көбік
101,Schmutz::N,нӧд,кір
102,Schmutz::N,дэри,кір
103,See::N,ты,көл
104,Sumpf::N,нюр,саз
105,Moor::N,нюр,саз
106,Wiese::N,возь,шалғын
107,Wiese::N,возьвыл,шалғын
108,Wald::N,сик,орман
109,Wald::N,нюлэс,орман
110,Hügel::N,выр,төбе
111,Hügel::N,выр,белес
112,Hügel::N,выр,белес-белес
113,Hügel::N,вырйыл,төбе
114,Hügel::N,вырйыл,белес
115,Hügel::N,вырйыл,белес-белес
116,Anhöhe::N,выр,дөң
117,Anhöhe::N,выр,адыр
118,Anhöhe::N,выр,қырат
119,Anhöhe::N,вырйыл,дөң
120,Anhöhe::N,вырйыл,адыр
121,Anhöhe::N,вырйыл,қырат
122,Berg::N,гурезь,тау
123,Gipfel::N,йыл,төбе
124,Höhle::N,гу,үңгір
125,Abhang::N,бам,бауыр
126,Quelle::N,ошмес,қайнар
127,Bach::N,пичи шур,жылға
128,Fluss::N,шур,өзен
129,Ufer::N,ярдур,жиек
130,Küste::N,вудур,жиегі
131,Küste::N,вудур,жағалау
132,Festland::N,мувыр,құрылық
133,Meer::N,зарезь,теңіз
134,Bucht::N,вукож,шығанақ
135,Insel::N,вумуӵ,арал
136,Insel::N,шормуӵ,арал
137,Blume::N,сяська,гүл
138,Gras::N,турын,от
139,Wurzel::N,выжы,түбір
140,Baum::N,пу,ағаш
141,Baum::N,пу,дарақ
