,Concept_ID,ps,uz
0,Auge::N,سترګه,ko'z
1,Ohr::N,غوږ,quloq
2,Nase::N,پوزه,burun
3,Mund::N,خوله,og'iz
4,Zahn::N,غاښ,tish
5,Zunge::N,جبه,til
6,Lippe::N,شونډه,dudoq
7,Wange::N,باړخو,bet
8,Gesicht::N,مخ,yuz
9,Stirn::N,تندی,manglay
10,Stirn::N,وچولی,manglay
11,Haar::N,وېښته,soch
12,Schnurrbart::N,برېت,mo'ylov
13,Bart::N,ږیره,soqol
14,Kinn::N,زنه,ängak
15,Kiefer[Anatomie]::N,جامه,iyak
16,Kehle::N,غاړه,bo'g'iz
17,Hals::N,غاړه,bo'yin
18,Genick::N,ورمېږ,gardan
19,Kopf::N,سر,bosh
20,Rücken::N,شا,orqa
21,Bauch::N,نس,qorin
22,Bauch::N,ګېډه,qorin
23,Nabel::N,نوم,kindik
24,Busen::N,تی,ämchak
25,Brust::N,سینه,ko'krak
26,Schulter::N,اوږه,elka
27,Arm::N,لاس,bilak
28,Ellenbogen::N,څنګل,tirsak
29,Hand::N,لاس,qo'l
30,Handfläche::N,ورغوی,kaft
31,Finger::N,ګوته,barmoq
32,Fingernagel::N,نوک,tirnoq
33,Nagel[Anatomie]::N,نوک,tirnoq
34,Zeh::N,ګوته,oyoq barmog'i
35,Fuß::N,پښه,oyoq
36,Ferse::N,پونده,tovon
37,Knie::N,زنګون,tiz
38,Oberschenkel::N,پتون,son
39,Bein::N,پښه,oyoq
40,Körper::N,ځان,badna
41,Haut::N,پوټکی,teri
42,Blut::N,وینه,qon
43,Ader::N,رګ,qon tomir
44,Sehne::N,پله,tomir
45,Knochen::N,هډوکی,suyak
46,Gehirn::N,ماغزه,miya
47,Herz::N,زړه,qalb
48,Magen::N,معده,oshqozon
49,Leber::N,ينه,bag'ir
50,Leber::N,ځیګر,bag'ir
51,Atem::N,نفس,dam
52,Hunger::N,ولږه,ochlik
53,Träne::N,اوښکه,yosh
54,Geschmack::N,مزه,tam
55,Geschmack::N,خوند,tam
56,Geruch::N,بوی,jid
57,Schlaf::N,خوب,uyqu
58,Traum::N,خوب,tush
59,Himmel::N,اسمان,osmon
60,Sonne::N,لمر,quyosh
61,Mond::N,سپوږمۍ,oy
62,Stern::N,ستوری,yulduz
63,Luft::N,هوا,havo
64,Wind::N,ورښ,el
65,Welle::N,موج,to'lqin
66,Wasser::N,اوبه,suv
67,Stein::N,ډبره,tosh
68,Boden::N,مځکه,tuproq
69,Erde::N,خاوره,er
70,Staub::N,ګرد,chang
71,Staub::N,خاوره,chang
72,Rauch::N,دود,tutun
73,Rauch::N,لوګی,tutun
74,Funke::N,سپرغۍ,yalt
75,Feuer::N,اور,o't
76,Licht::N,رڼا,yorug'
77,Schatten::N,سیوری,soya
78,Wetter::N,هوا,havo
79,Nebel::N,لړه,tuman
80,Wolke::N,ورېځ,bulut
81,Regen::N,وریا,yomg'ir
82,Regen::N,باران,yomg'ir
83,Schnee::N,واوره,qor
84,Eis::N,یخ,muz
85,Eis::N,کنګل,muz
86,Frost::N,یخ,ajoz
87,Kälte::N,ساړه,ajoz
88,Hitze::N,تودوخي,issiq
89,Raureif::N,سپینه پرخه,qirov
90,Regenbogen::N,بوډۍ ټال,kamalak
91,Regenbogen::N,سره زرغونه,kamalak
92,Donner::N,تالنده,guldur
93,Strömung::N,بهېدنه,oqim
94,Tropfen::N,قطره,tomchi
95,Tropfen::N,څاڅکی,tomchi
96,Schaum::N,ځګ,ko'pik
97,Schmutz::N,ناپاکي,gard
98,See::N,جهیل,ko'l
99,Sumpf::N,جبه,botqoq
100,Moor::N,جبه,qir-adir
101,Wiese::N,چمن,o'tzor
102,Wiese::N,شنېلی,o'tzor
103,Wald::N,ځنګل,o'rmon
104,Hügel::N,تپه,tepa
105,Anhöhe::N,غونډۍ,adir
106,Berg::N,غ‍‍‍‍‍ر,tog'
107,Gipfel::N,څوکه,cho'qqi
108,Höhle::N,کاز,kavak
109,Abhang::N,لمن,to'sh
110,Quelle::N,چینه,buloq
111,Bach::N,واله,o'zan
112,Fluss::N,سیند,daryo
113,Ufer::N,غاړه,sohil
114,Küste::N,ساحل,qirg'oq
115,Festland::N,وچه,materik
116,Meer::N,بحر,dengiz
117,Meer::N,سمندر,dengiz
118,Bucht::N,کارۍ,qo'ltiq
119,Insel::N,ټاپو,orol
120,Insel::N,جزيره,orol
121,Blume::N,ګل,gul
122,Gras::N,واښه,sabza
123,Wurzel::N,ریښه,tub
124,Wurzel::N,ریښه,tomir
125,Baum::N,ونه,daraxt
126,Stamm::N,ډډ,o'simta
127,Rinde::N,پوستکی,qobiq
128,Ast::N,ښاخ,shox
129,Zweig::N,څانګه,butoq
130,Blatt::N,پاڼه,barg
131,Birke::N,توس,qayin
132,Kiefer[Baum]::N,نښتر,qarag'ay
133,Weide[Baum]::N,وله,shum
134,Tanne::N,ناجو,archa
135,Horn::N,ښکر,mugiz
136,Feder::N,بڼکه,par
137,Fell::N,پوستکی,mo'yna
138,Flügel::N,وزر,qanot
139,Klaue::N,پنجه,tirnoq
140,Klaue::N,منګول,tirnoq
141,Kralle::N,پنجه,tirnoq
142,Kralle::N,منګول,tirnoq
143,Schwanz::N,لکۍ,quyruq
144,Ei::N,وۍ,tuxum
145,Ei::N,هګۍ,tuxum
146,Nest::N,جاله,oshyon
147,Bau::N,کاز,o'pqon
148,Tier::N,ژوی,hayvon
149,Tier::N,حیوان,hayvon
150,Herde::N,رمه,gala
151,Herde::N,غېله,gala
152,Kuh::N,غوا,inak
153,Bulle::N,غوئی,ho'kiz
154,Pferd::N,آس,ot
155,Schaf::N,پسه,qo'y
156,Schwein::N,سرکوزی,cho'chqa
157,Hund::N,سپی,it
158,Katze::N,پشه,mushuk
159,Bär::N,خرس,ayiq
160,Eichhörnchen::N,خړ لمی,tiyin
161,Elch::N,ګوزن,los
162,Fuchs::N,سپلم,tulki
163,Hase::N,سوی,kuyon
164,Maus::N,مږک,sichqon
165,Wolf::N,لېوه,bo'ri
166,Vogel::N,مرغه,qush
167,Schwarm::N,سېل,to'da
168,Huhn::N,چرګه,tovuq
169,Hahn::N,چرګ,xo'roz
170,Gans::N,بته,g'oz
171,Adler::N,عقاب,burgut
172,Ente::N,ایلۍ,o'rdak
173,Eule::N,ګونګی,boyo'g'li
174,Kranich::N,کلنګ,turna
175,Krähe::N,کارغه,qarg'a
176,Kuckuck::N,فاخته,kakku
177,Schwan::N,قو,oqkush
178,Fisch::N,کب,baliq
179,Fisch::N,ماهی,baliq
180,Schlange[Tier]::N,مار,ilon
181,Wurm::N,چینجی,qurt
182,Spinne::N,غڼه,o'rgimchak
183,Spinne::N,تارکښ,o'rgimchak
184,Ameise::N,مېږی,chumoli
185,Laus::N,سپږه,bit
186,Mücke::N,ماشی,chivin
187,Fliege::N,مچ,pashsha
188,Schmetterling::N,پتنګ,kapalak
189,Beere::N,مېوۍ,meva
190,Apfel::N,مڼه,olma
191,Pilz::N,خرېړی,qo'ziqorin
192,Zwiebel::N,پیاز,piyoz
193,Saat::N,تخم,äkin
194,Korn::N,تخم,zarra
195,Korn::N,دانه,zarra
196,Heu::N,بوس,xashak
197,Heu::N,پروړه,xashak
198,Schale::N,پوستکی,po'choq
199,Grube::N,کنده,co'ra
200,Falle::N,دام,qopqon
201,Falle::N,لومه,qopqon
202,Schlinge::N,کړۍ,sirtmoq
