,Concept_ID,et,br
0,Auge::N,silm,lagad
1,Ohr::N,kõrv,skouarn
2,Nase::N,nina,fri
3,Mund::N,suu,genoù
4,Zahn::N,hammas,dant
5,Zunge::N,keel,teod
6,Lippe::N,huul,muzell
7,Wange::N,põsk,chot
8,Gesicht::N,nägu,dremm
9,Stirn::N,otsmik,tal
10,Haar::N,juus,blev
11,Schnurrbart::N,vurrud,mourenn
12,Schnurrbart::N,vuntsid,mourenn
13,Bart::N,habe,barv
14,Kinn::N,lõug,groñj
15,Kiefer[Anatomie]::N,lõualuu,javed
16,Kehle::N,kõri,gouzoug
17,Hals::N,kael,gouzoug
18,Genick::N,kukal,choug
19,Kopf::N,pea,penn
20,Rücken::N,selg,kein
21,Bauch::N,kõht,kof
22,Nabel::N,naba,begel
23,Busen::N,rind,bronn
24,Brust::N,rind,bruched
25,Schulter::N,õlg,skoaz
26,Arm::N,käsivars,brec'h
27,Ellenbogen::N,küünarnukk,ilin
28,Hand::N,käsi,dorn
29,Handfläche::N,pihk,palv
30,Finger::N,sõrm,biz
31,Fingernagel::N,küüs,ivin
32,Nagel[Anatomie]::N,küüs,ivin
33,Zeh::N,varvas,biz-troad
34,Fuß::N,jalg,troad
35,Ferse::N,kand,seul
36,Knie::N,põlv,glin
37,Oberschenkel::N,reis,morzhed
38,Bein::N,jalg,gar
39,Körper::N,ihu,korf
40,Körper::N,keha,korf
41,Haut::N,nahk,kroc'hen
42,Blut::N,veri,gwad
43,Ader::N,veen,gwazhi
44,Sehne::N,kõõlus,stir
45,Knochen::N,luu,askorn
46,Gehirn::N,aju,empenn
47,Herz::N,süda,kalon
48,Magen::N,magu,stomog
49,Leber::N,maks,avu
50,Atem::N,hingeõhk,anal
51,Atem::N,hingamine,anal
52,Hunger::N,nälg,naon
53,Träne::N,pisar,daer
54,Geschmack::N,maitse,blaz
55,Geruch::N,lõhn,c'hwezh
56,Schlaf::N,uni,kousked
57,Traum::N,unenägu,hune
58,Himmel::N,taevas,oabl
59,Sonne::N,päike,heol
60,Mond::N,kuu,loar
61,Stern::N,täht,steredenn
62,Luft::N,õhk,aer
63,Wind::N,tuul,avel
64,Welle::N,laine,houlenn
65,Wasser::N,vesi,dour
66,Stein::N,kivi,maen
67,Boden::N,maa,tachenn
68,Boden::N,pinnas,tachenn
69,Erde::N,maa,douar
70,Staub::N,põrm,poultr
71,Rauch::N,suits,moged
72,Funke::N,säde,ful
73,Feuer::N,tuli,tan
74,Licht::N,valgus,gouloù
75,Schatten::N,vari,disheol
76,Wetter::N,ilm,amzer
77,Nebel::N,udu,brumenn
78,Wolke::N,pilv,koumoulenn
79,Regen::N,sadu,glav
80,Schnee::N,lumi,erc'h
81,Eis::N,jää,skorn
82,Frost::N,pakane,rev
83,Kälte::N,külm,yen
84,Kälte::N,külmus,yen
85,Hitze::N,kuumus,tommder
86,Hitze::N,palavus,tommder
87,Raureif::N,härmatis,frim
88,Regenbogen::N,vikerkaar,gwareg-ar-glav
89,Donner::N,kõu,kurun
90,Donner::N,müristamine,kurun
91,Strömung::N,voolus,red
92,Strömung::N,jõevool,red
93,Tropfen::N,tilk,bannac'h
94,Tropfen::N,tilk,takenn
95,Schaum::N,vaht,spoum
96,Schmutz::N,pori,fank
97,Schmutz::N,mustus,fank
98,See::N,järv,lenn
99,Sumpf::N,soo,gwern
100,Moor::N,raba,taouarc'heg
101,Wiese::N,aas,prad
102,Wiese::N,nurm,prad
103,Wald::N,mets,koad
104,Hügel::N,küngas,torgenn
105,Anhöhe::N,küngas,run
106,Berg::N,mägi,menez
107,Gipfel::N,mäetipp,barr
108,Höhle::N,koobas,kav
109,Abhang::N,nõlvak,naou
110,Quelle::N,allikas,feunteun
111,Bach::N,oja,gwazh
112,Fluss::N,jõgi,stêr
113,Ufer::N,kallas,ribl
114,Küste::N,rannik,aod
115,Festland::N,mander,douar
116,Festland::N,maismaa,douar
117,Meer::N,meri,mor
118,Bucht::N,laht,mor-bihan
119,Insel::N,saar,enez
120,Blume::N,lill,bleunienn
121,Gras::N,rohi,geot
122,Wurzel::N,juur,gwrizienn
123,Baum::N,puu,gwezenn
124,Stamm::N,tüvi,kef
125,Rinde::N,koor,rusk
126,Ast::N,oks,barr
127,Zweig::N,oks,bod
128,Blatt::N,leht,delienn
129,Birke::N,kask,bezvenn
130,Kiefer[Baum]::N,mänd,pinenn
131,Weide[Baum]::N,paju,halegenn
132,Tanne::N,nulg,sapenn
133,Horn::N,sarv,korn
134,Feder::N,sulg,pluñv
135,Fell::N,karvkate,kreoñ
136,Fell::N,karusnahk,kreoñ
137,Flügel::N,tiib,askell
138,Flügel::N,tiivik,askell
139,Klaue::N,küüs,skilf
140,Kralle::N,küünis,skilf
141,Schwanz::N,saba,lost
142,Ei::N,muna,vi
143,Nest::N,pesa,neizh
144,Bau::N,urg,douarenn
145,Tier::N,loom,loen
146,Herde::N,kari,tropell
147,Kuh::N,lehm,buoc'h
148,Bulle::N,pull,tarv
149,Pferd::N,hobune,marc'h
150,Schaf::N,lammas,dañvad
151,Schwein::N,siga,pemoc'h
152,Hund::N,koer,ki
153,Katze::N,kass,kazh
154,Bär::N,karu,arzh
155,Eichhörnchen::N,orav,gwiñver
156,Elch::N,põder,karv-dour
157,Fuchs::N,rebane,louarn
158,Hase::N,jänes,gad
159,Maus::N,hiir,logodenn
160,Wolf::N,hunt,bleiz
161,Vogel::N,lind,labous
162,Schwarm::N,parv,nijad
163,Huhn::N,kana,yar
164,Hahn::N,kukk,kilhog
165,Gans::N,hani,gwazenn
166,Adler::N,kotkas,erer
167,Ente::N,part,houad
168,Eule::N,kakk,toud
169,Eule::N,öökull,toud
170,Kranich::N,kurg,garan
171,Krähe::N,vares,bran
172,Kuckuck::N,kägu,koukoug
173,Schwan::N,luik,alarc'h
174,Fisch::N,kala,pesk
175,Barsch::N,ahven,brell
176,Hecht::N,haug,beked
177,Schlange[Tier]::N,uss,naer
178,Wurm::N,uss,preñv
179,Wurm::N,vagel,preñv
180,Spinne::N,ämblik,kevnidenn
181,Ameise::N,sipelgas,merion
182,Laus::N,täi,laouenn
183,Mücke::N,sääsk,moustik
184,Fliege::N,kärbes,kelienenn
185,Schmetterling::N,liblikas,balafenn
186,Beere::N,mari,hog
187,Apfel::N,õun,aval
188,Pilz::N,seen,kabell-touseg
189,Zwiebel::N,sibul,ognonenn
190,Saat::N,seeme,had
191,Korn::N,iva,ed
192,Korn::N,tera,ed
193,Heu::N,hein,foenn
194,Schale::N,koor,peliadur
195,Grube::N,kaevand,
196,Falle::N,lõks,pech
197,Falle::N,püünis,pech
198,Schlinge::N,aas,krouglas
199,Spur::N,jälg,
200,Asche::N,tuhk,ludu
201,Dreck::N,saast,fank
202,Dreck::N,mustus,fank
203,Eisen::N,raud,houarn
204,Gold::N,kuld,aour
205,Silber::N,hõbe,arc'hant
206,Kohle::N,süsi,glaou
207,Glas::N,klaas,gwer
208,Lehm::N,savi,
209,Sand::N,liiv,traezh
210,Mensch::N,inimene,den
211,Mann::N,mees,den
212,Frau::N,naine,maouez
213,Kind::N,laps,bugel
214,Junge::N,poiss,paotr
215,Mädchen::N,tüdruk,plac'h
216,Familie::N,perekond,familh
217,Großvater::N,vanaisa,tad-kozh
218,Großmutter::N,vanaema,mamm-gozh
219,Eltern::N,vanemad,kerent
220,Vater::N,isa,tad
221,Mutter::N,ema,mamm
222,Sohn::N,poeg,mab
223,Tochter::N,tütar,merc'h
224,Bruder::N,vend,breur
225,Schwester::N,õde,c'hoar
226,Onkel::N,onu,eontr
227,Tante::N,tädi,moereb
228,Ehemann::N,mees,gwaz
229,Ehemann::N,abikaasa,gwaz
230,Ehefrau::N,naine,gwreg
231,Ehefrau::N,abikaasa,gwreg
232,Freude::N,rõõm,levenez
233,Gelächter::N,naer,c'hoarzherezh
234,Glück::N,õnn,chañs
235,Kummer::N,mure,doan
236,Kummer::N,kurbus,doan
237,Wunsch::N,soov,c'hoant
238,Lust::N,himu,c'hoant
239,Geist::N,vaim,spered
240,Gedanke::N,mõte,soñj
241,Gedächtnis::N,mälu,eñvor
242,Verstand::N,aru,skiant
243,Verstand::N,mõistus,skiant
244,Sinn::N,tähendus,ster
245,Grund::N,põhjus,kaoz
246,Wahrheit::N,tõde,gwirionez
247,Gespräch::N,kõne,kaozeadenn
248,Gespräch::N,vestlus,kaozeadenn
249,Märchen::N,muinasjutt,kaoz korriganez
250,Erzählung::N,jutustus,kontadenn
251,Nachricht::N,teade,keloù
252,Neuigkeit::N,uudis,kelaouenn
253,Name::N,nimi,anv
254,Rätsel::N,mõistatus,divinatez
255,Rede::N,kõne,diskour
256,Sprache::N,keel,yezh
257,Stimme::N,hääl,mouezh
258,Wort::N,sõna,ger
259,Zeichen::N,märk,sin
260,Ruf::N,hüüe,galv
261,Lärm::N,müra,trouz
262,Laut::N,hääl,
263,Ton::N,toon,ton
264,Lied::N,laul,kanaouenn
265,Ruhe::N,rahu,sioulded
266,Ruhe::N,vaikus,sioulded
267,Leute::N,inimesed,tud
268,Volk::N,rahvas,pobl
269,Arbeit::N,töö,labour
270,Gast::N,külaline,kouviad
271,Geschenk::N,kingitus,prof
272,Spiel::N,mäng,c'hoari
273,Gesellschaft::N,selts,kompagnunezh
274,Gesellschaft::N,selts,kavandad
275,Hilfe::N,abi,sikour
276,Freund::N,sõber,mignon
277,Kamerad::N,sõber,kamarad
278,Angelegenheit::N,asi,afer
279,Anzahl::N,arv,niver
280,Anzahl::N,hulk,niver
281,Art::N,liik,sort
282,Stück::N,tükk,tamm
283,Teil::N,osa,pezh
284,Hälfte::N,pool,hanterenn
285,Kreis::N,ring,kelc'h
286,Kreuz::N,rist,kroaz
287,Linie::N,joon,linenn
288,Strich::N,joon,tenn
289,Abstand::N,vahe,distok
290,Entfernung::N,kaugus,keid
291,Entfernung::N,kaugus,kehid
292,Entfernung::N,vahemaa,keid
293,Entfernung::N,vahemaa,kehid
294,Gegend::N,ümbrus,korn-bro
295,Platz::N,ruum,plasenn
296,Ort::N,paik,lec'h
297,Seite::N,pool,tu
298,Mitte::N,keskpaik,kreiz
299,Gegenstand::N,ese,tra
300,Sache::N,ese,tra
301,Rand::N,äär,kantenn
302,Rand::N,serv,kantenn
303,Kante::N,kant,kantenn
304,Ecke::N,nurk,korn
305,Spitze::N,teravik,begell
306,Ende::N,ots,dibenn
307,Ende::N,jupp,dibenn
308,Loch::N,auk,toull
309,Winkel::N,nurk,
310,Muster::N,muster,tresadenn
311,Größe::N,suurus,ment
312,Länge::N,pikkus,hirder
313,Höhe::N,kõrgus,uhelder
314,Gewicht::N,kaal,pouez
315,Gewicht::N,raskus,pouez
316,Menge::N,arv,bern
317,Menge::N,hulk,bern
318,Haufen::N,hunnik,bern
319,Reihe::N,rivi,steud
320,Boot::N,paat,bag
321,Ruder::N,aer,roeñv
322,Schlitten::N,saan,trainell
323,Ski::N,suusk,ski
324,Lagerfeuer::N,lõke,
325,Last::N,koorem,karg
326,Gang::N,käik,kerzh
327,Schritt::N,samm,paz
328,Norden::N,põhi,norzh
329,Norden::N,põhi,hanternoz
330,Süden::N,lõuna,su
331,Süden::N,lõuna,kreisteiz
332,Westen::N,lääs,kuzh-heol
333,Osten::N,ida,reter
334,Osten::N,ida,sav-heol
335,Holz::N,puu,koad
336,Brett::N,saelaud,plankenn
337,Platte::N,plaat,plakenn
338,Stütze::N,tugi,harp
339,Stange::N,latt,sparl
340,Stange::N,teivas,sparl
341,Stock::N,kepp,bazh
342,Stab::N,varras,bazh
343,Rohr::N,toru,tub
344,Rohr::N,toru,korz
345,Haus::N,maja,ti
346,Heim::N,kodu,kêr
347,Ofen::N,ahi,forn
348,Fußboden::N,põrand,plañchod
349,Tisch::N,laud,taol
350,Stuhl::N,tool,kador
