,Concept_ID,it,ca
0,Auge::N,occhio,ull
1,Ohr::N,orecchio,orella
2,Nase::N,naso,nas
3,Mund::N,bocca,boca
4,Zahn::N,dente,dent
5,Zunge::N,lingua,llēngua
6,Lippe::N,labbro,llavi
7,Wange::N,guancia,galta
8,Gesicht::N,viso,cara
9,Gesicht::N,faccia,cara
10,Stirn::N,fronte,front
11,Haar::N,capello,cabēll
12,Schnurrbart::N,baffi,bigoti
13,Schnurrbart::N,mustacchi,bigoti
14,Bart::N,barba,barba
15,Kinn::N,mento,mentó
16,Kinn::N,mento,barbeta
17,Kiefer[Anatomie]::N,mascella,queix
18,Kiefer[Anatomie]::N,mascella,mandíbula
19,Kehle::N,gola,gola
20,Kehle::N,gola,gorja
21,Hals::N,collo,coll
22,Genick::N,nuca,nuca
23,Kopf::N,capo,cap
24,Kopf::N,testa,cap
25,Rücken::N,dorso,esquena
26,Rücken::N,schiena,esquena
27,Bauch::N,ventre,panxa
28,Nabel::N,ombelico,llombrígol
29,Busen::N,seno,pit
30,Busen::N,seno,mama
31,Brust::N,petto,pit
32,Schulter::N,spalla,espatlla
33,Arm::N,braccio,braç
34,Ellenbogen::N,gomito,colze
35,Hand::N,mano,mà
36,Handfläche::N,palma,palma
37,Finger::N,dito,dit
38,Fingernagel::N,unghia,ungla
39,Nagel[Anatomie]::N,unghia,ungla
40,Zeh::N,dito del piede,dit del peu
41,Fuß::N,piede,peu
42,Ferse::N,tallone,taló
43,Ferse::N,calcagno,taló
44,Knie::N,ginocchio,genoll
45,Oberschenkel::N,fèmore,cuixa
46,Bein::N,gamba,cama
47,Körper::N,corpo,cos
48,Haut::N,pelle,pell
49,Blut::N,sangue,sang
50,Ader::N,vena,vena
51,Sehne::N,tèndine,tendó
52,Knochen::N,osso,os
53,Gehirn::N,cervello,cervell
54,Herz::N,cuore,cor
55,Magen::N,stòmaco,estómac
56,Leber::N,fegato,fetge
57,Atem::N,fiato,alè
58,Atem::N,fiato,hàlit
59,Atem::N,respiro,alè
60,Atem::N,respiro,hàlit
61,Hunger::N,fame,fam
62,Hunger::N,fame,gana
63,Träne::N,làcrima,llàgrima
64,Geschmack::N,gusto,gust
65,Geschmack::N,gusto,sabor
66,Geschmack::N,sapore,gust
67,Geschmack::N,sapore,sabor
68,Geruch::N,odore,olor
69,Schlaf::N,sonno,son
70,Traum::N,sogno,somni
71,Himmel::N,cielo,celm
72,Sonne::N,sole,sol
73,Mond::N,luna,lluna
74,Stern::N,stella,estel
75,Stern::N,stella,estrella
76,Luft::N,aria,aire
77,Wind::N,vento,vent
78,Welle::N,onda,ona
79,Wasser::N,acqua,āigua
80,Stein::N,sasso,pedra
81,Stein::N,pietra,pedra
82,Boden::N,suolo,sòl
83,Boden::N,terreno,sòl
84,Erde::N,terra,terra
85,Staub::N,polvere,pols
86,Rauch::N,fumo,fum
87,Funke::N,scintilla,guspira
88,Funke::N,scintilla,centella
89,Feuer::N,fuoco,foc
90,Licht::N,luce,llum
91,Schatten::N,ombra,ombra
92,Wetter::N,tempo,temps
93,Nebel::N,nebbia,boira
94,Wolke::N,nube,núvol
95,Wolke::N,nùvola,núvol
96,Regen::N,pioggia,pluja
97,Schnee::N,neve,neu
98,Eis::N,ghiaccio,gel
99,Eis::N,ghiaccio,glaç
100,Frost::N,gelo,glaçada
101,Kälte::N,freddo,fred
102,Hitze::N,caldo,calor
103,Hitze::N,calura,calor
104,Raureif::N,brina,gebre
105,Regenbogen::N,arcobaleno,arc iris
106,Donner::N,tuono,tro
107,Strömung::N,corrente,corrent
108,Tropfen::N,goccia,gota
109,Schaum::N,spuma,escuma
110,Schaum::N,schiuma,escuma
111,Schmutz::N,sudiciume,brutícia
112,See::N,lago,llac
113,Sumpf::N,palude,pantà
114,Moor::N,torbiera,pantà
115,Wiese::N,prato,prat
116,Wiese::N,prato,prada
117,Wald::N,bosco,bosc
118,Wald::N,foresta,bosc
119,Hügel::N,colle,puig
120,Hügel::N,colle,pujol
121,Hügel::N,collina,puig
122,Hügel::N,collina,pujol
123,Anhöhe::N,altura,turó
124,Berg::N,monte,muntanya
125,Berg::N,montagna,muntanya
126,Gipfel::N,cima,cim
127,Höhle::N,grotta,cova
128,Höhle::N,caverna,cova
129,Abhang::N,pendìo,coster
130,Quelle::N,sorgente,font
131,Bach::N,ruscello,riera
132,Fluss::N,fiume,riu
133,Ufer::N,riva,riba
134,Küste::N,costa,costa
135,Festland::N,terraferma,terra ferma
136,Meer::N,mare,mar
137,Bucht::N,cala,cala
138,Bucht::N,cala,badia
139,Insel::N,ìsola,illa
140,Blume::N,fiore,flor
141,Gras::N,erba,herba
142,Wurzel::N,radice,rel
143,Wurzel::N,radice,arrel
144,Baum::N,àlbero,arbre
145,Stamm::N,tronco,tronc
146,Rinde::N,corteccia,escorça
147,Ast::N,ramo,branca
148,Zweig::N,ramo,ram
149,Blatt::N,foglia,fulla
150,Birke::N,betulla,bedoll
151,Kiefer[Baum]::N,pino,pi
152,Weide[Baum]::N,sàlice,salze
153,Tanne::N,abete,avet
154,Horn::N,corno,corn
155,Horn::N,corno,banya
156,Feder::N,penna,ploma
157,Fell::N,manto,pell
158,Fell::N,pelame,pell
159,Flügel::N,ala,ala
160,Klaue::N,grinfia,urpa
161,Kralle::N,unghia,grapa
162,Kralle::N,artiglio,grapa
163,Schwanz::N,coda,cua
164,Ei::N,uovo,ou
165,Nest::N,nido,niu
166,Bau::N,covo,cau
167,Tier::N,bestia,animāl
168,Tier::N,animale,animāl
169,Herde::N,gregge,ramat
170,Kuh::N,vacca,vaca
171,Bulle::N,toro,toro
172,Pferd::N,cavallo,cavāll
173,Schaf::N,pècora,be
174,Schaf::N,pècora,ovella
175,Schwein::N,porco,bacó
176,Schwein::N,maiale,bacó
177,Hund::N,cane,ca
178,Hund::N,cane,gos
179,Katze::N,gatta,gat
180,Bär::N,orso,ós
181,Eichhörnchen::N,scoiàttolo,esquirol
182,Elch::N,alce,ant
183,Fuchs::N,volpe,guilla
184,Hase::N,lepre,llebre
185,Maus::N,topo,ratolí
186,Maus::N,sorcio,ratolí
187,Wolf::N,lupo,llop
188,Vogel::N,uccello,au
189,Vogel::N,uccello,ocēll
190,Schwarm::N,stormo,bandada
191,Huhn::N,gallina,gallina
192,Hahn::N,gallo,gall
193,Gans::N,oca,oca
194,Adler::N,àquila,àguila
195,Ente::N,ànatra,ànec
196,Eule::N,gufo,òliba
197,Eule::N,gufo,mussol
198,Eule::N,civetta,òliba
199,Eule::N,civetta,mussol
200,Kranich::N,gru,grua
201,Krähe::N,cornacchia,cornella
202,Kuckuck::N,cuccù,cucut
203,Kuckuck::N,cùculo,cucut
204,Schwan::N,cigno,cigne
205,Fisch::N,pesce,peix
206,Barsch::N,pèrsico,perca
207,Hecht::N,luccio,lluç
208,Schlange[Tier]::N,serpente,serp
209,Wurm::N,baco,cuc
210,Wurm::N,verme,cuc
211,Spinne::N,ragno,aranya
212,Ameise::N,formica,formiga
213,Laus::N,pidocchio,poll
214,Mücke::N,zanzara,mosquit
215,Fliege::N,mosca,mosca
216,Schmetterling::N,farfalla,papallona
217,Beere::N,bacca,baia
218,Apfel::N,mela,poma
219,Pilz::N,fungo,bolet
220,Zwiebel::N,cipolla,ceba
221,Saat::N,semente,sembra
222,Korn::N,grano,gra
223,Heu::N,fieno,fenc
224,Schale::N,buccia,closca
225,Grube::N,cava,sot
226,Grube::N,cava,clot
227,Grube::N,fossa,sot
228,Grube::N,fossa,clot
229,Falle::N,tràppola,trampa
230,Schlinge::N,laccio,baga
231,Spur::N,traccia,traça
232,Asche::N,cenere,cendra
233,Dreck::N,fango,llot
234,Eisen::N,ferro,ferro
235,Gold::N,oro,or
236,Silber::N,argento,plata
237,Kohle::N,carbone,carbó
238,Glas::N,vetro,vidre
239,Lehm::N,argilla,fang
240,Lehm::N,argilla,argila
241,Sand::N,arena,arena
242,Sand::N,sabbia,arena
243,Mensch::N,uomo,humà
244,Mensch::N,uomo,persona
245,Mensch::N,èssere umano,humà
246,Mensch::N,èssere umano,persona
247,Mann::N,uomo,home
248,Frau::N,donna,dona
249,Kind::N,bambino,nen
250,Junge::N,ragazzo,noi
251,Mädchen::N,ragazza,noia
252,Familie::N,famiglia,família
253,Großvater::N,nonno,avi
254,Großmutter::N,nonna,àvia
255,Eltern::N,genitori,pares
256,Vater::N,padre,pare
257,Mutter::N,madre,mare
258,Sohn::N,figlio,fill
259,Tochter::N,figlia,filla
260,Bruder::N,fratello,germà
261,Schwester::N,sorella,germana
262,Onkel::N,zio,oncle
263,Tante::N,zia,tia
264,Ehemann::N,marito,espòs
265,Ehefrau::N,moglie,muller
266,Freude::N,gioia,goig
267,Freude::N,gioia,alegria
268,Freude::N,piacere,goig
269,Freude::N,piacere,alegria
270,Gelächter::N,risata,riallada
271,Glück::N,felicità,felicitat
272,Kummer::N,afflizione,pena
273,Wunsch::N,desiderio,desig
274,Lust::N,voglia,ganes
275,Geist::N,mente,ment
276,Geist::N,mente,esperit
277,Geist::N,spìrito,ment
278,Geist::N,spìrito,esperit
279,Gedanke::N,idea,pensament
280,Gedanke::N,pensiero,pensament
281,Gedächtnis::N,memoria,memòria
282,Verstand::N,intelletto,raó
283,Verstand::N,intelletto,seny
284,Sinn::N,senso,solta
285,Sinn::N,senso,sentit
286,Sinn::N,significato,solta
287,Sinn::N,significato,sentit
288,Grund::N,causa,raó
289,Grund::N,causa,causa
290,Grund::N,motivo,raó
291,Grund::N,motivo,causa
292,Grund::N,ragione,raó
293,Grund::N,ragione,causa
294,Wahrheit::N,verità,veritāt
295,Gespräch::N,discorso,conversa
296,Gespräch::N,conversazione,conversa
297,Märchen::N,fiaba,conte
298,Märchen::N,fàvola,conte
299,Erzählung::N,racconto,narració
300,Erzählung::N,narrazione,narració
301,Nachricht::N,messaggio,missatge
302,Neuigkeit::N,notizia,novetat
303,Name::N,nome,nom
304,Rätsel::N,indovinello,endevinalla
305,Rede::N,discorso,discurs
306,Sprache::N,lingua,llēngua
307,Sprache::N,linguaggio,llēngua
308,Stimme::N,voce,veu
309,Wort::N,parola,mot
310,Wort::N,parola,paraula
311,Zeichen::N,segno,signe
312,Zeichen::N,segno,senyal
313,Zeichen::N,segnale,signe
314,Zeichen::N,segnale,senyal
315,Ruf::N,chiamata,crida
316,Lärm::N,chiasso,sorōll
317,Lärm::N,strèpito,sorōll
318,Laut::N,suono,so
319,Ton::N,tono,to
320,Lied::N,canto,cançó
321,Lied::N,canzone,cançó
322,Ruhe::N,calma,calma
323,Ruhe::N,calma,silenci
324,Ruhe::N,tranquillità,calma
325,Ruhe::N,tranquillità,silenci
326,Leute::N,gente,gent
327,Volk::N,pòpolo,poble
328,Arbeit::N,lavoro,labor
329,Arbeit::N,lavoro,treball
330,Gast::N,òspite,hoste
331,Gast::N,invitato,hoste
332,Geschenk::N,regalo,regal
333,Geschenk::N,regalo,obsequi
334,Spiel::N,gioco,joc
335,Gesellschaft::N,compagnìa,companyia
336,Hilfe::N,aiuto,ajut
337,Hilfe::N,soccorso,ajut
338,Freund::N,amico,amīc
339,Kamerad::N,camerata,company
340,Kamerad::N,camerata,camarada
341,Angelegenheit::N,affare,afer
342,Angelegenheit::N,affare,assumpte
343,Angelegenheit::N,faccenda,afer
344,Angelegenheit::N,faccenda,assumpte
345,Anzahl::N,nùmero,nombre
346,Anzahl::N,nùmero,quantitat
347,Anzahl::N,quantità,nombre
348,Anzahl::N,quantità,quantitat
349,Art::N,tipo,tipus
350,Art::N,tipo,classe
351,Art::N,specie,tipus
352,Art::N,specie,classe
353,Stück::N,pezzo,peça
354,Teil::N,parte,part
355,Hälfte::N,metà,meitat
356,Kreis::N,cìrcolo,cercle
357,Kreuz::N,croce,creu
358,Linie::N,lìnea,línia
359,Strich::N,tratto,traç
360,Strich::N,tratto,ratlla
361,Abstand::N,distanza,distància
362,Entfernung::N,distanza,distància
363,Entfernung::N,lontananza,distància
364,Gegend::N,regione,regió
365,Gegend::N,regione,contrada
366,Platz::N,posto,cabuda
367,Platz::N,spazio,cabuda
368,Ort::N,luogo,lloc
369,Ort::N,località,lloc
370,Seite::N,lato,banda
371,Seite::N,lato,costāt
372,Seite::N,parte,banda
373,Seite::N,parte,costāt
374,Mitte::N,mezzo,mig
375,Mitte::N,mezzo,centre
376,Mitte::N,centro,mig
377,Mitte::N,centro,centre
378,Gegenstand::N,oggetto,objecte
379,Sache::N,cosa,cosa
380,Rand::N,orlo,vora
381,Rand::N,orlo,marge
382,Rand::N,bordo,vora
383,Rand::N,bordo,marge
384,Kante::N,spìgolo,caire
385,Kante::N,spìgolo,cantell
386,Ecke::N,canto,cantonada
387,Spitze::N,punta,punta
388,Ende::N,capo,cap
389,Ende::N,estremità,cap
390,Loch::N,buco,forāt
391,Winkel::N,àngolo,racó
392,Muster::N,disegno,dibuix
393,Muster::N,disegno,disseny
394,Größe::N,taglia,grandària
395,Größe::N,grandezza,grandària
396,Länge::N,lunghezza,longitud
397,Höhe::N,altezza,altura
398,Höhe::N,altezza,altitud
399,Gewicht::N,peso,pes
400,Menge::N,quantità,quantitat
401,Haufen::N,cùmulo,pila
402,Haufen::N,mucchio,pila
403,Reihe::N,fila,fila
404,Boot::N,barca,bot
405,Boot::N,barca,barca
406,Boot::N,battello,bot
407,Boot::N,battello,barca
408,Ruder::N,remo,rem
409,Schlitten::N,slitta,trineu
410,Ski::N,sci,esquí
411,Lagerfeuer::N,falò,foc de campament
412,Lagerfeuer::N,fuoco di bivacco,foc de campament
413,Last::N,càrico,càrrega
414,Gang::N,andata,marxa
415,Schritt::N,passo,pas
416,Norden::N,nord,nord
417,Norden::N,settentrione,nord
418,Süden::N,sud,sud
419,Süden::N,meridione,sud
420,Westen::N,òvest,oest
421,Westen::N,òvest,occident
422,Westen::N,occidente,oest
423,Westen::N,occidente,occident
424,Osten::N,est,est
425,Osten::N,est,orient
426,Osten::N,oriente,est
427,Osten::N,oriente,orient
428,Holz::N,legno,fusta
429,Brett::N,asse,taula
430,Brett::N,tàvola,taula
431,Platte::N,lastra,placa
432,Platte::N,piastra,placa
433,Stütze::N,supporto,suport
434,Stange::N,sbarra,vara
435,Stange::N,pèrtica,vara
436,Stock::N,verga,pal
437,Stock::N,bastone,pal
438,Stock::N,bacchetta,pal
439,Stab::N,asta,bastó
440,Rohr::N,tubo,tub
441,Haus::N,casa,casa
442,Heim::N,casa,llar
443,Ofen::N,stufa,estufa
444,Fußboden::N,pavimento,terra
445,Tisch::N,tàvolo,taula
446,Stuhl::N,sedia,cadira
447,Wiege::N,culla,bressol
448,Bett::N,letto,llit
449,Regal::N,scaffale,prestatgeria
450,Kiste::N,cassa,caixa
451,Fenster::N,finestra,finestra
452,Tür::N,porta,porta
453,Tor::N,portone,portal
454,Zaun::N,recinto,tanca
455,Dach::N,tetto,teulada
456,Leiter::N,scala,escala
457,Leiter::N,scala,escala de mà
458,Leiter::N,scala a pioli,escala
459,Leiter::N,scala a pioli,escala de mà
460,Besen::N,scopa,escombra
461,Spaten::N,vanga,pala
462,Schaufel::N,pala,pala
463,Gabel::N,forchetta,forquilla
464,Löffel::N,cucchiaio,cullera
465,Messer::N,coltello,coltell
466,Nagel::N,chiodo,clau
467,Netz::N,rete,filat
468,Haken::N,uncino,ganxo
469,Griff::N,mànico,puny
470,Griff::N,mànico,mànec
471,Griff::N,maniglia,puny
472,Griff::N,maniglia,mànec
473,Schloss::N,serratura,pany
474,Bild::N,quadro,imatge
475,Bild::N,immàgine,imatge
476,Figur::N,figura,figura
477,Puppe::N,bàmbola,nina
478,Beutel::N,borsa,bossa
479,Beutel::N,sacchetto,bossa
480,Bündel::N,fascio,feix
481,Bündel::N,fascio,paquet
482,Bündel::N,fagotto,feix
483,Bündel::N,fagotto,paquet
484,Tasche::N,borsa,bossa
485,Eimer::N,secchio,galleda
486,Deckel::N,coperchio,tapa
487,Deckel::N,coperchio,tapadora
488,Geschirr::N,stoviglie,vaixella
489,Sack::N,sacco,sac
490,Sack::N,sacco,saca
491,Tasse::N,tazza,tassa
492,Topf::N,pèntola,pot
493,Topf::N,pèntola,olla
494,Kessel::N,paiolo,caldera
495,Kessel::N,calderone,caldera
496,Essen::N,pasto,àpat
497,Essen::N,pasto,menjada
498,Essen::N,mangiare,àpat
499,Essen::N,mangiare,menjada
500,Nahrung::N,cibo,aliment
