,Concept_ID,cv,pt
0,Auge::N,куҫ,olho
1,Ohr::N,хӑлха,orelha
2,Nase::N,сӑмса,nariz
3,Mund::N,ҫӑвар,boca
4,Zahn::N,шӑл,dente
5,Zunge::N,чӗлхе,língua
6,Lippe::N,тута,lábio
7,Wange::N,пит ҫӑмарти,face
8,Gesicht::N,пит,cara
9,Gesicht::N,пит,rosto
10,Gesicht::N,пит-куҫ,cara
11,Gesicht::N,пит-куҫ,rosto
12,Stirn::N,ҫамка,testa
13,Haar::N,ҫӳҫ,cabelo
14,Schnurrbart::N,усси,bigode
15,Bart::N,сухал,barba
16,Kinn::N,янах,queixo
17,Kiefer[Anatomie]::N,янах,maxila
18,Kiefer[Anatomie]::N,янах,mandíbula
19,Kehle::N,пыр,garganta
20,Kehle::N,карланкӑ,garganta
21,Hals::N,пыр,colo
22,Hals::N,пыр,pescoço
23,Genick::N,ӗнсе,nuca
24,Kopf::N,пуҫ,cabeça
25,Rücken::N,ҫурӑм,dorso
26,Rücken::N,ҫурӑм,costas
27,Nabel::N,кӑвапа,umbigo
28,Busen::N,кӑкӑр,seio
29,Brust::N,умӗ,peito
30,Schulter::N,хул пуҫҫи,ombro
31,Arm::N,алӑ,braço
32,Ellenbogen::N,чавса,cotovelo
33,Hand::N,алӑ сыппи,mão
34,Handfläche::N,ал лаппи,palma
35,Handfläche::N,ал лаппи,palma da mão
36,Finger::N,пӳрне,dedo
37,Fingernagel::N,чӗрне,unha
38,Nagel[Anatomie]::N,чӗрне,unha
39,Zeh::N,пӳрне,dedo do pé
40,Fuß::N,ура лаппи,pé
41,Ferse::N,кӗле,calcanhar
42,Knie::N,чӗркуҫҫи,joelho
43,Oberschenkel::N,пӗҫӗ,coxa
44,Bein::N,ура,perna
45,Körper::N,ӳт,corpo
46,Körper::N,ӳт-пӳ,corpo
47,Haut::N,тир,pele
48,Blut::N,юн,sangue
49,Ader::N,вена,veia
50,Sehne::N,шӑнӑр,tendão
51,Knochen::N,шӑмӑ,osso
52,Gehirn::N,миме,cérebro
53,Herz::N,чӗре,coração
54,Magen::N,хырӑмлӑх,estômago
55,Leber::N,пӗвер,fígado
56,Atem::N,сывлав,fôlego
57,Hunger::N,выҫлӑх,fome
58,Träne::N,куҫҫуль,lágrima
59,Geschmack::N,техӗм,gosto
60,Geruch::N,шӑршӑ,odor
61,Geruch::N,шӑршӑ,cheiro
62,Schlaf::N,ыйхӑ,sono
63,Traum::N,тӗлӗк,sonho
64,Himmel::N,пӗлӗт,céu
65,Sonne::N,хӗвел,sol
66,Mond::N,уйӑх,lua
67,Stern::N,ҫӑлтӑр,estrela
68,Luft::N,сывлӑш,ar
69,Wind::N,ҫил,vento
