,Concept_ID,tr,lez
0,Auge::N,göz,вил
1,Ohr::N,kulak,яб
2,Nase::N,burun,нер
3,Mund::N,ağız,сив
4,Zahn::N,diş,сас
5,Zahn::N,diş,свах
6,Zunge::N,dil,мез
7,Lippe::N,dudak,пӏуз
8,Wange::N,yanak,хъвехъ
9,Gesicht::N,yüz,ччин
10,Stirn::N,alın,пел
11,Haar::N,saç,чӏар
12,Schnurrbart::N,bıyık,спел
13,Schnurrbart::N,bıyık,спелар
14,Bart::N,sakal,ччуру
15,Kinn::N,çene,чене
16,Kiefer[Anatomie]::N,çene,чене
17,Kehle::N,boğaz,туьд
18,Hals::N,boyun,гардан
19,Hals::N,gerdan,гардан
20,Genick::N,ense,кьам
21,Kopf::N,baş,кьил
22,Kopf::N,kafa,кьил
23,Rücken::N,arka,далу
24,Bauch::N,karın,руфун
25,Nabel::N,göbek,пицӏ
26,Busen::N,koyun,мам
27,Brust::N,göğüs,хур
28,Schulter::N,omuz,къуьн
29,Arm::N,kol,гъил
30,Ellenbogen::N,dirsek,кьуьнт
31,Hand::N,el,капаш
32,Handfläche::N,avuç,капан юкь
33,Handfläche::N,el ayası,капан юкь
34,Finger::N,parmak,тӏуб
35,Fingernagel::N,el tırnağı,кек
36,Nagel[Anatomie]::N,tırnak,кек
37,Zeh::N,ayak parmağı,кул
38,Fuß::N,ayak,кӏвач
39,Ferse::N,topuk,дабан
40,Knie::N,diz,мет
41,Oberschenkel::N,uyluk,
42,Bein::N,bacak,кӏвач
43,Körper::N,vücut,беден
44,Haut::N,cilt,хам
45,Blut::N,kan,иви
46,Ader::N,damar,дамар
47,Sehne::N,kiriş,кьуру дамар
48,Knochen::N,kemik,кӏараб
49,Gehirn::N,beyin,мефт
50,Herz::N,kalp,рикӏ
51,Herz::N,yürek,рикӏ
52,Magen::N,mide,хук
53,Leber::N,karaciğer,лекь
54,Atem::N,nefes,ял
55,Atem::N,nefes,нефес
56,Hunger::N,açlık,каш
57,Träne::N,gözyaşı,вилин нагъв
58,Geschmack::N,tat,дад
59,Geschmack::N,tat,тӏям
60,Geschmack::N,lezzet,дад
61,Geschmack::N,lezzet,тӏям
62,Geruch::N,koku,ни
63,Schlaf::N,uyku,ахвар
64,Traum::N,düş,ахвар
65,Traum::N,rüya,ахвар
66,Himmel::N,gök,цав
67,Sonne::N,güneş,рагъ
68,Mond::N,ay,варз
69,Stern::N,yıldız,гъед
70,Luft::N,hava,гьава
71,Wind::N,yel,гар
72,Wind::N,rüzgâr,гар
73,Welle::N,dalga,лепе
74,Wasser::N,su,яд
75,Stein::N,taş,къван
76,Boden::N,yer,накьв
77,Boden::N,zemin,накьв
78,Erde::N,toprak,ччил
79,Staub::N,toz,руг
80,Rauch::N,duman,гум
81,Funke::N,kıvılcım,цӏелхем
82,Feuer::N,ateş,цӏай
83,Licht::N,ışık,экв
84,Schatten::N,gölge,серин
85,Wetter::N,hava,гьава
86,Nebel::N,pus,ччилин циф
87,Wolke::N,bulut,циф
88,Regen::N,yağmur,марф
89,Schnee::N,kar,жив
90,Eis::N,buz,мурк
91,Frost::N,don,аяз
92,Kälte::N,soğukluk,мекь
93,Kälte::N,soğukluk,мекьивал
94,Hitze::N,sıcaklık,зегьем
95,Raureif::N,kırç,къирав
96,Regenbogen::N,gökkuşağı,яргъируш
97,Donner::N,gök gürlemesi,цавун ван
98,Strömung::N,akıntı,
99,Strömung::N,cereyan,
100,Tropfen::N,damla,стӏал
101,Schaum::N,köpük,каф
102,Schmutz::N,çamur,чирк
103,Schmutz::N,çamur,кьуруш
104,Schmutz::N,pislik,чирк
105,Schmutz::N,pislik,кьуруш
106,See::N,göl,вир
107,Sumpf::N,batak,уьлен
108,Moor::N,cılgıt,
109,Wiese::N,çimen,векь
110,Wald::N,koru,там
111,Wald::N,orman,там
112,Hügel::N,tepe,кӏунтӏ
113,Anhöhe::N,tümsek,тепе
114,Anhöhe::N,tümsek,гьуьндуьрвал
115,Anhöhe::N,yükseklik,тепе
116,Anhöhe::N,yükseklik,гьуьндуьрвал
117,Berg::N,dağ,дагъ
118,Gipfel::N,zirve,кӏукӏ
119,Höhle::N,in,кьветӏ
120,Höhle::N,mağara,кьветӏ
121,Abhang::N,bayır,гуьне
122,Quelle::N,pınar,чешме
123,Quelle::N,kaynak,чешме
124,Bach::N,çay,булах
125,Bach::N,dere,булах
126,Fluss::N,nehir,вацӏ
127,Ufer::N,kıyı,къерех
128,Ufer::N,sahil,къерех
129,Küste::N,kıyı,къерех
130,Küste::N,sahil,къерех
131,Festland::N,kara,кьурамат
132,Meer::N,deniz,гьуьл
133,Bucht::N,koy,бухта
134,Bucht::N,körfez,бухта
135,Insel::N,ada,остров
136,Blume::N,çiçek,цуьк
137,Gras::N,ot,хъач
138,Gras::N,çim,хъач
139,Wurzel::N,kök,дувул
140,Baum::N,ağaç,ттар
141,Stamm::N,gövde,тан
142,Rinde::N,kabuk,чкал
143,Ast::N,dal,тӏур
144,Ast::N,budak,тӏур
145,Zweig::N,dal,хел
146,Blatt::N,yaprak,пеш
147,Birke::N,huş,верх
148,Kiefer[Baum]::N,çam,шамагъаж
149,Weide[Baum]::N,söğüt,цӏвелин ттар
150,Tanne::N,çam,ель
151,Tanne::N,köknar,ель
152,Horn::N,boynuz,карч
153,Feder::N,tüy,цӏакул
154,Fell::N,post,хам
155,Flügel::N,kanat,лув
156,Klaue::N,pençe,къармах
157,Kralle::N,tırnak,пац
158,Kralle::N,tırnak,тапас
159,Schwanz::N,kuyruk,ттум
160,Ei::N,yumurta,кака
161,Nest::N,yuva,муг
162,Bau::N,in,тӏеквен
163,Tier::N,hayvan,гьайван
164,Herde::N,sürü,суьруь
165,Kuh::N,inek,ккал
166,Bulle::N,boğa,яц
167,Bulle::N,boğa,бугъа
168,Pferd::N,at,балкӏан
169,Pferd::N,beygir,балкӏан
170,Schaf::N,koyun,хеб
171,Schwein::N,domuz,вак
172,Hund::N,it,кицӏ
173,Hund::N,köpek,кицӏ
174,Katze::N,kedi,кац
175,Bär::N,ayı,сев
176,Eichhörnchen::N,sincap,белка
177,Elch::N,büyük kuzey geyiği,лось
178,Fuchs::N,tilki,сикӏ
179,Hase::N,tavşan,къуьр
180,Maus::N,fare,кьиф
181,Maus::N,sıçan,кьиф
182,Wolf::N,kurt,жанавур
183,Vogel::N,kuş,луван ничхир
184,Schwarm::N,sürü,луж
185,Huhn::N,tavuk,верч
186,Hahn::N,horoz,кӏек
187,Gans::N,kaz,къаз
188,Adler::N,kartal,лекь
189,Adler::N,karakuş,лекь
190,Ente::N,ördek,пӏатӏ
191,Eule::N,baykuş,тӏиб
192,Kranich::N,turna,дурна
193,Krähe::N,karga,къаргъа
194,Kuckuck::N,guguk,кукупӏ
195,Schwan::N,kuğu,къугь
196,Fisch::N,balık,гъед
197,Barsch::N,hani,окунь
198,Barsch::N,levrek,окунь
199,Hecht::N,turnabalığı,щука
200,Schlange[Tier]::N,yılan,илан
201,Schlange[Tier]::N,yılan,гъуьлягъ
202,Wurm::N,kurt,квак
203,Wurm::N,solucan,квак
204,Spinne::N,örümcek,хуьшрекан
205,Ameise::N,karınca,цегв
206,Laus::N,bit,нет
207,Mücke::N,sivrisinek,ветӏ
208,Fliege::N,sinek,тӏветӏ
209,Schmetterling::N,kelebek,чепелукь
210,Beere::N,tane,куьлуь емиш
211,Apfel::N,elma,ич
212,Pilz::N,mantar,къарникъуз
213,Zwiebel::N,soğan,чичӏек
214,Saat::N,ekin,тумар
215,Korn::N,tane,твар
216,Heu::N,kuru ot,векь
217,Heu::N,kuru ot,векьер
218,Schale::N,kabuk,пириш
219,Schale::N,kabuk,хъуьруьш
220,Grube::N,çukur,фур
221,Falle::N,tuzak,ракьар
222,Schlinge::N,ilmik,гьалкъа
223,Spur::N,iz,гел
224,Asche::N,kül,руьхъ
225,Dreck::N,pislik,чирк
226,Dreck::N,pislik,кьуруш
227,Eisen::N,demir,ракь
228,Gold::N,altın,алтун
229,Silber::N,gümüş,гимиш
230,Kohle::N,kömür,цӏивин
231,Glas::N,cam,шуьше
232,Lehm::N,balçık,ччеб
233,Sand::N,kum,къум
234,Mensch::N,insan,инсан
235,Mann::N,adam,итим
236,Mann::N,erkek,итим
237,Frau::N,bayan,паб
238,Frau::N,bayan,дишегьли
239,Kind::N,çocuk,аял
240,Junge::N,erkek çocuk,гада
241,Mädchen::N,kız,руш
242,Familie::N,aile,хзан
243,Familie::N,aile,килфет
244,Großvater::N,dede,чӏехи буба
245,Großvater::N,büyükbaba,чӏехи буба
246,Großmutter::N,nine,чӏехи диде
247,Großmutter::N,büyükanne,чӏехи диде
248,Eltern::N,ebeveyn,диде-буба
249,Eltern::N,ana baba,диде-буба
250,Vater::N,ata,буба
251,Vater::N,baba,буба
252,Mutter::N,ana,диде
253,Mutter::N,anne,диде
254,Sohn::N,oğul,хва
255,Tochter::N,kız,руш
256,Tochter::N,kız evlât,руш
257,Bruder::N,abi,стха
258,Bruder::N,erkek kardeş,стха
259,Schwester::N,abla,вах
260,Schwester::N,kız kardeş,вах
261,Onkel::N,dayı,ими
262,Onkel::N,dayı,халу
263,Tante::N,hala,эме
264,Tante::N,hala,хала
265,Tante::N,teyze,эме
266,Tante::N,teyze,хала
267,Ehemann::N,koca,гъуьл
268,Ehefrau::N,karı,паб
269,Freude::N,neşe,шадвал
270,Freude::N,sevinç,шадвал
271,Gelächter::N,gülme,хъвер
272,Gelächter::N,kahkaha,хъвер
273,Glück::N,mutluluk,бахт
274,Kummer::N,dert,дерт
275,Kummer::N,dert,хажалат
276,Kummer::N,keder,дерт
277,Kummer::N,keder,хажалат
278,Wunsch::N,arzu,мурад
279,Wunsch::N,istek,мурад
280,Lust::N,arzu,гьевес
281,Lust::N,heves,гьевес
282,Geist::N,tin,руьгь
283,Gedanke::N,fikir,фикир
284,Gedanke::N,düşünce,фикир
285,Gedächtnis::N,bellek,
286,Verstand::N,zekâ,акьул
287,Sinn::N,anlam,мана
288,Grund::N,sebep,себеб
289,Wahrheit::N,doğruluk,керчек
290,Wahrheit::N,doğruluk,гьакъикъат
291,Wahrheit::N,gerçeklik,керчек
292,Wahrheit::N,gerçeklik,гьакъикъат
293,Gespräch::N,görüşme,ихтилат
294,Märchen::N,masal,мах
295,Erzählung::N,öykü,кьиса
296,Erzählung::N,hikâye,кьиса
297,Nachricht::N,haber,хабар
298,Neuigkeit::N,haber,цӏийи хабар
299,Name::N,ad,тӏвар
300,Name::N,isim,тӏвар
301,Rätsel::N,bilmece,мискӏал
302,Rede::N,söylev,рахун
303,Rede::N,konuşma,рахун
304,Sprache::N,dil,чӏал
305,Sprache::N,lisan,чӏал
306,Stimme::N,ses,ван
