,Concept_ID,ka,ady
0,Auge::N,თვალი,нэ
1,Ohr::N,ყური,тхьакӏу́м
2,Nase::N,ცხვირი,пэ
3,Mund::N,პირი,жэ
4,Zahn::N,კბილი,цэ
5,Zunge::N,ენა,бзэгу
6,Lippe::N,ბაგე,ӏупшӏэ́
7,Wange::N,ლოყა,нэкӏу́шъу
8,Gesicht::N,სახე,нэ́гу
9,Stirn::N,შუბლი,натӏэ́
10,Haar::N,თმა,шъхьацы́
11,Schnurrbart::N,ულვაში,
12,Bart::N,წვერი,жакӏэ́
13,Kinn::N,ნიკაპი,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,ყბა,жэпкъы́
15,Kehle::N,ყელი,чый
16,Hals::N,ყელი,пшъэ
17,Hals::N,კისერი,пшъэ
18,Genick::N,კეფა,шъхьэпхэтыку
19,Kopf::N,თავი,шъхьэ́
20,Rücken::N,ზურგი,кӏыбы́
21,Bauch::N,მუცელი,ныбэ́
22,Nabel::N,ჭიპი,
23,Busen::N,ძუძუ,бгъэ́
24,Brust::N,მკერდი,бгъэ́
25,Schulter::N,მხარი,блыпкъ
26,Schulter::N,მკლავი,блыпкъ
27,Arm::N,ხელი,ӏэ
28,Ellenbogen::N,იდაყვი,ӏэнтэ́гъу
29,Hand::N,ხელი,ӏэтхьэцу
30,Handfläche::N,ნები,ӏэ́гу
31,Handfläche::N,ხელისგული,ӏэ́гу
32,Finger::N,თითი,ӏэхъуа́мб
33,Fingernagel::N,ფრჩხილი,ӏэбжъа́н
34,Nagel[Anatomie]::N,ფრჩხილი,ӏэбжъа́н
35,Zeh::N,ფეხის თითი,ӏэхъуа́мб
36,Fuß::N,ტერფი,лъэгу
37,Fuß::N,ფეხისგული,лъэгу
38,Ferse::N,ქუსლი,лъэдакъэ
39,Knie::N,მუხლი,лъагуа́ндж
40,Oberschenkel::N,ბარძაყი,ко
41,Bein::N,ფეხი,лъакъо́
42,Körper::N,ტანი,пкъышъол
43,Körper::N,სხეული,пкъышъол
44,Haut::N,კანი,кӏы́шъу
45,Blut::N,სისხლი,лъы
46,Ader::N,ძარღვი,льытф
47,Sehne::N,მყესი,фэ
48,Knochen::N,ძვალი,къупшъхьэ́
49,Gehirn::N,ტვინი,куцӏы
50,Herz::N,გული,гу
51,Magen::N,კუჭი,мышкӏу
52,Leber::N,ღვიძლი,шӏу
53,Atem::N,სუნთქვა,къэщэныр
54,Hunger::N,შიმშილი,гъаблэ́
55,Träne::N,ცრემლი,нэпсы
56,Geschmack::N,გემო,ӏэшӏугъа́кӏ
57,Geruch::N,სუნი,мэ
