,Concept_ID,ru,hr
0,Auge::N,глаз,oko
1,Ohr::N,ухо,uho
2,Nase::N,нос,nos
3,Mund::N,рот,usta
4,Zahn::N,зуб,zub
5,Zunge::N,язык,jezik
6,Lippe::N,губа,usna
7,Wange::N,щека,obraz
8,Gesicht::N,лицо,lice
9,Stirn::N,лоб,čelo
10,Haar::N,волос,kosa
11,Haar::N,волосы,kosa
12,Schnurrbart::N,ус,brkovi
13,Schnurrbart::N,усы,brkovi
14,Bart::N,борода,brada
15,Kinn::N,подбородок,brada
16,Kinn::N,подбородок,podbradak
17,Kiefer[Anatomie]::N,челюсть,čeljust
18,Kehle::N,горло,grlo
19,Hals::N,шея,vrat
20,Genick::N,затылок,zatiljak
21,Kopf::N,голова,glava
22,Rücken::N,спина,leđa
23,Rücken::N,спина,hrbat
24,Bauch::N,живот,trbuh
25,Nabel::N,пупок,pupak
26,Busen::N,женская грудь,sisa
27,Busen::N,женская грудь,njedra
28,Brust::N,грудь,prsa
29,Schulter::N,плечо,rame
30,Schulter::N,плечо,pleći
31,Arm::N,рука,ruka
32,Ellenbogen::N,локоть,lakat
33,Hand::N,кисть,ruka
34,Handfläche::N,ладонь,dlan
35,Finger::N,палец,prst
36,Fingernagel::N,ноготь,nokat
37,Nagel[Anatomie]::N,ноготь,nokat
38,Zeh::N,палец,nozni prst
39,Fuß::N,ступня,noga
40,Fuß::N,ступня,stopalo
41,Ferse::N,пята,peta
42,Ferse::N,пятка,peta
43,Knie::N,колено,koljeno
44,Oberschenkel::N,бедро,bedro
45,Bein::N,нога,noga
46,Körper::N,тело,tijelo
47,Haut::N,кожа,put
48,Haut::N,кожа,koža
49,Blut::N,кровь,krv
50,Ader::N,вена,žila
51,Ader::N,сосуд,žila
52,Sehne::N,жила,tetiva
53,Sehne::N,тетива,tetiva
54,Sehne::N,сухожилие,tetiva
55,Knochen::N,кость,kost
56,Gehirn::N,мозг,
57,Herz::N,сердце,srce
58,Magen::N,желудок,stomak
59,Magen::N,желудок,želudac
60,Leber::N,печень,jetra
61,Atem::N,дух,dah
62,Atem::N,дыхание,dah
63,Hunger::N,голод,glad
64,Träne::N,слеза,suza
65,Geschmack::N,вкус,ukus
66,Geruch::N,запах,njuh
67,Geruch::N,запах,miris
68,Schlaf::N,сон,san
69,Traum::N,сновидение,san
70,Himmel::N,небо,nebo
71,Sonne::N,солнце,sunce
72,Mond::N,луна,mjesec
73,Stern::N,звезда,zvijezda
74,Luft::N,воздух,zrak
75,Wind::N,ветер,vjetar
76,Welle::N,волна,val
77,Welle::N,волна,talas
78,Wasser::N,вода,voda
79,Stein::N,камень,kamen
80,Boden::N,почва,tlo
81,Boden::N,почва,zemlja
82,Erde::N,земля,zemlja
83,Staub::N,пыль,prah
84,Staub::N,пыль,prašina
85,Rauch::N,дым,dim
86,Funke::N,искра,iskra
87,Funke::N,искра,varnica
88,Feuer::N,огонь,vatra
89,Licht::N,свет,svjetlo
90,Schatten::N,тень,hlad
91,Schatten::N,тень,sjena
92,Wetter::N,погода,vrijeme
93,Nebel::N,туман,magla
94,Wolke::N,облако,oblak
95,Regen::N,дождь,kiša
96,Schnee::N,снег,snijeg
97,Eis::N,лед,led
98,Frost::N,мороз,mraz
99,Kälte::N,холод,studen
100,Kälte::N,холод,hladnoća
101,Hitze::N,жара,vrućina
102,Raureif::N,иней,inje
103,Regenbogen::N,радуга,duga
104,Donner::N,гром,grom
105,Donner::N,гром,grmljavina
106,Strömung::N,течение,struja
107,Strömung::N,течение,strujanje
108,Tropfen::N,капля,kap
109,Tropfen::N,капля,kaplja
110,Schaum::N,пена,pjena
111,Schmutz::N,грязь,nečistoća
112,Schmutz::N,грязь,prljavština
113,See::N,озеро,jezero
114,Sumpf::N,топь,bara
115,Moor::N,болото,močvara
116,Wiese::N,луг,livada
117,Wald::N,лес,šuma
118,Hügel::N,холм,brijeg
119,Hügel::N,холм,brežuljak
120,Anhöhe::N,возвышенность,uzvišica
121,Berg::N,гора,brdo
122,Gipfel::N,вершина,vrh
123,Höhle::N,пещера,pećina
124,Höhle::N,пещера,spilja
125,Abhang::N,склон,obronak
126,Abhang::N,склон,nizbrdica
127,Quelle::N,источник,izvor
128,Quelle::N,источник,vrelo
129,Bach::N,ручей,potok
130,Fluss::N,река,rijeka
131,Ufer::N,берег,obala
132,Küste::N,побережье,obala
133,Küste::N,побережье,morska obala
134,Festland::N,суша,kopno
135,Meer::N,море,more
136,Bucht::N,бухта,zaliv
137,Insel::N,остров,ada
138,Insel::N,остров,otok
139,Blume::N,цветок,cvijet
140,Gras::N,трава,trava
141,Wurzel::N,корень,korijen
142,Baum::N,дерево,drvo
143,Baum::N,дерево,stablo
144,Stamm::N,ствол,deblo
145,Stamm::N,ствол,stablo
146,Rinde::N,кора,kora
147,Ast::N,сук,grana
148,Zweig::N,ветвь,grana
149,Blatt::N,лист,list
150,Birke::N,береза,breza
151,Kiefer[Baum]::N,сосна,bor
152,Weide[Baum]::N,ива,iva
153,Weide[Baum]::N,ива,vŕba
154,Tanne::N,ель,jela
155,Horn::N,рог,rog
156,Feder::N,перо,pero
157,Fell::N,шкура,koža
158,Flügel::N,крыло,krilo
159,Klaue::N,коготь,papak
160,Kralle::N,лапа,pandža
161,Schwanz::N,хвост,rep
162,Ei::N,яйцо,jaje
163,Nest::N,гнездо,gnijezdo
164,Bau::N,нора,jazbina
165,Tier::N,животное,životinja
166,Herde::N,стадо,krdo
167,Herde::N,стадо,stado
168,Kuh::N,корова,krava
169,Bulle::N,бык,bik
170,Pferd::N,лошадь,konj
171,Schaf::N,овца,ovca
172,Schwein::N,свинья,svinja
173,Hund::N,собака,pas
174,Hund::N,собака,pseto
175,Katze::N,кошка,mačka
176,Bär::N,медведь,medvjed
177,Eichhörnchen::N,белка,vjeverica
178,Elch::N,лось,los
179,Fuchs::N,лиса,lisica
180,Hase::N,заяц,zec
181,Maus::N,мышь,miš
182,Wolf::N,волк,vuk
183,Wolf::N,волк,kurjak
184,Vogel::N,птица,ptica
185,Schwarm::N,стая,roj
186,Schwarm::N,стая,jato
187,Huhn::N,курица,kokoš
188,Hahn::N,петух,kokot
189,Hahn::N,петух,pijevac
190,Gans::N,гусь,guska
191,Adler::N,орел,orao
192,Ente::N,утка,patka
193,Eule::N,сова,sova
194,Kranich::N,журавль,ždral
195,Krähe::N,ворона,vrana
196,Kuckuck::N,кукушка,kukavica
197,Schwan::N,лебедь,labud
198,Fisch::N,рыба,riba
199,Barsch::N,окунь,grgeč
200,Hecht::N,щука,štuka
201,Schlange[Tier]::N,змея,guja
202,Schlange[Tier]::N,змея,zmija
203,Wurm::N,червяк,crv
204,Spinne::N,паук,pauk
205,Ameise::N,муравей,mrav
206,Laus::N,вошь,uš
207,Mücke::N,комар,komarac
208,Fliege::N,муха,muha
209,Schmetterling::N,бабочка,leptir
210,Beere::N,ягода,boba
211,Beere::N,ягода,bobica
212,Apfel::N,яблоко,jabuka
213,Pilz::N,гриб,pečurka
214,Zwiebel::N,луковица,luk
215,Zwiebel::N,луковица,kapula
216,Saat::N,семя,sjemenje
217,Korn::N,зерно,zrno
218,Heu::N,сено,sijeno
219,Schale::N,шелуха,kora
220,Schale::N,шелуха,ljuska
221,Grube::N,яма,jama
222,Falle::N,ловушка,zamka
223,Falle::N,ловушка,klopka
224,Schlinge::N,силок,uzao
225,Schlinge::N,силок,petlja
226,Spur::N,след,trag
227,Spur::N,след,slijed
228,Asche::N,зола,pepeo
229,Asche::N,пепел,pepeo
230,Dreck::N,грязь,blato
231,Eisen::N,железо,željezo
232,Gold::N,золото,zlato
233,Silber::N,серебро,srebro
234,Kohle::N,уголь,ugalj
235,Kohle::N,уголь,ugljen
236,Glas::N,стекло,staklo
237,Lehm::N,глина,glina
238,Lehm::N,глина,ilovača
239,Sand::N,песок,pijesak
240,Mensch::N,человек,čovjek
241,Mann::N,мужчина,muškarac
242,Frau::N,женщина,žena
243,Kind::N,ребенок,čedo
244,Kind::N,ребенок,dijete
245,Junge::N,мальчик,momče
246,Junge::N,мальчик,dječak
247,Mädchen::N,девочка,djevojka
248,Mädchen::N,девочка,djevojčica
249,Familie::N,семья,obitelj
250,Familie::N,семья,porodica
251,Großvater::N,дедушка,djed
252,Großmutter::N,бабушка,baka
253,Eltern::N,родители,roditelji
254,Vater::N,отец,otac
255,Mutter::N,мать,majka
256,Sohn::N,сын,sin
257,Tochter::N,дочь,kći
258,Tochter::N,дочь,kćerka
259,Bruder::N,брат,brat
260,Schwester::N,сестра,sestra
261,Onkel::N,дядя,čika
262,Onkel::N,дядя,ujak
263,Tante::N,тетя,ujna
264,Tante::N,тетя,tetka
265,Ehemann::N,муж,muž
266,Ehemann::N,муж,suprug
267,Ehefrau::N,жена,žena
268,Ehefrau::N,жена,supruga
269,Freude::N,радость,radost
270,Gelächter::N,смех,grohot
271,Glück::N,счастье,sreća
272,Kummer::N,горе,jad
273,Kummer::N,горе,briga
274,Wunsch::N,желание,želja
275,Lust::N,влечение,volja
276,Geist::N,дух,duh
277,Gedanke::N,мысль,misao
278,Gedächtnis::N,память,pamćenje
279,Verstand::N,ум,um
280,Verstand::N,ум,razum
281,Sinn::N,смысл,smisao
282,Sinn::N,смысл,značenje
283,Grund::N,повод,razlog
284,Wahrheit::N,правда,istina
285,Gespräch::N,беседа,razgovor
286,Märchen::N,сказка,bajka
287,Erzählung::N,рассказ,priča
288,Erzählung::N,рассказ,pripovijest
289,Nachricht::N,сообщение,vijest
290,Neuigkeit::N,новость,novost
291,Name::N,имя,ime
292,Rätsel::N,загадка,zagonetka
293,Rede::N,речь,govor
294,Rede::N,речь,besjeda
295,Sprache::N,язык,jezik
296,Stimme::N,голос,glas
297,Wort::N,слово,riječ
298,Zeichen::N,знак,znak
299,Ruf::N,зов,povik
300,Ruf::N,зов,poklik
301,Lärm::N,шум,buka
302,Lärm::N,шум,galama
303,Laut::N,звук,zvuk
304,Ton::N,звучание,ton
305,Lied::N,песня,pjesma
306,Ruhe::N,покой,tišina
307,Ruhe::N,покой,počinak
308,Leute::N,люди,ljudi
309,Volk::N,народ,puk
310,Volk::N,народ,narod
311,Arbeit::N,работа,rad
312,Arbeit::N,работа,posao
313,Gast::N,гость,gost
314,Geschenk::N,подарок,dar
315,Geschenk::N,подарок,poklon
316,Spiel::N,игра,igra
317,Gesellschaft::N,общество,društvo
318,Gesellschaft::N,общество,kompanija
319,Hilfe::N,помощь,pomoć
320,Freund::N,друг,prijatelj
321,Kamerad::N,приятель,drug
322,Kamerad::N,приятель,drugar
323,Angelegenheit::N,дело,posao
324,Anzahl::N,количество,broj
325,Anzahl::N,количество,brojnost
326,Art::N,вид,vid
327,Art::N,вид,vrst
328,Stück::N,кусок,komad
329,Teil::N,часть,dio
330,Hälfte::N,половина,polovina
331,Kreis::N,круг,krug
332,Kreuz::N,крест,križ
333,Linie::N,линия,crta
334,Strich::N,черта,crta
335,Abstand::N,промежуток,razmak
336,Abstand::N,промежуток,odstojanje
337,Entfernung::N,расстояние,udaljenost
338,Gegend::N,местность,kraj
339,Gegend::N,местность,predeo
340,Platz::N,пространство,mjesto
341,Ort::N,место,mjesto
342,Seite::N,сторона,bok
343,Seite::N,сторона,strana
344,Mitte::N,середина,sredina
345,Gegenstand::N,предмет,predmet
346,Sache::N,вещь,posao
347,Rand::N,край,rub
348,Rand::N,край,kraj
349,Kante::N,ребро,brid
350,Kante::N,ребро,ivica
351,Ecke::N,угол,ugao
352,Spitze::N,кончик,vrh
353,Spitze::N,кончик,šiljak
354,Ende::N,конец,konac
355,Loch::N,дыра,rupa
356,Winkel::N,угол,kut
357,Winkel::N,угол,ugao
358,Muster::N,узор,uzor
359,Größe::N,размер,veličina
360,Länge::N,длина,duljina
361,Höhe::N,высота,visina
362,Gewicht::N,вес,težina
363,Menge::N,количество,mnoštvo
364,Menge::N,количество,količina
365,Haufen::N,куча,hrpa
366,Haufen::N,куча,gomila
367,Reihe::N,ряд,red
368,Boot::N,лодка,čun
369,Boot::N,лодка,čamac
370,Ruder::N,весло,veslo
371,Schlitten::N,сани,saone
372,Ski::N,лыжа,ski
373,Ski::N,лыжа,smučka
374,Lagerfeuer::N,костер,logorska vatra
375,Last::N,тяжесть,tovar
376,Gang::N,ход,hod
377,Schritt::N,шаг,korak
378,Norden::N,север,sjever
379,Süden::N,юг,jug
380,Westen::N,запад,zapad
381,Osten::N,восток,istok
382,Holz::N,древесина,drvo
383,Brett::N,доска,daska
384,Platte::N,плита,ploča
385,Stütze::N,подпорка,potpora
386,Stange::N,жердь,motka
387,Stock::N,палка,štap
388,Stock::N,палка,palica
389,Stab::N,шест,štap
390,Stab::N,шест,šipka
391,Rohr::N,труба,cijev
392,Haus::N,дом,kuća
393,Heim::N,дом,dom
394,Ofen::N,печь,peć
395,Fußboden::N,пол,pod
396,Tisch::N,стол,stol
397,Tisch::N,стол,trpeza
398,Stuhl::N,стул,stolac
399,Stuhl::N,стул,stolica
400,Wiege::N,колыбель,kolijevka
401,Bett::N,постель,krevet
402,Bett::N,постель,postelja
403,Regal::N,полка,polica
404,Kiste::N,ящик,sanduk
405,Fenster::N,окно,prozor
406,Tür::N,дверь,vrata
407,Tor::N,ворота,vrata
408,Tor::N,ворота,kapija
409,Zaun::N,забор,plot
410,Zaun::N,забор,ograda
411,Dach::N,крыша,krov
412,Leiter::N,лестница,ljestve
413,Leiter::N,лестница,ljestvice
414,Besen::N,метла,metla
415,Spaten::N,лопата,ašov
416,Schaufel::N,совок,lopata
417,Gabel::N,вилка,viljuška
418,Löffel::N,ложка,žlica
419,Messer::N,нож,nož
420,Nagel::N,гвоздь,čavao
421,Netz::N,сеть,mreža
422,Haken::N,крюк,kuka
423,Griff::N,ручка,držak
424,Griff::N,ручка,ručica
425,Schloss::N,замок,brava
426,Bild::N,картина,slika
