,Concept_ID,kn,et
0,Auge::N,ಕಣ್ಣು,silm
1,Ohr::N,ಕಿವಿ,kõrv
2,Nase::N,ಮೂಗು,nina
3,Mund::N,ಬಾಯಿ,suu
4,Zahn::N,ಹಲ್ಲು,hammas
5,Zunge::N,ನಾಲಿಗೆ,keel
6,Lippe::N,ತುಟಿ,huul
7,Wange::N,ಗಲ್ಲ,põsk
8,Gesicht::N,ಮುಖ,nägu
9,Stirn::N,ಹಣೆ,otsmik
10,Haar::N,ಕೂದಲು,juus
11,Schnurrbart::N,ಮೀಸೆ,vurrud
12,Schnurrbart::N,ಮೀಸೆ,vuntsid
13,Bart::N,ಗಡ್ಡ,habe
14,Kinn::N,ಗದ್ದ,lõug
15,Kiefer[Anatomie]::N,ದವಡೆ,lõualuu
16,Kehle::N,ಗಂಟಲು,kõri
17,Hals::N,ಕೊರಳು,kael
18,Genick::N,ಹಿಂಗತ್ತು,kukal
19,Kopf::N,ತಲೆ,pea
20,Rücken::N,ಬೆನ್ನು,selg
21,Bauch::N,ಹೊಟ್ಟೆ,kõht
22,Nabel::N,ಹೊಕ್ಕುಳು,naba
23,Busen::N,ಸ್ತನ,rind
24,Brust::N,ಎದೆ,rind
25,Schulter::N,ಭುಜ,õlg
26,Arm::N,ತೋಳು,käsivars
27,Ellenbogen::N,ಮೊಣಕೈ,küünarnukk
28,Hand::N,ಕೈ,käsi
29,Handfläche::N,ಅಂಗೈ,pihk
30,Finger::N,ಕೈಬೆರಳು,sõrm
31,Fingernagel::N,ಉಗುರು,küüs
32,Nagel[Anatomie]::N,ಉಗುರು,küüs
33,Zeh::N,ಕಾಲ್ಬೆರಳು,varvas
34,Fuß::N,ಪಾದ,jalg
35,Ferse::N,ಹಿಮ್ಮಡಿ,kand
36,Knie::N,ಮಂಡಿ,põlv
37,Oberschenkel::N,ತೊಡೆ,reis
38,Bein::N,ಕಾಲು,jalg
39,Körper::N,ದೇಹ,ihu
40,Körper::N,ದೇಹ,keha
41,Haut::N,ಚರ್ಮ,nahk
42,Blut::N,ರಕ್ತ,veri
43,Ader::N,ನರ,veen
44,Sehne::N,ನರ,kõõlus
45,Knochen::N,ಮೂಳೆ,luu
46,Gehirn::N,ಮಿದುಳು,aju
47,Herz::N,ಹೃದಯ,süda
48,Magen::N,ಉದರ,magu
49,Leber::N,ಯಕೃತ್ತು,maks
50,Atem::N,ಉಸಿರು,hingeõhk
51,Atem::N,ಉಸಿರು,hingamine
52,Hunger::N,ಹಸಿವು,nälg
53,Träne::N,ಕಣ್ಣೀರು,pisar
54,Geschmack::N,ರುಚಿ,maitse
55,Geruch::N,ವಾಸನೆ,lõhn
56,Schlaf::N,ನಿದ್ರೆ,uni
57,Traum::N,ಕನಸು,unenägu
58,Himmel::N,ಬಾನು,taevas
59,Sonne::N,ಸೂರ್ಯ,päike
60,Mond::N,ಚಂದ್ರ,kuu
61,Stern::N,ಚುಕ್ಕಿ,täht
62,Luft::N,ವಾಯು,õhk
