,Concept_ID,,et
0,Auge::N,,silm
1,Ohr::N,,kõrv
2,Nase::N,,nina
3,Mund::N,,suu
4,Zahn::N,,hammas
5,Zunge::N,,keel
6,Lippe::N,,huul
7,Wange::N,,põsk
8,Gesicht::N,,nägu
9,Stirn::N,,otsmik
10,Haar::N,,juus
11,Schnurrbart::N,,vurrud
12,Schnurrbart::N,,vuntsid
13,Bart::N,,habe
14,Kinn::N,,lõug
15,Kiefer[Anatomie]::N,,lõualuu
16,Kehle::N,,kõri
17,Hals::N,,kael
18,Genick::N,,kukal
19,Kopf::N,,pea
20,Rücken::N,,selg
21,Bauch::N,,kõht
22,Nabel::N,,naba
23,Busen::N,,rind
24,Brust::N,,rind
25,Schulter::N,,õlg
26,Arm::N,,käsivars
27,Ellenbogen::N,,küünarnukk
28,Hand::N,,käsi
29,Handfläche::N,,pihk
30,Finger::N,,sõrm
31,Fingernagel::N,,küüs
32,Nagel[Anatomie]::N,,küüs
33,Zeh::N,,varvas
34,Fuß::N,,jalg
35,Ferse::N,,kand
36,Knie::N,,põlv
37,Oberschenkel::N,,reis
38,Bein::N,,jalg
39,Körper::N,,ihu
40,Körper::N,,keha
41,Haut::N,,nahk
42,Blut::N,,veri
43,Ader::N,,veen
44,Sehne::N,,kõõlus
45,Knochen::N,,luu
46,Gehirn::N,,aju
47,Herz::N,,süda
48,Magen::N,,magu
49,Leber::N,,maks
50,Atem::N,,hingeõhk
51,Atem::N,,hingamine
52,Hunger::N,,nälg
53,Träne::N,,pisar
54,Geschmack::N,,maitse
55,Geruch::N,,lõhn
56,Schlaf::N,,uni
57,Traum::N,,unenägu
58,Himmel::N,,taevas
59,Sonne::N,,päike
60,Mond::N,,kuu
61,Stern::N,,täht
62,Luft::N,,õhk
63,Wind::N,,tuul
64,Welle::N,,laine
65,Wasser::N,,vesi
66,Stein::N,,kivi
67,Boden::N,,maa
68,Boden::N,,pinnas
69,Erde::N,,maa
70,Staub::N,,põrm
71,Rauch::N,,suits
72,Funke::N,,säde
73,Feuer::N,,tuli
74,Licht::N,,valgus
75,Schatten::N,,vari
76,Wetter::N,,ilm
77,Nebel::N,,udu
78,Wolke::N,,pilv
79,Regen::N,,sadu
80,Schnee::N,,lumi
81,Eis::N,,jää
82,Frost::N,,pakane
83,Kälte::N,,külm
84,Kälte::N,,külmus
85,Hitze::N,,kuumus
86,Hitze::N,,palavus
87,Raureif::N,,härmatis
88,Regenbogen::N,,vikerkaar
89,Donner::N,,kõu
90,Donner::N,,müristamine
91,Strömung::N,,voolus
92,Strömung::N,,jõevool
93,Tropfen::N,,tilk
94,Schaum::N,,vaht
95,Schmutz::N,,pori
96,Schmutz::N,,mustus
97,See::N,,järv
98,Sumpf::N,,soo
99,Moor::N,,raba
100,Wiese::N,,aas
101,Wiese::N,,nurm
102,Wald::N,,mets
103,Hügel::N,,küngas
104,Anhöhe::N,,küngas
105,Berg::N,,mägi
106,Gipfel::N,,mäetipp
107,Höhle::N,,koobas
108,Abhang::N,,nõlvak
109,Quelle::N,,allikas
110,Bach::N,,oja
111,Fluss::N,,jõgi
112,Ufer::N,,kallas
113,Küste::N,,rannik
114,Festland::N,,mander
115,Festland::N,,maismaa
116,Meer::N,,meri
117,Bucht::N,,laht
118,Insel::N,,saar
119,Blume::N,,lill
120,Gras::N,,rohi
121,Wurzel::N,,juur
122,Baum::N,,puu
123,Stamm::N,,tüvi
124,Rinde::N,,koor
125,Ast::N,,oks
126,Zweig::N,,oks
127,Blatt::N,,leht
128,Birke::N,,kask
129,Kiefer[Baum]::N,,mänd
130,Weide[Baum]::N,,paju
131,Tanne::N,,nulg
132,Horn::N,,sarv
133,Feder::N,,sulg
134,Fell::N,,karvkate
135,Fell::N,,karusnahk
136,Flügel::N,,tiib
137,Flügel::N,,tiivik
138,Klaue::N,,küüs
139,Kralle::N,,küünis
140,Schwanz::N,,saba
141,Ei::N,,muna
142,Nest::N,,pesa
143,Bau::N,,urg
144,Tier::N,,loom
145,Herde::N,,kari
146,Kuh::N,,lehm
147,Bulle::N,,pull
148,Pferd::N,,hobune
149,Schaf::N,,lammas
150,Schwein::N,,siga
151,Hund::N,,koer
152,Katze::N,,kass
153,Bär::N,,karu
154,Eichhörnchen::N,,orav
155,Elch::N,,põder
156,Fuchs::N,,rebane
157,Hase::N,,jänes
158,Maus::N,,hiir
159,Wolf::N,,hunt
160,Vogel::N,,lind
161,Schwarm::N,,parv
162,Huhn::N,,kana
163,Hahn::N,,kukk
164,Gans::N,,hani
165,Adler::N,,kotkas
166,Ente::N,,part
167,Eule::N,,kakk
168,Eule::N,,öökull
169,Kranich::N,,kurg
170,Krähe::N,,vares
171,Kuckuck::N,,kägu
172,Schwan::N,,luik
173,Fisch::N,,kala
174,Barsch::N,,ahven
175,Hecht::N,,haug
176,Schlange[Tier]::N,,uss
177,Wurm::N,,uss
178,Wurm::N,,vagel
179,Spinne::N,,ämblik
180,Ameise::N,,sipelgas
181,Laus::N,,täi
182,Mücke::N,,sääsk
183,Fliege::N,,kärbes
184,Schmetterling::N,,liblikas
185,Beere::N,,mari
186,Apfel::N,,õun
187,Pilz::N,,seen
188,Zwiebel::N,,sibul
189,Saat::N,,seeme
190,Korn::N,,iva
191,Korn::N,,tera
192,Heu::N,,hein
193,Schale::N,,koor
194,Grube::N,,kaevand
195,Falle::N,,lõks
196,Falle::N,,püünis
197,Schlinge::N,,aas
198,Spur::N,,jälg
199,Asche::N,,tuhk
