,Concept_ID,la,tt
0,Auge::N,oculus,күз
1,Ohr::N,auris,колак
2,Nase::N,nasus,борын
3,Mund::N,os,авыз
4,Mund::N,os,тамак
5,Zahn::N,dens,теш
6,Zunge::N,lingua,тел
7,Lippe::N,labrum,ирен
8,Wange::N,gena,яңак
9,Gesicht::N,vultus,йөз
10,Stirn::N,frons,маңгай
11,Haar::N,capillus,чәч
12,Schnurrbart::N,barba labri superioris,мыек
13,Bart::N,barba,сакал
14,Kinn::N,mentum,ияк
15,Kiefer[Anatomie]::N,mala,казналык
16,Kehle::N,iugulums,тамак
17,Hals::N,collum,бугаз
18,Genick::N,cervices,җилкә
19,Kopf::N,caput,баш
20,Rücken::N,tergum,сырт
21,Bauch::N,venter,корсак
22,Nabel::N,umbilicus,кендек
23,Busen::N,sinus,түш
24,Brust::N,pectus,имчәк
25,Brust::N,pectus,күкрәк
26,Schulter::N,umerus,иңбаш
27,Schulter::N,umerus,кулбаш
28,Arm::N,bracchium,кул
29,Ellenbogen::N,cubitum,терсәк
30,Hand::N,manus,кул
31,Handfläche::N,palma,уч
32,Finger::N,digitus,бармак
33,Fingernagel::N,unguiculus,тырнак
34,Nagel[Anatomie]::N,unguis,тырнак
35,Zeh::N,digitus,бармак
36,Fuß::N,pes,табан
37,Ferse::N,calx,үкчә
38,Knie::N,genu,тез
39,Oberschenkel::N,femur,бот
40,Bein::N,crus,аяк
41,Körper::N,corpus,тән
42,Körper::N,corpus,җисем
43,Haut::N,cutis,тире
44,Haut::N,pellis,тире
45,Blut::N,sanguis,кан
46,Ader::N,vena,тамыр
47,Sehne::N,nervus,сеңер
48,Knochen::N,os,сөяк
49,Gehirn::N,cerebrum,ми
50,Herz::N,cor,йөрәк
51,Herz::N,animus,йөрәк
52,Magen::N,stomachus,ашказаны
53,Leber::N,iecur,бавыр
54,Atem::N,spiritus,сулыш
55,Hunger::N,fames,ачлык
56,Träne::N,lacrima,яшь
57,Geschmack::N,sapor,тәм
58,Geschmack::N,sapor,зәвык
59,Geschmack::N,gustus,тәм
60,Geschmack::N,gustus,зәвык
61,Geruch::N,odor,ис
62,Schlaf::N,somnus,йокы
63,Traum::N,somnium,төш
64,Himmel::N,caelum,күк
65,Sonne::N,sol,кояш
66,Mond::N,luna,ай
67,Stern::N,sidus,йолдыз
68,Stern::N,stella,йолдыз
69,Luft::N,aer,һава
70,Wind::N,ventus,җил
71,Welle::N,unda,дулкын
72,Wasser::N,aqua,су
73,Stein::N,lapis,таш
74,Boden::N,solum,туфрак
75,Erde::N,terra,җир
76,Staub::N,pulvis,тузан
77,Rauch::N,fumus,төтен
78,Funke::N,scintilla,очкын
79,Feuer::N,ignis,ут
80,Licht::N,lux,якты
81,Licht::N,lumen,якты
82,Schatten::N,umbra,күләгә
83,Wetter::N,caelum,һава
84,Wetter::N,tempestas,һава
85,Nebel::N,nebula,томан
86,Wolke::N,nubes,болыт
87,Regen::N,imber,яңгыр
88,Regen::N,pluvia,яңгыр
89,Schnee::N,nix,кар
90,Eis::N,glacies,боз
91,Frost::N,gelu,суык
92,Frost::N,gelu,салкын
93,Kälte::N,frigus,суык
94,Kälte::N,frigus,салкын
95,Hitze::N,calor,эсселек
96,Hitze::N,aestus,эсселек
97,Raureif::N,pruina,бәс
98,Raureif::N,pruina,сыкы
99,Regenbogen::N,arcus,салават күпере
100,Donner::N,tonitrus,күкрәү
101,Strömung::N,fluctus,агыш'агым
102,Tropfen::N,gutta,тамчы
103,Schaum::N,spuma,күбек
104,Schmutz::N,sordes,пычрак
105,Schmutz::N,squalor,пычрак
106,See::N,lacus,күл
107,Sumpf::N,palus,саз
108,Moor::N,palus,торфлык
109,Wiese::N,pratum,болын
110,Wald::N,silva,урман
111,Hügel::N,collis,калку
112,Anhöhe::N,specula,үр
113,Berg::N,mons,тау
114,Gipfel::N,vertex,оч
115,Höhle::N,caverna,мәгарә
116,Höhle::N,spelunca,мәгарә
117,Abhang::N,declivum,кабырга
118,Quelle::N,fons,чишмә
119,Bach::N,rivus,елга
120,Fluss::N,flumen,дәрья
121,Ufer::N,ripa,су кырые
122,Küste::N,litus,яр буе
123,Festland::N,continens,коры җир
124,Meer::N,mare,диңгез
125,Bucht::N,sinus,бухта
126,Bucht::N,sinus,култык
127,Insel::N,insula,атау
128,Insel::N,insula,утрау
129,Blume::N,flos,чәчкә
130,Gras::N,herba,үлән
131,Gras::N,gramen,үлән
132,Wurzel::N,radix,тамыр
133,Baum::N,arbor,агач
134,Stamm::N,truncus,кәүсә
135,Rinde::N,cortex,кабык
136,Ast::N,ramus,ботак
137,Zweig::N,ramus,ботак
138,Zweig::N,ramus,тармак
139,Blatt::N,folium,яфрак
140,Birke::N,betulla,каен
141,Kiefer[Baum]::N,pinus,нарат
142,Weide[Baum]::N,salix,тал
143,Tanne::N,abies,чыршы
144,Horn::N,cornu,мөгез
145,Feder::N,penna,йон
146,Fell::N,pellis,тире
147,Flügel::N,ala,канат
148,Klaue::N,unguis,тырнак
149,Kralle::N,unguis,тырнак
150,Schwanz::N,cauda,койрык
151,Ei::N,ovum,күкәй
152,Ei::N,ovum,йомырка
153,Nest::N,nidus,оя
154,Bau::N,cavum,өн
155,Bau::N,latibulum,өн
156,Tier::N,bestia,хайван
157,Herde::N,grex,көтү
158,Kuh::N,vacca,сыер
159,Bulle::N,taurus,үгез
160,Pferd::N,equus,ат
