,Concept_ID,kv,ca
0,Auge::N,син,ull
1,Ohr::N,пель,orella
2,Nase::N,ныр,nas
3,Mund::N,ӧм,boca
4,Zahn::N,пинь,dent
5,Zunge::N,кыв,llēngua
6,Lippe::N,тырп,llavi
7,Wange::N,рожабан,galta
8,Gesicht::N,бан,cara
9,Stirn::N,кымӧс,front
10,Haar::N,юрси,cabēll
11,Schnurrbart::N,уссэз,bigoti
12,Bart::N,тош,barba
13,Kinn::N,тшӧка,mentó
14,Kinn::N,тшӧка,barbeta
15,Kiefer[Anatomie]::N,ан,queix
16,Kiefer[Anatomie]::N,ан,mandíbula
17,Kehle::N,юан,gola
18,Kehle::N,юан,gorja
19,Hals::N,юан,coll
20,Genick::N,юр бӧр,nuca
21,Kopf::N,юр,cap
22,Rücken::N,мышк,esquena
23,Bauch::N,кынӧм,panxa
24,Nabel::N,гӧг,llombrígol
25,Busen::N,морос,pit
26,Busen::N,морос,mama
27,Brust::N,морос,pit
28,Schulter::N,пельпон,espatlla
29,Arm::N,ки,braç
30,Ellenbogen::N,гырдзза,colze
31,Hand::N,кикар,mà
32,Handfläche::N,ки пыдӧс,palma
33,Finger::N,чунь,dit
34,Fingernagel::N,гыж,ungla
35,Nagel[Anatomie]::N,гыж,ungla
36,Zeh::N,чунь,dit del peu
37,Fuß::N,кокпыдӧс,peu
38,Ferse::N,кокдзир,taló
39,Knie::N,пидзӧс,genoll
40,Oberschenkel::N,лядьбей,cuixa
41,Bein::N,кок,cama
42,Körper::N,вывтыр,cos
43,Haut::N,кучик,pell
44,Blut::N,вир,sang
45,Ader::N,сӧн,vena
46,Sehne::N,жила,tendó
47,Knochen::N,коска,os
48,Gehirn::N,вем,cervell
49,Herz::N,сьӧлӧм,cor
50,Magen::N,жӧвдӧк,estómac
51,Leber::N,мус,fetge
52,Atem::N,лолалӧм,alè
53,Atem::N,лолалӧм,hàlit
54,Hunger::N,тшыг,fam
55,Hunger::N,тшыг,gana
56,Träne::N,синва,llàgrima
57,Geschmack::N,кӧр,gust
58,Geschmack::N,кӧр,sabor
59,Geruch::N,дук,olor
60,Schlaf::N,он,son
61,Traum::N,вӧт,somni
62,Himmel::N,небо,celm
63,Sonne::N,шондi,sol
64,Mond::N,тӧлiсь,lluna
65,Stern::N,кӧдзыв,estel
66,Stern::N,кӧдзыв,estrella
67,Luft::N,ру,aire
68,Wind::N,тӧв,vent
69,Welle::N,гы,ona
70,Wasser::N,ва,āigua
71,Stein::N,из,pedra
72,Boden::N,му,sòl
73,Erde::N,му,terra
74,Staub::N,бус,pols
75,Rauch::N,тшын,fum
76,Funke::N,бичир,guspira
77,Funke::N,бичир,centella
78,Feuer::N,би,foc
79,Licht::N,би,llum
80,Schatten::N,вуджӧр,ombra
81,Wetter::N,погоддя,temps
82,Nebel::N,туман,boira
83,Wolke::N,кымӧр,núvol
84,Regen::N,зэр,pluja
85,Schnee::N,лым,neu
86,Eis::N,йы,gel
87,Eis::N,йы,glaç
88,Frost::N,мороз,glaçada
89,Kälte::N,кӧдзыт,fred
90,Hitze::N,ӧд,calor
91,Raureif::N,кижа,gebre
92,Regenbogen::N,енӧшка,arc iris
93,Donner::N,гым,tro
94,Strömung::N,визывтӧм,corrent
95,Tropfen::N,тёп,gota
96,Schaum::N,быг,escuma
97,Schmutz::N,нять,brutícia
98,See::N,ты,llac
99,Sumpf::N,арай,pantà
100,Moor::N,нюр,pantà
101,Wiese::N,видз,prat
102,Wiese::N,видз,prada
103,Wald::N,вӧр,bosc
104,Hügel::N,мыльк,puig
105,Hügel::N,мыльк,pujol
106,Anhöhe::N,вывтас,turó
107,Anhöhe::N,вылынін,turó
108,Berg::N,керӧс,muntanya
109,Gipfel::N,йыв,cim
110,Höhle::N,нора,cova
111,Abhang::N,покат,coster
112,Quelle::N,больган,font
113,Bach::N,шор,riera
114,Fluss::N,ю,riu
115,Ufer::N,берег,riba
116,Küste::N,берег,costa
117,Festland::N,му,terra ferma
118,Meer::N,море,mar
119,Bucht::N,курья,cala
120,Bucht::N,курья,badia
121,Blume::N,цветок,flor
122,Gras::N,турун,herba
123,Wurzel::N,вуж,rel
124,Wurzel::N,вуж,arrel
125,Baum::N,пу,arbre
126,Stamm::N,мыр,tronc
127,Stamm::N,кер,tronc
128,Rinde::N,кач,escorça
129,Ast::N,ув,branca
130,Zweig::N,ув,ram
131,Blatt::N,лист,fulla
132,Birke::N,кыдз,bedoll
133,Kiefer[Baum]::N,пожум,pi
134,Weide[Baum]::N,бадь,salze
135,Tanne::N,кӧз,avet
136,Horn::N,сюр,corn
137,Horn::N,сюр,banya
138,Feder::N,гӧн,ploma
139,Fell::N,кучик,pell
140,Flügel::N,борд,ala
141,Klaue::N,гыж,urpa
142,Kralle::N,кабыр,grapa
143,Schwanz::N,бӧж,cua
144,Ei::N,кольть,ou
145,Nest::N,поз,niu
146,Bau::N,осьта,cau
147,Bau::N,нора,cau
148,Tier::N,зверь,animāl
149,Herde::N,гурт,ramat
150,Kuh::N,мӧс,vaca
151,Bulle::N,ӧшка,toro
152,Pferd::N,вӧв,cavāll
153,Schaf::N,баля,be
154,Schaf::N,баля,ovella
155,Schwein::N,порсь,bacó
156,Hund::N,пон,ca
157,Hund::N,пон,gos
158,Katze::N,кань,gat
159,Bär::N,ош,ós
160,Eichhörnchen::N,ур,esquirol
161,Elch::N,вӧр мӧс,ant
162,Fuchs::N,руч,guilla
163,Hase::N,кӧч,llebre
164,Maus::N,шыр,ratolí
165,Wolf::N,кӧин,llop
166,Vogel::N,кай,au
167,Vogel::N,кай,ocēll
168,Schwarm::N,стая,bandada
169,Schwarm::N,чукӧр,bandada
170,Huhn::N,курӧг,gallina
171,Hahn::N,петух,gall
172,Hahn::N,ай курӧг,gall
173,Gans::N,дзодзог,oca
174,Adler::N,куч,àguila
175,Adler::N,кутш,àguila
176,Ente::N,утка,ànec
177,Eule::N,тупка,òliba
178,Eule::N,тупка,mussol
179,Kranich::N,тури,grua
180,Krähe::N,рака,cornella
181,Kuckuck::N,кӧк,cucut
182,Schwan::N,юсь,cigne
183,Fisch::N,чери,peix
184,Barsch::N,ёкыш,perca
185,Hecht::N,сирпинь,lluç
186,Schlange[Tier]::N,змей,serp
187,Wurm::N,номыр,cuc
188,Spinne::N,черань,aranya
189,Ameise::N,кӧдзывкар,formiga
190,Laus::N,ляпа той,poll
191,Mücke::N,ном,mosquit
192,Fliege::N,гут,mosca
193,Schmetterling::N,бабыв,papallona
194,Beere::N,ягӧд,baia
195,Apfel::N,яблоко,poma
196,Pilz::N,тшак,bolet
197,Zwiebel::N,грез,ceba
198,Saat::N,кӧдзыс,sembra
199,Korn::N,сю,gra
200,Heu::N,турун,fenc
201,Schale::N,кыш,closca
202,Schale::N,киль,closca
203,Grube::N,яма,sot
204,Grube::N,яма,clot
205,Falle::N,нальк,trampa
206,Falle::N,кляпча,trampa
207,Schlinge::N,лӧч,baga
208,Spur::N,туй,traça
209,Asche::N,пӧим,cendra
210,Dreck::N,нять,llot
211,Eisen::N,кӧрт,ferro
212,Gold::N,зарни,or
213,Silber::N,язісь,plata
214,Kohle::N,шом,carbó
215,Kohle::N,уголь,carbó
216,Glas::N,стекло,vidre
217,Lehm::N,сёй,fang
218,Lehm::N,сёй,argila
219,Sand::N,лыа,arena
220,Mensch::N,морт,humà
221,Mensch::N,морт,persona
222,Mann::N,мужик,home
223,Frau::N,инька,dona
224,Kind::N,кага,nen
225,Junge::N,зонка,noi
226,Mädchen::N,нывкаок,noia
227,Familie::N,семья,família
228,Großvater::N,дед,avi
229,Großmutter::N,баб,àvia
230,Eltern::N,ай-мам,pares
231,Vater::N,ай,pare
232,Mutter::N,мам,mare
233,Sohn::N,зон,fill
234,Tochter::N,ныв,filla
235,Bruder::N,вон,germà
236,Schwester::N,сой,germana
237,Onkel::N,дядь,oncle
238,Tante::N,айӧлӧн сой,tia
239,Tante::N,ичинь,tia
240,Ehemann::N,жӧник,espòs
241,Ehefrau::N,инь,muller
242,Freude::N,гаж,goig
243,Freude::N,гаж,alegria
244,Freude::N,радъялӧм,goig
245,Freude::N,радъялӧм,alegria
246,Gelächter::N,сералӧм,riallada
247,Glück::N,мичлун,felicitat
248,Kummer::N,шог,pena
249,Wunsch::N,мӧдӧм,desig
250,Wunsch::N,охотитӧм,desig
251,Lust::N,охота,ganes
252,Geist::N,лов,ment
253,Geist::N,лов,esperit
254,Gedanke::N,дума,pensament
255,Gedächtnis::N,тӧдвыв,memòria
256,Verstand::N,вежӧр,raó
257,Verstand::N,вежӧр,seny
258,Sinn::N,ылӧс,solta
259,Sinn::N,ылӧс,sentit
260,Grund::N,мог,raó
261,Grund::N,мог,causa
262,Wahrheit::N,правда,veritāt
263,Gespräch::N,сёрни,conversa
264,Märchen::N,сказка,conte
265,Erzählung::N,висьт,narració
266,Nachricht::N,юӧр,missatge
267,Nachricht::N,висьталӧм,missatge
268,Neuigkeit::N,новость,novetat
269,Name::N,ним,nom
270,Rätsel::N,загадка,endevinalla
271,Rede::N,сёрни,discurs
272,Sprache::N,кыв,llēngua
273,Stimme::N,голос,veu
274,Wort::N,кыв,mot
275,Wort::N,кыв,paraula
276,Zeichen::N,пас,signe
277,Zeichen::N,пас,senyal
278,Ruf::N,чуксӧм,crida
279,Ruf::N,чукӧстӧм,crida
280,Lärm::N,шум,sorōll
281,Laut::N,шы,so
282,Ton::N,гор,to
283,Lied::N,сьыланкыв,cançó
284,Ruhe::N,спокой,calma
285,Ruhe::N,спокой,silenci
286,Leute::N,йӧз,gent
287,Volk::N,йӧз,poble
288,Volk::N,народ,poble
289,Arbeit::N,удж,labor
290,Arbeit::N,удж,treball
291,Gast::N,гӧсь,hoste
292,Geschenk::N,гӧснеч,regal
293,Geschenk::N,гӧснеч,obsequi
294,Geschenk::N,подарок,regal
295,Geschenk::N,подарок,obsequi
296,Spiel::N,орсӧм,joc
297,Gesellschaft::N,компания,companyia
298,Hilfe::N,отсӧт,ajut
299,Freund::N,модз,amīc
300,Freund::N,дружок,amīc
301,Kamerad::N,тӧдса,company
