,Concept_ID,ja,uz
0,Auge::N,目,ko'z
1,Ohr::N,耳,quloq
2,Nase::N,鼻,burun
3,Mund::N,口,og'iz
4,Zahn::N,歯,tish
5,Zunge::N,舌,til
6,Lippe::N,唇,dudoq
7,Wange::N,頬,bet
8,Gesicht::N,顔,yuz
9,Stirn::N,額,manglay
10,Haar::N,髪,soch
11,Schnurrbart::N,口髭,mo'ylov
12,Bart::N,髭,soqol
13,Kinn::N,顎,ängak
14,Kiefer[Anatomie]::N,顎,iyak
15,Kehle::N,喉,bo'g'iz
16,Hals::N,首,bo'yin
17,Genick::N,首,gardan
18,Kopf::N,頭,bosh
19,Rücken::N,背中,orqa
20,Bauch::N,腹,qorin
21,Bauch::N,お腹,qorin
22,Nabel::N,へそ,kindik
23,Busen::N,乳房,ämchak
24,Brust::N,胸,ko'krak
25,Schulter::N,肩,elka
26,Arm::N,腕,bilak
27,Ellenbogen::N,肘,tirsak
28,Hand::N,手,qo'l
29,Handfläche::N,手のひら,kaft
30,Finger::N,指,barmoq
31,Fingernagel::N,爪,tirnoq
32,Nagel[Anatomie]::N,爪,tirnoq
33,Zeh::N,足の指,oyoq barmog'i
34,Fuß::N,足,oyoq
35,Ferse::N,かかと,tovon
36,Knie::N,膝,tiz
37,Oberschenkel::N,上腿,son
38,Bein::N,足,oyoq
39,Körper::N,体,badna
40,Haut::N,皮膚,teri
41,Blut::N,血,qon
42,Ader::N,血管,qon tomir
43,Sehne::N,腱,tomir
44,Knochen::N,骨,suyak
45,Gehirn::N,脳,miya
46,Herz::N,心,qalb
47,Herz::N,心臓,qalb
48,Magen::N,胃,oshqozon
49,Leber::N,肝臓,bag'ir
50,Atem::N,息,dam
51,Atem::N,呼吸,dam
52,Hunger::N,空腹,ochlik
53,Träne::N,涙,yosh
54,Geschmack::N,味,tam
55,Geruch::N,匂い,jid
56,Schlaf::N,睡眠,uyqu
57,Traum::N,夢,tush
58,Himmel::N,空,osmon
59,Sonne::N,太陽,quyosh
60,Mond::N,月,oy
61,Stern::N,星,yulduz
62,Luft::N,空気,havo
63,Wind::N,風,el
64,Welle::N,波,to'lqin
65,Wasser::N,水,suv
66,Stein::N,石,tosh
67,Boden::N,土地,tuproq
68,Erde::N,土,er
69,Staub::N,埃,chang
70,Rauch::N,煙,tutun
71,Funke::N,火花,yalt
72,Feuer::N,火,o't
73,Licht::N,光,yorug'
74,Schatten::N,陰,soya
75,Wetter::N,天気,havo
76,Nebel::N,霧,tuman
77,Wolke::N,雲,bulut
78,Regen::N,雨,yomg'ir
79,Schnee::N,雪,qor
80,Eis::N,氷,muz
81,Frost::N,霜,ajoz
82,Kälte::N,寒さ,ajoz
83,Hitze::N,暑さ,issiq
84,Raureif::N,霧氷,qirov
85,Regenbogen::N,虹,kamalak
86,Donner::N,雷,guldur
87,Strömung::N,流れ,oqim
88,Tropfen::N,滴,tomchi
89,Schaum::N,泡,ko'pik
90,Schmutz::N,汚れ,gard
91,See::N,湖,ko'l
92,Sumpf::N,沼,botqoq
93,Moor::N,湿原,qir-adir
94,Wiese::N,草原,o'tzor
95,Wald::N,森,o'rmon
96,Hügel::N,丘,tepa
97,Anhöhe::N,高み,adir
98,Berg::N,山,tog'
99,Gipfel::N,頂上,cho'qqi
100,Höhle::N,洞窟,kavak
101,Abhang::N,斜面,to'sh
102,Quelle::N,泉,buloq
103,Bach::N,小川,o'zan
104,Fluss::N,川,daryo
105,Ufer::N,岸,sohil
106,Küste::N,海岸,qirg'oq
107,Festland::N,陸,materik
108,Meer::N,海,dengiz
109,Bucht::N,湾,qo'ltiq
110,Insel::N,島,orol
111,Blume::N,花,gul
112,Gras::N,草,sabza
113,Wurzel::N,根,tub
114,Wurzel::N,根,tomir
115,Baum::N,木,daraxt
116,Stamm::N,幹,o'simta
117,Rinde::N,皮層,qobiq
118,Ast::N,枝,shox
119,Zweig::N,小枝,butoq
120,Blatt::N,葉,barg
121,Birke::N,樺,qayin
122,Kiefer[Baum]::N,松,qarag'ay
123,Weide[Baum]::N,柳,shum
124,Tanne::N,樅,archa
125,Horn::N,角,mugiz
126,Feder::N,羽根,par
127,Fell::N,毛皮,mo'yna
128,Flügel::N,羽,qanot
129,Klaue::N,鉤爪,tirnoq
130,Kralle::N,爪,tirnoq
131,Schwanz::N,尻尾,quyruq
132,Ei::N,卵,tuxum
133,Nest::N,巣,oshyon
134,Bau::N,穴,o'pqon
135,Tier::N,動物,hayvon
136,Herde::N,群れ,gala
137,Kuh::N,牛,inak
138,Bulle::N,雄牛,ho'kiz
139,Pferd::N,馬,ot
140,Schaf::N,羊,qo'y
141,Schwein::N,豚,cho'chqa
142,Hund::N,犬,it
143,Katze::N,猫,mushuk
144,Bär::N,熊,ayiq
145,Eichhörnchen::N,栗鼠,tiyin
146,Elch::N,ヘラジカ,los
147,Fuchs::N,狐,tulki
148,Hase::N,兎,kuyon
149,Maus::N,鼠,sichqon
150,Wolf::N,狼,bo'ri
151,Vogel::N,鳥,qush
152,Schwarm::N,群れ,to'da
153,Huhn::N,鶏,tovuq
154,Hahn::N,雄鶏,xo'roz
155,Gans::N,ガチョウ,g'oz
156,Adler::N,鷲,burgut
157,Ente::N,鴨,o'rdak
158,Eule::N,フクロウ,boyo'g'li
159,Kranich::N,鶴,turna
160,Krähe::N,烏,qarg'a
161,Kuckuck::N,郭公,kakku
162,Schwan::N,白鳥,oqkush
163,Fisch::N,魚,baliq
164,Barsch::N,鱸,olabug'a
