,Concept_ID,kl,mrj
0,Auge::N,isi,сӹнзӓ
1,Ohr::N,siut,пӹлӹш
2,Mund::N,paaq,ышма
3,Mund::N,qaneq,ышма
4,Zahn::N,kigut,пӱ
5,Zunge::N,oqaq,йӹлмӹ
6,Lippe::N,qarloq,тӹрвӹ
7,Wange::N,ersaq,шӹргӹ
8,Gesicht::N,kiinaq,лицӓ
9,Stirn::N,qaaq,лепкӓ
10,Haar::N,meqqoq,ӱп
11,Bart::N,umik,пандаш
12,Kinn::N,talloq,онгылаш
13,Kiefer[Anatomie]::N,alleroq,пӱ арата
14,Kehle::N,malaq,логер
15,Hals::N,qungaseq,шӱ
16,Genick::N,pukusuk,ланга
17,Kopf::N,niaqoq,вуй
18,Rücken::N,qimerlut,туп
19,Bauch::N,naaq,мӹшкӹр
20,Nabel::N,qalaseq,кӹлӹмдӹ
21,Busen::N,iviangeq,цӹзӹ
22,Brust::N,iviangeq,мел
23,Schulter::N,ersik,ӹнгӹжӓ
24,Schulter::N,assaqqoq,ӹнгӹжӓ
25,Arm::N,taleq,кид
26,Ellenbogen::N,ikusik,кӹнервуй
27,Hand::N,assak,лапа
28,Handfläche::N,itumak,кид лапа
29,Finger::N,inuak,парня
30,Fingernagel::N,kikiak,кӹч
31,Nagel[Anatomie]::N,kukik,кӹч
32,Zeh::N,isigak,парня
33,Ferse::N,kimmik,ялгавал
34,Ferse::N,kimmik,ял кавал
35,Knie::N,seeqqoq,пылвуй
36,Oberschenkel::N,uppat,ӓрдӹ
37,Oberschenkel::N,quttoraq,ӓрдӹ
38,Bein::N,isigak,ял
39,Körper::N,timi,монгыр
40,Haut::N,mattak,кавашты
41,Blut::N,aak,вӹр
42,Ader::N,taqaq,вӹршӓр
43,Sehne::N,ujalu,кукшышӱн
44,Sehne::N,ujaloq,кукшышӱн
45,Knochen::N,saanikut,лу
46,Gehirn::N,qarasaq,вим
47,Herz::N,uummat,шӱм
48,Magen::N,aqajaroq,шӱм
49,Leber::N,tinguk,мокш
50,Atem::N,anerneq,шӱлӹш
51,Hunger::N,kaanneq,шужымаш
52,Träne::N,qia,сӹнзӓвӹд
53,Träne::N,qiak,сӹнзӓвӹд
54,Geschmack::N,qilanaartuut,тот
55,Geruch::N,tipi,пыш
56,Geruch::N,tipik,пыш
57,Traum::N,sinnattoq,ом
58,Traum::N,sinnattugaq,ом
59,Himmel::N,qilak,пӹлгом
60,Sonne::N,seqineq,кечӹ
61,Mond::N,qaammat,тӹлзӹ
62,Stern::N,ulloriaq,шӹдӹр
63,Luft::N,silaannaq,юж
64,Luft::N,silaannaq,воздух
65,Wind::N,anori,мардеж
66,Wind::N,anorsarik,мардеж
67,Welle::N,aalappaa,ко
68,Welle::N,aalappaa,коэ
69,Wasser::N,imeq,вӹд
70,Stein::N,ujarak,кӱ
71,Boden::N,nateq,рок
72,Erde::N,issoq,свет
73,Staub::N,pujualanerit,пырак
74,Staub::N,pujoralanerit,пырак
75,Rauch::N,iseq,шӹкш
76,Rauch::N,pujoq,шӹкш
77,Funke::N,illoorneq,ип
78,Funke::N,illoorneq,тылип
79,Feuer::N,inneq,тыл
80,Licht::N,qaamaneq,соты
81,Licht::N,qaamaneq,валгыды
82,Schatten::N,tarraq,ӹмӹл
83,Wetter::N,sila,игечӹ
84,Nebel::N,pujoq,тӹтӹрӓ
85,Wolke::N,nuia,пӹл
86,Regen::N,sialuk,юр
87,Schnee::N,aput,лым
88,Eis::N,siku,и
89,Frost::N,issi,ӱштӹ
90,Frost::N,issik,ӱштӹ
91,Kälte::N,issi,ӱштӹ
92,Hitze::N,kianneq,шокшы
93,Hitze::N,kiassuseq,шокшы
94,Raureif::N,kaneq,пöрш
95,Regenbogen::N,neriusaaq,шанавӹл
96,Donner::N,kalleq,хӹдӹртӹш
97,Tropfen::N,kuseriarneq,капльы
98,Tropfen::N,kuseriarneq,капльык
99,Schaum::N,qapuk,шонг
100,Schmutz::N,minguk,лявӹрӓ
101,See::N,taseq,йӓр
102,Sumpf::N,maqulluk,лӱкӹ
103,Wiese::N,masarsuk,алык
104,Hügel::N,qattuneq,пӱгӹрикӓ
105,Hügel::N,majuariaq,пӱгӹрикӓ
106,Hügel::N,majorajaaq,пӱгӹрикӓ
107,Hügel::N,qaqqannguaq,пӱгӹрикӓ
108,Berg::N,qaqqaq,кырык
109,Höhle::N,qaarusuk,ы́раж
110,Abhang::N,ippik,полом
111,Abhang::N,sivinganeq,полом
112,Abhang::N,sivingajaaq,полом
113,Abhang::N,kussangajaaq,полом
114,Bach::N,kuunnguaq,ӓнгӹр
115,Fluss::N,kuuk,вӹд
116,Ufer::N,sissap sinaa,сир
117,Küste::N,sineriak,сир
118,Meer::N,imaq,тангыж
119,Bucht::N,ikeq,вӹдъял
120,Bucht::N,kangerluk,вӹдъял
121,Bucht::N,kangerliumaneq,вӹдъял
122,Insel::N,qeqertaq,острок
123,Blume::N,naasoq,пеледӹш
124,Gras::N,ivigaq,шуды
125,Wurzel::N,niulutaq,важ
126,Baum::N,orpik,пушӓнгӹ
127,Stamm::N,kanaartaq,пушӓнгӹ тӹнг
128,Rinde::N,ameraq,каргыж
129,Ast::N,avalequt,укш
130,Zweig::N,avalequt,укш
131,Blatt::N,pilutaq,листӹ
132,Birke::N,patitsit,куги
133,Weide[Baum]::N,palleq,уа
134,Tanne::N,orsuerneq,кож
135,Horn::N,nassuk,шур
136,Feder::N,suluk,пын
137,Fell::N,ameq,кавашты
138,Flügel::N,suluk,шылдыр
139,Flügel::N,isaroq,шылдыр
140,Klaue::N,kukik,кӹч
141,Kralle::N,kukik,лапа
142,Schwanz::N,pamioq,пач
143,Schwanz::N,paperuusaq,пач
144,Ei::N,mannik,мыны
145,Nest::N,ullut,пӹжӓш
146,Bau::N,ini,ыраж
147,Tier::N,uumasoq,во́льык
148,Herde::N,unguukkat,кӹтö
149,Kuh::N,ussik,ышкал
150,Bulle::N,angukulak,ӱшкӱж
151,Bulle::N,anguteralak,ӱшкӱж
152,Bulle::N,angutikulooq,ӱшкӱж
153,Schaf::N,sava,шарык
154,Schwein::N,puuluki,сасна
155,Hund::N,qimmeq,пи
156,Katze::N,puisaaq,коти
157,Bär::N,allaq,мöскӓ
158,Eichhörnchen::N,sissinnguaq,ур
159,Fuchs::N,terianniaq,рӹвӹж
160,Hase::N,ukaleq,морен
161,Maus::N,teriannguaq,каля
162,Wolf::N,amaroq,пирӹ
163,Vogel::N,timmiaq,кек
164,Huhn::N,kukkukooq,цӹвӹ
165,Huhn::N,marloraaqaaq,цӹвӹ
166,Hahn::N,kiasiusaq,ӓптӓн
167,Gans::N,nerleq,комбы
168,Adler::N,nattoralik,кучкыж
169,Eule::N,uppik,тымана
170,Kranich::N,qorlorfik,тырня
171,Kranich::N,qorlorfik,тыртня
172,Krähe::N,tuluatsiaq,лудыгарак
173,Kuckuck::N,kukkooq,куку
174,Schwan::N,qussuk,йӱксӹ
175,Fisch::N,aalisagaq,кол
176,Schlange[Tier]::N,pulateriarsuk,кӹшкы
177,Schlange[Tier]::N,pulateriaarsuk,кӹшкы
178,Spinne::N,aasiaq,ӓнгӹремшӹ
179,Spinne::N,nissavaarsuk,ӓнгӹремшӹ
180,Ameise::N,uniaaluk,кыткы
181,Laus::N,kumak,ти
182,Mücke::N,ippernaq,кужнер
183,Mücke::N,ippernaq,кужынер
184,Fliege::N,ippernaq,шӹнгӓ
185,Schmetterling::N,paluaq,лӹпӹ
186,Schmetterling::N,pakkaluaq,лӹпӹ
187,Schmetterling::N,utsuppaluaq,лӹпӹ
188,Schmetterling::N,taqaleqisaaq,лӹпӹ
189,Beere::N,paarmaq,мöр
190,Beere::N,paarngaq,мöр
191,Apfel::N,iipili,олма
192,Pilz::N,anngiusaq,понгы
193,Zwiebel::N,uanitsoq,охыра
194,Saat::N,naatsiiassaq,нӱшмӹ
195,Saat::N,naatsiiassaq,нӱшмӱ
196,Korn::N,maannineq,пӹрцӹ
197,Schale::N,niutsivik,аваха
198,Schale::N,niutsivik,карлангы
