,Concept_ID,fi,ko
0,Auge::N,silmä,눈
1,Ohr::N,korva,귀
2,Nase::N,nenä,코
3,Mund::N,suu,입
4,Zahn::N,hammas,이
5,Zunge::N,kieli,혀
6,Lippe::N,huuli,입술
7,Wange::N,poski,뺨
8,Gesicht::N,naama,얼굴
9,Gesicht::N,kasvot,얼굴
10,Stirn::N,otsa,이마
11,Haar::N,hius,털
12,Haar::N,tukka,털
13,Schnurrbart::N,viikset,윗수몀
14,Schnurrbart::N,viikset,코밑수염
15,Bart::N,parta,수엄
16,Kinn::N,leuka,아래턱
17,Kiefer[Anatomie]::N,leukaluu,턱
18,Kehle::N,kurkku,인후
19,Hals::N,kaula,목
20,Genick::N,niska,먹덜이
21,Kopf::N,pää,머리
22,Rücken::N,selkä,든
23,Bauch::N,maha,배
24,Bauch::N,vatsa,배
25,Nabel::N,napa,배꼽
26,Busen::N,rinta,가슴속
27,Brust::N,rinta,가슴
28,Schulter::N,olka,어깨
29,Schulter::N,hartia,어깨
30,Schulter::N,olkapää,어깨
31,Arm::N,käsivarsi,팔
32,Ellenbogen::N,kyynärpää,팔쿰치
33,Hand::N,käsi,손
34,Handfläche::N,kämmen,손바닥
35,Finger::N,sormi,속가락
36,Fingernagel::N,kynsi,손톱
37,Nagel[Anatomie]::N,kynsi,손톱
38,Zeh::N,varvas,발가락
39,Fuß::N,jalka,발
40,Ferse::N,kantapää,발꿈치
41,Knie::N,polvi,무릎
42,Oberschenkel::N,reisi,허벅다리
43,Bein::N,jalka,다리
44,Körper::N,keho,구간
45,Körper::N,ruumis,구간
46,Haut::N,iho,살갗
47,Blut::N,veri,피
48,Ader::N,suoni,정맥
49,Sehne::N,jänne,현
50,Knochen::N,luu,뼈
51,Gehirn::N,aivot,뇌
52,Gehirn::N,aivot,뇌수
53,Herz::N,sydän,염통
54,Magen::N,maha,위
55,Magen::N,vatsa,위
56,Leber::N,maksa,간
57,Atem::N,henki,기식
58,Atem::N,hengitys,기식
59,Hunger::N,nälkä,공복
60,Träne::N,kyynel,눈물
61,Geschmack::N,maku,기호
62,Geruch::N,haju,냄새
63,Schlaf::N,uni,수면
64,Traum::N,uni,쿰
65,Himmel::N,taivas,하늘
66,Sonne::N,aurinko,해
67,Mond::N,kuu,달
68,Stern::N,tähti,별
69,Luft::N,ilma,동준
70,Luft::N,ilma,가스채
71,Wind::N,tuuli,바람
72,Welle::N,aalto,물결
73,Wasser::N,vesi,물
74,Stein::N,kivi,돌
75,Boden::N,maa,바닥
76,Boden::N,maaperä,바닥
77,Erde::N,maa,흙
78,Staub::N,pöly,먼지
79,Rauch::N,savu,연기
80,Funke::N,kipinä,불티
81,Feuer::N,tuli,불
82,Licht::N,valo,불
83,Schatten::N,varjo,어스레함
84,Wetter::N,sää,기상
85,Nebel::N,sumu,안개
86,Wolke::N,pilvi,구름
87,Regen::N,sade,비
88,Schnee::N,lumi,눈
89,Eis::N,jää,얼음
90,Frost::N,halla,혹한
91,Frost::N,pakkanen,혹한
92,Kälte::N,vilu,추위
93,Kälte::N,vilu,차가움
94,Kälte::N,kylmyys,추위
95,Kälte::N,kylmyys,차가움
96,Hitze::N,helle,고온
97,Hitze::N,helle,더위
98,Hitze::N,kuumuus,고온
99,Hitze::N,kuumuus,더위
100,Raureif::N,huurre,
101,Regenbogen::N,sateenkaari,무지개
102,Donner::N,jyrinä,뇌명
103,Strömung::N,virtaus,유동
104,Tropfen::N,tippa,물방울
105,Tropfen::N,pisara,물방울
106,Schaum::N,vaahto,포말
107,Schmutz::N,loka,때
108,See::N,järvi,호수
109,Sumpf::N,suo,습지
110,Moor::N,räme,저습지
111,Wiese::N,niitty,목초지
112,Wald::N,metsä,숲
113,Hügel::N,mäki,언덕
114,Hügel::N,kumpu,언덕
115,Hügel::N,kukkula,언덕
116,Anhöhe::N,mäki,언덕
117,Anhöhe::N,kumpare,언덕
118,Berg::N,mäki,산
119,Berg::N,vuori,산
120,Gipfel::N,laki,졀졍
121,Gipfel::N,huippu,졀졍
122,Höhle::N,luola,공동
123,Abhang::N,rinne,몰매
124,Quelle::N,lähde,근원
125,Bach::N,puro,내
126,Fluss::N,joki,강
127,Ufer::N,ranta,강변
128,Ufer::N,ranta,바닷가
129,Küste::N,rannikko,해변
130,Küste::N,rannikko,해변가
131,Festland::N,manner,본토
132,Meer::N,meri,바다
133,Bucht::N,lahti,협만
134,Insel::N,saari,섬
135,Blume::N,kukka,꽃
136,Gras::N,ruoho,풀
137,Wurzel::N,juuri,뿌리
138,Baum::N,puu,나무
139,Stamm::N,runko,대
140,Rinde::N,kuori,나무껍질
141,Rinde::N,parkki,나무껍질
142,Ast::N,oksa,가지
143,Zweig::N,haara,가지
144,Blatt::N,lehti,잎
145,Birke::N,koivu,자작나무
146,Kiefer[Baum]::N,mänty,소나무
147,Kiefer[Baum]::N,petäjä,소나무
148,Weide[Baum]::N,paju,쉬양버들
149,Tanne::N,kuusi,전나무
150,Horn::N,sarvi,뿔
151,Feder::N,sulka,깃털
152,Feder::N,höyhen,깃털
153,Fell::N,talja,피혁모피
154,Flügel::N,siipi,날개
155,Klaue::N,kynsi,갈고리 발톺
156,Kralle::N,kynsi,발툭
157,Schwanz::N,häntä,꼬리
158,Schwanz::N,pyrstö,꼬리
159,Ei::N,muna,알
160,Nest::N,pesä,보금자리
161,Bau::N,pesä,굴
162,Tier::N,eläin,짐승
163,Herde::N,lauma,가축의떼
164,Kuh::N,lehmä,암소
165,Bulle::N,sonni,황소
166,Pferd::N,hevonen,말
167,Schaf::N,lammas,양
168,Schwein::N,sika,돼지
169,Hund::N,koira,개
170,Katze::N,kissa,고양이
171,Bär::N,karhu,콤
172,Eichhörnchen::N,orava,다람쥐
173,Elch::N,hirvi,고라니
174,Fuchs::N,kettu,여우
175,Hase::N,jänis,토끼
176,Maus::N,hiiri,쥐
177,Wolf::N,susi,늑대
178,Vogel::N,lintu,새
179,Schwarm::N,parvi,뗴
180,Huhn::N,kana,암탉
181,Hahn::N,kukko,수탉
182,Gans::N,hanhi,거위
183,Adler::N,kotka,수리
184,Ente::N,ankka,오리
185,Eule::N,pöllö,부엉이
186,Kranich::N,kurki,두루미
187,Krähe::N,varis,까마귀
188,Kuckuck::N,käki,뻐꾸기
189,Schwan::N,joutsen,배조
190,Fisch::N,kala,물고기
191,Barsch::N,ahven,농어
192,Hecht::N,hauki,에속스
193,Schlange[Tier]::N,käärme,뱀
194,Wurm::N,mato,벌레
195,Spinne::N,hämähäkki,거미
196,Ameise::N,muurahainen,개미
197,Laus::N,täi,이
198,Mücke::N,sääski,모기
199,Mücke::N,hyttynen,모기
200,Fliege::N,kärpänen,날기
201,Schmetterling::N,perhonen,나비
202,Beere::N,marja,장과
203,Apfel::N,omena,사과
204,Pilz::N,sieni,고방이
205,Zwiebel::N,sipuli,양파
206,Saat::N,siemenet,씨
207,Korn::N,jyvä,알맹이
208,Korn::N,vilja,알맹이
209,Heu::N,heinä,건초
210,Schale::N,kuori,피상
211,Grube::N,kuoppa,
212,Falle::N,loukku,함정
213,Schlinge::N,ansa,올가미
214,Schlinge::N,ansa,멜빵붕대
215,Spur::N,jälki,발지국
216,Asche::N,tuhka,재
217,Dreck::N,lika,똥
218,Dreck::N,lika,오물
219,Eisen::N,rauta,쇠
220,Eisen::N,rauta,철
221,Gold::N,kulta,항금
222,Silber::N,hopea,은
223,Kohle::N,hiili,슻
224,Glas::N,lasi,유리
225,Lehm::N,savi,찰흙
226,Sand::N,hiekka,모래
227,Mensch::N,ihminen,사람
228,Mann::N,mies,남자
229,Frau::N,nainen,여자
230,Kind::N,lapsi,아이
231,Junge::N,poika,소녁
232,Mädchen::N,tyttö,소녀
233,Familie::N,perhe,가족
234,Großvater::N,isoisä,할아버지
235,Großmutter::N,isoäiti,할머니
236,Eltern::N,vanhemmat,어버오
237,Vater::N,isä,아버지
238,Mutter::N,äiti,어머니
239,Sohn::N,poika,아들
240,Tochter::N,tytär,딸기
241,Bruder::N,veli,형제
242,Schwester::N,sisko,누이
243,Onkel::N,eno,백부
244,Onkel::N,setä,백부
245,Tante::N,täti,아주머니
246,Ehemann::N,mies,남편
247,Ehemann::N,aviomies,남편
248,Ehefrau::N,vaimo,아내
249,Ehefrau::N,aviovaimo,아내
250,Freude::N,ilo,기쁨
251,Freude::N,riemu,기쁨
252,Gelächter::N,nauru,웃음
253,Glück::N,onni,즐거움
254,Kummer::N,suru,슬픔
255,Kummer::N,murhe,슬픔
256,Wunsch::N,toive,소망
257,Wunsch::N,toivomus,소망
258,Lust::N,himo,
259,Geist::N,henki,할기
260,Gedanke::N,aate,상념
261,Gedanke::N,ajatus,상념
262,Gedächtnis::N,muisti,기억
263,Verstand::N,äly,분별
264,Verstand::N,äly,지능
265,Verstand::N,järki,분별
266,Verstand::N,järki,지능
267,Verstand::N,ymmärrys,분별
268,Verstand::N,ymmärrys,지능
269,Sinn::N,merkitys,센스
270,Grund::N,syy,까닭
271,Grund::N,peruste,까닭
272,Wahrheit::N,tosi,참
273,Wahrheit::N,tosi,진실
274,Wahrheit::N,totuus,참
275,Wahrheit::N,totuus,진실
276,Gespräch::N,puhelu,대화
277,Gespräch::N,keskustelu,대화
278,Märchen::N,satu,동화
279,Erzählung::N,tarina,이야기
280,Erzählung::N,kertomus,이야기
281,Nachricht::N,tieto,
282,Nachricht::N,ilmoitus,
283,Neuigkeit::N,uutinen,뉴스
284,Name::N,nimi,이름
285,Rätsel::N,arvoitus,수수께끼
286,Rede::N,puhe,연설
287,Sprache::N,kieli,말
288,Stimme::N,ääni,목소리
289,Wort::N,sana,낱말
290,Zeichen::N,merkki,신호
291,Ruf::N,kutsu,부름
292,Lärm::N,melu,소동
293,Lärm::N,hälinä,소동
294,Laut::N,ääni,음성
295,Ton::N,sävel,목소리
296,Lied::N,laulu,노래
